HorseID,Horse,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
H162,撼天鐵翼(H162),跑馬地,Turf,1200,1,15,3,-4.0,18.32,6.67,20.0,-26.67
H175,潮州精神(H175),沙田,Turf,1400,1,15,3,-9.2,18.47,6.67,20.0,-61.33
H203,添開心(H203),跑馬地,Turf,1000,1,15,4,-11.1,9.47,6.67,26.67,-74.0
H325,新力(H325),跑馬地,Turf,1200,1,15,7,-10.4,7.73,6.67,46.67,-69.33
H379,怡昌精神(H379),跑馬地,Turf,1200,1,15,6,-8.7,10.36,6.67,40.0,-58.0
H407,勝多多(H407),沙田,Turf,1200,1,15,6,-12.5,13.49,6.67,40.0,-83.33
H409,凱旋幸運(H409),沙田,Turf,1400,1,15,6,-7.8,13.3,6.67,40.0,-52.0
J213,君智盛(J213),跑馬地,Turf,1650,1,15,3,-8.1,14.67,6.67,20.0,-54.0
J304,獵寶勤(J304),跑馬地,Turf,1200,1,15,8,-10.3,6.95,6.67,53.33,-68.67
J400,競駿先鋒(J400),沙田,Turf,1200,1,15,4,2.0,16.92,6.67,26.67,13.33
E459,美麗邂逅(E459),沙田,Turf,1400,0,15,4,-15.0,16.15,0.0,26.67,-100.0
H294,美麗第一(H294),沙田,Turf,1200,0,15,1,-15.0,87.15,0.0,6.67,-100.0
H016,天時明駒(H016),沙田,AWT,1650,5,14,9,24.0,11.16,35.71,64.29,171.43
K130,光年魅力(K130),沙田,Turf,1400,5,14,8,-3.0,9.24,35.71,57.14,-21.43
J131,加州活力(J131),跑馬地,Turf,1650,4,14,7,10.5,7.5,28.57,50.0,75.0
J537,友愛心得(J537),跑馬地,Turf,1200,4,14,5,24.5,15.94,28.57,35.71,175.0
J150,星火燎原(J150),沙田,AWT,1200,3,14,8,8.8,8.79,21.43,57.14,62.86
J443,至尊高超(J443),沙田,Turf,1400,3,14,10,-5.3999999999999995,6.25,21.43,71.43,-38.57
K084,翠兒威威(K084),跑馬地,Turf,1650,3,14,5,1.9000000000000004,18.85,21.43,35.71,13.57
G125,得意佳作(G125),跑馬地,Turf,1650,2,14,5,4.199999999999999,20.23,14.29,35.71,30.0
