RestBucket,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate,Scope
15-28d,756,8601,2209,30.1,8.79,25.68,Overall
29-56d,303,3694,910,30.23,8.2,24.63,Overall
57-90d,64,839,191,36.63,7.63,22.77,Overall
91d+,51,721,156,39.89,7.07,21.64,Overall
<=14d,219,3104,735,29.93,7.06,23.68,Overall
