RaceClass,Venue,Track,Distance,RestBucket,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate,Scope
Class 3,沙田,Turf,1400,57-90d,3,51,11,50.86,5.88,21.57,ClassVenueDistance
Class 4,跑馬地,Turf,1800,<=14d,3,51,12,22.3,5.88,23.53,ClassVenueDistance
Class 4,沙田,AWT,1650,29-56d,3,50,10,24.95,6.0,20.0,ClassVenueDistance
Class 3,沙田,AWT,1200,29-56d,3,49,14,14.92,6.12,28.57,ClassVenueDistance
Class 5,沙田,Turf,1600,29-56d,1,49,8,19.23,2.04,16.33,ClassVenueDistance
Class 4,沙田,Turf,1000,<=14d,6,48,12,35.85,12.5,25.0,ClassVenueDistance
Class 3,沙田,AWT,1650,<=14d,2,48,9,36.0,4.17,18.75,ClassVenueDistance
Class 4,跑馬地,Turf,1000,29-56d,5,47,15,26.99,10.64,31.91,ClassVenueDistance
Class 5,跑馬地,Turf,1000,<=14d,2,47,14,16.44,4.26,29.79,ClassVenueDistance
Class 5,沙田,Turf,1400,57-90d,4,46,12,27.8,8.7,26.09,ClassVenueDistance
Class 3,沙田,Turf,1000,29-56d,6,45,11,26.74,13.33,24.44,ClassVenueDistance
Class 4,跑馬地,Turf,2200,15-28d,5,45,13,19.72,11.11,28.89,ClassVenueDistance
Class 5,沙田,Turf,1800,<=14d,3,45,8,18.74,6.67,17.78,ClassVenueDistance
Class 3,跑馬地,Turf,1800,<=14d,3,44,9,24.93,6.82,20.45,ClassVenueDistance
Class 2,跑馬地,Turf,1200,15-28d,5,42,12,15.84,11.9,28.57,ClassVenueDistance
Class 3,沙田,Turf,1200,91d+,4,42,11,39.62,9.52,26.19,ClassVenueDistance
Class 5,沙田,AWT,1800,15-28d,4,42,11,18.75,9.52,26.19,ClassVenueDistance
Class 2,沙田,Turf,1200,29-56d,3,42,10,25.36,7.14,23.81,ClassVenueDistance
Class 4,跑馬地,Turf,1000,<=14d,6,41,14,19.25,14.63,34.15,ClassVenueDistance
Class 3,跑馬地,Turf,1000,29-56d,6,40,11,22.27,15.0,27.5,ClassVenueDistance
Class 3,跑馬地,Turf,1800,29-56d,2,38,10,19.29,5.26,26.32,ClassVenueDistance
Class 4,跑馬地,Turf,1800,29-56d,1,38,8,23.49,2.63,21.05,ClassVenueDistance
Class 3,沙田,Turf,1200,57-90d,4,37,6,56.96,10.81,16.22,ClassVenueDistance
Group 2,沙田,Turf,1200,15-28d,1,37,8,60.91,2.7,21.62,ClassVenueDistance
Class 4,跑馬地,Turf,1650,57-90d,6,36,14,28.01,16.67,38.89,ClassVenueDistance
Class 5,沙田,AWT,1650,29-56d,3,36,9,24.28,8.33,25.0,ClassVenueDistance
Class 5,沙田,Turf,1800,15-28d,3,36,10,19.71,8.33,27.78,ClassVenueDistance
Class 3,沙田,Turf,1800,<=14d,2,36,11,38.36,5.56,30.56,ClassVenueDistance
Class 2,沙田,Turf,1400,<=14d,1,36,5,34.14,2.78,13.89,ClassVenueDistance
Class 4,沙田,Turf,1800,<=14d,2,35,5,39.72,5.71,14.29,ClassVenueDistance
Class 5,跑馬地,Turf,1000,29-56d,4,34,9,27.6,11.76,26.47,ClassVenueDistance
Class 5,跑馬地,Turf,2200,15-28d,4,34,11,15.84,11.76,32.35,ClassVenueDistance
Group 1,沙田,Turf,1200,15-28d,4,34,10,108.91,11.76,29.41,ClassVenueDistance
Group 1,沙田,Turf,1600,15-28d,4,34,9,50.39,11.76,26.47,ClassVenueDistance
Group 3,沙田,Turf,1800,15-28d,3,34,11,28.29,8.82,32.35,ClassVenueDistance
Class 3,跑馬地,Turf,1200,91d+,2,33,5,27.81,6.06,15.15,ClassVenueDistance
Class 4,跑馬地,Turf,1650,91d+,1,33,5,35.87,3.03,15.15,ClassVenueDistance
Class 5,沙田,Turf,1600,<=14d,5,32,10,21.58,15.62,31.25,ClassVenueDistance
Class 2,沙田,Turf,1600,29-56d,4,32,9,28.19,12.5,28.12,ClassVenueDistance
Class 3,沙田,Turf,2000,<=14d,2,32,3,27.88,6.25,9.38,ClassVenueDistance
Class 3,沙田,AWT,1200,<=14d,0,32,5,35.33,0.0,15.62,ClassVenueDistance
Group 2,沙田,Turf,1600,29-56d,4,30,9,26.43,13.33,30.0,ClassVenueDistance
Class 5,沙田,Turf,1200,<=14d,3,30,13,19.62,10.0,43.33,ClassVenueDistance
Class 4,沙田,Turf,1000,91d+,2,30,6,51.91,6.67,20.0,ClassVenueDistance
Class 5,沙田,AWT,1200,<=14d,2,30,5,18.91,6.67,16.67,ClassVenueDistance
Class 4,沙田,Turf,1800,29-56d,1,30,5,36.35,3.33,16.67,ClassVenueDistance
Class 5,跑馬地,Turf,1800,<=14d,0,29,9,18.28,0.0,31.03,ClassVenueDistance
Class 2,跑馬地,Turf,1650,15-28d,3,28,8,15.16,10.71,28.57,ClassVenueDistance
Class 2,跑馬地,Turf,1200,<=14d,2,28,9,25.93,7.14,32.14,ClassVenueDistance
Group 3,沙田,Turf,1400,15-28d,1,28,7,31.3,3.57,25.0,ClassVenueDistance
Class 2,跑馬地,Turf,1200,29-56d,2,27,6,22.7,7.41,22.22,ClassVenueDistance
Class 5,沙田,AWT,1650,<=14d,1,27,4,19.2,3.7,14.81,ClassVenueDistance
Class 2,跑馬地,Turf,1650,29-56d,3,26,8,16.65,11.54,30.77,ClassVenueDistance
Class 2,跑馬地,Turf,1800,15-28d,2,26,7,16.45,7.69,26.92,ClassVenueDistance
Class 3,沙田,Turf,1800,29-56d,2,26,6,33.41,7.69,23.08,ClassVenueDistance
Class 5,沙田,Turf,1200,57-90d,2,26,7,36.86,7.69,26.92,ClassVenueDistance
Class 3,跑馬地,Turf,1650,57-90d,3,25,8,28.71,12.0,32.0,ClassVenueDistance
Class 4,跑馬地,Turf,2200,29-56d,3,25,8,18.96,12.0,32.0,ClassVenueDistance
Class 4,沙田,Turf,1600,57-90d,0,25,4,43.45,0.0,16.0,ClassVenueDistance
Class 4,沙田,Turf,2000,29-56d,3,23,5,24.53,13.04,21.74,ClassVenueDistance
Class 2,沙田,AWT,1200,15-28d,2,23,6,21.11,8.7,26.09,ClassVenueDistance
Class 2,沙田,Turf,1800,15-28d,3,22,7,26.78,13.64,31.82,ClassVenueDistance
Class 2,沙田,AWT,1650,15-28d,2,22,5,12.93,9.09,22.73,ClassVenueDistance
Class 4,沙田,AWT,1200,57-90d,2,22,5,32.55,9.09,22.73,ClassVenueDistance
Class 2,沙田,Turf,1000,15-28d,1,22,7,34.3,4.55,31.82,ClassVenueDistance
Class 4,沙田,Turf,1000,57-90d,1,22,8,47.79,4.55,36.36,ClassVenueDistance
Class 4,跑馬地,Turf,2200,<=14d,0,22,4,18.95,0.0,18.18,ClassVenueDistance
Group 1,沙田,Turf,2000,15-28d,2,21,5,57.01,9.52,23.81,ClassVenueDistance
Unknown,沙田,Turf,2000,15-28d,2,21,6,21.94,9.52,28.57,ClassVenueDistance
Class 4,沙田,AWT,1200,91d+,1,21,2,28.91,4.76,9.52,ClassVenueDistance
Class 4,沙田,Turf,2000,<=14d,1,21,6,28.2,4.76,28.57,ClassVenueDistance
Unknown,沙田,Turf,1600,15-28d,1,21,5,48.69,4.76,23.81,ClassVenueDistance
Class 3,沙田,Turf,2000,29-56d,0,21,4,31.14,0.0,19.05,ClassVenueDistance
Class 5,沙田,Turf,1600,57-90d,2,20,5,26.33,10.0,25.0,ClassVenueDistance
Class 3,沙田,Turf,1000,57-90d,1,20,4,31.24,5.0,20.0,ClassVenueDistance
Class 4,跑馬地,Turf,1000,91d+,0,20,2,29.92,0.0,10.0,ClassVenueDistance
Group 3,沙田,Turf,1000,15-28d,4,19,8,20.11,21.05,42.11,ClassVenueDistance
Class 5,跑馬地,Turf,1800,29-56d,3,19,6,25.09,15.79,31.58,ClassVenueDistance
Class 4,沙田,AWT,1800,29-56d,3,18,7,26.16,16.67,38.89,ClassVenueDistance
Class 3,跑馬地,Turf,1200,57-90d,2,18,4,29.24,11.11,22.22,ClassVenueDistance
Class 5,跑馬地,Turf,2200,<=14d,2,18,7,15.24,11.11,38.89,ClassVenueDistance
Group 1,跑馬地,Turf,1650,<=14d,1,18,4,19.21,5.56,22.22,ClassVenueDistance
Class 4,沙田,AWT,1800,<=14d,0,18,2,28.33,0.0,11.11,ClassVenueDistance
Class 2,沙田,Turf,1600,<=14d,4,17,7,16.94,23.53,41.18,ClassVenueDistance
Class 2,沙田,Turf,2000,15-28d,3,17,4,26.79,17.65,23.53,ClassVenueDistance
Class 2,跑馬地,Turf,1000,15-28d,3,17,7,13.07,17.65,41.18,ClassVenueDistance
Class 5,沙田,Turf,1200,91d+,1,17,2,41.16,5.88,11.76,ClassVenueDistance
Group 1,沙田,Turf,2400,15-28d,1,17,3,37.39,5.88,17.65,ClassVenueDistance
Group 1,跑馬地,Turf,1650,15-28d,1,17,4,19.09,5.88,23.53,ClassVenueDistance
Class 2,沙田,Turf,1800,<=14d,0,17,2,35.49,0.0,11.76,ClassVenueDistance
Class 5,跑馬地,Turf,1200,57-90d,1,16,3,31.59,6.25,18.75,ClassVenueDistance
Unknown,沙田,Turf,1800,15-28d,1,16,3,37.6,6.25,18.75,ClassVenueDistance
Class 3,沙田,Turf,1000,91d+,3,15,7,46.31,20.0,46.67,ClassVenueDistance
Class 5,沙田,Turf,2000,15-28d,3,15,6,13.75,20.0,40.0,ClassVenueDistance
Group 1,沙田,Turf,1600,29-56d,2,15,5,22.68,13.33,33.33,ClassVenueDistance
Group 1,跑馬地,Turf,1000,15-28d,2,15,4,18.11,13.33,26.67,ClassVenueDistance
Group 3,跑馬地,Turf,1800,29-56d,2,15,4,15.31,13.33,26.67,ClassVenueDistance
Class 4,沙田,AWT,1650,57-90d,1,15,2,24.09,6.67,13.33,ClassVenueDistance
Class 5,沙田,Turf,1800,29-56d,1,15,5,15.25,6.67,33.33,ClassVenueDistance
Griffin,沙田,Turf,1000,15-28d,1,15,5,33.05,6.67,33.33,ClassVenueDistance
Class 2,沙田,Turf,2000,29-56d,0,15,5,15.71,0.0,33.33,ClassVenueDistance
Group 2,沙田,Turf,1200,29-56d,3,14,6,88.48,21.43,42.86,ClassVenueDistance
Class 2,跑馬地,Turf,1650,<=14d,2,14,5,14.53,14.29,35.71,ClassVenueDistance
Class 3,跑馬地,Turf,1000,57-90d,1,14,4,12.46,7.14,28.57,ClassVenueDistance
Class 4,跑馬地,Turf,1000,57-90d,1,14,4,34.0,7.14,28.57,ClassVenueDistance
Class 5,沙田,Turf,2000,<=14d,0,14,2,41.69,0.0,14.29,ClassVenueDistance
Class 5,跑馬地,Turf,1000,57-90d,0,14,3,25.52,0.0,21.43,ClassVenueDistance
Class 2,沙田,Turf,1000,29-56d,2,13,5,17.09,15.38,38.46,ClassVenueDistance
Class 3,跑馬地,Turf,2200,15-28d,2,13,6,14.58,15.38,46.15,ClassVenueDistance
Class 4,沙田,Turf,1600,91d+,1,13,1,54.71,7.69,7.69,ClassVenueDistance
Class 2,沙田,Turf,1200,91d+,0,13,4,30.96,0.0,30.77,ClassVenueDistance
Class 3,沙田,Turf,1600,91d+,2,12,3,32.01,16.67,25.0,ClassVenueDistance
Class 5,沙田,AWT,1200,57-90d,2,12,5,12.41,16.67,41.67,ClassVenueDistance
Group 1,跑馬地,Turf,1650,29-56d,2,12,4,14.01,16.67,33.33,ClassVenueDistance
Class 1,沙田,Turf,1200,29-56d,1,12,2,23.75,8.33,16.67,ClassVenueDistance
Class 2,跑馬地,Turf,1800,<=14d,1,12,2,22.42,8.33,16.67,ClassVenueDistance
Class 5,跑馬地,Turf,1000,91d+,1,12,2,42.2,8.33,16.67,ClassVenueDistance
Griffin,沙田,Turf,1200,15-28d,1,12,4,43.85,8.33,33.33,ClassVenueDistance
Class 1,沙田,Turf,1200,<=14d,0,12,2,16.95,0.0,16.67,ClassVenueDistance
Class 2,沙田,Turf,1000,<=14d,2,11,3,22.06,18.18,27.27,ClassVenueDistance
Class 5,跑馬地,Turf,1650,57-90d,2,11,3,23.16,18.18,27.27,ClassVenueDistance
Class 2,沙田,AWT,1650,29-56d,1,11,4,14.29,9.09,36.36,ClassVenueDistance
Class 2,沙田,Turf,1200,57-90d,1,11,5,34.32,9.09,45.45,ClassVenueDistance
Class 2,沙田,Turf,1400,57-90d,1,11,4,26.13,9.09,36.36,ClassVenueDistance
Class 2,跑馬地,Turf,1800,29-56d,1,11,4,18.81,9.09,36.36,ClassVenueDistance
Class 5,跑馬地,Turf,2200,29-56d,1,11,3,15.48,9.09,27.27,ClassVenueDistance
Group 2,沙田,Turf,1600,15-28d,1,11,2,65.71,9.09,18.18,ClassVenueDistance
Group 3,沙田,Turf,1800,<=14d,1,11,2,27.57,9.09,18.18,ClassVenueDistance
Class 5,沙田,AWT,1800,<=14d,0,11,1,40.78,0.0,9.09,ClassVenueDistance
Class 5,沙田,Turf,2000,29-56d,0,11,1,18.09,0.0,9.09,ClassVenueDistance
Class 5,跑馬地,Turf,1200,91d+,0,11,3,35.87,0.0,27.27,ClassVenueDistance
Class 2,沙田,AWT,1200,<=14d,2,10,3,16.09,20.0,30.0,ClassVenueDistance
Group 1,沙田,Turf,1200,29-56d,2,10,5,62.46,20.0,50.0,ClassVenueDistance
Class 2,沙田,Turf,1400,91d+,1,10,2,26.37,10.0,20.0,ClassVenueDistance
Class 3,沙田,Turf,1600,57-90d,1,10,3,21.85,10.0,30.0,ClassVenueDistance
Class 5,沙田,Turf,1400,91d+,1,10,3,47.28,10.0,30.0,ClassVenueDistance
Group 1,跑馬地,Turf,1000,<=14d,1,10,2,15.92,10.0,20.0,ClassVenueDistance
Group 3,沙田,Turf,1200,29-56d,1,10,3,19.67,10.0,30.0,ClassVenueDistance
Group 3,沙田,Turf,2400,<=14d,1,10,4,10.12,10.0,40.0,ClassVenueDistance
Class 3,跑馬地,Turf,2200,29-56d,0,10,1,19.26,0.0,10.0,ClassVenueDistance
Group 1,跑馬地,Turf,1000,29-56d,0,10,3,44.58,0.0,30.0,ClassVenueDistance
Group 1,跑馬地,Turf,1200,15-28d,0,10,1,11.13,0.0,10.0,ClassVenueDistance
Group 2,沙田,Turf,1600,91d+,0,10,1,67.37,0.0,10.0,ClassVenueDistance
Group 2,沙田,Turf,2000,<=14d,0,10,1,44.7,0.0,10.0,ClassVenueDistance
Group 1,沙田,Turf,2000,29-56d,3,9,4,10.17,33.33,44.44,ClassVenueDistance
Class 2,跑馬地,Turf,1000,29-56d,1,9,4,16.52,11.11,44.44,ClassVenueDistance
Class 3,沙田,AWT,1650,57-90d,1,9,3,15.41,11.11,33.33,ClassVenueDistance
Group 1,沙田,Turf,1400,29-56d,1,9,3,45.39,11.11,33.33,ClassVenueDistance
Class 3,沙田,AWT,1200,57-90d,0,9,2,34.71,0.0,22.22,ClassVenueDistance
Class 5,跑馬地,Turf,1650,91d+,0,9,3,29.89,0.0,33.33,ClassVenueDistance
Group 2,沙田,Turf,1600,<=14d,0,9,3,35.0,0.0,33.33,ClassVenueDistance
Group 1,跑馬地,Turf,1200,<=14d,2,8,2,14.68,25.0,25.0,ClassVenueDistance
Class 1,沙田,Turf,1400,29-56d,1,8,4,14.51,12.5,50.0,ClassVenueDistance
Class 2,沙田,Turf,2000,<=14d,1,8,3,14.11,12.5,37.5,ClassVenueDistance
Class 2,跑馬地,Turf,1650,57-90d,1,8,3,10.75,12.5,37.5,ClassVenueDistance
Class 3,沙田,AWT,1200,91d+,1,8,2,13.09,12.5,25.0,ClassVenueDistance
Class 4,跑馬地,Turf,1800,57-90d,1,8,3,14.04,12.5,37.5,ClassVenueDistance
Group 1,沙田,AWT,1200,15-28d,1,8,3,13.94,12.5,37.5,ClassVenueDistance
Group 1,沙田,Turf,1400,15-28d,1,8,3,109.75,12.5,37.5,ClassVenueDistance
Group 3,沙田,Turf,1800,29-56d,1,8,2,20.3,12.5,25.0,ClassVenueDistance
Unknown,沙田,Turf,1800,29-56d,1,8,2,11.99,12.5,25.0,ClassVenueDistance
Class 1,沙田,Turf,1200,15-28d,2,7,5,24.53,28.57,71.43,ClassVenueDistance
Group 3,沙田,Turf,1400,29-56d,2,7,3,23.69,28.57,42.86,ClassVenueDistance
Class 1,沙田,Turf,1600,15-28d,1,7,3,13.76,14.29,42.86,ClassVenueDistance
Class 3,跑馬地,Turf,2200,<=14d,1,7,2,13.97,14.29,28.57,ClassVenueDistance
Class 4,沙田,AWT,1650,91d+,1,7,3,18.11,14.29,42.86,ClassVenueDistance
Class 3,跑馬地,Turf,1000,91d+,0,7,2,13.73,0.0,28.57,ClassVenueDistance
Class 5,沙田,Turf,1000,15-28d,0,7,2,19.63,0.0,28.57,ClassVenueDistance
Group 3,沙田,Turf,1600,29-56d,0,7,2,11.23,0.0,28.57,ClassVenueDistance
Class 1,跑馬地,Turf,1650,15-28d,1,6,2,10.55,16.67,33.33,ClassVenueDistance
Class 5,沙田,AWT,1650,57-90d,1,6,2,66.82,16.67,33.33,ClassVenueDistance
Class 5,沙田,Turf,1000,29-56d,1,6,1,17.88,16.67,16.67,ClassVenueDistance
Group 3,沙田,Turf,1400,91d+,1,6,1,49.05,16.67,16.67,ClassVenueDistance
Class 2,沙田,AWT,1200,29-56d,0,6,2,16.7,0.0,33.33,ClassVenueDistance
Class 2,沙田,AWT,1650,91d+,0,6,1,34.78,0.0,16.67,ClassVenueDistance
Class 3,跑馬地,Turf,1650,91d+,0,6,2,22.65,0.0,33.33,ClassVenueDistance
Class 4,跑馬地,Turf,1800,91d+,0,6,0,27.5,0.0,0.0,ClassVenueDistance
Class 5,沙田,AWT,1200,91d+,0,6,0,22.65,0.0,0.0,ClassVenueDistance
Class 5,沙田,AWT,1800,29-56d,0,6,1,24.88,0.0,16.67,ClassVenueDistance
Class 5,跑馬地,Turf,2200,57-90d,0,6,0,28.77,0.0,0.0,ClassVenueDistance
Group 1,跑馬地,Turf,1200,29-56d,0,6,3,19.15,0.0,50.0,ClassVenueDistance
Group 2,沙田,Turf,2000,29-56d,0,6,2,53.2,0.0,33.33,ClassVenueDistance
Group 3,沙田,Turf,1000,29-56d,0,6,3,17.23,0.0,50.0,ClassVenueDistance
Class 1,沙田,Turf,1000,15-28d,1,5,2,6.98,20.0,40.0,ClassVenueDistance
Class 1,沙田,Turf,1400,15-28d,1,5,2,7.94,20.0,40.0,ClassVenueDistance
Class 3,跑馬地,Turf,1800,57-90d,1,5,2,13.36,20.0,40.0,ClassVenueDistance
Class 1,沙田,Turf,1200,57-90d,0,5,0,64.2,0.0,0.0,ClassVenueDistance
Class 2,沙田,Turf,1800,29-56d,0,5,2,23.56,0.0,40.0,ClassVenueDistance
Class 4,沙田,Turf,1800,57-90d,0,5,0,44.4,0.0,0.0,ClassVenueDistance
Class 5,沙田,AWT,1650,91d+,0,5,2,52.2,0.0,40.0,ClassVenueDistance
Group 1,沙田,Turf,1200,91d+,0,5,2,70.4,0.0,40.0,ClassVenueDistance
Group 3,跑馬地,Turf,1800,15-28d,0,5,2,15.72,0.0,40.0,ClassVenueDistance
Class 1,沙田,Turf,1200,91d+,1,4,3,50.25,25.0,75.0,ClassVenueDistance
Class 1,跑馬地,Turf,1200,15-28d,1,4,2,5.2,25.0,50.0,ClassVenueDistance
Class 3,沙田,Turf,1800,91d+,1,4,2,26.12,25.0,50.0,ClassVenueDistance
Class 5,沙田,AWT,1800,57-90d,1,4,2,10.95,25.0,50.0,ClassVenueDistance
Group 1,沙田,Turf,2000,91d+,1,4,3,16.73,25.0,75.0,ClassVenueDistance
Class 2,沙田,Turf,1600,57-90d,0,4,2,32.5,0.0,50.0,ClassVenueDistance
Class 2,沙田,Turf,1600,91d+,0,4,1,25.5,0.0,25.0,ClassVenueDistance
Class 2,跑馬地,Turf,1000,91d+,0,4,1,12.22,0.0,25.0,ClassVenueDistance
Class 2,跑馬地,Turf,1000,<=14d,0,4,0,22.05,0.0,0.0,ClassVenueDistance
Class 2,跑馬地,Turf,1650,91d+,0,4,0,40.95,0.0,0.0,ClassVenueDistance
Class 3,沙田,AWT,1650,91d+,0,4,0,62.0,0.0,0.0,ClassVenueDistance
Class 3,跑馬地,Turf,1800,91d+,0,4,1,22.02,0.0,25.0,ClassVenueDistance
Class 5,沙田,Turf,1800,57-90d,0,4,0,47.38,0.0,0.0,ClassVenueDistance
Group 1,沙田,Turf,1600,91d+,0,4,2,28.78,0.0,50.0,ClassVenueDistance
Group 3,沙田,Turf,1400,57-90d,0,4,1,17.98,0.0,25.0,ClassVenueDistance
Group 3,沙田,Turf,1400,<=14d,0,4,0,10.48,0.0,0.0,ClassVenueDistance
Unknown,沙田,Turf,1600,<=14d,0,4,0,20.25,0.0,0.0,ClassVenueDistance
Unknown,沙田,Turf,2000,<=14d,0,4,0,19.5,0.0,0.0,ClassVenueDistance
Class 2,沙田,AWT,1650,<=14d,1,3,2,4.4,33.33,66.67,ClassVenueDistance
Class 2,跑馬地,Turf,1800,91d+,1,3,1,13.57,33.33,33.33,ClassVenueDistance
Unknown,沙田,Turf,1600,29-56d,1,3,1,21.73,33.33,33.33,ClassVenueDistance
Class 1,跑馬地,Turf,1650,<=14d,0,3,1,9.9,0.0,33.33,ClassVenueDistance
Class 2,跑馬地,Turf,1200,91d+,0,3,0,49.67,0.0,0.0,ClassVenueDistance
