RaceClass,Venue,Track,Distance,JockeyChanged,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate,Scope
Class 4,沙田,Turf,2000,True,6,64,17,29.31,9.38,26.56,ClassVenueDistance
Class 5,沙田,Turf,1600,False,5,61,16,17.94,8.2,26.23,ClassVenueDistance
Class 3,沙田,Turf,1800,False,3,61,16,20.17,4.92,26.23,ClassVenueDistance
Class 5,沙田,Turf,1800,True,5,59,12,19.41,8.47,20.34,ClassVenueDistance
Class 5,沙田,AWT,1650,False,4,56,13,18.38,7.14,23.21,ClassVenueDistance
Class 2,沙田,Turf,1600,False,5,53,14,23.1,9.43,26.42,ClassVenueDistance
Class 2,跑馬地,Turf,1200,True,5,52,14,24.55,9.62,26.92,ClassVenueDistance
Class 4,跑馬地,Turf,2200,True,3,52,11,19.98,5.77,21.15,ClassVenueDistance
Class 4,沙田,AWT,1800,True,7,51,11,28.42,13.73,21.57,ClassVenueDistance
Class 2,跑馬地,Turf,1200,False,4,48,13,18.26,8.33,27.08,ClassVenueDistance
Group 1,跑馬地,Turf,1650,True,4,46,12,18.01,8.7,26.09,ClassVenueDistance
Class 2,跑馬地,Turf,1650,True,4,44,13,19.18,9.09,29.55,ClassVenueDistance
Class 5,跑馬地,Turf,2200,True,3,44,12,19.41,6.82,27.27,ClassVenueDistance
Class 4,沙田,AWT,1800,False,0,43,10,23.9,0.0,23.26,ClassVenueDistance
Class 4,跑馬地,Turf,2200,False,5,42,14,18.32,11.9,33.33,ClassVenueDistance
Class 5,沙田,Turf,1800,False,3,42,12,19.9,7.14,28.57,ClassVenueDistance
Class 4,沙田,Turf,2000,False,2,42,7,23.32,4.76,16.67,ClassVenueDistance
Class 5,跑馬地,Turf,1800,False,4,41,10,16.94,9.76,24.39,ClassVenueDistance
Group 1,沙田,Turf,1200,False,6,36,15,96.07,16.67,41.67,ClassVenueDistance
Class 2,跑馬地,Turf,1650,False,5,36,11,12.96,13.89,30.56,ClassVenueDistance
Group 2,沙田,Turf,1600,True,4,36,8,50.39,11.11,22.22,ClassVenueDistance
Class 5,沙田,AWT,1800,True,3,36,8,25.14,8.33,22.22,ClassVenueDistance
Group 2,沙田,Turf,1200,False,5,34,11,67.5,14.71,32.35,ClassVenueDistance
Class 2,跑馬地,Turf,1800,True,5,33,8,20.34,15.15,24.24,ClassVenueDistance
Group 1,沙田,Turf,1600,False,5,33,9,38.55,15.15,27.27,ClassVenueDistance
Group 3,沙田,Turf,1800,True,3,30,10,26.16,10.0,33.33,ClassVenueDistance
Group 3,沙田,Turf,1400,True,2,30,5,35.6,6.67,16.67,ClassVenueDistance
Group 1,跑馬地,Turf,1000,True,2,29,6,16.28,6.9,20.69,ClassVenueDistance
Class 2,沙田,AWT,1650,True,2,28,5,19.51,7.14,17.86,ClassVenueDistance
Class 5,沙田,AWT,1800,False,2,28,7,23.61,7.14,25.0,ClassVenueDistance
Class 2,沙田,AWT,1200,True,3,27,9,18.83,11.11,33.33,ClassVenueDistance
Class 1,沙田,Turf,1200,True,2,27,6,30.08,7.41,22.22,ClassVenueDistance
Class 2,沙田,Turf,1800,True,2,27,7,32.11,7.41,25.93,ClassVenueDistance
Class 5,跑馬地,Turf,2200,False,4,26,9,11.88,15.38,34.62,ClassVenueDistance
Group 2,沙田,Turf,1600,False,1,26,7,28.16,3.85,26.92,ClassVenueDistance
Class 2,沙田,Turf,1000,True,2,25,5,29.29,8.0,20.0,ClassVenueDistance
Group 3,沙田,Turf,1800,False,2,25,5,28.59,8.0,20.0,ClassVenueDistance
Group 1,沙田,Turf,1600,True,1,25,8,51.68,4.0,32.0,ClassVenueDistance
Class 2,跑馬地,Turf,1000,True,2,23,4,16.31,8.7,17.39,ClassVenueDistance
Class 5,沙田,Turf,2000,False,2,23,5,20.43,8.7,21.74,ClassVenueDistance
Group 1,跑馬地,Turf,1200,True,2,23,6,14.6,8.7,26.09,ClassVenueDistance
Group 2,沙田,Turf,1200,True,1,23,5,59.41,4.35,21.74,ClassVenueDistance
Class 2,沙田,Turf,1000,False,3,22,10,23.01,13.64,45.45,ClassVenueDistance
Group 1,沙田,Turf,2000,False,6,21,10,24.6,28.57,47.62,ClassVenueDistance
Class 2,沙田,Turf,2000,True,1,21,5,20.53,4.76,23.81,ClassVenueDistance
Group 3,沙田,Turf,1000,True,3,20,7,22.58,15.0,35.0,ClassVenueDistance
Class 2,沙田,Turf,2000,False,3,19,7,19.63,15.79,36.84,ClassVenueDistance
Group 3,沙田,Turf,1400,False,2,19,7,20.11,10.53,36.84,ClassVenueDistance
Class 5,沙田,Turf,2000,True,1,19,4,31.58,5.26,21.05,ClassVenueDistance
Class 2,跑馬地,Turf,1800,False,0,19,6,14.37,0.0,31.58,ClassVenueDistance
Class 2,沙田,Turf,1800,False,1,18,4,25.29,5.56,22.22,ClassVenueDistance
Unknown,沙田,Turf,2000,False,2,17,6,23.39,11.76,35.29,ClassVenueDistance
Class 3,跑馬地,Turf,2200,True,3,16,7,12.28,18.75,43.75,ClassVenueDistance
Class 2,沙田,AWT,1650,False,2,16,7,10.38,12.5,43.75,ClassVenueDistance
Griffin,沙田,Turf,1000,False,2,16,6,31.09,12.5,37.5,ClassVenueDistance
Unknown,沙田,Turf,1600,True,1,16,4,42.05,6.25,25.0,ClassVenueDistance
Group 1,沙田,Turf,1200,True,0,16,2,105.88,0.0,12.5,ClassVenueDistance
Class 2,沙田,AWT,1200,False,1,15,3,18.07,6.67,20.0,ClassVenueDistance
Unknown,沙田,Turf,1800,True,0,15,2,38.91,0.0,13.33,ClassVenueDistance
Class 3,跑馬地,Turf,2200,False,0,14,2,20.25,0.0,14.29,ClassVenueDistance
Group 1,沙田,Turf,2000,True,0,14,2,61.07,0.0,14.29,ClassVenueDistance
Class 1,沙田,Turf,1200,False,2,13,6,28.45,15.38,46.15,ClassVenueDistance
Class 2,跑馬地,Turf,1000,False,2,13,8,11.97,15.38,61.54,ClassVenueDistance
Group 3,跑馬地,Turf,1800,False,0,13,3,15.98,0.0,23.08,ClassVenueDistance
Unknown,沙田,Turf,1800,False,2,12,4,15.48,16.67,33.33,ClassVenueDistance
Group 1,沙田,Turf,1400,True,1,12,2,91.68,8.33,16.67,ClassVenueDistance
