Jockey,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
霍宏聲,跑馬地,Turf,1650,8,94,26,98.6,18.94,8.51,27.66,104.89
班德禮,跑馬地,Turf,1650,11,92,27,-20.4,16.52,11.96,29.35,-22.17
黃智弘,沙田,Turf,1400,1,91,14,-76.0,49.89,1.1,15.38,-83.52
潘頓,沙田,Turf,1600,14,90,38,-41.4,6.2,15.56,42.22,-46.0
周俊樂,跑馬地,Turf,1650,12,89,23,15.000000000000004,31.02,13.48,25.84,16.85
蔡明紹,跑馬地,Turf,1650,10,89,25,29.0,22.33,11.24,28.09,32.58
巴度,跑馬地,Turf,1650,6,89,16,-6.6,20.77,6.74,17.98,-7.42
田泰安,沙田,Turf,1600,2,89,18,-71.9,24.49,2.25,20.22,-80.79
金誠剛,沙田,Turf,1400,0,89,10,-89.0,74.94,0.0,11.24,-100.0
艾兆禮,沙田,Turf,1600,6,88,20,-31.8,28.48,6.82,22.73,-36.14
楊明綸,跑馬地,Turf,1650,2,87,12,-72.6,42.51,2.3,13.79,-83.45
梁家俊,跑馬地,Turf,1650,3,84,18,-55.4,33.61,3.57,21.43,-65.95
布文,沙田,Turf,1600,11,83,33,45.0,18.64,13.25,39.76,54.22
巴度,沙田,Turf,1600,4,83,15,-62.6,31.26,4.82,18.07,-75.42
艾道拿,沙田,Turf,1600,10,79,22,-21.1,31.21,12.66,27.85,-26.71
黃寶妮,沙田,Turf,1200,7,78,13,17.8,30.71,8.97,16.67,22.82
黃智弘,沙田,Turf,1200,10,76,17,64.2,36.55,13.16,22.37,84.47
艾道拿,跑馬地,Turf,1650,5,74,16,-10.899999999999999,21.03,6.76,21.62,-14.73
潘明輝,沙田,Turf,1600,8,73,15,123.19999999999999,30.44,10.96,20.55,168.77
金誠剛,沙田,Turf,1200,4,73,13,-57.4,61.5,5.48,17.81,-78.63
湯普新,沙田,Turf,1400,1,72,10,-66.4,85.56,1.39,13.89,-92.22
黃寶妮,沙田,Turf,1400,3,71,8,-45.7,40.42,4.23,11.27,-64.37
何澤堯,跑馬地,Turf,1650,9,70,21,28.6,18.67,12.86,30.0,40.86
梁家俊,沙田,Turf,1600,8,70,19,-24.5,38.87,11.43,27.14,-35.0
班德禮,沙田,Turf,1600,6,70,18,-13.400000000000002,35.22,8.57,25.71,-19.14
黃智弘,跑馬地,Turf,1650,6,69,18,6.200000000000001,22.11,8.7,26.09,8.99
蔡明紹,沙田,Turf,1600,3,68,7,-21.1,45.27,4.41,10.29,-31.03
奧爾民,跑馬地,Turf,1650,1,68,13,-63.6,30.94,1.47,19.12,-93.53
賀銘年,跑馬地,Turf,1200,4,62,16,-22.8,31.32,6.45,25.81,-36.77
