Jockey,DebutWins,DebutStarts,DebutPlaces,DebutProfit,DebutAvgOdds,DebutWinRate,DebutPlaceRate,DebutROI,OverallWins,OverallStarts,OverallPlaces,OverallProfit,OverallAvgOdds,OverallWinRate,OverallPlaceRate,OverallROI,WinRateUplift,PlaceRateUplift,ROIUplift
周俊樂,1,30,6,-18.0,51.7,3.33,20.0,-60.0,37,397,101,-103.7,31.39,9.32,25.44,-26.12,-5.99,-5.44,-33.88
潘明輝,3,28,4,75.0,47.29,10.71,14.29,267.86,25,382,78,20.79999999999999,35.49,6.54,20.42,5.45,4.17,-6.13,262.41
田泰安,2,28,3,-8.0,38.34,7.14,10.71,-28.57,34,498,112,-118.5,25.61,6.83,22.49,-23.8,0.31,-11.78,-4.77
潘頓,6,26,11,-3.599999999999999,6.52,23.08,42.31,-13.85,111,550,264,-147.0,5.48,20.18,48.0,-26.73,2.9,-5.69,12.88
梁家俊,1,23,3,2.0,59.05,4.35,13.04,8.7,23,336,63,100.1,43.84,6.85,18.75,29.79,-2.5,-5.71,-21.09
何澤堯,3,22,5,14.700000000000001,36.2,13.64,22.73,66.82,29,342,86,-119.4,26.82,8.48,25.15,-34.91,5.16,-2.42,101.73
奧爾民,3,20,5,37.8,59.36,15.0,25.0,189.0,27,365,88,-7.800000000000004,41.76,7.4,24.11,-2.14,7.6,0.89,191.14
楊明綸,2,20,4,7.1,45.45,10.0,20.0,35.5,17,372,52,-118.1,56.37,4.57,13.98,-31.75,5.43,6.02,67.25
鍾易禮,1,19,2,-13.8,60.33,5.26,10.53,-72.63,19,325,45,-160.3,53.01,5.85,13.85,-49.32,-0.59,-3.32,-23.31
希威森,1,19,2,-15.0,45.91,5.26,10.53,-78.95,24,373,81,-135.0,31.7,6.43,21.72,-36.19,-1.17,-11.19,-42.76
艾兆禮,0,19,1,-19.0,31.09,0.0,5.26,-100.0,53,476,130,-36.8,23.99,11.13,27.31,-7.73,-11.13,-22.05,-92.27
巴度,0,18,0,-18.0,61.0,0.0,0.0,-100.0,27,377,96,-78.0,28.8,7.16,25.46,-20.69,-7.16,-25.46,-79.31
布文,1,17,4,4.0,25.35,5.88,23.53,23.53,55,460,154,-58.8,15.65,11.96,33.48,-12.78,-6.08,-9.95,36.31
霍宏聲,0,17,2,-17.0,39.94,0.0,11.76,-100.0,31,357,80,113.69999999999999,25.96,8.68,22.41,31.85,-8.68,-10.65,-131.85
艾道拿,1,15,5,14.0,34.04,6.67,33.33,93.33,15,344,74,-144.9,32.52,4.36,21.51,-42.12,2.31,11.82,135.45
金誠剛,0,13,0,-13.0,73.85,0.0,0.0,-100.0,12,365,64,-107.0,52.84,3.29,17.53,-29.32,-3.29,-17.53,-70.68
班德禮,0,13,1,-13.0,45.48,0.0,7.69,-100.0,31,382,87,-150.1,32.57,8.12,22.77,-39.29,-8.12,-15.08,-60.71
蔡明紹,0,12,2,-12.0,64.08,0.0,16.67,-100.0,12,342,63,-231.5,35.22,3.51,18.42,-67.69,-3.51,-1.75,-32.31
