Trainer,RaceClass,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
呂健威,Class 4,沙田,Turf,1200,4,13,5,22.4,27.35,30.77,38.46,172.31
姚本輝,Class 4,沙田,Turf,1200,1,10,2,-1.4000000000000004,38.86,10.0,20.0,-14.0
文家良,Class 4,沙田,Turf,1200,0,9,0,-9.0,49.72,0.0,0.0,-100.0
葉楚航,Class 4,沙田,Turf,1200,0,9,0,-9.0,60.0,0.0,0.0,-100.0
廖康銘,Class 4,沙田,Turf,1200,1,8,3,-5.2,16.89,12.5,37.5,-65.0
蘇偉賢,Class 4,沙田,Turf,1200,1,8,3,21.0,32.0,12.5,37.5,262.5
大衛希斯,Class 4,沙田,Turf,1200,0,7,1,-7.0,25.39,0.0,14.29,-100.0
沈集成,Class 4,沙田,Turf,1200,0,7,2,-7.0,69.43,0.0,28.57,-100.0
蘇偉賢,Class 4,沙田,Turf,1000,0,7,2,-7.0,71.57,0.0,28.57,-100.0
黎昭昇,Class 4,沙田,Turf,1200,0,7,2,-7.0,38.09,0.0,28.57,-100.0
羅富全,Class 4,沙田,Turf,1200,2,6,3,65.0,53.7,33.33,50.0,1083.33
伍鵬志,Class 4,沙田,Turf,1200,1,6,2,-0.2999999999999998,64.45,16.67,33.33,-5.0
呂健威,Class 4,沙田,Turf,1000,2,5,2,0.5999999999999996,37.6,40.0,40.0,12.0
大衛希斯,Class 3,沙田,Turf,1200,1,5,2,24.0,43.4,20.0,40.0,480.0
文家良,Class 4,沙田,Turf,1000,1,5,1,-2.0,59.96,20.0,20.0,-40.0
巫偉傑,Class 3,沙田,Turf,1200,0,5,0,-5.0,71.2,0.0,0.0,-100.0
游達榮,Class 3,沙田,Turf,1400,0,5,0,-5.0,51.0,0.0,0.0,-100.0
游達榮,Class 4,沙田,Turf,1200,0,5,0,-5.0,48.2,0.0,0.0,-100.0
鄭俊偉,Class 4,沙田,Turf,1000,0,5,0,-5.0,51.2,0.0,0.0,-100.0
巫偉傑,Class 4,沙田,Turf,1200,1,4,3,21.0,52.75,25.0,75.0,525.0
方嘉柏,Class 4,沙田,Turf,1200,1,4,1,17.0,18.5,25.0,25.0,425.0
蔡約翰,Class 4,沙田,Turf,1000,1,4,1,31.0,51.0,25.0,25.0,775.0
伍鵬志,Class 4,沙田,Turf,1000,0,4,0,-4.0,40.1,0.0,0.0,-100.0
