Jockey,Trainer,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate,TrainerDebutWinRate,TrainerDebutPlaceRate,JockeyDebutWinRate,JockeyDebutPlaceRate,WinEdgeVsMean,PlaceEdgeVsMean
鍾易禮,告東尼,1,9,2,33.47,11.11,22.22,7.69,15.38,5.26,10.53,4.64,9.26
何澤堯,呂健威,1,9,3,39.47,11.11,33.33,21.43,28.57,13.64,22.73,-6.43,7.68
霍宏聲,廖康銘,0,8,2,27.25,0.0,25.0,8.33,16.67,0.0,11.76,-4.16,10.78
梁家俊,巫偉傑,1,7,1,36.74,14.29,14.29,4.35,13.04,4.35,13.04,9.94,1.25
周俊樂,文家良,0,7,1,66.0,0.0,14.29,8.7,13.04,3.33,20.0,-6.02,-2.23
梁家俊,羅富全,0,7,2,44.84,0.0,28.57,14.29,28.57,4.35,13.04,-9.32,7.76
蔡明紹,巫偉傑,0,6,1,72.33,0.0,16.67,4.35,13.04,0.0,16.67,-2.17,1.82
楊明綸,大衛希斯,0,6,1,37.32,0.0,16.67,3.23,16.13,10.0,20.0,-6.62,-1.39
潘明輝,姚本輝,0,6,0,34.27,0.0,0.0,14.29,28.57,10.71,14.29,-12.5,-21.43
潘明輝,羅富全,2,5,2,24.74,40.0,40.0,14.29,28.57,10.71,14.29,27.5,18.57
楊明綸,呂健威,2,5,2,31.42,40.0,40.0,21.43,28.57,10.0,20.0,24.28,15.72
袁幸堯,姚本輝,2,5,5,12.32,40.0,100.0,14.29,28.57,33.33,100.0,16.19,35.72
希威森,廖康銘,1,5,1,33.76,20.0,20.0,8.33,16.67,5.26,10.53,13.2,6.4
田泰安,桂福特,1,5,2,19.52,20.0,40.0,11.11,22.22,7.14,10.71,10.88,23.54
何澤堯,方嘉柏,1,5,1,17.04,20.0,20.0,13.33,26.67,13.64,22.73,6.52,-4.7
巫顯東,沈集成,0,5,1,67.2,0.0,20.0,0.0,13.64,0.0,10.0,0.0,8.18
班德禮,大衛希斯,0,5,1,39.6,0.0,20.0,3.23,16.13,0.0,7.69,-1.62,8.09
潘頓,呂健威,1,5,1,4.4,20.0,20.0,21.43,28.57,23.08,42.31,-2.25,-15.44
艾兆禮,游達榮,0,5,0,28.36,0.0,0.0,4.55,4.55,0.0,5.26,-2.28,-4.9
周俊樂,巫偉傑,0,5,1,77.8,0.0,20.0,4.35,13.04,3.33,20.0,-3.84,3.48
潘明輝,賀賢,0,5,1,58.8,0.0,20.0,6.67,20.0,10.71,14.29,-8.69,2.86
田泰安,蔡約翰,1,4,1,42.5,25.0,25.0,16.67,25.0,7.14,10.71,13.1,7.14
潘頓,伍鵬志,1,4,2,10.95,25.0,50.0,8.0,12.0,23.08,42.31,9.46,22.84
金誠剛,游達榮,0,4,0,76.0,0.0,0.0,4.55,4.55,0.0,0.0,-2.28,-2.28
鍾易禮,沈集成,0,4,0,91.25,0.0,0.0,0.0,13.64,5.26,10.53,-2.63,-12.08
巴度,黎昭昇,0,4,0,53.0,0.0,0.0,6.25,31.25,0.0,0.0,-3.12,-15.62
田泰安,徐雨石,0,4,0,33.5,0.0,0.0,0.0,0.0,7.14,10.71,-3.57,-5.36
金誠剛,鄭俊偉,0,4,0,77.5,0.0,0.0,7.69,15.38,0.0,0.0,-3.84,-7.69
艾兆禮,廖康銘,0,4,0,19.42,0.0,0.0,8.33,16.67,0.0,5.26,-4.16,-10.96
周俊樂,葉楚航,0,4,0,31.0,0.0,0.0,5.56,16.67,3.33,20.0,-4.44,-18.34
艾道拿,黎昭昇,0,4,1,20.15,0.0,25.0,6.25,31.25,6.67,33.33,-6.46,-7.29
梁家俊,文家良,0,4,0,80.75,0.0,0.0,8.7,13.04,4.35,13.04,-6.52,-13.04
楊明綸,蘇偉賢,0,4,0,51.75,0.0,0.0,3.85,23.08,10.0,20.0,-6.92,-21.54
潘明輝,文家良,0,4,0,53.2,0.0,0.0,8.7,13.04,10.71,14.29,-9.7,-13.66
潘頓,大衛希斯,0,4,0,10.95,0.0,0.0,3.23,16.13,23.08,42.31,-13.16,-29.22
艾道拿,大衛希斯,1,3,3,13.9,33.33,100.0,3.23,16.13,6.67,33.33,28.38,75.27
