WtBucket,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
Light (<=115),3,11,4,42.0,27.27,36.36
Med-Heavy (127-130),17,192,37,40.47,8.85,19.27
Med-Light (116-120),4,50,8,49.33,8.0,16.0
Medium (121-126),9,164,27,49.61,5.49,16.46
Heavy (131+),0,11,3,44.79,0.0,27.27
