feature,importance_mean_abs
hit_rate_l10,0.10443603682631647
amc,0.09491489244195442
line_value,0.06518211153104349
hit_rate_l5,0.053584395624665306
l10_cov,0.03174540814275946
home_ppg,0.02919737256834605
away_ppg,0.027179979485647484
opp_def_rating,0.011716407718357356
l3_avg,0.011518677877882444
l10_sd,0.010564917648318444
opp_def_rank,0.008560721615483657
l5_avg,0.00842367369325832
b2b_ppg_diff_pct,0.008065621096063201
usg_pct,0.007515458805549178
l10_med,0.007207376319185843
def_rtg,0.0071021188257991575
ts_pct,0.005701292089179984
pace_projected,0.005525645149552898
l10_avg,0.005282911827224349
opp_pace,0.0039702241683114755
is_home,0.0009739340104707561
defender_pm,2.907266501866528e-05
rest_days,0.0
b2b_flag,0.0
usg_bonus_pct,0.0
