period,dimension,target,method,rows,races,log_loss,brier,ece_10,roc_auc,winner_top1,winner_top2,winner_top3,winner_top5,winner_rr,winner_average_rank,placegetter_average_rank,ranking_correlation,top3_capture_at3,top3_capture_at5,top2_zero_hit,top2_one_hit,top2_two_hit,place_capture_at_cutoff,ndcg_at5,delta_top2_zero_hit,delta_top2_one_hit,delta_top2_two_hit,delta_winner_top3,delta_top3_capture_at5,delta_ndcg_at5,delta_log_loss,delta_brier,top2_miss_severity,delta_top2_miss_severity,selection_score,development_gate
walk_forward,trainer_signal,Win,Matrix Champion,2019.0,161.0,0.2553743969421597,0.06953260898871376,0.009045823661774765,0.7240838676463706,0.2484472049689441,0.4161490683229814,0.5341614906832298,0.7018633540372671,0.4472373037590429,4.204968944099379,4.894409937888199,0.3494336926013945,0.4451345755693581,0.629399585921325,0.2546583850931677,0.5217391304347826,0.2236024844720497,0.4451345755693581,0.5312117248710938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.031055900621118,0.0,0.0,False
walk_forward,trainer_signal,Win,Ablated,2019.0,161.0,0.2610092251004999,0.07060619258076692,0.018894363435794342,0.7066805287191864,0.18012422360248448,0.40372670807453415,0.5279503105590062,0.6894409937888198,0.40716862502576795,4.459627329192546,5.15320910973085,0.31405550970768364,0.4140786749482402,0.5879917184265011,0.30434782608695654,0.4782608695652174,0.21739130434782608,0.4140786749482402,0.4977181910717122,0.04968944099378886,-0.04347826086956519,-0.006211180124223614,-0.006211180124223614,-0.04140786749482395,-0.03349353379938158,0.0056348281583402104,0.0010735835920531595,1.0869565217391304,0.05590062111801242,-0.1409703283775796,False
walk_forward,trainer_signal,Place,Matrix Champion,2019.0,161.0,0.5118106292796686,0.16820144618352112,0.02492924012100408,0.6911151009316772,0.2484472049689441,0.4161490683229814,0.5341614906832298,0.7018633540372671,0.4472373037590429,4.204968944099379,4.894409937888199,0.3494336926013945,0.4451345755693581,0.629399585921325,0.2546583850931677,0.5217391304347826,0.2236024844720497,0.4451345755693581,0.5312117248710938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.031055900621118,0.0,0.0,False
walk_forward,trainer_signal,Place,Ablated,2019.0,161.0,0.5190536109408982,0.17055605513211303,0.026137109858544314,0.6719733976017943,0.18012422360248448,0.40372670807453415,0.5279503105590062,0.6894409937888198,0.40716862502576795,4.459627329192546,5.15320910973085,0.31405550970768364,0.4140786749482402,0.5879917184265011,0.30434782608695654,0.4782608695652174,0.21739130434782608,0.4140786749482402,0.4977181910717122,0.04968944099378886,-0.04347826086956519,-0.006211180124223614,-0.006211180124223614,-0.04140786749482395,-0.03349353379938158,0.007242981661229608,0.0023546089485919075,1.0869565217391304,0.05590062111801242,-0.1412919590781575,False
walk_forward,race_shape,Win,Matrix Champion,2019.0,161.0,0.2553743969421597,0.06953260898871376,0.009045823661774765,0.7240838676463706,0.2484472049689441,0.4161490683229814,0.5341614906832298,0.7018633540372671,0.4472373037590429,4.204968944099379,4.894409937888199,0.3494336926013945,0.4451345755693581,0.629399585921325,0.2546583850931677,0.5217391304347826,0.2236024844720497,0.4451345755693581,0.5312117248710938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.031055900621118,0.0,0.0,False
walk_forward,race_shape,Win,Ablated,2019.0,161.0,0.25921272990924904,0.07055534516183995,0.00822176647541011,0.7102039861201185,0.21739130434782608,0.32298136645962733,0.4782608695652174,0.7142857142857143,0.4105407015344904,4.372670807453416,4.8944099378882,0.35584974032179006,0.4016563146997929,0.6252587991718426,0.33540372670807456,0.4968944099378882,0.16770186335403728,0.4016563146997929,0.5065953409777714,0.08074534161490687,-0.0248447204968944,-0.05590062111801242,-0.05590062111801242,-0.0041407867494824835,-0.024616383893322435,0.003838332967089353,0.0010227361731261903,1.1677018633540373,0.1366459627329193,-0.2719321145336223,False
walk_forward,race_shape,Place,Matrix Champion,2019.0,161.0,0.5118106292796686,0.16820144618352112,0.02492924012100408,0.6911151009316772,0.2484472049689441,0.4161490683229814,0.5341614906832298,0.7018633540372671,0.4472373037590429,4.204968944099379,4.894409937888199,0.3494336926013945,0.4451345755693581,0.629399585921325,0.2546583850931677,0.5217391304347826,0.2236024844720497,0.4451345755693581,0.5312117248710938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.031055900621118,0.0,0.0,False
walk_forward,race_shape,Place,Ablated,2019.0,161.0,0.5144447870941079,0.1699037323111425,0.03729857108619262,0.6900852958937198,0.21739130434782608,0.32298136645962733,0.4782608695652174,0.7142857142857143,0.4105407015344904,4.372670807453416,4.8944099378882,0.35584974032179006,0.4016563146997929,0.6252587991718426,0.33540372670807456,0.4968944099378882,0.16770186335403728,0.4016563146997929,0.5065953409777714,0.08074534161490687,-0.0248447204968944,-0.05590062111801242,-0.05590062111801242,-0.0041407867494824835,-0.024616383893322435,0.0026341578144393196,0.001702286127621383,1.1677018633540373,0.1366459627329193,-0.2716912795030923,False
walk_forward,stability,Win,Matrix Champion,2019.0,161.0,0.2553743969421597,0.06953260898871376,0.009045823661774765,0.7240838676463706,0.2484472049689441,0.4161490683229814,0.5341614906832298,0.7018633540372671,0.4472373037590429,4.204968944099379,4.894409937888199,0.3494336926013945,0.4451345755693581,0.629399585921325,0.2546583850931677,0.5217391304347826,0.2236024844720497,0.4451345755693581,0.5312117248710938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.031055900621118,0.0,0.0,False
walk_forward,stability,Win,Ablated,2019.0,161.0,0.2580345236602022,0.0698904878237041,0.008222631436766593,0.707766983800119,0.2360248447204969,0.38509316770186336,0.4968944099378882,0.6832298136645962,0.42898810988873104,4.416149068322981,5.086956521739131,0.31156327073973555,0.4244306418219461,0.6045548654244306,0.2670807453416149,0.5590062111801242,0.17391304347826086,0.4244306418219461,0.5072379701119096,0.012422360248447228,0.037267080745341574,-0.04968944099378883,-0.03726708074534163,-0.024844720496894457,-0.023973754759184174,0.0026601267180424992,0.00035787883499034667,1.0931677018633539,0.06211180124223592,-0.1618049671389945,False
walk_forward,stability,Place,Matrix Champion,2019.0,161.0,0.5118106292796686,0.16820144618352112,0.02492924012100408,0.6911151009316772,0.2484472049689441,0.4161490683229814,0.5341614906832298,0.7018633540372671,0.4472373037590429,4.204968944099379,4.894409937888199,0.3494336926013945,0.4451345755693581,0.629399585921325,0.2546583850931677,0.5217391304347826,0.2236024844720497,0.4451345755693581,0.5312117248710938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.031055900621118,0.0,0.0,False
walk_forward,stability,Place,Ablated,2019.0,161.0,0.5201846675334216,0.17112883945811347,0.027068622990537812,0.669459541062802,0.2360248447204969,0.38509316770186336,0.4968944099378882,0.6832298136645962,0.42898810988873104,4.416149068322981,5.086956521739131,0.31156327073973555,0.4244306418219461,0.6045548654244306,0.2670807453416149,0.5590062111801242,0.17391304347826086,0.4244306418219461,0.5072379701119096,0.012422360248447228,0.037267080745341574,-0.04968944099378883,-0.03726708074534163,-0.024844720496894457,-0.023973754759184174,0.008374038253753047,0.002927393274592349,1.0931677018633539,0.06211180124223592,-0.16294774944613663,False
