period,dimension,segment,value,races,delta_top2_zero_hit,delta_winner_top3,delta_top3_capture_at5,delta_ndcg_at5,delta_log_loss
walk_forward,stability,race_class_label,Class 5,10,0.0,0.0,0.033333333333333326,0.03537016229611556,-0.000650361939990407
external_holdout,trainer_signal,venue,跑馬地,9,0.0,0.0,0.0,-0.013284339892678187,1.3983594001065747e-06
external_holdout,trainer_signal,course,Unknown,9,0.0,0.0,0.0,-0.013284339892678187,1.3983594001065747e-06
external_holdout,trainer_signal,distance_num,1200.0,5,0.0,0.0,0.0,-0.021000199575396505,0.0007923789461373176
external_holdout,trainer_signal,race_class_label,Class 4,5,0.0,0.0,0.0,-0.023911811806820726,0.001359491060174467
external_holdout,race_shape,venue,跑馬地,9,0.0,0.0,0.0,0.0,5.353355994902609e-05
external_holdout,race_shape,course,Unknown,9,0.0,0.0,0.0,0.0,5.353355994902609e-05
external_holdout,race_shape,distance_num,1200.0,5,0.0,0.0,0.0,0.0,-9.637376743637516e-05
external_holdout,race_shape,race_class_label,Class 4,5,0.0,0.0,0.0,0.0,0.00013122270869247998
external_holdout,stability,venue,跑馬地,9,0.0,0.0,-0.03703703703703698,-0.04126097418880248,0.0014342903364337745
external_holdout,stability,course,Unknown,9,0.0,0.0,-0.03703703703703698,-0.04126097418880248,0.0014342903364337745
external_holdout,stability,distance_num,1200.0,5,0.0,0.0,-0.06666666666666665,-0.08526795736127685,0.001522560587555899
external_holdout,stability,race_class_label,Class 4,5,0.0,0.0,-0.06666666666666676,-0.06874790845729456,0.0016320905115471684
