date,meeting_name,race_number,race_key,horse_number,horse_name,finish_pos,is_win,is_top3,baseline_rank,probability_baseline,candidate_rank,probability_candidate,rank_delta,entered_top2,left_top2,dimension,period,method
2026-05-09,2026-05-09_ShaTin,3,2026-05-09::2026-05-09_ShaTin::R3,2,凱旋幸運,8,0,0,5.0,0.09284413684908178,5.0,0.08882442135386881,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,3,2026-05-09::2026-05-09_ShaTin::R3,3,大浪園田,13,0,0,13.0,0.012062002408792094,13.0,0.010948579091412641,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,3,2026-05-09::2026-05-09_ShaTin::R3,4,連連好運,11,0,0,10.0,0.03416841575016358,10.0,0.03365124241257079,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,3,2026-05-09::2026-05-09_ShaTin::R3,5,銳一,6,0,0,11.0,0.03201748616885755,11.0,0.029415798371559245,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,3,2026-05-09::2026-05-09_ShaTin::R3,6,志醒大將,12,0,0,4.0,0.09964821091936092,4.0,0.10899700956333601,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,3,2026-05-09::2026-05-09_ShaTin::R3,7,雪茄福星,10,0,0,2.0,0.12947231892994052,2.0,0.1354450615705939,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,3,2026-05-09::2026-05-09_ShaTin::R3,8,巴閉佬,2,0,1,3.0,0.11841161757828968,3.0,0.11450782520190245,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,3,2026-05-09::2026-05-09_ShaTin::R3,10,朗日雪峰,7,0,0,8.0,0.0504764599984879,8.0,0.05644757520397105,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,3,2026-05-09::2026-05-09_ShaTin::R3,11,海洋帝君,9,0,0,9.0,0.036827605906685684,9.0,0.035978772661435655,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,3,2026-05-09::2026-05-09_ShaTin::R3,12,肥仔精神,1,1,1,12.0,0.02268102492877284,12.0,0.021900993407240003,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,3,2026-05-09::2026-05-09_ShaTin::R3,13,添喜運,3,0,1,1.0,0.21497087343503454,1.0,0.21193773834410354,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,3,2026-05-09::2026-05-09_ShaTin::R3,14,東昇鉞,4,0,0,7.0,0.07158791817622928,7.0,0.06429230675297695,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,4,2026-05-09::2026-05-09_ShaTin::R4,1,展雄威,9,0,0,5.0,0.11062666823138549,4.0,0.11728956948569165,-1.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
