period,dimension,target,method,rows,races,log_loss,brier,ece_10,roc_auc,winner_top1,winner_top2,winner_top3,winner_top5,winner_rr,winner_average_rank,placegetter_average_rank,ranking_correlation,top3_capture_at3,top3_capture_at5,top2_zero_hit,top2_one_hit,top2_two_hit,place_capture_at_cutoff,ndcg_at5,delta_top2_zero_hit,delta_top2_one_hit,delta_top2_two_hit,delta_winner_top3,delta_top3_capture_at5,delta_ndcg_at5,delta_log_loss,delta_brier,top2_miss_severity,delta_top2_miss_severity,external_non_regression
external_holdout,trainer_signal,Win,Matrix Champion,107.0,9.0,0.2871808263420074,0.07703831312766682,0.018944431880599112,0.6315192743764171,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.7777777777777778,0.31587301587301586,4.777777777777778,5.4444444444444455,0.24996114996115,0.37037037037037035,0.6296296296296295,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.37037037037037035,0.4868369455928211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4444444444444444,0.0,True
external_holdout,trainer_signal,Win,Ablated,107.0,9.0,0.28934401274089233,0.07750243740638847,0.015899661412235675,0.5952380952380952,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.3205026455026455,5.111111111111111,5.407407407407408,0.23815073815073814,0.4074074074074074,0.5555555555555556,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.4074074074074074,0.47492329600861605,-0.22222222222222227,0.1111111111111111,0.1111111111111111,0.0,-0.07407407407407396,-0.011913649584205044,0.0021631863988849087,0.0004641242787216532,1.1111111111111112,-0.33333333333333326,False
external_holdout,trainer_signal,Win,Standalone,107.0,9.0,0.28423122105010806,0.07612589166670415,0.010928222761113184,0.5759637188208617,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.3790123456790124,5.555555555555555,5.703703703703704,0.22466715308973292,0.33333333333333326,0.5185185185185185,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.33333333333333326,0.41686582009700496,-0.22222222222222227,0.1111111111111111,0.1111111111111111,0.0,-0.11111111111111105,-0.06997112549581613,-0.00294960529189936,-0.0009124214609626674,1.1111111111111112,-0.33333333333333326,False
external_holdout,trainer_signal,Win,Residual cap=0.20,107.0,9.0,0.28718222470140753,0.07702893195021407,0.017802127731860462,0.6326530612244898,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.7777777777777778,0.31587301587301586,4.777777777777778,5.407407407407408,0.2581196581196582,0.37037037037037035,0.6296296296296295,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.37037037037037035,0.4735526057001429,0.0,0.0,0.0,0.0,0.0,-0.013284339892678187,1.3983594001065747e-06,-9.38117745274969e-06,1.4444444444444444,0.0,True
external_holdout,trainer_signal,Place,Matrix Champion,107.0,9.0,0.561246012425177,0.18709260261546012,0.06493238571302003,0.6185185185185186,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.7777777777777778,0.31587301587301586,4.777777777777778,5.4444444444444455,0.24996114996115,0.37037037037037035,0.6296296296296295,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.37037037037037035,0.4868369455928211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4444444444444444,0.0,True
external_holdout,trainer_signal,Place,Ablated,107.0,9.0,0.5631842044483922,0.18624337861017992,0.038024072798835275,0.5935185185185184,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.3205026455026455,5.111111111111111,5.407407407407408,0.23815073815073814,0.4074074074074074,0.5555555555555556,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.4074074074074074,0.47492329600861605,-0.22222222222222227,0.1111111111111111,0.1111111111111111,0.0,-0.07407407407407396,-0.011913649584205044,0.0019381920232152128,-0.0008492240052802025,1.1111111111111112,-0.33333333333333326,False
external_holdout,trainer_signal,Place,Standalone,107.0,9.0,0.5547528555496366,0.18484220842018437,0.03497940720973218,0.5844907407407407,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.37530864197530867,5.666666666666667,5.777777777777778,0.21675912861273924,0.2962962962962963,0.5185185185185185,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.2962962962962963,0.39514982736402243,-0.22222222222222227,0.1111111111111111,0.1111111111111111,0.0,-0.11111111111111105,-0.09168711822879866,-0.006493156875540418,-0.0022503941952757567,1.1111111111111112,-0.33333333333333326,False
external_holdout,trainer_signal,Place,Residual cap=0.20,107.0,9.0,0.5615893229269602,0.18733195008901518,0.04864272124081275,0.6222222222222222,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.7777777777777778,0.31587301587301586,4.777777777777778,5.407407407407408,0.255011655011655,0.37037037037037035,0.6296296296296295,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.37037037037037035,0.4735526057001429,0.0,0.0,0.0,0.0,0.0,-0.013284339892678187,0.00034331050178315614,0.00023934747355505714,1.4444444444444444,0.0,True
external_holdout,race_shape,Win,Matrix Champion,107.0,9.0,0.2871808263420074,0.07703831312766682,0.018944431880599112,0.6315192743764171,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.7777777777777778,0.31587301587301586,4.777777777777778,5.4444444444444455,0.24996114996115,0.37037037037037035,0.6296296296296295,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.37037037037037035,0.4868369455928211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4444444444444444,0.0,True
external_holdout,race_shape,Win,Ablated,107.0,9.0,0.2945681884287216,0.07807014086377465,0.04378227290879037,0.5215419501133787,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.25493827160493826,6.333333333333333,5.592592592592593,0.2803418803418804,0.2962962962962963,0.5555555555555556,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.2962962962962963,0.3225632204734412,0.11111111111111105,-0.1111111111111111,0.0,-0.1111111111111111,-0.07407407407407396,-0.16427372511937988,0.0073873620867142,0.0010318277361078265,1.5555555555555554,0.11111111111111094,False
external_holdout,race_shape,Win,Standalone,107.0,9.0,0.28396907698076984,0.07635431594325165,0.009090317020223213,0.590702947845805,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.2962121212121212,5.666666666666667,6.185185185185185,0.030303030303030325,0.2592592592592593,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.0,0.2592592592592593,0.3499202114627481,-0.22222222222222227,0.3333333333333333,-0.1111111111111111,-0.1111111111111111,-0.18518518518518512,-0.136916734130073,-0.0032117493612375814,-0.0006839971844151693,1.3333333333333333,-0.11111111111111116,False
external_holdout,race_shape,Win,Residual cap=0.05,107.0,9.0,0.28723435990195645,0.0770490994539303,0.0191612293022404,0.6349206349206349,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.7777777777777778,0.31587301587301586,4.777777777777778,5.4444444444444455,0.24996114996115,0.37037037037037035,0.6296296296296295,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.37037037037037035,0.4868369455928211,0.0,0.0,0.0,0.0,0.0,0.0,5.353355994902609e-05,1.078632626348719e-05,1.4444444444444444,0.0,True
external_holdout,race_shape,Place,Matrix Champion,107.0,9.0,0.561246012425177,0.18709260261546012,0.06493238571302003,0.6185185185185186,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.7777777777777778,0.31587301587301586,4.777777777777778,5.4444444444444455,0.24996114996115,0.37037037037037035,0.6296296296296295,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.37037037037037035,0.4868369455928211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4444444444444444,0.0,True
external_holdout,race_shape,Place,Ablated,107.0,9.0,0.5542867670861341,0.18662150510234118,0.04855638067547696,0.6171296296296296,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.25493827160493826,6.333333333333333,5.592592592592593,0.2803418803418804,0.2962962962962963,0.5555555555555556,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.2962962962962963,0.3225632204734412,0.11111111111111105,-0.1111111111111111,0.0,-0.1111111111111111,-0.07407407407407396,-0.16427372511937988,-0.006959245339042908,-0.0004710975131189399,1.5555555555555554,0.11111111111111094,False
external_holdout,race_shape,Place,Standalone,107.0,9.0,0.5675128216151497,0.18985322380465533,0.03299357910589989,0.5203703703703704,0.0,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.23809523809523808,5.888888888888889,6.296296296296296,0.017793317793317803,0.2592592592592593,0.4074074074074074,0.5555555555555556,0.4444444444444444,0.0,0.2592592592592593,0.28783992497632843,0.0,0.1111111111111111,-0.1111111111111111,-0.1111111111111111,-0.22222222222222215,-0.19899702061649266,0.0062668091899726885,0.002760621189195206,1.5555555555555556,0.11111111111111116,False
external_holdout,race_shape,Place,Residual cap=0.05,107.0,9.0,0.5598467987282695,0.18676186171984588,0.052181254750628826,0.6217592592592592,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.7777777777777778,0.31587301587301586,4.777777777777778,5.407407407407407,0.25578865578865584,0.37037037037037035,0.6296296296296295,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.37037037037037035,0.4868369455928211,0.0,0.0,0.0,0.0,0.0,0.0,-0.001399213696907542,-0.00033074089561424547,1.4444444444444444,0.0,True
external_holdout,stability,Win,Matrix Champion,107.0,9.0,0.2871808263420074,0.07703831312766682,0.018944431880599112,0.6315192743764171,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.7777777777777778,0.31587301587301586,4.777777777777778,5.4444444444444455,0.24996114996115,0.37037037037037035,0.6296296296296295,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.37037037037037035,0.4868369455928211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4444444444444444,0.0,True
external_holdout,stability,Win,Ablated,107.0,9.0,0.28304417472365584,0.07625951448844645,0.008674579740557645,0.6394557823129251,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.7777777777777778,0.3195767195767196,4.777777777777778,5.481481481481482,0.2158508158508159,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.4490327137103633,0.0,0.0,0.0,0.1111111111111111,-0.07407407407407396,-0.037804231882457795,-0.004136651618351583,-0.0007787986392203683,1.4444444444444444,0.0,False
external_holdout,stability,Win,Standalone,107.0,9.0,0.3025742853958201,0.07924973922336835,0.03157261620873483,0.47845804988662133,0.0,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.2274691358024691,6.555555555555555,5.592592592592593,0.27109557109557114,0.25925925925925924,0.5555555555555556,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.25925925925925924,0.3442123934952532,0.0,0.0,0.0,0.0,-0.07407407407407396,-0.1426245520975679,0.015393459053812675,0.0022114260957015325,1.4444444444444444,0.0,False
external_holdout,stability,Win,Residual cap=0.05,107.0,9.0,0.2886151166784412,0.07733052805968846,0.014272677415878237,0.6235827664399092,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.3066137566137566,5.0,5.518518518518518,0.23403263403263408,0.37037037037037035,0.5925925925925926,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.37037037037037035,0.4455759714040186,0.0,-0.1111111111111111,0.1111111111111111,0.0,-0.03703703703703698,-0.04126097418880248,0.0014342903364337745,0.0002922149320216394,1.3333333333333335,-0.11111111111111094,False
