jockey,trainer,Wins,Starts,Places,Win_ROI_Pct,WinRate,PlaceRate
黃智弘,大衛希斯,0,18,3,-100.0,0.0,16.7
巫顯東,鄭俊偉,0,17,0,-100.0,0.0,0.0
希威森,黎昭昇,0,17,4,-100.0,0.0,23.5
潘大衛,蘇偉賢,0,17,0,-100.0,0.0,0.0
班德禮,葉楚航,0,17,1,-100.0,0.0,5.9
蔡明紹,姚本輝,0,17,2,-100.0,0.0,11.8
金誠剛,蘇偉賢,0,17,6,-100.0,0.0,35.3
周俊樂,鄭俊偉,0,16,2,-100.0,0.0,12.5
巫顯東,沈集成,0,16,1,-100.0,0.0,6.2
希威森,伍鵬志,0,16,0,-100.0,0.0,0.0
田泰安,羅富全,0,16,3,-100.0,0.0,18.8
董明朗,呂健威,0,16,7,-100.0,0.0,43.8
何澤堯,伍鵬志,0,15,3,-100.0,0.0,20.0
楊明綸,韋達,0,15,0,-100.0,0.0,0.0
蔡明紹,黎昭昇,0,15,5,-100.0,0.0,33.3
麥文堅,游達榮,0,15,2,-100.0,0.0,13.3
奧爾民,韋達,0,14,1,-100.0,0.0,7.1
董明朗,蘇偉賢,0,14,4,-100.0,0.0,28.6
金誠剛,大衛希斯,0,14,0,-100.0,0.0,0.0
巴度,賀賢,0,13,2,-100.0,0.0,15.4
楊明綸,伍鵬志,0,13,2,-100.0,0.0,15.4
潘頓,桂福特,0,13,6,-100.0,0.0,46.2
田泰安,黎昭昇,0,13,1,-100.0,0.0,7.7
鍾易禮,文家良,0,13,0,-100.0,0.0,0.0
奧爾民,蔡約翰,0,12,3,-100.0,0.0,25.0
班德禮,黎昭昇,0,12,2,-100.0,0.0,16.7
艾兆禮,羅富全,0,12,1,-100.0,0.0,8.3
艾兆禮,葉楚航,0,12,2,-100.0,0.0,16.7
艾道拿,賀賢,0,12,3,-100.0,0.0,25.0
蔡明紹,廖康銘,0,12,2,-100.0,0.0,16.7
蔡明紹,羅富全,0,12,0,-100.0,0.0,0.0
鍾易禮,伍鵬志,0,12,0,-100.0,0.0,0.0
霍宏聲,丁冠豪,0,12,0,-100.0,0.0,0.0
黃智弘,文家良,0,12,1,-100.0,0.0,8.3
奧爾民,羅富全,0,11,0,-100.0,0.0,0.0
巫顯東,蘇偉賢,0,11,0,-100.0,0.0,0.0
巴度,伍鵬志,0,11,1,-100.0,0.0,9.1
梁家俊,韋達,0,11,1,-100.0,0.0,9.1
潘大衛,游達榮,0,11,0,-100.0,0.0,0.0
潘明輝,葉楚航,0,11,0,-100.0,0.0,0.0
艾道拿,巫偉傑,0,11,2,-100.0,0.0,18.2
黃寶妮,大衛希斯,0,11,2,-100.0,0.0,18.2
何澤堯,姚本輝,0,10,1,-100.0,0.0,10.0
奧爾民,姚本輝,0,10,3,-100.0,0.0,30.0
奧爾民,沈集成,0,10,1,-100.0,0.0,10.0
巫顯東,丁冠豪,0,10,1,-100.0,0.0,10.0
楊明綸,桂福特,0,10,0,-100.0,0.0,0.0
潘明輝,丁冠豪,0,10,1,-100.0,0.0,10.0
班德禮,告東尼,0,10,1,-100.0,0.0,10.0
紀仁安,文家良,0,10,1,-100.0,0.0,10.0
蔡明紹,鄭俊偉,0,10,1,-100.0,0.0,10.0
金誠剛,葉楚航,0,10,1,-100.0,0.0,10.0
麥文堅,沈集成,0,10,2,-100.0,0.0,20.0
周俊樂,丁冠豪,0,9,0,-100.0,0.0,0.0
布文,伍鵬志,0,9,2,-100.0,0.0,22.2
杜苑欣,伍鵬志,0,9,3,-100.0,0.0,33.3
楊明綸,徐雨石,0,9,0,-100.0,0.0,0.0
潘大衛,呂健威,0,9,0,-100.0,0.0,0.0
潘大衛,羅富全,0,9,0,-100.0,0.0,0.0
艾道拿,廖康銘,0,9,0,-100.0,0.0,0.0
董明朗,韋達,0,9,0,-100.0,0.0,0.0
蔡明紹,蔡約翰,0,9,2,-100.0,0.0,22.2
金誠剛,呂健威,0,9,1,-100.0,0.0,11.1
麥道朗,賀賢,0,9,2,-100.0,0.0,22.2
黃寶妮,黎昭昇,0,9,2,-100.0,0.0,22.2
黃智弘,葉楚航,0,9,0,-100.0,0.0,0.0
何澤堯,巫偉傑,0,8,3,-100.0,0.0,37.5
巴度,呂健威,0,8,0,-100.0,0.0,0.0
希威森,徐雨石,0,8,0,-100.0,0.0,0.0
杜苑欣,呂健威,0,8,2,-100.0,0.0,25.0
杜苑欣,告東尼,0,8,1,-100.0,0.0,12.5
潘大衛,大衛希斯,0,8,1,-100.0,0.0,12.5
潘明輝,游達榮,0,8,1,-100.0,0.0,12.5
艾兆禮,大衛希斯,0,8,1,-100.0,0.0,12.5
