jockey,trainer,Wins,Starts,Places,Win_ROI_Pct,WinRate,PlaceRate
巫顯東,蔡約翰,0,1,0,-100.0,0.0,0.0
巫顯東,黎昭昇,0,1,0,-100.0,0.0,0.0
巴米高,呂健威,0,1,0,-100.0,0.0,0.0
巴米高,大衛希斯,0,1,0,-100.0,0.0,0.0
巴米高,蘇偉賢,0,1,0,-100.0,0.0,0.0
巴米高,韋達,0,1,0,-100.0,0.0,0.0
布宜學,告東尼,0,1,0,-100.0,0.0,0.0
布宜學,巫偉傑,0,1,0,-100.0,0.0,0.0
布宜學,蔡約翰,0,1,0,-100.0,0.0,0.0
布浩榮,姚本輝,0,1,0,-100.0,0.0,0.0
布浩榮,羅富全,0,1,0,-100.0,0.0,0.0
布浩榮,蔡約翰,0,1,0,-100.0,0.0,0.0
布浩榮,蘇偉賢,0,1,0,-100.0,0.0,0.0
布浩榮,賀賢,0,1,1,-100.0,0.0,100.0
希威森,丁冠豪,0,1,0,-100.0,0.0,0.0
希威森,告東尼,0,1,0,-100.0,0.0,0.0
希威森,羅富全,0,1,0,-100.0,0.0,0.0
李寶利,呂健威,0,1,0,-100.0,0.0,0.0
李寶利,姚本輝,0,1,1,-100.0,0.0,100.0
李寶利,羅富全,0,1,0,-100.0,0.0,0.0
李寶利,蘇偉賢,0,1,0,-100.0,0.0,0.0
李寶利,鄭俊偉,0,1,0,-100.0,0.0,0.0
李寶利,韋達,0,1,0,-100.0,0.0,0.0
李慕華,大衛希斯,0,1,0,-100.0,0.0,0.0
李慕華,姚本輝,0,1,0,-100.0,0.0,0.0
李慕華,手塚貴久,0,1,1,-100.0,0.0,100.0
李慕華,方嘉柏,0,1,1,-100.0,0.0,100.0
李慕華,森一誠,0,1,0,-100.0,0.0,0.0
李慕華,武井亮,0,1,0,-100.0,0.0,0.0
李慕華,田中博康,0,1,0,-100.0,0.0,0.0
李慕華,葉楚航,0,1,0,-100.0,0.0,0.0
李慕華,蔡約翰,0,1,0,-100.0,0.0,0.0
杜滿樂,池江泰壽,0,1,1,-100.0,0.0,100.0
杜苑欣,廖康銘,0,1,0,-100.0,0.0,0.0
杜苑欣,徐雨石,0,1,0,-100.0,0.0,0.0
杜苑欣,方嘉柏,0,1,0,-100.0,0.0,0.0
杜苑欣,蔡約翰,0,1,0,-100.0,0.0,0.0
杜苑欣,賀賢,0,1,0,-100.0,0.0,0.0
杜苑欣,黎昭昇,0,1,0,-100.0,0.0,0.0
梁家俊,廖康銘,0,1,0,-100.0,0.0,0.0
梁家俊,方嘉柏,0,1,0,-100.0,0.0,0.0
梁家俊,游達榮,0,1,0,-100.0,0.0,0.0
楊明綸,游達榮,0,1,0,-100.0,0.0,0.0
橫山和生,上村洋行,0,1,1,-100.0,0.0,100.0
潘大衛,巫偉傑,0,1,0,-100.0,0.0,0.0
潘大衛,文家良,0,1,0,-100.0,0.0,0.0
潘明輝,告東尼,0,1,0,-100.0,0.0,0.0
潘明輝,大衛希斯,0,1,0,-100.0,0.0,0.0
潘明輝,方嘉柏,0,1,0,-100.0,0.0,0.0
潘明輝,桂福特,0,1,0,-100.0,0.0,0.0
潘明輝,蘇偉賢,0,1,0,-100.0,0.0,0.0
班德禮,文家良,0,1,0,-100.0,0.0,0.0
紀仁安,賀賢,0,1,0,-100.0,0.0,0.0
艾兆禮,布銘球,0,1,1,-100.0,0.0,100.0
艾兆禮,徐雨石,0,1,0,-100.0,0.0,0.0
艾道拿,桂福特,0,1,0,-100.0,0.0,0.0
莫艾誠,伯特,0,1,0,-100.0,0.0,0.0
莫艾誠,侯耀誠,0,1,0,-100.0,0.0,0.0
莫艾誠,包義定,0,1,0,-100.0,0.0,0.0
莫艾誠,岳品賢,0,1,0,-100.0,0.0,0.0
莫艾誠,蘇偉賢,0,1,0,-100.0,0.0,0.0
莫雅,伍鵬志,0,1,0,-100.0,0.0,0.0
莫雅,堀宣行,0,1,0,-100.0,0.0,0.0
莫雅,沈集成,0,1,0,-100.0,0.0,0.0
莫雅,黎昭昇,0,1,0,-100.0,0.0,0.0
莫雷拉,伍鵬志,0,1,0,-100.0,0.0,0.0
莫雷拉,告東尼,0,1,0,-100.0,0.0,0.0
莫雷拉,堀宣行,0,1,1,-100.0,0.0,100.0
莫雷拉,桂福特,0,1,0,-100.0,0.0,0.0
莫雷拉,武井亮,0,1,0,-100.0,0.0,0.0
莫雷拉,武英智,0,1,0,-100.0,0.0,0.0
莫雷拉,羅富全,0,1,1,-100.0,0.0,100.0
莫雷拉,葉楚航,0,1,0,-100.0,0.0,0.0
莫雷拉,賀賢,0,1,0,-100.0,0.0,0.0
莫雷拉,韋達,0,1,0,-100.0,0.0,0.0
董明朗,姚本輝,0,1,0,-100.0,0.0,0.0
董明朗,羅富全,0,1,0,-100.0,0.0,0.0
董明朗,葉楚航,0,1,0,-100.0,0.0,0.0
董明朗,賀賢,0,1,0,-100.0,0.0,0.0
薛凱華,巫偉傑,0,1,0,-100.0,0.0,0.0
薛凱華,游孝廉,0,1,1,-100.0,0.0,100.0
薛凱華,黎昭昇,0,1,0,-100.0,0.0,0.0
蘇銘倫,伍鵬志,0,1,0,-100.0,0.0,0.0
蘇銘倫,姚本輝,0,1,0,-100.0,0.0,0.0
蘇銘倫,文家良,0,1,1,-100.0,0.0,100.0
袁幸堯,徐雨石,0,1,0,-100.0,0.0,0.0
袁幸堯,文家良,0,1,0,-100.0,0.0,0.0
袁幸堯,桂福特,0,1,0,-100.0,0.0,0.0
袁幸堯,蘇偉賢,0,1,1,-100.0,0.0,100.0
貝知仁,巴伯樂,0,1,0,-100.0,0.0,0.0
金美琪,姚本輝,0,1,0,-100.0,0.0,0.0
金美琪,韋達,0,1,1,-100.0,0.0,100.0
鍾易禮,蔡約翰,0,1,0,-100.0,0.0,0.0
鍾易禮,蘇偉賢,0,1,0,-100.0,0.0,0.0
霍宏聲,告東尼,0,1,0,-100.0,0.0,0.0
霍宏聲,徐雨石,0,1,0,-100.0,0.0,0.0
馬昆,丁冠豪,0,1,0,-100.0,0.0,0.0
馬昆,游孝廉,0,1,0,-100.0,0.0,0.0
高力德,杉山晴紀,0,1,0,-100.0,0.0,0.0
麥文堅,丁冠豪,0,1,0,-100.0,0.0,0.0
麥文堅,呂健威,0,1,0,-100.0,0.0,0.0
麥文堅,鄭俊偉,0,1,0,-100.0,0.0,0.0
麥道朗,徐雨石,0,1,0,-100.0,0.0,0.0
麥道朗,文家良,0,1,0,-100.0,0.0,0.0
麥道朗,方嘉柏,0,1,1,-100.0,0.0,100.0
黃寶妮,羅富全,0,1,1,-100.0,0.0,100.0
黃寶妮,蘇偉賢,0,1,0,-100.0,0.0,0.0
黃智弘,告東尼,0,1,0,-100.0,0.0,0.0
