Trainer,Distance,Wins,Starts,Places,WinRate
丁冠豪,1000,3,12,4,25.0
丁冠豪,1200,6,97,23,6.2
丁冠豪,1400,3,63,9,4.8
丁冠豪,1600,3,29,7,10.3
丁冠豪,1650,3,28,7,10.7
丁冠豪,1800,1,20,4,5.0
丁冠豪,2000,1,6,2,16.7
丁冠豪,2200,0,3,0,0.0
中內田充正,2000,0,3,2,0.0
伊比軒,1600,0,1,0,0.0
伍鵬志,1000,6,68,14,8.8
伍鵬志,1200,12,188,38,6.4
伍鵬志,1400,8,113,23,7.1
伍鵬志,1600,4,51,10,7.8
伍鵬志,1650,6,125,32,4.8
伍鵬志,1800,4,54,20,7.4
伍鵬志,2000,0,21,4,0.0
伍鵬志,2200,0,11,2,0.0
伍鵬志,2400,0,1,0,0.0
包義定,2000,0,1,0,0.0
吉村圭司,1200,0,1,0,0.0
呂健威,1000,1,31,2,3.2
呂健威,1200,20,203,55,9.9
呂健威,1400,16,118,34,13.6
呂健威,1600,2,51,16,3.9
呂健威,1650,5,51,14,9.8
呂健威,1800,5,30,9,16.7
呂健威,2000,1,8,4,12.5
呂健威,2400,0,1,1,0.0
告東尼,1000,7,55,18,12.7
告東尼,1200,13,208,44,6.2
告東尼,1400,5,104,19,4.8
告東尼,1600,2,64,9,3.1
告東尼,1650,7,103,27,6.8
告東尼,1800,10,68,26,14.7
告東尼,2000,3,27,8,11.1
告東尼,2200,2,11,4,18.2
告東尼,2400,0,8,1,0.0
國枝榮,2400,0,1,1,0.0
堀宣行,1200,0,2,2,0.0
堀宣行,2000,1,2,2,50.0
大衛希斯,1000,1,57,9,1.8
大衛希斯,1200,25,254,69,9.8
大衛希斯,1400,11,111,28,9.9
大衛希斯,1600,3,41,13,7.3
大衛希斯,1650,14,122,40,11.5
大衛希斯,1800,6,55,16,10.9
大衛希斯,2000,0,13,1,0.0
大衛希斯,2200,1,3,1,33.3
大衛希斯,2400,0,1,1,0.0
姚本輝,1000,1,29,3,3.4
姚本輝,1200,20,193,68,10.4
姚本輝,1400,8,93,32,8.6
姚本輝,1600,7,63,21,11.1
姚本輝,1650,9,84,23,10.7
姚本輝,1800,1,36,3,2.8
姚本輝,2000,2,18,4,11.1
姚本輝,2200,0,2,0,0.0
姚本輝,2400,1,1,1,100.0
容天鵬,1000,2,26,10,7.7
容天鵬,1200,9,166,33,5.4
容天鵬,1400,8,96,21,8.3
容天鵬,1600,2,34,7,5.9
容天鵬,1650,0,52,3,0.0
容天鵬,1800,0,18,2,0.0
容天鵬,2000,0,3,0,0.0
容天鵬,2200,0,3,0,0.0
岳伯仁,2000,0,2,0,0.0
岳伯仁,2400,0,2,0,0.0
巫偉傑,1000,9,52,19,17.3
巫偉傑,1200,15,206,42,7.3
巫偉傑,1400,7,92,22,7.6
巫偉傑,1600,3,30,8,10.0
巫偉傑,1650,6,60,15,10.0
巫偉傑,1800,0,24,5,0.0
巫偉傑,2000,0,4,1,0.0
巫偉傑,2200,0,2,0,0.0
布銘球,2400,1,1,1,100.0
廖康銘,1000,1,43,15,2.3
廖康銘,1200,28,225,71,12.4
廖康銘,1400,4,79,16,5.1
廖康銘,1600,2,27,4,7.4
廖康銘,1650,6,62,21,9.7
廖康銘,1800,1,28,8,3.6
廖康銘,2000,2,11,4,18.2
廖康銘,2200,0,4,0,0.0
廖康銘,2400,0,1,0,0.0
徐雨石,1000,5,39,9,12.8
徐雨石,1200,6,133,27,4.5
徐雨石,1400,3,44,6,6.8
徐雨石,1600,0,10,1,0.0
徐雨石,1650,3,49,12,6.1
徐雨石,1800,1,12,3,8.3
徐雨石,2000,0,3,0,0.0
徐雨石,2200,0,2,0,0.0
文家良,1000,2,43,8,4.7
文家良,1200,21,170,36,12.4
文家良,1400,8,101,27,7.9
文家良,1600,5,25,9,20.0
文家良,1650,5,57,15,8.8
文家良,1800,2,9,4,22.2
文家良,2000,1,4,2,25.0
文家良,2200,1,1,1,100.0
方嘉柏,1000,3,39,12,7.7
方嘉柏,1200,16,176,39,9.1
方嘉柏,1400,6,92,31,6.5
方嘉柏,1600,7,44,14,15.9
方嘉柏,1650,14,114,38,12.3
方嘉柏,1800,5,42,11,11.9
方嘉柏,2000,0,10,1,0.0
方嘉柏,2200,1,5,1,20.0
杉山晴紀,1200,0,2,0,0.0
杉山晴紀,1600,0,1,0,0.0
比安威詹 希斯,1600,0,1,0,0.0
池江泰壽,1600,0,1,1,0.0
池添學,2400,0,1,0,0.0
沈集成,1000,2,33,11,6.1
沈集成,1200,17,217,55,7.8
沈集成,1400,2,73,4,2.7
沈集成,1600,0,25,5,0.0
沈集成,1650,8,95,22,8.4
沈集成,1800,6,41,8,14.6
沈集成,2000,4,14,6,28.6
沈集成,2200,1,13,5,7.7
沈集成,2400,0,1,0,0.0
活侯夫人及布特,1600,0,1,0,0.0
游孝廉,1600,0,1,0,0.0
游達榮,1000,2,16,5,12.5
游達榮,1200,10,104,24,9.6
游達榮,1400,12,82,26,14.6
游達榮,1600,4,36,13,11.1
游達榮,1650,6,83,24,7.2
游達榮,1800,2,29,3,6.9
游達榮,2000,0,10,1,0.0
游達榮,2200,0,3,2,0.0
白祈達,1200,0,1,0,0.0
納斯,2000,0,1,1,0.0
羅富全,1000,6,47,17,12.8
羅富全,1200,19,221,62,8.6
羅富全,1400,4,101,18,4.0
羅富全,1600,4,51,10,7.8
羅富全,1650,12,84,26,14.3
羅富全,1800,1,44,7,2.3
羅富全,2000,0,10,0,0.0
羅富全,2200,0,2,0,0.0
范景新,1600,0,1,0,0.0
范鴻禧,2000,0,1,0,0.0
菲德文及菲敦盟,2400,0,1,0,0.0
葉楚航,1000,4,50,11,8.0
葉楚航,1200,13,138,32,9.4
葉楚航,1400,1,60,6,1.7
葉楚航,1600,2,22,3,9.1
葉楚航,1650,3,42,10,7.1
葉楚航,1800,3,33,4,9.1
葉楚航,2000,2,12,3,16.7
葉楚航,2200,2,12,4,16.7
葉楚航,2400,0,1,1,0.0
葛威法,2000,0,1,0,0.0
蔡約翰,1000,6,54,18,11.1
蔡約翰,1200,26,250,94,10.4
蔡約翰,1400,16,117,46,13.7
蔡約翰,1600,6,58,13,10.3
蔡約翰,1650,6,70,11,8.6
蔡約翰,1800,4,41,11,9.8
蔡約翰,2000,2,19,4,10.5
蔡約翰,2200,2,10,6,20.0
蔡約翰,2400,1,4,1,25.0
藤原英昭,1200,0,1,0,0.0
蘇偉賢,1000,1,39,2,2.6
蘇偉賢,1200,13,181,42,7.2
蘇偉賢,1400,15,96,33,15.6
蘇偉賢,1600,3,33,8,9.1
