Jockey,Distance,Wins,Starts,Places,WinRate
何澤堯,1000,2,21,3,9.5
何澤堯,1200,11,99,33,11.1
何澤堯,1400,3,51,13,5.9
何澤堯,1600,2,21,10,9.5
何澤堯,1650,6,42,11,14.3
何澤堯,1800,3,17,7,17.6
何澤堯,2000,0,3,2,0.0
何澤堯,2200,0,2,1,0.0
司徒岳,1600,0,1,0,0.0
周俊樂,1000,2,32,4,6.2
周俊樂,1200,10,149,30,6.7
周俊樂,1400,4,70,11,5.7
周俊樂,1600,2,26,3,7.7
周俊樂,1650,3,56,7,5.4
周俊樂,1800,1,27,6,3.7
周俊樂,2000,1,7,2,14.3
周俊樂,2200,0,5,1,0.0
周俊樂,2400,0,1,1,0.0
奧爾民,1000,2,18,4,11.1
奧爾民,1200,9,92,25,9.8
奧爾民,1400,1,41,4,2.4
奧爾民,1600,1,21,4,4.8
奧爾民,1650,0,38,6,0.0
奧爾民,1800,0,17,4,0.0
奧爾民,2000,0,6,0,0.0
奧爾民,2200,0,3,0,0.0
川田將雅,1000,0,1,0,0.0
川田將雅,1200,0,2,0,0.0
川田將雅,1600,0,2,0,0.0
川田將雅,1650,0,2,0,0.0
川田將雅,2000,0,2,1,0.0
巫顯東,1000,0,7,0,0.0
巫顯東,1200,2,40,7,5.0
巫顯東,1400,0,31,0,0.0
巫顯東,1600,0,8,1,0.0
巫顯東,1650,1,21,1,4.8
巫顯東,1800,1,9,2,11.1
巫顯東,2000,0,3,1,0.0
巫顯東,2200,0,1,0,0.0
巴度,1000,4,47,15,8.5
巴度,1200,11,188,45,5.9
巴度,1400,8,96,22,8.3
巴度,1600,0,48,6,0.0
巴度,1650,4,68,9,5.9
巴度,1800,3,45,11,6.7
巴度,2000,0,16,2,0.0
巴度,2200,1,9,5,11.1
巴度,2400,0,2,1,0.0
巴米高,1000,1,1,1,100.0
巴米高,1200,2,5,3,40.0
巴米高,1400,0,3,0,0.0
巴米高,1600,0,3,0,0.0
巴米高,1650,0,3,1,0.0
巴米高,1800,0,2,0,0.0
巴米高,2400,0,1,0,0.0
布宜學,1000,0,1,1,0.0
布宜學,1200,0,1,0,0.0
布宜學,1400,0,1,0,0.0
布宜學,1650,0,2,0,0.0
布宜學,2000,0,1,0,0.0
布文,1000,4,49,19,8.2
布文,1200,25,232,74,10.8
布文,1400,13,105,36,12.4
布文,1600,8,48,23,16.7
布文,1650,14,91,30,15.4
布文,1800,7,42,14,16.7
布文,2000,1,17,2,5.9
布文,2200,0,8,0,0.0
布文,2400,0,2,1,0.0
希威森,1000,1,52,9,1.9
希威森,1200,11,187,37,5.9
希威森,1400,6,104,25,5.8
希威森,1600,2,27,8,7.4
希威森,1650,6,76,21,7.9
希威森,1800,2,31,5,6.5
希威森,2000,1,9,2,11.1
希威森,2200,0,8,2,0.0
杜滿樂,1600,0,1,0,0.0
杜滿樂,2400,0,1,0,0.0
杜苑欣,1000,0,3,0,0.0
杜苑欣,1200,0,10,3,0.0
杜苑欣,1400,0,2,1,0.0
杜苑欣,1600,0,1,0,0.0
杜苑欣,1650,1,5,2,20.0
杜苑欣,1800,1,3,1,33.3
柯浩新,2000,0,1,0,0.0
梁家俊,1000,4,35,8,11.4
梁家俊,1200,18,174,45,10.3
梁家俊,1400,3,90,21,3.3
梁家俊,1600,7,43,12,16.3
梁家俊,1650,4,68,20,5.9
梁家俊,1800,0,28,3,0.0
梁家俊,2000,0,6,0,0.0
梁家俊,2200,0,3,0,0.0
楊明綸,1000,0,43,2,0.0
楊明綸,1200,5,173,25,2.9
楊明綸,1400,2,80,13,2.5
楊明綸,1600,3,30,6,10.0
楊明綸,1650,5,67,13,7.5
楊明綸,1800,3,28,7,10.7
楊明綸,2000,0,7,2,0.0
楊明綸,2200,2,6,4,33.3
湯普新,1000,0,28,5,0.0
湯普新,1200,3,141,16,2.1
湯普新,1400,1,72,10,1.4
湯普新,1600,1,33,2,3.0
湯普新,1650,1,61,10,1.6
湯普新,1800,3,29,7,10.3
湯普新,2000,0,12,1,0.0
湯普新,2200,0,4,1,0.0
溫蘿,2400,0,1,0,0.0
潘明輝,1000,2,50,15,4.0
潘明輝,1200,13,225,46,5.8
潘明輝,1400,7,92,19,7.6
潘明輝,1600,4,46,9,8.7
潘明輝,1650,6,85,24,7.1
潘明輝,1800,1,41,11,2.4
潘明輝,2000,3,15,5,20.0
潘明輝,2200,0,5,1,0.0
潘明輝,2400,0,1,0,0.0
潘頓,1000,14,57,29,24.6
潘頓,1200,55,231,120,23.8
潘頓,1400,34,111,62,30.6
潘頓,1600,7,44,18,15.9
潘頓,1650,18,90,40,20.0
潘頓,1800,6,38,14,15.8
潘頓,2000,2,13,5,15.4
潘頓,2200,1,7,3,14.3
潘頓,2400,1,2,1,50.0
班德禮,1000,5,42,9,11.9
班德禮,1200,8,188,41,4.3
班德禮,1400,5,83,14,6.0
班德禮,1600,2,35,10,5.7
班德禮,1650,8,70,19,11.4
班德禮,1800,1,29,6,3.4
班德禮,2000,0,8,1,0.0
班德禮,2200,2,6,3,33.3
班德禮,2400,0,1,0,0.0
田泰安,1000,2,59,9,3.4
田泰安,1200,17,244,64,7.0
田泰安,1400,7,115,23,6.1
田泰安,1600,1,49,13,2.0
田泰安,1650,9,97,35,9.3
田泰安,1800,7,48,12,14.6
田泰安,2000,0,15,6,0.0
田泰安,2200,1,7,2,14.3
簡國能,1000,0,1,0,0.0
簡國能,1200,0,1,1,0.0
簡國能,1650,0,3,1,0.0
羅敦,2000,0,1,0,0.0
羅敦,2400,0,1,0,0.0
艾兆禮,1000,7,55,19,12.7
艾兆禮,1200,28,234,72,12.0
艾兆禮,1400,7,115,32,6.1
艾兆禮,1600,3,52,11,5.8
艾兆禮,1650,5,92,23,5.4
艾兆禮,1800,5,44,11,11.4
艾兆禮,2000,2,15,5,13.3
艾兆禮,2200,1,10,4,10.0
