dataset,meeting,race_number,case_type,primary_cause,secondary_causes,model_top3,actual_top3,evidence
archive,2026-05-09_ShaTin,11,第三選已入前三,第三選排序／上限壓低,"[""路程context支持第三選（+6.0）"", ""班次context支持第三選（+5.1）""]","[""#5 競駿輝煌"", ""#6 燈胆將軍"", ""#4 錶之星河""]","[""#4 錶之星河"", ""#2 翠紅"", ""#12 威利金箭""]","{""comparison"":""rank3_minus_rank2"",""score_gap_rank2_rank3"":1.68,""rank3_actual_finish"":1,""signal_deltas"":{""speed"":-4.07,""formline"":3.6,""class_context"":5.12,""distance_context"":6.0,""risk"":3.0,""confidence"":0.0},""rank2"":{""number"":6,""name"":""燈胆將軍"",""rank"":2,""score"":74.02,""speed"":80.63,""formline"":81.6,""class_context"":72.39,""distance_context"":66.0,""risk"":64.5,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":null},""rank3"":{""number"":4,""name"":""錶之星河"",""rank"":3,""score"":72.34,""speed"":76.56,""formline"":85.2,""class_context"":77.51,""distance_context"":72.0,""risk"":67.5,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":null}}"
archive,2026-05-13_HappyValley,4,模型頭三全失,未解釋／整體辨識失敗,[],"[""#3 睿智多寶"", ""#1 勁進駒"", ""#2 浪漫老撾""]","[""#4 上浦福旺"", ""#10 滿洛城"", ""#11 獎星""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":65.08,""formline"":74.6,""class_context"":73.007,""distance_context"":66.667,""risk"":70.5,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":null},""actual_top3_mean"":{""speed"":59.903,""formline"":70.2,""class_context"":69.563,""distance_context"":68.0,""risk"":71.667,""confidence"":83.0,""neutral_context_count"":0.333,""explicit_missing_context_count"":null},""signal_deltas"":{""speed"":-5.177,""formline"":-4.4,""class_context"":-3.444,""distance_context"":1.333,""risk"":1.167,""confidence"":0.0},""neutral_context_delta"":0.333,""explicit_missing_context_delta"":null,""model_minus_actual_confidence"":0.0,""model_minus_actual_risk"":-1.167}"
archive,2026-05-13_HappyValley,7,模型頭三全失,未解釋／整體辨識失敗,[],"[""#6 銳目"", ""#12 勝在當下"", ""#9 福進""]","[""#11 驕陽雄心"", ""#3 縱橫天下"", ""#1 競駿非凡""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":67.553,""formline"":71.4,""class_context"":66.797,""distance_context"":66.667,""risk"":68.5,""confidence"":83.0,""neutral_context_count"":0.333,""explicit_missing_context_count"":null},""actual_top3_mean"":{""speed"":71.547,""formline"":74.6,""class_context"":70.08,""distance_context"":70.0,""risk"":68.833,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":null},""signal_deltas"":{""speed"":3.994,""formline"":3.2,""class_context"":3.283,""distance_context"":3.333,""risk"":0.333,""confidence"":0.0},""neutral_context_delta"":-0.333,""explicit_missing_context_delta"":null,""model_minus_actual_confidence"":0.0,""model_minus_actual_risk"":-0.333}"
archive,2026-05-17_ShaTin,1,模型頭三全失,路程context辨識不足,[],"[""#9 幸運同行"", ""#8 開心三多"", ""#5 富裕君子""]","[""#6 齊歡最樂"", ""#10 捷足奔馳"", ""#7 香港精神""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":64.263,""formline"":77.4,""class_context"":76.047,""distance_context"":60.0,""risk"":73.0,""confidence"":83.0,""neutral_context_count"":1,""explicit_missing_context_count"":null},""actual_top3_mean"":{""speed"":59.57,""formline"":72.5,""class_context"":71.4,""distance_context"":66.0,""risk"":71.333,""confidence"":83.0,""neutral_context_count"":0.333,""explicit_missing_context_count"":null},""signal_deltas"":{""speed"":-4.693,""formline"":-4.9,""class_context"":-4.647,""distance_context"":6.0,""risk"":-1.667,""confidence"":0.0},""neutral_context_delta"":-0.667,""explicit_missing_context_delta"":null,""model_minus_actual_confidence"":0.0,""model_minus_actual_risk"":1.667}"
archive,2026-05-17_ShaTin,7,模型頭三全失,未解釋／整體辨識失敗,[],"[""#2 哥倫布"", ""#12 瀧澤飛駒"", ""#10 韋少寶""]","[""#1 自動自覺"", ""#4 實力加"", ""#3 八仟好運""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":69.31,""formline"":83.267,""class_context"":69.307,""distance_context"":62.0,""risk"":69.333,""confidence"":83.0,""neutral_context_count"":0.667,""explicit_missing_context_count"":null},""actual_top3_mean"":{""speed"":65.55,""formline"":79.367,""class_context"":71.157,""distance_context"":62.667,""risk"":70.833,""confidence"":83.0,""neutral_context_count"":0.333,""explicit_missing_context_count"":null},""signal_deltas"":{""speed"":-3.76,""formline"":-3.9,""class_context"":1.85,""distance_context"":0.667,""risk"":1.5,""confidence"":0.0},""neutral_context_delta"":-0.334,""explicit_missing_context_delta"":null,""model_minus_actual_confidence"":0.0,""model_minus_actual_risk"":-1.5}"
archive,2026-05-17_ShaTin,10,模型頭三全失,form line辨識不足,"[""段速辨識不足（+7.8）""]","[""#5 安泰"", ""#11 正本良心"", ""#2 風將""]","[""#10 臻至辰"", ""#8 超輕鬆"", ""#6 三甲之星""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":62.907,""formline"":71.4,""class_context"":65.837,""distance_context"":62.0,""risk"":72.667,""confidence"":76.41,""neutral_context_count"":1.333,""explicit_missing_context_count"":null},""actual_top3_mean"":{""speed"":70.757,""formline"":81.2,""class_context"":64.817,""distance_context"":62.667,""risk"":70.333,""confidence"":83.0,""neutral_context_count"":0.333,""explicit_missing_context_count"":null},""signal_deltas"":{""speed"":7.85,""formline"":9.8,""class_context"":-1.02,""distance_context"":0.667,""risk"":-2.334,""confidence"":6.59},""neutral_context_delta"":-1.0,""explicit_missing_context_delta"":null,""model_minus_actual_confidence"":-6.59,""model_minus_actual_risk"":2.334}"
archive,2026-05-20_HappyValley,7,模型頭三全失,未解釋／整體辨識失敗,[],"[""#1 滿心星"", ""#3 開心勇駒"", ""#12 知道穩勝""]","[""#11 紫辰之星"", ""#4 泰力"", ""#5 做好自己""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":68.913,""formline"":78.133,""class_context"":75.66,""distance_context"":68.0,""risk"":70.333,""confidence"":83.0,""neutral_context_count"":0.333,""explicit_missing_context_count"":null},""actual_top3_mean"":{""speed"":68.01,""formline"":78.9,""class_context"":69.837,""distance_context"":62.667,""risk"":72.5,""confidence"":83.0,""neutral_context_count"":0.333,""explicit_missing_context_count"":null},""signal_deltas"":{""speed"":-0.903,""formline"":0.767,""class_context"":-5.823,""distance_context"":-5.333,""risk"":2.167,""confidence"":0.0},""neutral_context_delta"":0.0,""explicit_missing_context_delta"":null,""model_minus_actual_confidence"":0.0,""model_minus_actual_risk"":-2.167}"
archive,2026-05-20_HappyValley,9,模型頭三全失,未解釋／整體辨識失敗,[],"[""#9 俏眼光"", ""#10 增強"", ""#4 信心星""]","[""#8 維港智能"", ""#7 扶搖勢勁"", ""#1 天天同樂""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":79.43,""formline"":80.5,""class_context"":77.51,""distance_context"":70.0,""risk"":67.333,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":null},""actual_top3_mean"":{""speed"":71.41,""formline"":83.7,""class_context"":67.843,""distance_context"":64.0,""risk"":67.667,""confidence"":83.0,""neutral_context_count"":0.333,""explicit_missing_context_count"":null},""signal_deltas"":{""speed"":-8.02,""formline"":3.2,""class_context"":-9.667,""distance_context"":-6.0,""risk"":0.334,""confidence"":0.0},""neutral_context_delta"":0.333,""explicit_missing_context_delta"":null,""model_minus_actual_confidence"":0.0,""model_minus_actual_risk"":-0.334}"
archive,2026-05-24_ShaTin,3,模型頭三全失,班次context辨識不足,[],"[""#5 文明戰士"", ""#12 同喜"", ""#4 老鼠斑""]","[""#1 錶之浩瀚"", ""#2 巧眼光"", ""#14 有你有我""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":60.967,""formline"":75.833,""class_context"":68.503,""distance_context"":70.0,""risk"":74.167,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":null},""actual_top3_mean"":{""speed"":63.86,""formline"":79.067,""class_context"":74.197,""distance_context"":68.0,""risk"":68.5,""confidence"":83.0,""neutral_context_count"":0.333,""explicit_missing_context_count"":null},""signal_deltas"":{""speed"":2.893,""formline"":3.234,""class_context"":5.694,""distance_context"":-2.0,""risk"":-5.667,""confidence"":0.0},""neutral_context_delta"":0.333,""explicit_missing_context_delta"":null,""model_minus_actual_confidence"":0.0,""model_minus_actual_risk"":5.667}"
archive,2026-05-24_ShaTin,4,第三選已入前三,第三選排序／上限壓低,[],"[""#8 應龍飛影"", ""#4 團結戰靈"", ""#3 包裝天王""]","[""#3 包裝天王"", ""#11 銀刺勇士"", ""#9 北極之錶""]","{""comparison"":""rank3_minus_rank2"",""score_gap_rank2_rank3"":1.52,""rank3_actual_finish"":1,""signal_deltas"":{""speed"":4.0,""formline"":-13.4,""class_context"":-5.12,""distance_context"":0.0,""risk"":-7.0,""confidence"":0.0},""rank2"":{""number"":4,""name"":""團結戰靈"",""rank"":2,""score"":67.36,""speed"":72.28,""formline"":85.2,""class_context"":73.12,""distance_context"":72.0,""risk"":76.5,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":null},""rank3"":{""number"":3,""name"":""包裝天王"",""rank"":3,""score"":65.84,""speed"":76.28,""formline"":71.8,""class_context"":68.0,""distance_context"":72.0,""risk"":69.5,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":null}}"
archive,2026-05-24_ShaTin,6,第三選已入前三,第三選排序／上限壓低,"[""路程context支持第三選（+12.0）"", ""班次context支持第三選（+5.5）""]","[""#14 觀萬物"", ""#4 馬馳登"", ""#5 仁仁有餘""]","[""#5 仁仁有餘"", ""#8 馬上盈"", ""#9 共創歡欣""]","{""comparison"":""rank3_minus_rank2"",""score_gap_rank2_rank3"":2.0,""rank3_actual_finish"":1,""signal_deltas"":{""speed"":-5.53,""formline"":-11.8,""class_context"":5.55,""distance_context"":12.0,""risk"":-6.0,""confidence"":0.0},""rank2"":{""number"":4,""name"":""馬馳登"",""rank"":2,""score"":67.53,""speed"":70.76,""formline"":90.0,""class_context"":67.57,""distance_context"":60.0,""risk"":69.5,""confidence"":83.0,""neutral_context_count"":1,""explicit_missing_context_count"":null},""rank3"":{""number"":5,""name"":""仁仁有餘"",""rank"":3,""score"":65.53,""speed"":65.23,""formline"":78.2,""class_context"":73.12,""distance_context"":72.0,""risk"":63.5,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":null}}"
archive,2026-05-24_ShaTin,7,模型頭三全失,未解釋／整體辨識失敗,[],"[""#2 友瑩光"", ""#7 安帝"", ""#11 黃金騎士""]","[""#12 勁大威猛"", ""#13 勁好運"", ""#8 幸運派彩""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":62.02,""formline"":79.333,""class_context"":69.307,""distance_context"":58.667,""risk"":71.667,""confidence"":83.0,""neutral_context_count"":0.667,""explicit_missing_context_count"":null},""actual_top3_mean"":{""speed"":55.86,""formline"":80.467,""class_context"":69.937,""distance_context"":62.667,""risk"":73.333,""confidence"":83.0,""neutral_context_count"":0.333,""explicit_missing_context_count"":null},""signal_deltas"":{""speed"":-6.16,""formline"":1.134,""class_context"":0.63,""distance_context"":4.0,""risk"":1.666,""confidence"":0.0},""neutral_context_delta"":-0.334,""explicit_missing_context_delta"":null,""model_minus_actual_confidence"":0.0,""model_minus_actual_risk"":-1.666}"
archive,2026-05-24_ShaTin,10,模型頭三全失,未解釋／整體辨識失敗,[],"[""#9 精英高球"", ""#7 久久為昇"", ""#4 冷娃""]","[""#5 煌上"", ""#13 閃電小子"", ""#1 得道猴王""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":73.143,""formline"":81.667,""class_context"":76.047,""distance_context"":72.0,""risk"":69.833,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":null},""actual_top3_mean"":{""speed"":57.987,""formline"":76.533,""class_context"":67.19,""distance_context"":66.0,""risk"":70.333,""confidence"":83.0,""neutral_context_count"":0.333,""explicit_missing_context_count"":null},""signal_deltas"":{""speed"":-15.156,""formline"":-5.134,""class_context"":-8.857,""distance_context"":-6.0,""risk"":0.5,""confidence"":0.0},""neutral_context_delta"":0.333,""explicit_missing_context_delta"":null,""model_minus_actual_confidence"":0.0,""model_minus_actual_risk"":-0.5}"
independent_recent,2026-05-27_HappyValley,1,模型頭三全失,未解釋／整體辨識失敗,[],"[""#8 鑽得勝"", ""#2 魅力星"", ""#1 勇敢孖寶""]","[""#9 本能"", ""#11 東方福寶"", ""#10 星之願""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":61.683,""formline"":79.767,""class_context"":68.217,""distance_context"":64.0,""risk"":70.167,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":0},""actual_top3_mean"":{""speed"":56.517,""formline"":76.0,""class_context"":63.57,""distance_context"":62.0,""risk"":69.667,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":0},""signal_deltas"":{""speed"":-5.166,""formline"":-3.767,""class_context"":-4.647,""distance_context"":-2.0,""risk"":-0.5,""confidence"":0.0},""neutral_context_delta"":0,""explicit_missing_context_delta"":0,""model_minus_actual_confidence"":0.0,""model_minus_actual_risk"":0.5}"
independent_recent,2026-05-27_HappyValley,7,模型頭三全失,未解釋／整體辨識失敗,[],"[""#11 良駒好友"", ""#3 千杯敬典"", ""#1 泰泰精神""]","[""#9 幸運愉快"", ""#12 精益大師"", ""#6 新力""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":68.477,""formline"":78.167,""class_context"":73.12,""distance_context"":72.0,""risk"":71.167,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":0},""actual_top3_mean"":{""speed"":59.953,""formline"":77.7,""class_context"":69.937,""distance_context"":66.0,""risk"":70.833,""confidence"":83.0,""neutral_context_count"":0.333,""explicit_missing_context_count"":0.333},""signal_deltas"":{""speed"":-8.524,""formline"":-0.467,""class_context"":-3.183,""distance_context"":-6.0,""risk"":-0.334,""confidence"":0.0},""neutral_context_delta"":0.333,""explicit_missing_context_delta"":0.333,""model_minus_actual_confidence"":0.0,""model_minus_actual_risk"":0.334}"
independent_recent,2026-05-27_HappyValley,9,模型頭三全失,未解釋／整體辨識失敗,[],"[""#7 富心星"", ""#9 可靠大師"", ""#11 官金騏""]","[""#1 小霸王"", ""#5 晶晶日上"", ""#12 椒椒醒""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":69.673,""formline"":79.067,""class_context"":77.51,""distance_context"":68.0,""risk"":69.5,""confidence"":83.0,""neutral_context_count"":0.333,""explicit_missing_context_count"":0.333},""actual_top3_mean"":{""speed"":60.79,""formline"":83.267,""class_context"":69.937,""distance_context"":66.0,""risk"":73.333,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":0},""signal_deltas"":{""speed"":-8.883,""formline"":4.2,""class_context"":-7.573,""distance_context"":-2.0,""risk"":3.833,""confidence"":0.0},""neutral_context_delta"":-0.333,""explicit_missing_context_delta"":-0.333,""model_minus_actual_confidence"":0.0,""model_minus_actual_risk"":-3.833}"
independent_recent,2026-06-03_HappyValley,3,模型頭三全失,未解釋／整體辨識失敗,[],"[""#3 團長好"", ""#8 三強"", ""#1 競駿非凡""]","[""#7 博愛先鋒"", ""#12 有你有我"", ""#4 驕陽雄心""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":67.677,""formline"":79.967,""class_context"":74.583,""distance_context"":72.0,""risk"":71.0,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":0},""actual_top3_mean"":{""speed"":71.603,""formline"":80.9,""class_context"":73.12,""distance_context"":72.0,""risk"":70.5,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":0},""signal_deltas"":{""speed"":3.926,""formline"":0.933,""class_context"":-1.463,""distance_context"":0.0,""risk"":-0.5,""confidence"":0.0},""neutral_context_delta"":0,""explicit_missing_context_delta"":0,""model_minus_actual_confidence"":0.0,""model_minus_actual_risk"":0.5}"
independent_recent,2026-06-07_ShaTin,5,模型頭三全失,未解釋／整體辨識失敗,[],"[""#5 精彩動力"", ""#12 北海盜"", ""#9 精明選擇""]","[""#14 飛躍星伴"", ""#1 開心宇宙"", ""#3 超加加""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":52.83,""formline"":60.0,""class_context"":64.43,""distance_context"":66.0,""risk"":71.5,""confidence"":83.0,""neutral_context_count"":1.333,""explicit_missing_context_count"":0.333},""actual_top3_mean"":{""speed"":53.94,""formline"":60.0,""class_context"":65.463,""distance_context"":61.333,""risk"":71.5,""confidence"":83.0,""neutral_context_count"":1.333,""explicit_missing_context_count"":0},""signal_deltas"":{""speed"":1.11,""formline"":0.0,""class_context"":1.033,""distance_context"":-4.667,""risk"":0.0,""confidence"":0.0},""neutral_context_delta"":0.0,""explicit_missing_context_delta"":-0.333,""model_minus_actual_confidence"":0.0,""model_minus_actual_risk"":0.0}"
independent_recent,2026-06-07_ShaTin,6,模型頭三全失,未解釋／整體辨識失敗,[],"[""#6 金鑽精靈"", ""#9 愛心波"", ""#1 雙星報喜""]","[""#7 部族高手"", ""#10 捷威"", ""#5 好運年""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":63.85,""formline"":60.0,""class_context"":65.763,""distance_context"":64.0,""risk"":70.667,""confidence"":83.0,""neutral_context_count"":1.667,""explicit_missing_context_count"":0.667},""actual_top3_mean"":{""speed"":62.0,""formline"":60.0,""class_context"":62.967,""distance_context"":66.0,""risk"":70.5,""confidence"":83.0,""neutral_context_count"":1.333,""explicit_missing_context_count"":0.333},""signal_deltas"":{""speed"":-1.85,""formline"":0.0,""class_context"":-2.796,""distance_context"":2.0,""risk"":-0.167,""confidence"":0.0},""neutral_context_delta"":-0.334,""explicit_missing_context_delta"":-0.334,""model_minus_actual_confidence"":0.0,""model_minus_actual_risk"":0.167}"
independent_recent,2026-06-07_ShaTin,11,第三選已入前三,第三選排序／上限壓低,"[""路程context支持第三選（+16.0）""]","[""#3 一世美麗"", ""#4 傑出雷霆"", ""#5 自動自覺""]","[""#7 超輕鬆"", ""#5 自動自覺"", ""#8 勁無限""]","{""comparison"":""rank3_minus_rank2"",""score_gap_rank2_rank3"":0.59,""rank3_actual_finish"":2,""signal_deltas"":{""speed"":-14.17,""formline"":0.0,""class_context"":4.0,""distance_context"":16.0,""risk"":-3.0,""confidence"":0.0},""rank2"":{""number"":4,""name"":""傑出雷霆"",""rank"":2,""score"":67.68,""speed"":65.49,""formline"":60.0,""class_context"":68.39,""distance_context"":56.0,""risk"":72.5,""confidence"":83.0,""neutral_context_count"":1,""explicit_missing_context_count"":0},""rank3"":{""number"":5,""name"":""自動自覺"",""rank"":3,""score"":67.09,""speed"":51.32,""formline"":60.0,""class_context"":72.39,""distance_context"":72.0,""risk"":69.5,""confidence"":83.0,""neutral_context_count"":1,""explicit_missing_context_count"":0}}"
independent_recent,2026-06-10_HappyValley,1,模型頭三全失,段速辨識不足,[],"[""#7 幸運同行"", ""#5 君智盛"", ""#12 同寶寶""]","[""#2 家樂寶駒"", ""#1 竣誠駒"", ""#10 龍又生""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":47.36,""formline"":73.2,""class_context"":69.937,""distance_context"":62.0,""risk"":72.833,""confidence"":83.0,""neutral_context_count"":0.333,""explicit_missing_context_count"":0.333},""actual_top3_mean"":{""speed"":57.007,""formline"":73.2,""class_context"":68.087,""distance_context"":62.0,""risk"":71.333,""confidence"":83.0,""neutral_context_count"":0.333,""explicit_missing_context_count"":0.333},""signal_deltas"":{""speed"":9.647,""formline"":0.0,""class_context"":-1.85,""distance_context"":0.0,""risk"":-1.5,""confidence"":0.0},""neutral_context_delta"":0.0,""explicit_missing_context_delta"":0.0,""model_minus_actual_confidence"":0.0,""model_minus_actual_risk"":1.5}"
independent_recent,2026-06-10_HappyValley,2,第三選已入前三,第三選排序／上限壓低,[],"[""#5 大千氣象"", ""#11 多利神駒"", ""#7 準希望""]","[""#1 高高至高"", ""#7 準希望"", ""#6 得意佳作""]","{""comparison"":""rank3_minus_rank2"",""score_gap_rank2_rank3"":1.31,""rank3_actual_finish"":2,""signal_deltas"":{""speed"":2.94,""formline"":0.7,""class_context"":-13.94,""distance_context"":-6.0,""risk"":-3.0,""confidence"":0.0},""rank2"":{""number"":11,""name"":""多利神駒"",""rank"":2,""score"":70.55,""speed"":65.47,""formline"":81.6,""class_context"":77.51,""distance_context"":72.0,""risk"":70.5,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":0},""rank3"":{""number"":7,""name"":""準希望"",""rank"":3,""score"":69.24,""speed"":68.41,""formline"":82.3,""class_context"":63.57,""distance_context"":66.0,""risk"":67.5,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":0}}"
independent_recent,2026-06-10_HappyValley,3,第三選已入前三,第三選排序／上限壓低,[],"[""#12 旭能精英"", ""#9 良駒好友"", ""#8 風火猴王""]","[""#8 風火猴王"", ""#11 友得盈"", ""#5 勝多多""]","{""comparison"":""rank3_minus_rank2"",""score_gap_rank2_rank3"":0.64,""rank3_actual_finish"":1,""signal_deltas"":{""speed"":-3.03,""formline"":2.8,""class_context"":-9.55,""distance_context"":-6.0,""risk"":-5.5,""confidence"":0.0},""rank2"":{""number"":9,""name"":""良駒好友"",""rank"":2,""score"":69.19,""speed"":70.76,""formline"":79.5,""class_context"":73.12,""distance_context"":72.0,""risk"":73.0,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":0},""rank3"":{""number"":8,""name"":""風火猴王"",""rank"":3,""score"":68.55,""speed"":67.73,""formline"":82.3,""class_context"":63.57,""distance_context"":66.0,""risk"":67.5,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":0}}"
independent_recent,2026-06-10_HappyValley,5,第三選已入前三,第三選排序／上限壓低,"[""form line支持第三選（+13.9）""]","[""#5 有情有義"", ""#6 追風"", ""#12 爆竹""]","[""#12 爆竹"", ""#3 紅海勁"", ""#1 上浦福旺""]","{""comparison"":""rank3_minus_rank2"",""score_gap_rank2_rank3"":0.44,""rank3_actual_finish"":1,""signal_deltas"":{""speed"":-4.5,""formline"":13.9,""class_context"":0.0,""distance_context"":0.0,""risk"":-1.0,""confidence"":0.0},""rank2"":{""number"":6,""name"":""追風"",""rank"":2,""score"":70.32,""speed"":69.23,""formline"":76.1,""class_context"":73.12,""distance_context"":72.0,""risk"":66.5,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":0},""rank3"":{""number"":12,""name"":""爆竹"",""rank"":3,""score"":69.88,""speed"":64.73,""formline"":90.0,""class_context"":73.12,""distance_context"":72.0,""risk"":65.5,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":0}}"
independent_recent,2026-06-10_HappyValley,8,第三選已入前三,第三選排序／上限壓低,"[""第二／第三選分差極近（0.44）""]","[""#1 志滿同行"", ""#10 沙井之友"", ""#5 弦力寶""]","[""#8 財將"", ""#12 太子"", ""#5 弦力寶""]","{""comparison"":""rank3_minus_rank2"",""score_gap_rank2_rank3"":0.44,""rank3_actual_finish"":3,""signal_deltas"":{""speed"":-16.37,""formline"":0.0,""class_context"":0.0,""distance_context"":0.0,""risk"":-7.0,""confidence"":0.0},""rank2"":{""number"":10,""name"":""沙井之友"",""rank"":2,""score"":72.32,""speed"":75.04,""formline"":90.0,""class_context"":73.12,""distance_context"":72.0,""risk"":69.5,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":0},""rank3"":{""number"":5,""name"":""弦力寶"",""rank"":3,""score"":71.88,""speed"":58.67,""formline"":90.0,""class_context"":73.12,""distance_context"":72.0,""risk"":62.5,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":0}}"
independent_recent,2026-06-13_ShaTin,2,第三選已入前三,第三選排序／上限壓低,[],"[""#3 機械騎士"", ""#9 爆熱"", ""#8 鄉村樂韻""]","[""#8 鄉村樂韻"", ""#4 果然僥倖"", ""#12 朗日雪峰""]","{""comparison"":""rank3_minus_rank2"",""score_gap_rank2_rank3"":1.0,""rank3_actual_finish"":1,""signal_deltas"":{""speed"":-3.0,""formline"":1.5,""class_context"":-13.94,""distance_context"":-18.0,""risk"":-4.5,""confidence"":0.0},""rank2"":{""number"":9,""name"":""爆熱"",""rank"":2,""score"":70.58,""speed"":75.28,""formline"":76.7,""class_context"":77.51,""distance_context"":72.0,""risk"":73.0,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":0},""rank3"":{""number"":8,""name"":""鄉村樂韻"",""rank"":3,""score"":69.58,""speed"":72.28,""formline"":78.2,""class_context"":63.57,""distance_context"":54.0,""risk"":68.5,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":0}}"
independent_recent,2026-06-13_ShaTin,3,模型頭三全失,段速辨識不足,[],"[""#9 馬上盈"", ""#11 你知我寶"", ""#13 共創歡欣""]","[""#12 賢者威楓"", ""#4 深心星"", ""#5 龍之悅""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":65.76,""formline"":82.533,""class_context"":70.08,""distance_context"":66.667,""risk"":73.0,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":0},""actual_top3_mean"":{""speed"":70.807,""formline"":77.467,""class_context"":68.877,""distance_context"":59.333,""risk"":67.333,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":0},""signal_deltas"":{""speed"":5.047,""formline"":-5.066,""class_context"":-1.203,""distance_context"":-7.334,""risk"":-5.667,""confidence"":0.0},""neutral_context_delta"":0,""explicit_missing_context_delta"":0,""model_minus_actual_confidence"":0.0,""model_minus_actual_risk"":5.667}"
independent_recent,2026-06-13_ShaTin,9,模型頭三全失,未解釋／整體辨識失敗,[],"[""#6 三軍勇將"", ""#1 樂勝天下"", ""#2 熾烈神駒""]","[""#10 偵探傳奇"", ""#3 興馳千里"", ""#9 德心知遇""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":74.12,""formline"":81.167,""class_context"":77.51,""distance_context"":68.0,""risk"":70.667,""confidence"":83.0,""neutral_context_count"":0.333,""explicit_missing_context_count"":0.333},""actual_top3_mean"":{""speed"":55.653,""formline"":76.5,""class_context"":74.583,""distance_context"":68.0,""risk"":70.667,""confidence"":83.0,""neutral_context_count"":0.333,""explicit_missing_context_count"":0.333},""signal_deltas"":{""speed"":-18.467,""formline"":-4.667,""class_context"":-2.927,""distance_context"":0.0,""risk"":0.0,""confidence"":0.0},""neutral_context_delta"":0.0,""explicit_missing_context_delta"":0.0,""model_minus_actual_confidence"":0.0,""model_minus_actual_risk"":0.0}"
