dataset,meeting,race_number,case_type,primary_cause,secondary_causes,model_top3,actual_top3,evidence
archive,2026-04-29_HappyValley,1,模型頭三全失,未解釋／整體辨識失敗,[],"[""#7 幸運同行"", ""#11 鼓浪飛凡"", ""#6 架勢奇爸""]","[""#4 滿洛城"", ""#3 揚威四海"", ""#5 富裕君子""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":60.0,""formline"":78.2,""class_context"":61.333,""distance_context"":66.667,""risk"":64.333,""confidence"":66.0,""neutral_context_count"":1,""explicit_missing_context_count"":null},""actual_top3_mean"":{""speed"":60.0,""formline"":79.133,""class_context"":57.633,""distance_context"":61.333,""risk"":64.333,""confidence"":65.077,""neutral_context_count"":1.667,""explicit_missing_context_count"":null},""signal_deltas"":{""speed"":0.0,""formline"":0.933,""class_context"":-3.7,""distance_context"":-5.334,""risk"":0.0,""confidence"":-0.923},""neutral_context_delta"":0.667,""explicit_missing_context_delta"":null,""model_minus_actual_confidence"":0.923,""model_minus_actual_risk"":0.0}"
archive,2026-04-29_HappyValley,3,第三選已入前三,第三選排序／上限壓低,"[""第二／第三選分差極近（0.49）""]","[""#2 大千氣象"", ""#9 禾道威"", ""#5 雙贏""]","[""#10 佰勝金龍"", ""#5 雙贏"", ""#8 富喜來""]","{""comparison"":""rank3_minus_rank2"",""score_gap_rank2_rank3"":0.49,""rank3_actual_finish"":2,""signal_deltas"":{""speed"":0.0,""formline"":1.4,""class_context"":0.0,""distance_context"":0.0,""risk"":0.0,""confidence"":0.0},""rank2"":{""number"":9,""name"":""禾道威"",""rank"":2,""score"":68.58,""speed"":60.0,""formline"":75.4,""class_context"":68.39,""distance_context"":72.0,""risk"":64.0,""confidence"":66.0,""neutral_context_count"":1,""explicit_missing_context_count"":null},""rank3"":{""number"":5,""name"":""雙贏"",""rank"":3,""score"":68.09,""speed"":60.0,""formline"":76.8,""class_context"":68.39,""distance_context"":72.0,""risk"":64.0,""confidence"":66.0,""neutral_context_count"":1,""explicit_missing_context_count"":null}}"
archive,2026-05-03_ShaTin,1,模型頭三全失,未解釋／整體辨識失敗,[],"[""#2 金風萬里"", ""#5 首駿"", ""#14 紅旺繽紛""]","[""#13 城中勇士"", ""#9 八里旺"", ""#11 皇金合""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":64.647,""formline"":78.633,""class_context"":74.583,""distance_context"":72.0,""risk"":64.5,""confidence"":71.667,""neutral_context_count"":0.667,""explicit_missing_context_count"":null},""actual_top3_mean"":{""speed"":60.0,""formline"":73.767,""class_context"":74.583,""distance_context"":68.0,""risk"":64.667,""confidence"":66.0,""neutral_context_count"":1.333,""explicit_missing_context_count"":null},""signal_deltas"":{""speed"":-4.647,""formline"":-4.866,""class_context"":0.0,""distance_context"":-4.0,""risk"":0.167,""confidence"":-5.667},""neutral_context_delta"":0.666,""explicit_missing_context_delta"":null,""model_minus_actual_confidence"":5.667,""model_minus_actual_risk"":-0.167}"
archive,2026-05-03_ShaTin,9,模型頭三全失,路程context辨識不足,[],"[""#5 昭易搵"", ""#10 勁大威猛"", ""#9 紫荊拼搏""]","[""#8 安帝"", ""#1 友瑩光"", ""#4 盈好威楓""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":60.0,""formline"":74.933,""class_context"":68.603,""distance_context"":57.333,""risk"":64.0,""confidence"":66.0,""neutral_context_count"":1.333,""explicit_missing_context_count"":null},""actual_top3_mean"":{""speed"":60.0,""formline"":77.267,""class_context"":71.17,""distance_context"":68.0,""risk"":64.333,""confidence"":66.0,""neutral_context_count"":1.333,""explicit_missing_context_count"":null},""signal_deltas"":{""speed"":0.0,""formline"":2.334,""class_context"":2.567,""distance_context"":10.667,""risk"":0.333,""confidence"":0.0},""neutral_context_delta"":0.0,""explicit_missing_context_delta"":null,""model_minus_actual_confidence"":0.0,""model_minus_actual_risk"":-0.333}"
archive,2026-05-06_ShaTin,6,模型頭三全失,班次context辨識不足,[],"[""#5 花開"", ""#6 天威"", ""#11 林寶精神""]","[""#13 午夜快車"", ""#2 超加加"", ""#1 凱明神駒""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":61.683,""formline"":83.7,""class_context"":68.23,""distance_context"":70.0,""risk"":69.667,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":null},""actual_top3_mean"":{""speed"":54.013,""formline"":75.767,""class_context"":74.583,""distance_context"":72.0,""risk"":73.5,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":null},""signal_deltas"":{""speed"":-7.67,""formline"":-7.933,""class_context"":6.353,""distance_context"":2.0,""risk"":3.833,""confidence"":0.0},""neutral_context_delta"":0,""explicit_missing_context_delta"":null,""model_minus_actual_confidence"":0.0,""model_minus_actual_risk"":-3.833}"
archive,2026-05-09_ShaTin,1,第三選已入前三,第三選排序／上限壓低,"[""第二／第三選分差極近（0.44）""]","[""#1 全能勇士"", ""#7 極歡欣"", ""#2 銳行星""]","[""#5 鵲橋飛昇"", ""#2 銳行星"", ""#6 永福""]","{""comparison"":""rank3_minus_rank2"",""score_gap_rank2_rank3"":0.44,""rank3_actual_finish"":2,""signal_deltas"":{""speed"":0.0,""formline"":0.0,""class_context"":0.0,""distance_context"":0.0,""risk"":-2.0,""confidence"":0.0},""rank2"":{""number"":7,""name"":""極歡欣"",""rank"":2,""score"":69.9,""speed"":60.0,""formline"":60.0,""class_context"":60.0,""distance_context"":58.0,""risk"":69.5,""confidence"":63.23,""neutral_context_count"":3,""explicit_missing_context_count"":null},""rank3"":{""number"":2,""name"":""銳行星"",""rank"":3,""score"":69.46,""speed"":60.0,""formline"":60.0,""class_context"":60.0,""distance_context"":58.0,""risk"":67.5,""confidence"":63.23,""neutral_context_count"":3,""explicit_missing_context_count"":null}}"
archive,2026-05-09_ShaTin,4,第三選已入前三,第三選排序／上限壓低,"[""路程context支持第三選（+6.0）""]","[""#6 鴻圖新星"", ""#1 展雄威"", ""#4 支付之父""]","[""#10 一舖掂晒"", ""#4 支付之父"", ""#11 致力之城""]","{""comparison"":""rank3_minus_rank2"",""score_gap_rank2_rank3"":1.11,""rank3_actual_finish"":2,""signal_deltas"":{""speed"":-4.36,""formline"":-10.4,""class_context"":-5.57,""distance_context"":6.0,""risk"":7.0,""confidence"":0.0},""rank2"":{""number"":1,""name"":""展雄威"",""rank"":2,""score"":71.39,""speed"":68.41,""formline"":83.0,""class_context"":67.57,""distance_context"":60.0,""risk"":66.0,""confidence"":83.0,""neutral_context_count"":1,""explicit_missing_context_count"":null},""rank3"":{""number"":4,""name"":""支付之父"",""rank"":3,""score"":70.28,""speed"":64.05,""formline"":72.6,""class_context"":62.0,""distance_context"":66.0,""risk"":73.0,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":null}}"
archive,2026-05-09_ShaTin,5,模型頭三全失,資料缺失／中性60壓低上限,[],"[""#3 輝灑自如"", ""#9 星辰千帥"", ""#1 錶之浩瀚""]","[""#4 君子"", ""#6 老鼠斑"", ""#2 心雄雄""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":69.03,""formline"":74.2,""class_context"":70.633,""distance_context"":70.0,""risk"":70.167,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":null},""actual_top3_mean"":{""speed"":59.013,""formline"":71.133,""class_context"":63.987,""distance_context"":60.0,""risk"":68.167,""confidence"":76.41,""neutral_context_count"":1,""explicit_missing_context_count"":null},""signal_deltas"":{""speed"":-10.017,""formline"":-3.067,""class_context"":-6.646,""distance_context"":-10.0,""risk"":-2.0,""confidence"":-6.59},""neutral_context_delta"":1,""explicit_missing_context_delta"":null,""model_minus_actual_confidence"":6.59,""model_minus_actual_risk"":2.0}"
archive,2026-05-09_ShaTin,7,模型頭三全失,未解釋／整體辨識失敗,[],"[""#1 威武年代"", ""#5 大千雄心"", ""#7 綫路福將""]","[""#13 金鑽精靈"", ""#8 好運年"", ""#11 君達得""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":65.173,""formline"":81.433,""class_context"":72.49,""distance_context"":68.0,""risk"":69.0,""confidence"":83.0,""neutral_context_count"":0.333,""explicit_missing_context_count"":null},""actual_top3_mean"":{""speed"":66.707,""formline"":81.4,""class_context"":71.157,""distance_context"":70.0,""risk"":70.5,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":null},""signal_deltas"":{""speed"":1.534,""formline"":-0.033,""class_context"":-1.333,""distance_context"":2.0,""risk"":1.5,""confidence"":0.0},""neutral_context_delta"":-0.333,""explicit_missing_context_delta"":null,""model_minus_actual_confidence"":0.0,""model_minus_actual_risk"":-1.5}"
archive,2026-05-09_ShaTin,9,模型頭三全失,未解釋／整體辨識失敗,[],"[""#2 米奇"", ""#1 會長之寶"", ""#4 星運傳奇""]","[""#7 團結勇士"", ""#13 幸運糖"", ""#14 飛來閃耀""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":78.09,""formline"":82.133,""class_context"":71.543,""distance_context"":66.667,""risk"":70.0,""confidence"":83.0,""neutral_context_count"":0,""explicit_missing_context_count"":null},""actual_top3_mean"":{""speed"":70.34,""formline"":82.567,""class_context"":73.007,""distance_context"":62.667,""risk"":70.0,""confidence"":83.0,""neutral_context_count"":0.333,""explicit_missing_context_count"":null},""signal_deltas"":{""speed"":-7.75,""formline"":0.434,""class_context"":1.464,""distance_context"":-4.0,""risk"":0.0,""confidence"":0.0},""neutral_context_delta"":0.333,""explicit_missing_context_delta"":null,""model_minus_actual_confidence"":0.0,""model_minus_actual_risk"":0.0}"
