dataset,signal,rows,mean,stdev,minimum,maximum,neutral_60,neutral_60_rate,recent_provenance_rows,recent_missing_neutral,recent_missing_neutral_rate
external_2026_07_15,same_distance_signal_score,107,62.075,8.302,54.0,72.0,5,4.7,107,0,0.0
external_2026_07_15,trackwork_trend_score,107,65.155,9.349,48.74,76.2,14,13.1,107,0,0.0
external_2026_07_15,race_shape_context_score,107,62.507,12.708,39.06,82.0,1,0.9,107,0,0.0
external_2026_07_15,matrix_stability,107,55.976,9.404,40.49,79.59,0,0.0,107,0,0.0
external_2026_07_15,matrix_sectional,107,59.225,10.789,34.12,81.45,1,0.9,107,0,0.0
external_2026_07_15,matrix_race_shape,107,62.507,12.708,39.06,82.0,1,0.9,107,0,0.0
external_2026_07_15,matrix_trainer_signal,107,60.956,4.523,51.86,75.59,0,0.0,107,0,0.0
external_2026_07_15,matrix_horse_health,107,67.19,3.723,56.17,73.67,0,0.0,107,0,0.0
external_2026_07_15,matrix_form_line,107,81.645,12.128,60.0,96.0,21,19.6,107,0,0.0
external_2026_07_15,matrix_class_advantage,107,62.269,4.515,54.0,70.29,1,0.9,107,0,0.0
independent_recent,form_score,1367,54.892,12.819,40.0,100.0,69,5.0,1367,0,0.0
independent_recent,speed_score,1367,61.366,9.224,38.62,84.63,54,4.0,1367,0,0.0
independent_recent,class_score,1367,66.799,7.196,52.45,77.51,77,5.6,1367,0,0.0
independent_recent,jockey_score,1367,70.279,9.391,50.53,94.2,94,6.9,1367,0,0.0
independent_recent,trainer_score,1367,70.116,7.83,56.39,87.0,139,10.2,1367,0,0.0
independent_recent,draw_score,1367,63.473,8.457,49.06,77.45,0,0.0,1367,0,0.0
independent_recent,distance_score,1367,64.432,6.832,54.0,72.0,230,16.8,1367,230,16.8
independent_recent,track_going_score,1367,60.076,1.371,58.0,66.0,1187,86.8,1367,1187,86.8
independent_recent,weight_score,1367,63.646,5.492,50.0,74.0,75,5.5,1367,0,0.0
independent_recent,consistency_score,1367,58.406,10.903,29.77,81.96,4,0.3,1367,3,0.2
independent_recent,risk_score,1367,70.073,4.077,50.0,76.5,5,0.4,1367,0,0.0
independent_recent,confidence_score,1367,82.147,3.938,58.23,83.0,0,0.0,1367,0,0.0
independent_recent,formline_strength_score,1367,72.249,13.553,60.0,96.0,714,52.2,1367,0,0.0
