dataset,split,meeting,date,venue,race_number,actual_top3,winner,stored_top2,current_top2,shadow_top2,stored_hits,current_hits,shadow_hits,stored_winner_top2,current_winner_top1,current_winner_top2,shadow_winner_top1,shadow_winner_top2,top2_changed,entered_top2,exited_top2,hit_delta,winner_delta,zero_to_positive,one_to_two,one_to_zero,two_to_one_or_zero,current_rank3,current_rank3_is_top3,current_rank3_promoted,effective_rank3_rescue,harmful_rank3_promotion,effective_replacement,harmful_replacement,field_size
independent_recent,independent_recent,2026-07-04_ShaTin,2026-07-04,ShaTin,4,3/4/6,4,4/1,4/5,4/5,1,1,1,1,1,1,1,1,0,,,0,0,0,0,0,0,6,1,0,0,0,0,0,7
independent_recent,independent_recent,2026-07-04_ShaTin,2026-07-04,ShaTin,5,4/11/13,11,4/8,4/13,4/13,1,2,2,0,0,0,0,0,0,,,0,0,0,0,0,0,1,0,0,0,0,0,0,14
independent_recent,independent_recent,2026-07-04_ShaTin,2026-07-04,ShaTin,6,6/7/11,7,1/8,1/7,1/7,0,1,1,0,0,1,0,1,0,,,0,0,0,0,0,0,8,0,0,0,0,0,0,12
independent_recent,independent_recent,2026-07-04_ShaTin,2026-07-04,ShaTin,7,5/6/12,5,4/6,6/4,6/4,1,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,12,1,0,0,0,0,0,12
independent_recent,independent_recent,2026-07-04_ShaTin,2026-07-04,ShaTin,8,3/6/9,6,2/9,6/12,6/12,1,1,1,0,1,1,1,1,0,,,0,0,0,0,0,0,10,0,0,0,0,0,0,14
independent_recent,independent_recent,2026-07-04_ShaTin,2026-07-04,ShaTin,9,1/3/6,3,3/5,3/5,3/5,1,1,1,1,1,1,1,1,0,,,0,0,0,0,0,0,4,0,0,0,0,0,0,12
independent_recent,independent_recent,2026-07-04_ShaTin,2026-07-04,ShaTin,10,6/7/12,7,1/6,6/1,6/1,1,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,12,1,0,0,0,0,0,12
independent_recent,independent_recent,2026-07-04_ShaTin,2026-07-04,ShaTin,11,1/5/11,1,11/4,11/3,11/3,1,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,1,1,0,0,0,0,0,14
independent_recent,independent_recent,2026-07-08_HappyValley,2026-07-08,HappyValley,1,1/3/5,3,3/12,3/12,3/12,1,1,1,1,1,1,1,1,0,,,0,0,0,0,0,0,10,0,0,0,0,0,0,12
independent_recent,independent_recent,2026-07-08_HappyValley,2026-07-08,HappyValley,2,1/6/8,1,9/2,9/2,9/2,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,4,0,0,0,0,0,0,12
independent_recent,independent_recent,2026-07-08_HappyValley,2026-07-08,HappyValley,3,4/8/11,11,1/8,1/8,1/8,1,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,11,1,0,0,0,0,0,12
independent_recent,independent_recent,2026-07-08_HappyValley,2026-07-08,HappyValley,4,1/6/7,1,5/1,5/1,5/1,1,1,1,1,0,1,0,1,0,,,0,0,0,0,0,0,4,0,0,0,0,0,0,8
independent_recent,independent_recent,2026-07-08_HappyValley,2026-07-08,HappyValley,5,2/9/12,9,9/10,9/10,9/10,1,1,1,1,1,1,1,1,0,,,0,0,0,0,0,0,6,0,0,0,0,0,0,12
independent_recent,independent_recent,2026-07-08_HappyValley,2026-07-08,HappyValley,6,2/3/4,4,4/3,4/3,4/3,2,2,2,1,1,1,1,1,0,,,0,0,0,0,0,0,10,0,0,0,0,0,0,12
independent_recent,independent_recent,2026-07-08_HappyValley,2026-07-08,HappyValley,7,1/3/8,8,2/5,2/5,2/5,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,11,0,0,0,0,0,0,12
independent_recent,independent_recent,2026-07-08_HappyValley,2026-07-08,HappyValley,8,9/10/11,9,3/12,3/12,3/12,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,2,0,0,0,0,0,0,12
independent_recent,independent_recent,2026-07-08_HappyValley,2026-07-08,HappyValley,9,3/4/11,11,1/7,1/7,1/7,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,11,1,0,0,0,0,0,12
independent_recent,independent_recent,2026-07-12_ShaTin,2026-07-12,ShaTin,1,1/2/11,1,11/4,4/11,4/11,1,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,10,0,0,0,0,0,0,14
independent_recent,independent_recent,2026-07-12_ShaTin,2026-07-12,ShaTin,2,6/7/11,7,7/10,7/10,7/10,1,1,1,1,1,1,1,1,0,,,0,0,0,0,0,0,11,1,0,0,0,0,0,14
independent_recent,independent_recent,2026-07-12_ShaTin,2026-07-12,ShaTin,3,6/9/10,6,13/6,13/6,13/6,1,1,1,1,0,1,0,1,0,,,0,0,0,0,0,0,10,1,0,0,0,0,0,14
independent_recent,independent_recent,2026-07-12_ShaTin,2026-07-12,ShaTin,4,1/2/12,2,2/5,2/5,2/5,1,1,1,1,1,1,1,1,0,,,0,0,0,0,0,0,7,0,0,0,0,0,0,14
independent_recent,independent_recent,2026-07-12_ShaTin,2026-07-12,ShaTin,5,1/10/12,10,2/3,2/3,2/3,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,12,1,0,0,0,0,0,14
independent_recent,independent_recent,2026-07-12_ShaTin,2026-07-12,ShaTin,6,2/8/10,2,1/14,1/14,1/14,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,5,0,0,0,0,0,0,14
independent_recent,independent_recent,2026-07-12_ShaTin,2026-07-12,ShaTin,7,3/5/6,3,10/9,10/9,10/9,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,5,1,0,0,0,0,0,14
independent_recent,independent_recent,2026-07-12_ShaTin,2026-07-12,ShaTin,8,2/9/12,2,9/4,9/4,9/4,1,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,2,1,0,0,0,0,0,12
independent_recent,independent_recent,2026-07-12_ShaTin,2026-07-12,ShaTin,9,1/5/8,5,1/4,1/4,1/4,1,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,8,1,0,0,0,0,0,14
independent_recent,independent_recent,2026-07-12_ShaTin,2026-07-12,ShaTin,10,4/12/13,13,4/7,7/4,7/4,1,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,12,1,0,0,0,0,0,14
independent_recent,independent_recent,2026-07-12_ShaTin,2026-07-12,ShaTin,11,3/4/12,3,8/6,8/6,8/6,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,1,0,0,0,0,0,0,14
external_2026_07_15,external_2026_07_15,2026-07-15_HappyValley,2026-07-15,HappyValley,1,3/10/11,3,4/9,4/9,4/9,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,2,0,0,0,0,0,0,12
external_2026_07_15,external_2026_07_15,2026-07-15_HappyValley,2026-07-15,HappyValley,2,4/9/10,10,4/9,4/9,4/9,2,2,2,0,0,0,0,0,0,,,0,0,0,0,0,0,2,0,0,0,0,0,0,12
external_2026_07_15,external_2026_07_15,2026-07-15_HappyValley,2026-07-15,HappyValley,3,4/5/10,10,10/4,10/4,10/4,2,2,2,1,1,1,1,1,0,,,0,0,0,0,0,0,9,0,0,0,0,0,0,12
external_2026_07_15,external_2026_07_15,2026-07-15_HappyValley,2026-07-15,HappyValley,4,1/6/9,6,4/3,4/3,4/1,0,0,1,0,0,0,0,0,1,1,3,1,0,1,0,0,0,1,1,1,1,0,1,0,12
external_2026_07_15,external_2026_07_15,2026-07-15_HappyValley,2026-07-15,HappyValley,5,1/9/12,12,9/6,6/9,9/6,1,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,1,1,0,0,0,0,0,12
external_2026_07_15,external_2026_07_15,2026-07-15_HappyValley,2026-07-15,HappyValley,6,6/9/11,6,5/7,5/7,5/7,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,6,1,0,0,0,0,0,12
external_2026_07_15,external_2026_07_15,2026-07-15_HappyValley,2026-07-15,HappyValley,7,4/8/11,11,10/9,10/9,10/9,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,12,0,0,0,0,0,0,12
external_2026_07_15,external_2026_07_15,2026-07-15_HappyValley,2026-07-15,HappyValley,8,1/3/11,3,4/2,4/2,4/2,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,3,1,0,0,0,0,0,11
