dataset,meeting,race_number,promotion_outcome,rank1_hit,rank2_hit,rank3_hit,rank2_winner,rank3_winner,score_gap_rank2_rank3,signal_deltas,supporting_evidence,rank1,rank2,rank3,actual_top3
independent_recent,2026-06-03_HappyValley,8,有幫助：1→2,True,False,True,False,False,0.26,"{""speed"":17.54,""formline"":8.4,""class_context"":0.0,""distance_context"":0.0,""risk"":0.5,""confidence"":0.0}","[""段速支持第三選（+17.5）"",""form line支持第三選（+8.4）""]",#6 銀亮奔騰,#2 太陽勇士,#11 奔放,"[""1. #6 銀亮奔騰"",""2. #11 奔放"",""3. #4 加州動員""]"
independent_recent,2026-06-07_ShaTin,7,無hit變化：第二及第三選皆中,False,True,True,False,True,0.29,"{""speed"":7.63,""formline"":0.0,""class_context"":0.0,""distance_context"":0.0,""risk"":1.0,""confidence"":0.0}","[""段速支持第三選（+7.6）""]",#4 小魔怪,#10 快樂高球,#8 應龍飛影,"[""1. #8 應龍飛影"",""2. #5 明德輝煌"",""3. #10 快樂高球""]"
independent_recent,2026-06-07_ShaTin,9,無hit變化：第二及第三選皆中,False,True,True,True,False,0.24,"{""speed"":-6.81,""formline"":0.0,""class_context"":-10.39,""distance_context"":-6.0,""risk"":-4.0,""confidence"":0.0}","[""第二／第三選分差極近（0.24）""]",#1 得道猴王,#5 超寫意,#6 㩒住贏,"[""1. #5 超寫意"",""2. #6 㩒住贏"",""3. #2 愛馬善""]"
independent_recent,2026-06-07_ShaTin,10,無hit變化：第二及第三選皆失,True,False,False,False,False,0.55,"{""speed"":0.0,""formline"":0.0,""class_context"":-4.39,""distance_context"":6.0,""risk"":0.5,""confidence"":0.0}","[""路程context支持第三選（+6.0）""]",#9 威利金箭,#6 扶搖勢勁,#3 維港智能,"[""1. #8 喜慶寶"",""2. #5 魔術控制"",""3. #9 威利金箭""]"
independent_recent,2026-06-10_HappyValley,4,有幫助：1→2,True,False,True,False,True,0.28,"{""speed"":-9.53,""formline"":-2.1,""class_context"":0.0,""distance_context"":0.0,""risk"":1.5,""confidence"":0.0}","[""第二／第三選分差極近（0.28）""]",#5 美麗登場,#2 紅錢到,#3 鴻圖新星,"[""1. #3 鴻圖新星"",""2. #5 美麗登場"",""3. #8 天火同人""]"
independent_recent,2026-06-10_HappyValley,6,無hit變化：第二及第三選皆中,False,True,True,False,True,0.08,"{""speed"":3.55,""formline"":6.9,""class_context"":-4.39,""distance_context"":0.0,""risk"":13.0,""confidence"":0.0}","[""form line支持第三選（+6.9）"",""第三選風險分較高（+13.0）""]",#2 巴閉王,#3 風采人生,#8 烈焰光芒,"[""1. #8 烈焰光芒"",""2. #4 日馳千里"",""3. #3 風采人生""]"
independent_recent,2026-06-10_HappyValley,7,有傷害：1→0,False,True,False,False,False,0.79,"{""speed"":-9.75,""formline"":-7.0,""class_context"":8.39,""distance_context"":4.0,""risk"":-6.5,""confidence"":0.0}","[""班次context支持第三選（+8.4）""]",#3 豐辰,#11 將義,#10 大千雄心,"[""1. #5 極光之子"",""2. #11 將義"",""3. #2 川河耀駒""]"
independent_recent,2026-06-10_HappyValley,9,有幫助：1→2,True,False,True,False,False,0.41,"{""speed"":11.13,""formline"":0.0,""class_context"":0.0,""distance_context"":0.0,""risk"":7.5,""confidence"":0.0}","[""段速支持第三選（+11.1）""]",#11 觀眾之力,#6 勇霸龍,#1 東來欣賞,"[""1. #11 觀眾之力"",""2. #1 東來欣賞"",""3. #4 馬達""]"
independent_recent,2026-06-13_ShaTin,1,無hit變化：第二及第三選皆中,False,True,True,False,True,1.4,"{""speed"":-8.12,""formline"":-12.6,""class_context"":6.0,""distance_context"":2.0,""risk"":-9.0,""confidence"":-19.77}","[""班次context支持第三選（+6.0）""]",#2 龍騰盛世,#7 量子猴王,#6 星球勇士,"[""1. #6 星球勇士"",""2. #1 禪勝閃亮"",""3. #7 量子猴王""]"
independent_recent,2026-06-13_ShaTin,4,有傷害：1→0,False,True,False,False,False,0.85,"{""speed"":-15.72,""formline"":0.7,""class_context"":5.55,""distance_context"":0.0,""risk"":3.5,""confidence"":0.0}","[""班次context支持第三選（+5.5）""]",#6 超開心,#2 安可,#9 凝妙星,"[""1. #3 年年友福"",""2. #12 天蓬貓"",""3. #2 安可""]"
independent_recent,2026-06-13_ShaTin,5,無hit變化：第二及第三選皆失,True,False,False,False,False,0.48,"{""speed"":10.53,""formline"":7.7,""class_context"":0.0,""distance_context"":0.0,""risk"":7.0,""confidence"":0.0}","[""段速支持第三選（+10.5）"",""form line支持第三選（+7.7）""]",#2 葳莉非凡,#5 顯勝高昇,#1 起舞奜奜,"[""1. #7 文明戰士"",""2. #2 葳莉非凡"",""3. #3 逍遙人生""]"
independent_recent,2026-06-13_ShaTin,6,有傷害：1→0,False,True,False,False,False,1.03,"{""speed"":4.01,""formline"":10.5,""class_context"":-9.55,""distance_context"":6.0,""risk"":3.5,""confidence"":0.0}","[""form line支持第三選（+10.5）"",""路程context支持第三選（+6.0）""]",#3 卓越蒨鋒,#11 華麗再贏,#4 蹺妙,"[""1. #1 百勝威龍"",""2. #11 華麗再贏"",""3. #9 遨遊波士""]"
independent_recent,2026-06-13_ShaTin,8,無hit變化：第二及第三選皆失,True,False,False,False,False,0.06,"{""speed"":-11.87,""formline"":-2.7,""class_context"":4.39,""distance_context"":0.0,""risk"":4.5,""confidence"":0.0}","[""第二／第三選分差極近（0.06）""]",#7 一起美麗,#3 包裝福星,#5 勁沙塵,"[""1. #2 太陽勇士"",""2. #7 一起美麗"",""3. #1 睿盛人生""]"
independent_recent,2026-06-21_ShaTin,3,無hit變化：第二及第三選皆中,False,True,True,True,False,2.59,"{""speed"":-10.76,""formline"":-13.2,""class_context"":-17.51,""distance_context"":-2.0,""risk"":-7.5,""confidence"":-19.77}",[],#2 博愛先鋒,#1 包裝明將,#5 祥勝鷹駒,"[""1. #1 包裝明將"",""2. #5 祥勝鷹駒"",""3. #8 彪形勇將""]"
independent_recent,2026-06-21_ShaTin,4,無hit變化：第二及第三選皆失,True,False,False,False,False,2.89,"{""speed"":-17.93,""formline"":-15.4,""class_context"":3.55,""distance_context"":-8.0,""risk"":2.0,""confidence"":-19.77}",[],#3 鋁神,#7 熱氣球,#4 笑看風雲,"[""1. #2 超和平"",""2. #3 鋁神"",""3. #11 馬鳳凰""]"
independent_recent,2026-06-21_ShaTin,6,無hit變化：第二及第三選皆失,True,False,False,False,False,2.75,"{""speed"":-8.62,""formline"":-9.8,""class_context"":-4.0,""distance_context"":-16.0,""risk"":-2.5,""confidence"":0.0}",[],#3 金快飛飛,#1 加州熱浪,#8 康昌之星,"[""1. #3 金快飛飛"",""2. #12 飛躍成就"",""3. #4 手機錶能""]"
independent_recent,2026-06-21_ShaTin,9,無hit變化：第二及第三選皆失,True,False,False,False,False,0.35,"{""speed"":-2.56,""formline"":12.5,""class_context"":-8.39,""distance_context"":-16.0,""risk"":3.5,""confidence"":0.0}","[""form line支持第三選（+12.5）""]",#5 美麗同享,#7 銀亮奔騰,#2 陽光勇士,"[""1. #5 美麗同享"",""2. #3 光年魅力"",""3. #11 浪漫戰神""]"
independent_recent,2026-06-21_ShaTin,10,有傷害：1→0,False,True,False,True,False,0.37,"{""speed"":-4.67,""formline"":-7.8,""class_context"":0.0,""distance_context"":0.0,""risk"":3.5,""confidence"":0.0}","[""第二／第三選分差極近（0.37）""]",#1 跨境寶馬,#7 有備而戰,#5 勇者為皇,"[""1. #7 有備而戰"",""2. #4 人和家興"",""3. #13 包裝天王""]"
independent_recent,2026-06-27_ShaTin,2,有幫助：1→2,True,False,True,False,False,0.21,"{""speed"":-2.34,""formline"":3.4,""class_context"":0.0,""distance_context"":0.0,""risk"":2.0,""confidence"":0.0}","[""第二／第三選分差極近（0.21）""]",#12 朗日雪峰,#3 本能,#2 鄉村樂韻,"[""1. #12 朗日雪峰"",""2. #1 新力驕"",""3. #2 鄉村樂韻""]"
independent_recent,2026-06-27_ShaTin,9,有傷害：1→0,False,True,False,True,False,0.44,"{""speed"":4.5,""formline"":12.6,""class_context"":0.0,""distance_context"":-12.0,""risk"":6.5,""confidence"":0.0}","[""form line支持第三選（+12.6）""]",#8 自動自覺,#1 精英雄心,#6 川河耀駒,"[""1. #1 精英雄心"",""2. #14 正義波"",""3. #12 都靈福星""]"
independent_recent,2026-06-27_ShaTin,10,有傷害：1→0,False,True,False,True,False,1.39,"{""speed"":-5.73,""formline"":12.6,""class_context"":5.12,""distance_context"":0.0,""risk"":3.5,""confidence"":0.0}","[""form line支持第三選（+12.6）"",""班次context支持第三選（+5.1）""]",#1 得道猴王,#6 堅先生,#14 鈁糖武士,"[""1. #6 堅先生"",""2. #11 香港仔"",""3. #7 傑出雷霆""]"
independent_recent,2026-06-27_ShaTin,11,無hit變化：第二及第三選皆中,False,True,True,False,False,1.14,"{""speed"":-1.53,""formline"":-2.9,""class_context"":5.12,""distance_context"":12.0,""risk"":8.0,""confidence"":0.0}","[""路程context支持第三選（+12.0）"",""班次context支持第三選（+5.1）""]",#7 做好自己,#6 綫路英雄,#2 友瑩仁,"[""1. #5 金牌活力"",""2. #2 友瑩仁"",""3. #6 綫路英雄""]"
independent_recent,2026-07-01_ShaTin,2,有幫助：1→2,True,False,True,False,True,0.24,"{""speed"":-8.56,""formline"":0.0,""class_context"":9.55,""distance_context"":18.0,""risk"":0.0,""confidence"":0.0}","[""路程context支持第三選（+18.0）"",""班次context支持第三選（+9.6）""]",#4 劍無情,#1 勇敢孖寶,#2 天比高,"[""1. #2 天比高"",""2. #13 海洋帝君"",""3. #4 劍無情""]"
independent_recent,2026-07-01_ShaTin,3,有幫助：1→2,True,False,True,False,True,0.41,"{""speed"":25.24,""formline"":7.0,""class_context"":-9.94,""distance_context"":-12.0,""risk"":-12.5,""confidence"":0.0}","[""段速支持第三選（+25.2）"",""form line支持第三選（+7.0）""]",#14 順善寶,#1 威武年代,#2 佛亮老撾,"[""1. #2 佛亮老撾"",""2. #11 潮流勇駒"",""3. #14 順善寶""]"
independent_recent,2026-07-01_ShaTin,4,無hit變化：第二及第三選皆中,False,True,True,True,False,1.53,"{""speed"":-19.1,""formline"":-30.0,""class_context"":-17.51,""distance_context"":-14.0,""risk"":13.5,""confidence"":-14.77}","[""第三選風險分較高（+13.5）""]",#13 天天更好,#2 拉合爾,#7 赤兔再世,"[""1. #2 拉合爾"",""2. #3 凝聚美麗"",""3. #7 赤兔再世""]"
independent_recent,2026-07-01_ShaTin,7,有幫助：1→2,True,False,True,False,False,1.39,"{""speed"":-3.18,""formline"":-1.3,""class_context"":9.94,""distance_context"":12.0,""risk"":-1.0,""confidence"":0.0}","[""路程context支持第三選（+12.0）"",""班次context支持第三選（+9.9）""]",#12 幸運糖,#5 精彩福星,#2 會長之寶,"[""1. #6 團結勇士"",""2. #12 幸運糖"",""3. #2 會長之寶""]"
independent_recent,2026-07-01_ShaTin,8,無hit變化：第二及第三選皆中,False,True,True,False,True,1.16,"{""speed"":-2.89,""formline"":9.0,""class_context"":23.51,""distance_context"":16.0,""risk"":0.5,""confidence"":0.0}","[""班次context支持第三選（+23.5）"",""路程context支持第三選（+16.0）""]",#10 挺秀弘利,#4 美麗大獎,#3 嵐臣,"[""1. #3 嵐臣"",""2. #4 美麗大獎"",""3. #7 龍城強將""]"
independent_recent,2026-07-01_ShaTin,9,無hit變化：第二及第三選皆失,True,False,False,False,False,1.06,"{""speed"":11.18,""formline"":2.2,""class_context"":0.0,""distance_context"":0.0,""risk"":0.5,""confidence"":0.0}","[""段速支持第三選（+11.2）""]",#8 旌採,#13 富裕君子,#5 賢者威楓,"[""1. #8 旌採"",""2. #11 幸運威龍"",""3. #12 君達得""]"
independent_recent,2026-07-04_ShaTin,2,有幫助：1→2,True,False,True,False,True,3.19,"{""speed"":-6.84,""formline"":0.0,""class_context"":-9.55,""distance_context"":-18.0,""risk"":-5.5,""confidence"":0.0}",[],#5 朗日雪峰,#10 紅旺繽紛,#9 魅力知福,"[""1. #9 魅力知福"",""2. #11 駿先生"",""3. #5 朗日雪峰""]"
independent_recent,2026-07-04_ShaTin,4,無hit變化：第二及第三選皆失,True,False,False,False,False,1.48,"{""speed"":-2.11,""formline"":-7.6,""class_context"":4.39,""distance_context"":-12.0,""risk"":9.0,""confidence"":0.0}","[""第三選風險分較高（+9.0）""]",#4 扶搖勢勁,#1 信心星,#5 興馳千里,"[""1. #4 扶搖勢勁"",""2. #6 巴基之勝"",""3. #3 競駿輝煌""]"
independent_recent,2026-07-04_ShaTin,5,有幫助：1→2,True,False,True,False,False,0.46,"{""speed"":13.38,""formline"":4.9,""class_context"":0.0,""distance_context"":0.0,""risk"":2.5,""confidence"":0.0}","[""段速支持第三選（+13.4）""]",#4 卓越蒨鋒,#8 有情有義,#13 飛躍成就,"[""1. #11 三代至醒"",""2. #4 卓越蒨鋒"",""3. #13 飛躍成就""]"
independent_recent,2026-07-04_ShaTin,7,無hit變化：第二及第三選皆中,False,True,True,False,False,1.43,"{""speed"":0.24,""formline"":2.1,""class_context"":9.51,""distance_context"":0.0,""risk"":4.0,""confidence"":0.0}","[""班次context支持第三選（+9.5）""]",#4 開心孖寶,#6 老鼠斑,#12 同喜,"[""1. #5 添開心"",""2. #12 同喜"",""3. #6 老鼠斑""]"
independent_recent,2026-07-04_ShaTin,8,無hit變化：第二及第三選皆中,False,True,True,False,True,0.3,"{""speed"":2.13,""formline"":-0.6,""class_context"":-8.39,""distance_context"":-16.0,""risk"":-7.5,""confidence"":0.0}","[""第二／第三選分差極近（0.30）""]",#2 紅衣醒目,#9 風起雲湧,#6 捷威,"[""1. #6 捷威"",""2. #9 風起雲湧"",""3. #3 創科群英""]"
independent_recent,2026-07-04_ShaTin,9,無hit變化：第二及第三選皆失,True,False,False,False,False,1.43,"{""speed"":-0.55,""formline"":-12.7,""class_context"":0.0,""distance_context"":-12.0,""risk"":0.0,""confidence"":0.0}",[],#3 利高八斗,#5 應龍飛影,#2 巧眼光,"[""1. #3 利高八斗"",""2. #6 龍文正道"",""3. #1 鼓浪好友""]"
independent_recent,2026-07-04_ShaTin,10,無hit變化：第二及第三選皆中,False,True,True,False,False,5.46,"{""speed"":-3.7,""formline"":4.1,""class_context"":9.51,""distance_context"":0.0,""risk"":2.0,""confidence"":0.0}","[""班次context支持第三選（+9.5）""]",#1 精彩駿將,#6 巴閉精,#12 辣得準,"[""1. #7 實力股"",""2. #6 巴閉精"",""3. #12 辣得準""]"
independent_recent,2026-07-04_ShaTin,11,有幫助：1→2,True,False,True,False,False,1.53,"{""speed"":-10.3,""formline"":-15.3,""class_context"":13.94,""distance_context"":6.0,""risk"":13.5,""confidence"":0.0}","[""班次context支持第三選（+13.9）"",""路程context支持第三選（+6.0）""]",#11 正本唐心,#4 耀寶,#5 安泰,"[""1. #1 超輕鬆"",""2. #5 安泰"",""3. #11 正本唐心""]"
independent_recent,2026-07-08_HappyValley,1,無hit變化：第二及第三選皆失,True,False,False,False,False,3.08,"{""speed"":-14.18,""formline"":24.0,""class_context"":9.55,""distance_context"":6.0,""risk"":-5.0,""confidence"":0.0}","[""form line支持第三選（+24.0）"",""班次context支持第三選（+9.6）""]",#3 萬眾開心,#12 天火同德,#10 辣得金,"[""1. #3 萬眾開心"",""2. #1 鄉村樂韻"",""3. #5 洛河""]"
independent_recent,2026-07-08_HappyValley,3,無hit變化：第二及第三選皆中,False,True,True,False,True,1.67,"{""speed"":-5.16,""formline"":-11.0,""class_context"":-13.94,""distance_context"":-6.0,""risk"":2.0,""confidence"":0.0}",[],#1 鴻圖新星,#8 天火同人,#11 福進,"[""1. #11 福進"",""2. #4 美麗登場"",""3. #8 天火同人""]"
independent_recent,2026-07-08_HappyValley,4,有傷害：1→0,False,True,False,True,False,0.3,"{""speed"":17.46,""formline"":-2.0,""class_context"":-4.39,""distance_context"":0.0,""risk"":-3.5,""confidence"":0.0}","[""段速支持第三選（+17.5）""]",#5 好運年,#1 哥倫布,#4 追風,"[""1. #1 哥倫布"",""2. #7 焦點"",""3. #6 準希望""]"
independent_recent,2026-07-08_HappyValley,5,無hit變化：第二及第三選皆失,True,False,False,False,False,0.32,"{""speed"":12.28,""formline"":3.0,""class_context"":-4.39,""distance_context"":0.0,""risk"":-2.0,""confidence"":0.0}","[""段速支持第三選（+12.3）""]",#9 至合拍,#10 祥勝力駒,#6 勝多多,"[""1. #9 至合拍"",""2. #2 路路勁"",""3. #12 頑童""]"
independent_recent,2026-07-12_ShaTin,1,無hit變化：第二及第三選皆失,True,False,False,False,False,0.75,"{""speed"":8.73,""formline"":0.0,""class_context"":-5.55,""distance_context"":0.0,""risk"":0.0,""confidence"":0.0}","[""段速支持第三選（+8.7）""]",#11 龍又生,#4 連連好運,#10 風雲,"[""1. #1 特別美麗"",""2. #11 龍又生"",""3. #2 光輝歲月""]"
independent_recent,2026-07-12_ShaTin,2,有幫助：1→2,True,False,True,False,False,0.57,"{""speed"":-14.97,""formline"":4.0,""class_context"":5.55,""distance_context"":12.0,""risk"":3.5,""confidence"":0.0}","[""路程context支持第三選（+12.0）"",""班次context支持第三選（+5.5）""]",#7 東方寶寶,#10 星之願,#11 海洋帝君,"[""1. #7 東方寶寶"",""2. #6 籐王駒"",""3. #11 海洋帝君""]"
independent_recent,2026-07-12_ShaTin,3,無hit變化：第二及第三選皆中,False,True,True,True,False,0.4,"{""speed"":-13.22,""formline"":17.0,""class_context"":4.0,""distance_context"":0.0,""risk"":5.5,""confidence"":0.0}","[""form line支持第三選（+17.0）""]",#13 勤德皆備,#6 手機錶能,#10 遨遊波士,"[""1. #6 手機錶能"",""2. #9 嘉應駿昇"",""3. #10 遨遊波士""]"
independent_recent,2026-07-12_ShaTin,4,無hit變化：第二及第三選皆失,True,False,False,False,False,1.85,"{""speed"":-7.83,""formline"":1.0,""class_context"":-5.55,""distance_context"":-12.0,""risk"":11.0,""confidence"":0.0}","[""第三選風險分較高（+11.0）""]",#2 金滙千帥,#5 文明福星,#13 暴風一族,"[""1. #2 金滙千帥"",""2. #12 金運齊來"",""3. #1 哈羅威""]"
independent_recent,2026-07-12_ShaTin,8,有幫助：1→2,True,False,True,False,True,0.89,"{""speed"":5.39,""formline"":6.0,""class_context"":-4.39,""distance_context"":-12.0,""risk"":-5.0,""confidence"":0.0}","[""form line支持第三選（+6.0）"",""段速支持第三選（+5.4）""]",#9 銀亮奔騰,#4 太陽勇士,#2 美麗同享,"[""1. #2 美麗同享"",""2. #12 勁沙塵"",""3. #9 銀亮奔騰""]"
independent_recent,2026-07-12_ShaTin,9,有幫助：1→2,True,False,True,False,False,0.63,"{""speed"":-5.25,""formline"":-3.0,""class_context"":0.0,""distance_context"":12.0,""risk"":-2.0,""confidence"":0.0}","[""路程context支持第三選（+12.0）""]",#1 跨境寶馬,#4 手機錶勁,#8 禾道豐,"[""1. #5 偵探傳奇"",""2. #1 跨境寶馬"",""3. #8 禾道豐""]"
independent_recent,2026-07-12_ShaTin,10,有幫助：1→2,True,False,True,False,False,1.31,"{""speed"":-0.32,""formline"":-16.0,""class_context"":0.0,""distance_context"":12.0,""risk"":1.0,""confidence"":0.0}","[""路程context支持第三選（+12.0）""]",#4 一生好彩,#7 超勁赤兔,#12 大回報,"[""1. #13 名揚四海"",""2. #4 一生好彩"",""3. #12 大回報""]"
external_2026_07_15,2026-07-15_HappyValley,5,有幫助：1→2,True,False,True,False,False,0.77,"{""speed"":-4.99,""formline"":-3.0,""class_context"":0.0,""distance_context"":-12.0,""risk"":-7.0,""confidence"":0.0}",[],#9 大才,#6 盛勢威楓,#1 葳莉非凡,"[""1. #12 過關勇士"",""2. #9 大才"",""3. #1 葳莉非凡""]"
