dataset,split,meeting,race_number,horse_number,horse_name,is_debut,score_pure_scaffold,score_surgical_speed_shape_neutral,score_surgical_plus_trainer,score_surgical_plus_trainer_stability,rank_pure_scaffold,rank_surgical_speed_shape_neutral,rank_surgical_plus_trainer,rank_surgical_plus_trainer_stability
archive,archive_development,2026-04-12_ShaTin,4,10,金運齊來,0,62.1486,58.6236,59.2233,60.3587,6,13,11,9
archive,archive_development,2026-04-12_ShaTin,4,11,瑰麗人生,0,58.8768,57.8517,57.5653,58.9629,11,14,13,14
archive,archive_development,2026-04-12_ShaTin,4,12,最感,0,57.7761,60.7115,59.3354,60.4879,12,8,10,8
archive,archive_development,2026-04-12_ShaTin,4,13,最好玩,0,61.3435,59.763,59.3475,60.0115,8,11,9,10
archive,archive_development,2026-04-12_ShaTin,4,14,全神貫注,0,70.1617,66.5165,65.3525,64.0994,1,2,2,2
archive,archive_development,2026-04-12_ShaTin,5,1,辣得準,0,63.4282,65.1932,62.1346,62.0016,5,2,3,2
archive,archive_development,2026-04-12_ShaTin,5,2,維港激流,0,62.6338,62.994,60.8285,60.3776,9,5,6,8
archive,archive_development,2026-04-12_ShaTin,5,3,錶之浩瀚,0,68.1612,65.6961,61.987,61.7217,1,1,4,3
archive,archive_development,2026-04-12_ShaTin,5,4,龍之悅,0,67.0697,64.6813,62.652,60.8198,2,4,2,5
archive,archive_development,2026-04-12_ShaTin,5,5,輝灑自如,0,65.4026,61.7393,60.5243,60.5243,4,8,7,7
archive,archive_development,2026-04-12_ShaTin,5,6,福聚,0,63.2294,64.7531,64.246,64.5822,7,3,1,1
archive,archive_development,2026-04-12_ShaTin,5,7,威威神駒,0,62.2532,60.79,58.5808,59.3647,10,11,10,10
archive,archive_development,2026-04-12_ShaTin,5,8,杭至尊,0,63.3415,62.9585,61.1398,61.3298,6,6,5,4
archive,archive_development,2026-04-12_ShaTin,5,9,金獅大俠,0,62.896,61.1113,59.6128,60.102,8,10,9,9
archive,archive_development,2026-04-12_ShaTin,5,10,華麗再贏,0,61.6615,61.543,58.3144,59.3453,11,9,11,11
archive,archive_development,2026-04-12_ShaTin,5,11,多多開心,0,59.6515,57.9309,58.2807,59.211,12,12,12,12
archive,archive_development,2026-04-12_ShaTin,5,12,紅海風帆,0,65.5601,61.8308,59.6735,60.6954,3,7,8,6
archive,archive_development,2026-04-12_ShaTin,6,1,櫻花酒杯,0,67.6386,66.5721,62.6294,61.741,1,1,2,3
archive,archive_development,2026-04-12_ShaTin,6,2,精英高球,0,65.1967,62.7361,63.5792,62.4833,3,4,1,2
archive,archive_development,2026-04-12_ShaTin,6,3,鼓浪好友,0,63.1257,64.0889,62.3122,61.4171,7,2,3,4
archive,archive_development,2026-04-12_ShaTin,6,4,魯班精神,0,58.7119,58.7736,58.99,60.1918,11,11,9,7
archive,archive_development,2026-04-12_ShaTin,6,5,勤德皆備,0,64.4835,62.2104,61.7033,62.6206,5,5,4,1
archive,archive_development,2026-04-12_ShaTin,6,6,豪邁先登,0,63.1985,61.9663,59.6586,59.7259,6,7,6,10
archive,archive_development,2026-04-12_ShaTin,6,7,笑必勝,0,64.5254,62.0217,60.958,60.958,4,6,5,5
archive,archive_development,2026-04-12_ShaTin,6,8,無比小子,0,62.4665,59.022,59.2963,60.0987,8,10,8,8
archive,archive_development,2026-04-12_ShaTin,6,9,嘉冠王,0,58.5054,60.5588,59.3532,60.4005,12,8,7,6
archive,archive_development,2026-04-12_ShaTin,6,10,應龍飛影,0,66.5211,62.9,58.5798,58.961,2,3,11,11
archive,archive_development,2026-04-12_ShaTin,6,11,龍之邦,0,60.5759,58.6144,56.4854,57.9629,9,12,12,12
archive,archive_development,2026-04-12_ShaTin,6,12,海王,0,59.2428,59.4203,58.8637,59.8718,10,9,10,9
archive,archive_development,2026-04-12_ShaTin,7,1,財富非凡,0,63.0065,60.2522,59.9064,61.1755,6,10,8,7
archive,archive_development,2026-04-12_ShaTin,7,2,自動自覺,0,68.2111,63.5962,59.7972,60.2314,2,5,11,11
archive,archive_development,2026-04-12_ShaTin,7,3,哥倫布,0,63.0588,66.1143,62.16,62.7999,5,2,2,2
archive,archive_development,2026-04-12_ShaTin,7,4,馬鳳凰,0,57.5012,60.9249,61.1956,61.9668,13,8,4,4
archive,archive_development,2026-04-12_ShaTin,7,5,久久為軍,0,62.0062,61.4094,59.854,60.7113,7,7,9,8
archive,archive_development,2026-04-12_ShaTin,7,6,時尚歡欣,0,59.6699,58.2096,57.4785,58.6371,10,13,13,13
archive,archive_development,2026-04-12_ShaTin,7,7,總統輝煌,0,63.8417,60.0017,60.5678,60.5678,4,11,7,9
archive,archive_development,2026-04-12_ShaTin,7,8,金津寶駒,0,57.8669,60.5473,59.8192,60.5052,12,9,10,10
archive,archive_development,2026-04-12_ShaTin,7,9,盛勢威楓,0,68.4233,67.3381,66.8009,65.1177,1,1,1,1
archive,archive_development,2026-04-12_ShaTin,7,10,源好運,0,60.0776,63.2533,60.9883,62.0678,9,6,5,3
archive,archive_development,2026-04-12_ShaTin,7,11,隋我同來,0,67.5373,64.0123,61.6867,61.674,3,4,3,5
archive,archive_development,2026-04-12_ShaTin,7,12,幸運勝利,0,57.1961,59.695,58.6703,59.821,14,12,12,12
archive,archive_development,2026-04-12_ShaTin,7,13,豐功偉績,0,60.8794,64.2431,60.9159,61.6076,8,3,6,6
archive,archive_development,2026-04-12_ShaTin,7,14,大浪園田,0,59.3713,57.2563,56.7516,58.4997,11,14,14,14
archive,archive_development,2026-04-12_ShaTin,8,1,英駿飛駒,0,67.2802,63.3419,62.9848,62.5762,3,4,3,3
archive,archive_development,2026-04-12_ShaTin,8,2,盈好威楓,0,60.8551,62.8862,62.0453,62.043,8,6,5,5
archive,archive_development,2026-04-12_ShaTin,8,3,風將,0,60.7817,59.7238,58.0188,58.9387,9,12,12,12
archive,archive_development,2026-04-12_ShaTin,8,4,安都,0,70.9646,67.7369,63.9755,62.7213,2,2,2,2
archive,archive_development,2026-04-12_ShaTin,8,5,昭易搵,0,67.0534,66.3201,62.5089,62.1181,4,3,4,4
archive,archive_development,2026-04-12_ShaTin,8,6,星幻,0,64.2893,62.1742,58.9919,60.565,6,8,10,9
archive,archive_development,2026-04-12_ShaTin,8,7,活力拍檔,0,71.4399,68.6856,65.537,64.1094,1,1,1,1
archive,archive_development,2026-04-12_ShaTin,8,8,喜豐年,0,61.8951,60.3898,58.845,59.4862,7,11,11,11
archive,archive_development,2026-04-12_ShaTin,8,9,北斗福星,0,57.8154,60.9037,59.6207,60.3434,12,10,9,10
archive,archive_development,2026-04-12_ShaTin,8,10,高高至高,0,58.5916,62.07,61.0939,61.5137,11,9,7,6
archive,archive_development,2026-04-12_ShaTin,8,11,金滙千帥,0,66.3439,62.8571,60.6798,60.7609,5,7,8,8
archive,archive_development,2026-04-12_ShaTin,8,12,魅力知耀,0,60.589,63.0988,61.4429,61.2593,10,5,6,7
archive,archive_development,2026-04-12_ShaTin,9,1,安泰,0,69.3142,68.1449,66.0557,65.3784,1,1,1,1
archive,archive_development,2026-04-12_ShaTin,9,2,幸運風彩,0,57.5069,60.5624,60.8331,61.1315,12,10,6,6
archive,archive_development,2026-04-12_ShaTin,9,3,川河帥駒,0,65.1068,63.5383,59.5841,60.4009,3,3,11,10
archive,archive_development,2026-04-12_ShaTin,9,4,亞機拉,0,64.4026,61.0175,59.4621,59.7484,4,8,12,12
archive,archive_development,2026-04-12_ShaTin,9,5,亨驥,0,66.6977,63.3847,61.5648,62.1448,2,4,3,3
archive,archive_development,2026-04-12_ShaTin,9,6,名揚四海,0,63.6156,60.3748,60.0289,60.8285,6,11,10,8
archive,archive_development,2026-04-12_ShaTin,9,7,重情重義,0,58.9386,61.7393,60.5243,60.5243,10,6,8,9
archive,archive_development,2026-04-12_ShaTin,9,8,確好勁,0,62.5023,60.8617,60.5368,61.1799,8,9,7,5
archive,archive_development,2026-04-12_ShaTin,9,9,正義波,0,63.5011,59.8439,60.104,60.1799,7,12,9,11
archive,archive_development,2026-04-12_ShaTin,9,10,閃光燈,0,57.8125,61.6268,61.1084,61.0863,11,7,5,7
archive,archive_development,2026-04-12_ShaTin,9,11,心雄雄,0,64.3769,63.1355,61.2787,61.7437,5,5,4,4
archive,archive_development,2026-04-12_ShaTin,9,12,太子,0,61.3701,65.2565,62.3632,62.7708,9,2,2,2
archive,archive_development,2026-04-12_ShaTin,11,1,顏色之皇,0,65.2173,66.4853,65.4344,64.6691,7,4,3,1
archive,archive_development,2026-04-12_ShaTin,11,2,信心星,0,68.054,67.0187,62.7263,62.3342,4,3,7,7
archive,archive_development,2026-04-12_ShaTin,11,3,華麗再勝,0,60.754,62.3288,60.4277,60.7209,12,8,9,9
archive,archive_development,2026-04-12_ShaTin,11,4,自強不息,0,64.3686,60.4102,58.2528,58.9972,8,11,11,11
archive,archive_development,2026-04-12_ShaTin,11,5,翠紅,0,67.6249,66.165,63.4427,62.351,5,5,6,6
archive,archive_development,2026-04-12_ShaTin,11,6,魔術控制,0,60.7976,60.903,60.373,60.6342,11,10,10,10
archive,archive_development,2026-04-12_ShaTin,11,7,競駿輝煌,0,70.3543,69.214,65.6484,64.2046,1,1,2,3
archive,archive_development,2026-04-12_ShaTin,11,8,維港智能,0,61.416,58.9378,56.765,58.1836,10,12,12,12
archive,archive_development,2026-04-12_ShaTin,11,9,扶搖勢勁,0,65.794,65.8983,66.1478,64.3884,6,7,1,2
archive,archive_development,2026-04-12_ShaTin,11,10,飲杯,0,64.0024,62.1719,60.9663,61.3052,9,9,8,8
archive,archive_development,2026-04-12_ShaTin,11,11,閃耀天河,0,70.1675,67.7923,63.7158,62.8476,2,2,5,5
archive,archive_development,2026-04-12_ShaTin,11,12,巴基之勝,0,68.7922,66.0379,64.4121,62.9782,3,6,4,4
archive,archive_development,2026-04-15_HappyValley,1,1,鄉村樂韻,0,61.3852,60.4328,58.1085,59.4375,8,7,8,9
archive,archive_development,2026-04-15_HappyValley,1,2,運來勇士,0,59.0184,58.4138,56.819,58.5593,12,11,11,11
archive,archive_development,2026-04-15_HappyValley,1,3,幸運傳承,0,66.4142,65.6276,61.7387,62.2603,2,1,2,1
archive,archive_development,2026-04-15_HappyValley,1,4,辣得金,0,63.9849,63.1641,59.4645,60.7835,4,4,6,6
archive,archive_development,2026-04-15_HappyValley,1,5,銀亮濠俠,0,68.078,64.603,63.6044,62.1323,1,2,1,3
archive,archive_development,2026-04-15_HappyValley,1,6,喆喆友福,0,64.8589,63.6167,60.1433,61.4372,3,3,5,4
archive,archive_development,2026-04-15_HappyValley,1,7,東昇鉞,0,60.1044,57.1052,56.4627,57.7564,10,12,12,12
archive,archive_development,2026-04-15_HappyValley,1,8,太行美景,0,61.6513,61.7547,60.9716,62.1713,7,5,3,2
archive,archive_development,2026-04-15_HappyValley,1,9,東方魅影,0,60.0675,61.478,60.2573,61.3341,11,6,4,5
archive,archive_development,2026-04-15_HappyValley,1,10,發光發亮,0,62.4635,59.4405,59.1023,60.4378,5,8,7,7
archive,archive_development,2026-04-15_HappyValley,1,11,威德勇士,0,61.7549,58.4616,57.4416,59.0732,6,10,10,10
archive,archive_development,2026-04-15_HappyValley,1,12,東方福寶,0,60.7567,59.365,57.874,59.4555,9,9,9,8
archive,archive_development,2026-04-15_HappyValley,2,1,歡樂老撾,0,63.5186,60.1625,59.7352,60.7822,4,8,6,6
archive,archive_development,2026-04-15_HappyValley,2,2,問鼎巔峰,0,57.563,58.0929,58.1048,59.3065,12,12,10,10
archive,archive_development,2026-04-15_HappyValley,2,3,小皇爺,0,62.3929,58.7423,57.8853,58.7383,6,11,11,11
archive,archive_development,2026-04-15_HappyValley,2,4,星之願,0,62.2738,60.3897,59.2156,60.4798,7,7,8,8
archive,archive_development,2026-04-15_HappyValley,2,5,科創世紀,0,60.5028,58.803,58.6069,59.9546,10,10,9,9
archive,archive_development,2026-04-15_HappyValley,2,6,富裕君子,0,66.3922,65.6856,61.3957,61.8694,2,2,3,3
archive,archive_development,2026-04-15_HappyValley,2,7,東方寶寶,0,64.9593,63.8098,62.0565,62.151,3,3,2,2
archive,archive_development,2026-04-15_HappyValley,2,8,美神來,0,63.2615,63.5585,59.9966,61.0213,5,4,5,5
archive,archive_development,2026-04-15_HappyValley,2,9,龍又生,0,70.2505,66.4105,63.3953,63.7373,1,1,1,1
archive,archive_development,2026-04-15_HappyValley,2,10,華美之威,0,61.859,60.602,59.6779,60.6628,8,6,7,7
archive,archive_development,2026-04-15_HappyValley,2,11,勁爽,0,59.7525,61.1016,60.9055,61.2988,11,5,4,4
archive,archive_development,2026-04-15_HappyValley,2,12,常多笑,0,61.7481,58.9807,56.2942,57.9258,9,9,12,12
archive,archive_development,2026-04-15_HappyValley,3,1,凡凡有餘,0,69.2626,65.6121,60.5587,60.5587,1,1,8,8
archive,archive_development,2026-04-15_HappyValley,3,2,鬆啲,0,63.1906,62.4841,60.541,60.541,7,6,9,9
archive,archive_development,2026-04-15_HappyValley,3,3,紫荊戰士,0,61.2398,61.7697,60.7131,60.7131,12,10,6,6
archive,archive_development,2026-04-15_HappyValley,3,4,先到先得,0,67.5399,64.7726,60.6083,60.6083,2,2,7,7
archive,archive_development,2026-04-15_HappyValley,3,5,追風,0,61.4029,62.752,59.9953,59.9953,11,5,11,11
archive,archive_development,2026-04-15_HappyValley,3,6,極速滿貫,0,62.9602,61.076,59.7767,59.7767,8,12,12,12
archive,archive_development,2026-04-15_HappyValley,3,7,紅磚戰士,0,65.6944,62.3383,61.0554,61.0554,4,7,3,3
archive,archive_development,2026-04-15_HappyValley,3,8,翠湖烈風,0,61.6141,61.911,60.8573,60.8573,10,9,5,5
archive,archive_development,2026-04-15_HappyValley,3,9,至高心得,0,65.8174,61.9774,60.8577,60.8577,3,8,4,4
archive,archive_development,2026-04-15_HappyValley,3,10,時間寶,0,62.7951,61.6456,61.7436,61.7436,9,11,1,1
archive,archive_development,2026-04-15_HappyValley,3,11,爆竹,0,64.1808,62.9238,61.4308,61.4308,6,4,2,2
archive,archive_development,2026-04-15_HappyValley,3,12,手到再來,0,65.325,63.6252,60.0286,60.0286,5,3,10,10
archive,archive_development,2026-04-15_HappyValley,4,1,安可,0,66.8842,65.6452,61.8195,61.8195,4,1,1,1
archive,archive_development,2026-04-15_HappyValley,4,2,浪漫老撾,0,68.4094,64.5694,60.1559,60.1559,1,4,9,9
archive,archive_development,2026-04-15_HappyValley,4,3,大千氣象,0,67.0069,65.2456,60.7436,60.7436,3,2,4,4
archive,archive_development,2026-04-15_HappyValley,4,4,香港神駒,0,67.2596,63.586,60.3887,60.3887,2,6,5,5
archive,archive_development,2026-04-15_HappyValley,4,5,蜜蜜送,0,62.7065,61.5929,59.7731,59.7731,10,10,11,11
archive,archive_development,2026-04-15_HappyValley,4,6,一支箭,0,61.0745,61.9244,60.2269,60.2269,12,9,8,8
archive,archive_development,2026-04-15_HappyValley,4,7,獎星,0,66.3553,64.7297,61.5339,61.5339,5,3,3,3
archive,archive_development,2026-04-15_HappyValley,4,8,龍船快,0,61.3713,62.1341,59.1641,59.1641,11,8,12,12
archive,archive_development,2026-04-15_HappyValley,4,9,君智盛,0,63.3382,63.7606,60.2814,60.2814,8,5,7,7
archive,archive_development,2026-04-15_HappyValley,4,10,竣誠駒,0,64.958,61.118,61.5424,61.5424,6,11,2,2
archive,archive_development,2026-04-15_HappyValley,4,11,夢照發,0,63.9702,63.3686,59.9703,59.9703,7,7,10,10
archive,archive_development,2026-04-15_HappyValley,4,12,揚威四海,0,62.9136,60.7095,60.3029,60.3029,9,12,6,6
archive,archive_development,2026-04-15_HappyValley,5,1,一起美麗,0,69.5296,65.6896,61.1623,61.1623,1,2,7,7
archive,archive_development,2026-04-15_HappyValley,5,2,極光之子,0,61.5208,62.0507,59.8345,59.8345,11,8,11,11
archive,archive_development,2026-04-15_HappyValley,5,3,龍文鞭影,0,69.22,65.8638,61.574,61.574,2,1,3,3
archive,archive_development,2026-04-15_HappyValley,5,4,做好自己,0,64.6091,62.9093,61.2242,61.2242,5,4,5,5
archive,archive_development,2026-04-15_HappyValley,5,5,蓮冠皇,0,63.4736,61.5894,60.0364,60.0364,7,9,10,10
archive,archive_development,2026-04-15_HappyValley,5,6,將義,0,62.2313,63.5804,61.7028,61.7028,9,3,2,2
archive,archive_development,2026-04-15_HappyValley,5,7,加州活力,0,63.186,62.4795,61.5554,61.5554,8,7,4,4
archive,archive_development,2026-04-15_HappyValley,5,8,巴閉仔,0,61.8283,60.5713,60.1812,60.1812,10,11,9,9
archive,archive_development,2026-04-15_HappyValley,5,9,時時開心,0,64.6167,60.9662,60.9205,60.9205,4,10,8,8
archive,archive_development,2026-04-15_HappyValley,5,10,知道穩勝,0,63.8413,62.6919,61.201,61.201,6,5,6,6
archive,archive_development,2026-04-15_HappyValley,5,11,智多多寶,0,65.3428,62.5755,61.7503,61.7503,3,6,1,1
archive,archive_development,2026-04-15_HappyValley,6,1,馬達,0,65.4839,63.1722,60.1797,60.1797,3,5,6,6
