meeting,race_number,baseline_hits,pair_type,boundary_label,rank2_number,rank2_name,rank2_is_top3,rank3_number,rank3_name,rank3_is_top3,distance_num,race_class_num,gap_official_pure_total,gap_official_sectional,weighted_gap_official_sectional,gap_official_trainer_signal,weighted_gap_official_trainer_signal,gap_official_stability,weighted_gap_official_stability,gap_official_race_shape,weighted_gap_official_race_shape,gap_official_class_advantage,weighted_gap_official_class_advantage,gap_official_horse_health,weighted_gap_official_horse_health,gap_official_form_line,weighted_gap_official_form_line,gap_rebuilt_speed_engine,reliability_rank2_speed_engine,reliability_rank3_speed_engine,gap_rebuilt_stability,reliability_rank2_stability,reliability_rank3_stability,gap_rebuilt_distance_context,reliability_rank2_distance_context,reliability_rank3_distance_context,gap_rebuilt_class_weight,reliability_rank2_class_weight,reliability_rank3_class_weight,gap_rebuilt_trainer_signal,reliability_rank2_trainer_signal,reliability_rank3_trainer_signal,gap_rebuilt_readiness_risk,reliability_rank2_readiness_risk,reliability_rank3_readiness_risk,gap_rebuilt_form_line,reliability_rank2_form_line,reliability_rank3_form_line
2026-04-15_HappyValley,1,1,rank3_rescue,rank3_better,3,幸運傳承,0,6,喆喆友福,1,1000,4,-1.5553,0.0,0.0,-1.05,-0.2319,-13.9946,-1.2861,0.0,0.0,-1.6625,-0.2219,3.5,0.1323,0.7,0.0524,-2.4643,0.65,0.65,-5.5909,1.0,1.0,0.0,0.0,0.0,-2.1875,0.875,0.875,0.831,0.3865,0.5378,0.0,0.5,0.5,0.75,0.5714,0.625
2026-04-15_HappyValley,2,1,both_placed,neutral,6,富裕君子,1,7,東方寶寶,1,1650,4,-1.4329,0.0,0.0,-13.2,-2.9159,9.1714,0.8429,1.73,0.4429,0.2925,0.039,-2.75,-0.104,3.5,0.2621,0.0,0.0,0.0,5.0454,1.0,1.0,0.0,0.2,0.0,-1.1932,0.875,0.875,-1.7171,0.5106,0.7502,-2.5,0.5,0.5,4.9286,0.25,0.5714
2026-04-15_HappyValley,3,1,both_missed,neutral,4,先到先得,0,7,紅磚戰士,0,1650,4,-1.8455,0.0,0.0,-11.02,-2.4343,0.0,0.0,2.3,0.5888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7897,0.875,0.875,2.0243,0.753,0.7654,0.0,0.0,0.0,2.4762,0.5714,0.6667
2026-04-15_HappyValley,4,0,rank3_rescue,rank3_better,7,獎星,0,4,香港神駒,1,1800,4,0.9043,0.0,0.0,-2.25,-0.497,0.0,0.0,8.0,2.048,-1.5,-0.2003,-2.1,-0.0794,-4.9,-0.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7841,0.875,0.875,-2.2569,0.397,0.4848,0.0,0.0,0.0,-7.8333,0.6667,0.25
2026-04-15_HappyValley,5,1,both_missed,neutral,3,龍文鞭影,0,11,智多多寶,0,1650,4,-3.8772,0.0,0.0,-15.44,-3.4107,0.0,0.0,-2.3,-0.5888,1.5,0.2003,2.1,0.0794,-2.1,-0.1573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5625,0.875,0.875,0.2444,0.5106,0.6467,0.0,0.0,0.0,-4.0,0.5,0.5
2026-04-15_HappyValley,6,0,both_missed,neutral,12,飛越晨曦,0,7,方圓星,0,1200,4,-1.0088,0.0,0.0,1.0,0.2209,0.0,0.0,-2.71,-0.6938,-4.0,-0.534,-5.6,-0.2117,2.8,0.2097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8611,0.875,0.875,1.5652,0.6454,0.7993,0.0,0.0,0.0,6.45,0.4,0.625
2026-04-15_HappyValley,7,1,rank2_protect,rank2_better,6,星運少爵,1,3,八仟好運,0,1200,4,-0.3782,0.0,0.0,-3.665,-0.8096,0.0,0.0,4.53,1.1597,-2.5,-0.3337,-3.5,-0.1323,-3.5,-0.2621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3863,0.875,0.875,2.3539,0.5222,0.8113,0.0,0.0,0.0,-3.6429,0.5714,0.25
2026-04-15_HappyValley,8,2,both_placed,neutral,9,浪漫鬥士,1,11,榮利雙收,1,1650,4,0.8769,0.0,0.0,0.185,0.0409,0.0,0.0,0.74,0.1894,1.5,0.2003,2.1,0.0794,4.9,0.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.75,0.875,0.875,3.1985,0.584,0.6467,0.0,0.0,0.0,7.0,0.0,0.5
2026-04-15_HappyValley,9,2,rank2_protect,rank2_better,6,關鍵所在,1,2,幸運星球,0,1200,4,-0.4494,0.0,0.0,0.875,0.1933,0.0,0.0,-0.69,-0.1766,-2.5,-0.3337,-3.5,-0.1323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9886,0.875,0.875,-3.7751,0.7259,0.7335,0.0,0.0,0.0,-1.7143,0.6667,0.5714
2026-04-19_ShaTin,1,1,both_placed,neutral,1,領創動力,1,11,開心三多,1,1800,4,0.8252,0.0,0.0,1.5,0.3314,0.1021,0.0094,1.73,0.4429,0.0,0.0,1.1,0.0416,0.0,0.0,0.8999,0.65,0.65,2.1923,1.0,1.0,0.0,0.2,0.0,-9.2548,0.875,0.875,8.7267,0.3102,0.4444,1.0,0.5,0.5,-0.5,0.5,0.25
