split,primitive,rows,present,availability_rate
archive_temporal_holdout,wins,487,487,100.0
archive_temporal_holdout,hk_starts,487,487,100.0
archive_temporal_holdout,card_rating,487,485,99.6
archive_temporal_holdout,last6_runs,487,487,100.0
archive_temporal_holdout,last6_mean_finish,487,469,96.3
archive_temporal_holdout,last6_best_finish,487,469,96.3
archive_temporal_holdout,last6_worst_finish,487,469,96.3
archive_temporal_holdout,last6_top3_count,487,487,100.0
archive_temporal_holdout,last6_top5_count,487,487,100.0
archive_temporal_holdout,season_starts,487,470,96.5
archive_temporal_holdout,season_wins,487,470,96.5
archive_temporal_holdout,season_seconds,487,470,96.5
archive_temporal_holdout,season_thirds,487,470,96.5
archive_temporal_holdout,same_distance_starts,487,470,96.5
archive_temporal_holdout,same_distance_wins,487,470,96.5
archive_temporal_holdout,same_distance_seconds,487,470,96.5
archive_temporal_holdout,same_distance_thirds,487,470,96.5
archive_temporal_holdout,same_venue_distance_starts,487,470,96.5
archive_temporal_holdout,same_venue_distance_wins,487,470,96.5
archive_temporal_holdout,same_venue_distance_seconds,487,470,96.5
archive_temporal_holdout,same_venue_distance_thirds,487,470,96.5
archive_temporal_holdout,tw_entries_count,487,487,100.0
archive_temporal_holdout,tw_gallop_count,487,487,100.0
archive_temporal_holdout,tw_flags_count,487,487,100.0
archive_temporal_holdout,tw_confidence_high,487,487,100.0
archive_temporal_holdout,tw_confidence_low,487,487,100.0
archive_temporal_holdout,tw_jockey_present,487,487,100.0
archive_temporal_holdout,raw_formline_higher_win_count,487,330,67.8
archive_temporal_holdout,raw_formline_same_win_count,487,330,67.8
archive_temporal_holdout,raw_formline_lower_win_count,487,330,67.8
archive_temporal_holdout,raw_l400,487,469,96.3
archive_temporal_holdout,raw_finish_time_adj,487,445,91.4
archive_temporal_holdout,raw_total_starts,487,487,100.0
archive_temporal_holdout,raw_total_wins,487,487,100.0
archive_temporal_holdout,raw_last_margin,487,427,87.7
archive_temporal_holdout,raw_last_finish,487,469,96.3
archive_temporal_holdout,raw_weight_trend_span,487,308,63.2
archive_temporal_holdout,prior_combo_starts,487,411,84.4
archive_temporal_holdout,prior_combo_win_rate,487,411,84.4
archive_temporal_holdout,prior_combo_place_rate,487,411,84.4
archive_temporal_holdout,prior_jockey_cd_starts,487,424,87.1
archive_temporal_holdout,prior_jockey_cd_win_rate,487,424,87.1
archive_temporal_holdout,prior_jockey_cd_place_rate,487,424,87.1
archive_temporal_holdout,prior_trainer_cd_starts,487,457,93.8
archive_temporal_holdout,prior_trainer_cd_win_rate,487,457,93.8
archive_temporal_holdout,prior_trainer_cd_place_rate,487,457,93.8
archive_temporal_holdout,prior_class_distance_starts,487,478,98.2
archive_temporal_holdout,prior_class_distance_win_rate,487,478,98.2
archive_temporal_holdout,prior_class_distance_place_rate,487,478,98.2
archive_temporal_holdout,prior_weight_class_starts,487,487,100.0
archive_temporal_holdout,prior_weight_class_win_rate,487,487,100.0
archive_temporal_holdout,prior_weight_class_place_rate,487,487,100.0
archive_temporal_holdout,prior_rest_bucket_starts,487,487,100.0
archive_temporal_holdout,prior_rest_bucket_win_rate,487,487,100.0
archive_temporal_holdout,prior_rest_bucket_place_rate,487,487,100.0
external_2026_07_15,weight_carried,107,107,100.0
external_2026_07_15,days_since_last,107,107,100.0
external_2026_07_15,starts,107,107,100.0
external_2026_07_15,wins,107,107,100.0
external_2026_07_15,hk_starts,107,107,100.0
external_2026_07_15,card_rating,107,107,100.0
external_2026_07_15,last6_runs,107,107,100.0
external_2026_07_15,last6_mean_finish,107,106,99.1
external_2026_07_15,last6_best_finish,107,106,99.1
external_2026_07_15,last6_worst_finish,107,106,99.1
external_2026_07_15,last6_top3_count,107,107,100.0
external_2026_07_15,last6_top5_count,107,107,100.0
external_2026_07_15,season_starts,107,106,99.1
external_2026_07_15,season_wins,107,106,99.1
external_2026_07_15,season_seconds,107,106,99.1
external_2026_07_15,season_thirds,107,106,99.1
external_2026_07_15,same_distance_starts,107,106,99.1
external_2026_07_15,same_distance_wins,107,106,99.1
external_2026_07_15,same_distance_seconds,107,106,99.1
external_2026_07_15,same_distance_thirds,107,106,99.1
external_2026_07_15,same_venue_distance_starts,107,106,99.1
external_2026_07_15,same_venue_distance_wins,107,106,99.1
external_2026_07_15,same_venue_distance_seconds,107,106,99.1
external_2026_07_15,same_venue_distance_thirds,107,106,99.1
external_2026_07_15,tw_entries_count,107,107,100.0
external_2026_07_15,tw_gallop_count,107,107,100.0
external_2026_07_15,tw_flags_count,107,107,100.0
external_2026_07_15,tw_confidence_high,107,107,100.0
external_2026_07_15,tw_confidence_low,107,107,100.0
external_2026_07_15,tw_jockey_present,107,107,100.0
external_2026_07_15,raw_formline_higher_win_count,107,102,95.3
external_2026_07_15,raw_formline_same_win_count,107,102,95.3
external_2026_07_15,raw_formline_lower_win_count,107,102,95.3
external_2026_07_15,raw_l400,107,106,99.1
external_2026_07_15,raw_finish_time_adj,107,104,97.2
external_2026_07_15,raw_total_starts,107,107,100.0
external_2026_07_15,raw_total_wins,107,107,100.0
external_2026_07_15,raw_last_margin,107,94,87.9
external_2026_07_15,raw_last_finish,107,106,99.1
external_2026_07_15,raw_weight_trend_span,107,66,61.7
external_2026_07_15,prior_combo_starts,107,99,92.5
external_2026_07_15,prior_combo_win_rate,107,99,92.5
