Jockey,Trainer,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate,TrainerDebutWinRate,TrainerDebutPlaceRate,JockeyDebutWinRate,JockeyDebutPlaceRate,WinEdgeVsMean,PlaceEdgeVsMean
何澤堯,蘇偉賢,1,6,1,57.83,16.67,16.67,13.64,22.73,10.0,26.67,4.85,-8.03
潘頓,呂健威,1,6,6,4.53,16.67,100.0,8.45,26.76,24.24,51.52,0.33,60.86
湯普新,葉楚航,0,6,0,92.45,0.0,0.0,5.36,14.29,0.0,9.84,-2.68,-12.06
巫顯東,鄭俊偉,0,6,1,65.83,0.0,16.67,6.67,28.89,0.0,7.69,-3.34,-1.62
黃寶妮,賀賢,0,6,1,31.55,0.0,16.67,6.85,21.92,0.0,4.35,-3.42,3.54
希威森,容天鵬,0,6,1,39.1,0.0,16.67,2.13,6.38,4.88,15.85,-3.5,5.56
陳嘉熙,沈集成,0,6,3,14.07,0.0,50.0,7.69,16.67,0.0,42.86,-3.84,20.24
黃寶妮,文家良,0,6,0,43.83,0.0,0.0,8.62,17.24,0.0,4.35,-4.31,-10.79
艾兆禮,大衛希斯,0,6,2,26.35,0.0,33.33,6.17,25.93,4.0,24.0,-5.08,8.36
田泰安,黎昭昇,0,6,1,25.1,0.0,16.67,4.76,20.63,6.38,23.4,-5.57,-5.34
梁家俊,大衛希斯,0,6,0,70.83,0.0,0.0,6.17,25.93,6.25,25.0,-6.21,-25.46
班德禮,沈集成,0,6,0,30.17,0.0,0.0,7.69,16.67,5.08,16.95,-6.38,-16.81
蔡明紹,羅富全,0,6,1,29.33,0.0,16.67,6.76,22.97,6.33,18.99,-6.54,-4.31
周俊樂,巫偉傑,0,6,0,88.83,0.0,0.0,8.45,21.13,5.56,9.72,-7.0,-15.42
蔡明紹,文家良,0,6,1,40.93,0.0,16.67,8.62,17.24,6.33,18.99,-7.48,-1.44
霍宏聲,韋達,0,6,1,36.33,0.0,16.67,1.45,15.94,14.08,23.94,-7.76,-3.27
潘明輝,賀賢,0,6,0,58.67,0.0,0.0,6.85,21.92,9.86,25.35,-8.36,-23.64
何澤堯,方嘉柏,0,6,3,8.07,0.0,50.0,9.72,23.61,10.0,26.67,-9.86,24.86
田泰安,賀賢,1,5,2,25.22,20.0,40.0,6.85,21.92,6.38,23.4,13.38,17.34
霍宏聲,方嘉柏,1,5,2,38.14,20.0,40.0,9.72,23.61,14.08,23.94,8.1,16.23
湯普新,容天鵬,0,5,1,88.02,0.0,20.0,2.13,6.38,0.0,9.84,-1.06,11.89
湯普新,蔡約翰,0,5,0,54.6,0.0,0.0,6.76,24.32,0.0,9.84,-3.38,-17.08
賀銘年,蔡約翰,0,5,0,69.0,0.0,0.0,6.76,24.32,0.0,5.88,-3.38,-15.1
鍾易禮,葉楚航,0,5,1,41.0,0.0,20.0,5.36,14.29,1.56,7.81,-3.46,8.95
希威森,鄭俊偉,0,5,2,28.64,0.0,40.0,6.67,28.89,4.88,15.85,-5.78,17.63
班德禮,姚本輝,0,5,0,46.4,0.0,0.0,8.0,34.67,5.08,16.95,-6.54,-25.81
黃智弘,大衛希斯,0,5,2,53.66,0.0,40.0,6.17,25.93,6.9,13.79,-6.54,20.14
田泰安,蔡約翰,0,5,0,49.08,0.0,0.0,6.76,24.32,6.38,23.4,-6.57,-23.86
艾道拿,姚本輝,0,5,1,16.22,0.0,20.0,8.0,34.67,5.19,23.38,-6.6,-9.02
梁家俊,姚本輝,0,5,2,18.76,0.0,40.0,8.0,34.67,6.25,25.0,-7.12,10.16
田泰安,姚本輝,0,5,1,49.4,0.0,20.0,8.0,34.67,6.38,23.4,-7.19,-9.04
巴度,伍鵬志,0,5,2,7.66,0.0,40.0,9.33,22.67,5.26,19.3,-7.3,19.02
梁家俊,伍鵬志,0,5,0,45.58,0.0,0.0,9.33,22.67,6.25,25.0,-7.79,-23.84
班德禮,廖康銘,0,5,2,32.42,0.0,40.0,11.11,25.0,5.08,16.95,-8.09,19.02
潘明輝,鄭俊偉,0,5,2,42.52,0.0,40.0,6.67,28.89,9.86,25.35,-8.26,12.88
希威森,蘇偉賢,0,5,0,15.2,0.0,0.0,13.64,22.73,4.88,15.85,-9.26,-19.29
潘頓,沈集成,3,4,3,5.22,75.0,75.0,7.69,16.67,24.24,51.52,59.04,40.9
鍾易禮,伍鵬志,1,4,1,44.25,25.0,25.0,9.33,22.67,1.56,7.81,19.56,9.76
班德禮,賀賢,1,4,1,68.0,25.0,25.0,6.85,21.92,5.08,16.95,19.04,5.56
田泰安,鄭俊偉,1,4,2,6.55,25.0,50.0,6.67,28.89,6.38,23.4,18.48,23.86
艾道拿,廖康銘,1,4,1,15.75,25.0,25.0,11.11,25.0,5.19,23.38,16.85,0.81
巴度,廖康銘,1,4,2,25.58,25.0,50.0,11.11,25.0,5.26,19.3,16.82,27.85
潘頓,廖康銘,1,4,2,6.82,25.0,50.0,11.11,25.0,24.24,51.52,7.33,11.74
湯普新,賀賢,0,4,0,131.5,0.0,0.0,6.85,21.92,0.0,9.84,-3.42,-15.88
巫顯東,沈集成,0,4,0,81.0,0.0,0.0,7.69,16.67,0.0,7.69,-3.84,-12.18
賀銘年,巫偉傑,0,4,0,47.5,0.0,0.0,8.45,21.13,0.0,5.88,-4.22,-13.5
艾兆禮,黎昭昇,0,4,2,18.75,0.0,50.0,4.76,20.63,4.0,24.0,-4.38,27.68
巴度,告東尼,0,4,0,69.75,0.0,0.0,4.17,13.89,5.26,19.3,-4.72,-16.6
艾兆禮,蔡約翰,0,4,0,35.35,0.0,0.0,6.76,24.32,4.0,24.0,-5.38,-24.16
楊明綸,沈集成,0,4,0,64.58,0.0,0.0,7.69,16.67,3.64,16.36,-5.66,-16.52
蔡明紹,葉楚航,0,4,1,20.25,0.0,25.0,5.36,14.29,6.33,18.99,-5.85,8.36
楊明綸,呂健威,0,4,1,75.5,0.0,25.0,8.45,26.76,3.64,16.36,-6.04,3.44
楊明綸,文家良,0,4,0,41.72,0.0,0.0,8.62,17.24,3.64,16.36,-6.13,-16.8
周俊樂,文家良,0,4,0,111.25,0.0,0.0,8.62,17.24,5.56,9.72,-7.09,-13.48
班德禮,方嘉柏,0,4,0,94.62,0.0,0.0,9.72,23.61,5.08,16.95,-7.4,-20.28
