Trainer,DebutWins,DebutStarts,DebutPlaces,DebutProfit,DebutAvgOdds,DebutWinRate,DebutPlaceRate,DebutROI,OverallWins,OverallStarts,OverallPlaces,OverallProfit,OverallAvgOdds,OverallWinRate,OverallPlaceRate,OverallROI,WinRateUplift,PlaceRateUplift,ROIUplift
大衛希斯,5,81,21,-45.1,40.41,6.17,25.93,-55.68,61,657,178,-261.8,29.86,9.28,27.09,-39.85,-3.11,-1.16,-15.83
沈集成,6,78,13,-6.2,41.32,7.69,16.67,-7.95,40,512,116,-183.9,35.78,7.81,22.66,-35.92,-0.12,-5.99,27.97
伍鵬志,7,75,17,26.700000000000003,24.99,9.33,22.67,35.6,40,632,143,-289.5,26.24,6.33,22.63,-45.81,3.0,0.04,81.41
姚本輝,6,75,26,-37.6,28.21,8.0,34.67,-50.13,49,519,155,-136.4,23.65,9.44,29.87,-26.28,-1.44,4.8,-23.85
羅富全,5,74,17,-27.8,23.81,6.76,22.97,-37.57,46,560,140,-199.9,28.08,8.21,25.0,-35.7,-1.45,-2.03,-1.87
蔡約翰,5,74,18,-55.5,30.89,6.76,24.32,-75.0,69,623,204,-144.0,20.38,11.08,32.74,-23.11,-4.32,-8.42,-51.89
賀賢,5,73,16,-42.5,48.58,6.85,21.92,-58.22,26,446,100,-297.4,33.49,5.83,22.42,-66.68,1.02,-0.5,8.46
廖康銘,8,72,18,14.399999999999999,25.08,11.11,25.0,20.0,44,480,139,-124.7,24.65,9.17,28.96,-25.98,1.94,-3.96,45.98
方嘉柏,7,72,17,-38.3,32.02,9.72,23.61,-53.19,52,522,147,-151.3,20.86,9.96,28.16,-28.98,-0.24,-4.55,-24.21
告東尼,3,72,10,-50.5,32.38,4.17,13.89,-70.14,49,648,156,-196.2,28.6,7.56,24.07,-30.28,-3.39,-10.18,-39.86
巫偉傑,6,71,15,60.9,47.98,8.45,21.13,85.77,40,470,112,-2.1000000000000014,32.5,8.51,23.83,-0.45,-0.06,-2.7,86.22
呂健威,6,71,19,-38.1,37.88,8.45,26.76,-53.66,50,493,135,-27.300000000000004,31.47,10.14,27.38,-5.54,-1.69,-0.62,-48.12
韋達,1,69,11,-63.8,46.4,1.45,15.94,-92.46,30,480,96,-180.9,41.07,6.25,20.0,-37.69,-4.8,-4.06,-54.77
蘇偉賢,9,66,15,51.3,39.6,13.64,22.73,77.73,38,448,105,-18.70000000000001,33.64,8.48,23.44,-4.17,5.16,-0.71,81.9
黎昭昇,3,63,13,-52.1,47.24,4.76,20.63,-82.7,22,370,77,-207.3,37.74,5.95,20.81,-56.03,-1.19,-0.18,-26.67
文家良,5,58,10,-33.6,42.96,8.62,17.24,-57.93,45,410,102,-59.8,37.62,10.98,24.88,-14.59,-2.36,-7.64,-43.34
