Trainer,RaceClass,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
蘇偉賢,Class 4,跑馬地,Turf,1200,0,5,0,-5.0,45.4,0.0,0.0,-100.0
賀賢,Class 4,跑馬地,Turf,1200,0,5,1,-5.0,33.8,0.0,20.0,-100.0
鄭俊偉,Class 4,沙田,Turf,1200,0,5,1,-5.0,21.74,0.0,20.0,-100.0
伍鵬志,Class 3,沙田,Turf,1400,1,4,2,-0.2999999999999998,9.5,25.0,50.0,-7.5
呂健威,Class 4,跑馬地,Turf,1200,1,4,2,1.2000000000000002,11.45,25.0,50.0,30.0
沈集成,Class 3,沙田,Turf,1400,1,4,1,0.5,80.88,25.0,25.0,12.5
沈集成,Class 3,跑馬地,Turf,1650,1,4,1,-1.6,17.35,25.0,25.0,-40.0
蘇偉賢,Class 3,沙田,Turf,1400,1,4,1,0.8999999999999999,31.98,25.0,25.0,22.5
蘇偉賢,Class 4,沙田,Turf,1000,1,4,1,-2.1,26.48,25.0,25.0,-52.5
丁冠豪,Class 4,沙田,Turf,1000,0,4,0,-4.0,29.25,0.0,0.0,-100.0
伍鵬志,Class 3,跑馬地,Turf,1650,0,4,1,-4.0,20.0,0.0,25.0,-100.0
呂健威,Class 3,沙田,Turf,1600,0,4,1,-4.0,18.58,0.0,25.0,-100.0
告東尼,Class 3,跑馬地,Turf,1200,0,4,1,-4.0,17.58,0.0,25.0,-100.0
告東尼,Class 4,沙田,Turf,1400,0,4,0,-4.0,42.0,0.0,0.0,-100.0
告東尼,Class 4,跑馬地,Turf,1650,0,4,0,-4.0,41.48,0.0,0.0,-100.0
大衛希斯,Class 3,沙田,AWT,1200,0,4,0,-4.0,52.0,0.0,0.0,-100.0
姚本輝,Class 4,跑馬地,Turf,1200,0,4,1,-4.0,7.32,0.0,25.0,-100.0
容天鵬,Class 4,跑馬地,Turf,1200,0,4,0,-4.0,25.75,0.0,0.0,-100.0
巫偉傑,Class 5,沙田,Turf,1400,0,4,1,-4.0,45.5,0.0,25.0,-100.0
廖康銘,Class 3,沙田,Turf,1400,0,4,0,-4.0,45.25,0.0,0.0,-100.0
文家良,Class 3,沙田,Turf,1200,0,4,0,-4.0,29.0,0.0,0.0,-100.0
方嘉柏,Class 3,沙田,Turf,1200,0,4,0,-4.0,48.25,0.0,0.0,-100.0
方嘉柏,Class 3,沙田,Turf,1600,0,4,0,-4.0,21.42,0.0,0.0,-100.0
方嘉柏,Class 4,沙田,AWT,1200,0,4,0,-4.0,34.75,0.0,0.0,-100.0
沈集成,Class 3,沙田,Turf,1000,0,4,0,-4.0,69.0,0.0,0.0,-100.0
羅富全,Class 3,沙田,Turf,1400,0,4,1,-4.0,16.45,0.0,25.0,-100.0
羅富全,Class 3,沙田,Turf,1600,0,4,2,-4.0,12.1,0.0,50.0,-100.0
葉楚航,Class 4,跑馬地,Turf,1200,0,4,1,-4.0,47.78,0.0,25.0,-100.0
蔡約翰,Class 3,沙田,Turf,1400,0,4,0,-4.0,30.0,0.0,0.0,-100.0
蔡約翰,Class 3,跑馬地,Turf,1200,0,4,1,-4.0,12.62,0.0,25.0,-100.0
賀賢,Class 4,跑馬地,Turf,1000,0,4,1,-4.0,47.48,0.0,25.0,-100.0
鄭俊偉,Class 4,沙田,Turf,1400,0,4,1,-4.0,32.1,0.0,25.0,-100.0
黎昭昇,Class 4,沙田,Turf,1400,0,4,0,-4.0,110.5,0.0,0.0,-100.0
方嘉柏,Class 4,沙田,Turf,1000,2,3,2,2.1,3.87,66.67,66.67,70.0
大衛希斯,Class 3,跑馬地,Turf,1650,1,3,3,2.2,26.73,33.33,100.0,73.33
姚本輝,Class 4,沙田,AWT,1200,1,3,3,0.5,8.13,33.33,100.0,16.67
巫偉傑,Class 4,沙田,Turf,1000,1,3,1,11.0,28.33,33.33,33.33,366.67
