Jockey,DebutWins,DebutStarts,DebutPlaces,DebutProfit,DebutAvgOdds,DebutWinRate,DebutPlaceRate,DebutROI,OverallWins,OverallStarts,OverallPlaces,OverallProfit,OverallAvgOdds,OverallWinRate,OverallPlaceRate,OverallROI,WinRateUplift,PlaceRateUplift,ROIUplift
金誠剛,1,2,1,1.5,64.25,50.0,50.0,75.0,4,42,10,-12.2,45.01,9.52,23.81,-29.05,40.48,26.19,104.05
杜滿樂,0,2,0,-2.0,15.5,0.0,0.0,-100.0,0,2,0,-2.0,15.5,0.0,0.0,-100.0,0.0,0.0,0.0
羅敦,0,2,0,-2.0,46.0,0.0,0.0,-100.0,0,2,0,-2.0,46.0,0.0,0.0,-100.0,0.0,0.0,0.0
莫艾誠,1,2,1,10.0,63.0,50.0,50.0,500.0,1,2,1,10.0,63.0,50.0,50.0,500.0,0.0,0.0,0.0
蘇銘倫,0,2,0,-2.0,11.55,0.0,0.0,-100.0,0,17,2,-17.0,33.16,0.0,11.76,-100.0,0.0,-11.76,0.0
連達文,0,2,1,-2.0,54.0,0.0,50.0,-100.0,1,3,2,0.7000000000000002,37.23,33.33,66.67,23.33,-33.33,-16.67,-123.33
司徒岳,0,1,0,-1.0,175.0,0.0,0.0,-100.0,0,1,0,-1.0,175.0,0.0,0.0,-100.0,0.0,0.0,0.0
柯浩新,0,1,0,-1.0,51.0,0.0,0.0,-100.0,0,1,0,-1.0,51.0,0.0,0.0,-100.0,0.0,0.0,0.0
溫蘿,0,1,0,-1.0,16.0,0.0,0.0,-100.0,0,1,0,-1.0,16.0,0.0,0.0,-100.0,0.0,0.0,0.0
范以誠,0,1,0,-1.0,82.0,0.0,0.0,-100.0,0,2,1,-2.0,65.5,0.0,50.0,-100.0,0.0,-50.0,0.0
菅原明良,0,1,0,-1.0,76.0,0.0,0.0,-100.0,0,1,0,-1.0,76.0,0.0,0.0,-100.0,0.0,0.0,0.0
西村淳也,0,1,0,-1.0,32.0,0.0,0.0,-100.0,0,1,0,-1.0,32.0,0.0,0.0,-100.0,0.0,0.0,0.0
郭立基,0,1,0,-1.0,34.0,0.0,0.0,-100.0,0,1,0,-1.0,34.0,0.0,0.0,-100.0,0.0,0.0,0.0
黎應揚,0,1,0,-1.0,106.0,0.0,0.0,-100.0,0,1,0,-1.0,106.0,0.0,0.0,-100.0,0.0,0.0,0.0
巴米高,0,1,0,-1.0,6.1,0.0,0.0,-100.0,3,18,5,40.8,16.07,16.67,27.78,226.67,-16.67,-27.78,-326.67
