Jockey,Venue,Track,Wins,Starts,Places,Profit,WinRate,ROI
潘明輝,ShaTin,Unknown,0,24,1,-24.0,0.0,-100.0
潘明輝,沙田,AWT,2,44,9,-19.0,4.5,-43.2
潘明輝,沙田,Turf,16,217,44,87.8,7.4,40.5
潘明輝,沙田,Unknown,1,11,3,2.0,9.1,18.2
潘明輝,跑馬地,Turf,7,121,25,-48.0,5.8,-39.7
潘明輝,跑馬地,Unknown,0,5,1,-5.0,0.0,-100.0
潘頓,HappyValley,Unknown,5,20,11,0.8,25.0,4.0
潘頓,ShaTin,Unknown,6,35,15,-15.1,17.1,-43.1
潘頓,沙田,AWT,11,61,22,-23.9,18.0,-39.2
潘頓,沙田,Turf,64,294,139,-72.6,21.8,-24.7
潘頓,沙田,Unknown,5,16,8,8.3,31.2,51.9
潘頓,跑馬地,Turf,36,195,103,-50.5,18.5,-25.9
潘頓,跑馬地,Unknown,2,7,4,6.0,28.6,85.7
班德禮,HappyValley,Unknown,0,16,2,-16.0,0.0,-100.0
班德禮,ShaTin,Unknown,1,10,3,22.0,10.0,220.0
班德禮,沙田,AWT,0,37,6,-37.0,0.0,-100.0
班德禮,沙田,Turf,19,209,47,-61.3,9.1,-29.3
班德禮,沙田,Unknown,1,12,2,0.0,8.3,0.0
班德禮,跑馬地,Turf,12,136,34,-51.8,8.8,-38.1
班德禮,跑馬地,Unknown,1,7,4,1.9,14.3,27.1
田泰安,HappyValley,Unknown,2,19,6,-11.5,10.5,-60.5
田泰安,ShaTin,Unknown,5,40,10,25.4,12.5,63.5
田泰安,沙田,AWT,10,62,23,14.9,16.1,24.0
田泰安,沙田,Turf,16,274,54,-52.4,5.8,-19.1
田泰安,沙田,Unknown,0,14,5,-14.0,0.0,-100.0
田泰安,跑馬地,Turf,8,162,35,-81.0,4.9,-50.0
田泰安,跑馬地,Unknown,1,7,3,-1.5,14.3,-21.4
紀仁安,沙田,AWT,1,21,8,-11.0,4.8,-52.4
紀仁安,沙田,Turf,9,97,28,-42.8,9.3,-44.1
紀仁安,跑馬地,Turf,5,53,15,-26.0,9.4,-49.1
艾兆禮,HappyValley,Unknown,0,14,3,-14.0,0.0,-100.0
艾兆禮,ShaTin,Unknown,4,28,11,7.3,14.3,26.1
艾兆禮,沙田,AWT,12,61,24,33.0,19.7,54.1
艾兆禮,沙田,Turf,27,258,69,-27.8,10.5,-10.8
艾兆禮,沙田,Unknown,0,19,5,-19.0,0.0,-100.0
艾兆禮,跑馬地,Turf,14,157,37,-42.0,8.9,-26.8
艾兆禮,跑馬地,Unknown,1,7,1,-4.1,14.3,-58.6
艾道拿,HappyValley,Unknown,3,13,4,18.1,23.1,139.2
艾道拿,ShaTin,Unknown,2,21,4,-15.4,9.5,-73.3
艾道拿,沙田,AWT,1,34,6,-32.1,2.9,-94.4
艾道拿,沙田,Turf,10,203,49,-62.5,4.9,-30.8
艾道拿,沙田,Unknown,1,10,3,-5.7,10.0,-57.0
艾道拿,跑馬地,Turf,4,107,19,-50.3,3.7,-47.0
艾道拿,跑馬地,Unknown,0,2,0,-2.0,0.0,-100.0
莫艾誠,沙田,Turf,0,5,0,-5.0,0.0,-100.0
莫雅,沙田,Turf,0,6,0,-6.0,0.0,-100.0
莫雅,跑馬地,Turf,2,4,2,20.8,50.0,520.0
莫雷拉,HappyValley,Unknown,6,19,7,4.0,31.6,21.1
莫雷拉,ShaTin,Unknown,3,22,8,0.8,13.6,3.6
莫雷拉,沙田,AWT,2,11,2,5.9,18.2,53.6
莫雷拉,沙田,Turf,1,29,8,-11.0,3.4,-37.9
莫雷拉,沙田,Unknown,1,18,4,-10.1,5.6,-56.1
莫雷拉,跑馬地,Turf,7,33,12,-0.5,21.2,-1.5
莫雷拉,跑馬地,Unknown,0,6,0,-6.0,0.0,-100.0
董明朗,沙田,AWT,0,3,0,-3.0,0.0,-100.0
董明朗,沙田,Turf,0,40,10,-40.0,0.0,-100.0
董明朗,跑馬地,Turf,0,20,2,-20.0,0.0,-100.0
蔡明紹,HappyValley,Unknown,0,12,2,-12.0,0.0,-100.0
蔡明紹,ShaTin,Unknown,0,20,2,-20.0,0.0,-100.0
蔡明紹,沙田,AWT,1,43,5,-34.8,2.3,-80.9
蔡明紹,沙田,Turf,4,185,30,-136.1,2.2,-73.6
蔡明紹,沙田,Unknown,0,14,1,-14.0,0.0,-100.0
蔡明紹,跑馬地,Turf,7,114,28,-60.6,6.1,-53.2
蔡明紹,跑馬地,Unknown,0,1,0,-1.0,0.0,-100.0
薛凱華,沙田,Turf,0,3,1,-3.0,0.0,-100.0
蘇銘倫,沙田,Turf,0,5,3,-5.0,0.0,-100.0
袁幸堯,ShaTin,Unknown,1,16,5,-4.0,6.2,-25.0
袁幸堯,沙田,AWT,2,17,6,-10.3,11.8,-60.6
袁幸堯,沙田,Turf,5,36,14,3.8,13.9,10.6
袁幸堯,沙田,Unknown,2,14,2,-1.6,14.3,-11.4
