Trainer,Distance,Wins,Starts,Places,WinRate
蔡約翰,1650,6,58,21,10.3
蔡約翰,1800,2,35,7,5.7
蔡約翰,2000,1,13,4,7.7
蔡約翰,2200,0,5,1,0.0
蔡約翰,2400,0,3,0,0.0
蘇偉賢,1000,0,33,2,0.0
蘇偉賢,1200,11,133,27,8.3
蘇偉賢,1400,9,89,30,10.1
蘇偉賢,1600,1,27,4,3.7
蘇偉賢,1650,2,43,9,4.7
蘇偉賢,1800,1,30,9,3.3
蘇偉賢,2000,0,6,0,0.0
蘇偉賢,2200,0,2,0,0.0
費伯華,2000,0,1,1,0.0
費伯華,2400,1,1,1,100.0
賀賢,1000,3,32,10,9.4
賀賢,1200,11,141,48,7.8
賀賢,1400,5,76,17,6.6
賀賢,1600,3,24,3,12.5
賀賢,1650,2,32,7,6.2
賀賢,1800,1,20,3,5.0
賀賢,2000,0,8,0,0.0
賀賢,2200,0,5,1,0.0
鄭俊偉,1000,4,43,12,9.3
鄭俊偉,1200,6,135,25,4.4
鄭俊偉,1400,0,48,3,0.0
鄭俊偉,1600,2,17,4,11.8
鄭俊偉,1650,2,43,4,4.7
鄭俊偉,1800,1,19,2,5.3
鄭俊偉,2200,0,2,1,0.0
韋達,1000,2,48,11,4.2
韋達,1200,14,153,39,9.2
韋達,1400,2,51,14,3.9
韋達,1600,2,25,2,8.0
韋達,1650,0,51,12,0.0
韋達,1800,1,20,2,5.0
韋達,2000,0,4,0,0.0
韋達,2200,0,1,0,0.0
高野友和,1600,0,1,0,0.0
鹿戶雄一,1200,0,1,0,0.0
黎昭昇,1000,1,23,7,4.3
黎昭昇,1200,16,161,40,9.9
黎昭昇,1400,0,46,6,0.0
黎昭昇,1600,3,17,6,17.6
黎昭昇,1650,1,39,6,2.6
黎昭昇,1800,0,9,3,0.0
黎昭昇,2000,0,1,1,0.0
黎昭昇,2200,0,4,1,0.0
