Jockey,Wins,Starts,Places,Profit,WinRate,PlaceRate,ROI
三浦皇成,0,1,0,-1.0,0.0,0.0,-100.0
何澤堯,34,388,98,-129.9,8.8,25.3,-33.5
周俊樂,43,461,116,-146.5,9.3,25.2,-31.8
奧爾民,30,429,103,-39.1,7.0,24.0,-9.1
川田將雅,0,1,0,-1.0,0.0,0.0,-100.0
巫顯東,5,143,13,-59.2,3.5,9.1,-41.4
巴度,35,441,115,-85.7,7.9,26.1,-19.4
巴米高,0,6,1,-6.0,0.0,16.7,-100.0
布宜學,1,4,1,4.9,25.0,25.0,122.5
布文,59,526,173,-90.2,11.2,32.9,-17.1
布浩榮,8,94,17,-6.1,8.5,18.1,-6.5
希威森,26,423,91,-158.3,6.1,21.5,-37.4
李寶利,0,12,1,-12.0,0.0,8.3,-100.0
李慕華,0,9,2,-9.0,0.0,22.2,-100.0
杜滿樂,0,1,1,-1.0,0.0,100.0,-100.0
杜苑欣,5,97,21,-45.5,5.2,21.6,-46.9
梁家俊,27,391,75,111.0,6.9,19.2,28.4
楊明綸,17,417,59,-163.1,4.1,14.1,-39.1
橫山和生,0,1,1,-1.0,0.0,100.0,-100.0
潘大衛,0,132,8,-132.0,0.0,6.1,-100.0
潘明輝,26,437,88,-21.2,5.9,20.1,-4.9
潘頓,129,628,302,-147.0,20.5,48.1,-23.4
班德禮,34,427,98,-142.2,8.0,23.0,-33.3
田泰安,42,578,136,-120.1,7.3,23.5,-20.8
紀仁安,15,171,51,-79.8,8.8,29.8,-46.7
艾兆禮,58,544,150,-66.6,10.7,27.6,-12.2
艾道拿,21,390,85,-149.9,5.4,21.8,-38.4
莫艾誠,0,5,0,-5.0,0.0,0.0,-100.0
莫雅,2,10,2,14.8,20.0,20.0,148.0
莫雷拉,20,138,41,-16.9,14.5,29.7,-12.2
董明朗,0,63,12,-63.0,0.0,19.0,-100.0
蔡明紹,12,389,68,-278.5,3.1,17.5,-71.6
薛凱華,0,3,1,-3.0,0.0,33.3,-100.0
蘇銘倫,0,5,3,-5.0,0.0,60.0,-100.0
袁幸堯,10,83,27,-12.1,12.0,32.5,-14.6
貝知仁,0,1,0,-1.0,0.0,0.0,-100.0
金美琪,0,4,1,-4.0,0.0,25.0,-100.0
金誠剛,12,399,70,-141.0,3.0,17.5,-35.3
鍾易禮,22,382,57,-184.4,5.8,14.9,-48.3
霍宏聲,32,397,89,89.7,8.1,22.4,22.6
韋紀力,1,16,6,-6.0,6.2,37.5,-37.5
馬昆,0,2,0,-2.0,0.0,0.0,-100.0
高力德,0,1,0,-1.0,0.0,0.0,-100.0
麥文堅,10,142,31,-18.9,7.0,21.8,-13.3
麥道朗,18,114,45,-23.5,15.8,39.5,-20.6
黃寶妮,12,178,35,7.3,6.7,19.7,4.1
黃智弘,20,271,57,-3.3,7.4,21.0,-1.2
