Jockey,Distance,Wins,Starts,Places,WinRate
田泰安,2000,1,10,1,10.0
田泰安,2200,1,6,1,16.7
田泰安,2400,0,1,0,0.0
紀仁安,1000,2,12,5,16.7
紀仁安,1200,5,58,16,8.6
紀仁安,1400,4,36,12,11.1
紀仁安,1600,1,17,4,5.9
紀仁安,1650,1,25,9,4.0
紀仁安,1800,0,13,2,0.0
紀仁安,2000,0,7,1,0.0
紀仁安,2200,1,2,1,50.0
紀仁安,2400,1,1,1,100.0
艾兆禮,1000,4,39,7,10.3
艾兆禮,1200,22,192,49,11.5
艾兆禮,1400,9,86,27,10.5
艾兆禮,1600,3,36,9,8.3
艾兆禮,1650,10,76,22,13.2
艾兆禮,1800,4,33,11,12.1
艾兆禮,2000,1,11,4,9.1
艾兆禮,2200,0,2,0,0.0
艾兆禮,2400,0,1,1,0.0
艾道拿,1000,3,28,10,10.7
艾道拿,1200,3,134,24,2.2
艾道拿,1400,2,73,15,2.7
艾道拿,1600,3,30,7,10.0
艾道拿,1650,3,45,12,6.7
艾道拿,1800,1,25,5,4.0
艾道拿,2000,0,6,0,0.0
艾道拿,2200,0,3,1,0.0
莫艾誠,1200,0,2,0,0.0
莫艾誠,1400,0,1,0,0.0
莫艾誠,2000,0,1,0,0.0
莫艾誠,2400,0,1,0,0.0
莫雅,1000,0,1,0,0.0
莫雅,1200,1,3,1,33.3
莫雅,1400,0,2,0,0.0
莫雅,1600,0,1,0,0.0
莫雅,1650,1,2,1,50.0
莫雅,2400,0,1,0,0.0
莫雷拉,1000,0,9,2,0.0
莫雷拉,1200,5,26,9,19.2
莫雷拉,1400,1,11,5,9.1
莫雷拉,1600,0,6,0,0.0
莫雷拉,1650,4,15,5,26.7
莫雷拉,1800,0,5,1,0.0
莫雷拉,2000,0,1,0,0.0
董明朗,1000,0,7,1,0.0
董明朗,1200,0,27,4,0.0
董明朗,1400,0,10,5,0.0
董明朗,1600,0,8,1,0.0
董明朗,1650,0,8,1,0.0
董明朗,1800,0,2,0,0.0
董明朗,2000,0,1,0,0.0
蔡明紹,1000,2,34,9,5.9
蔡明紹,1200,5,148,29,3.4
蔡明紹,1400,2,56,7,3.6
蔡明紹,1600,0,25,2,0.0
蔡明紹,1650,3,47,9,6.4
蔡明紹,1800,0,20,2,0.0
蔡明紹,2000,0,8,4,0.0
蔡明紹,2200,0,4,1,0.0
薛凱華,1200,0,1,0,0.0
薛凱華,1600,0,2,1,0.0
蘇銘倫,1200,0,1,1,0.0
蘇銘倫,1600,0,1,0,0.0
蘇銘倫,1800,0,1,0,0.0
蘇銘倫,2000,0,1,1,0.0
蘇銘倫,2400,0,1,1,0.0
袁幸堯,1000,1,6,3,16.7
袁幸堯,1200,4,24,11,16.7
袁幸堯,1400,1,11,3,9.1
袁幸堯,1600,0,4,0,0.0
袁幸堯,1650,0,5,1,0.0
袁幸堯,1800,1,2,1,50.0
袁幸堯,2000,0,1,1,0.0
貝知仁,1600,0,1,0,0.0
金美琪,1000,0,1,0,0.0
金美琪,1200,0,1,0,0.0
金美琪,1650,0,2,1,0.0
金誠剛,1000,2,26,3,7.7
金誠剛,1200,7,143,26,4.9
金誠剛,1400,0,78,9,0.0
金誠剛,1600,0,31,8,0.0
金誠剛,1650,3,54,8,5.6
金誠剛,1800,0,22,6,0.0
金誠剛,2000,0,7,3,0.0
金誠剛,2200,0,4,1,0.0
鍾易禮,1000,4,34,9,11.8
鍾易禮,1200,6,129,19,4.7
鍾易禮,1400,4,61,5,6.6
鍾易禮,1600,2,23,3,8.7
鍾易禮,1650,2,54,4,3.7
鍾易禮,1800,1,18,5,5.6
鍾易禮,2000,0,2,0,0.0
鍾易禮,2200,0,3,0,0.0
鍾易禮,2400,0,1,0,0.0
霍宏聲,1000,4,35,9,11.4
霍宏聲,1200,10,146,30,6.8
霍宏聲,1400,6,63,14,9.5
霍宏聲,1600,0,23,5,0.0
霍宏聲,1650,9,57,19,15.8
霍宏聲,1800,2,23,2,8.7
霍宏聲,2000,0,7,1,0.0
霍宏聲,2200,0,2,0,0.0
霍宏聲,2400,0,1,0,0.0
韋紀力,1200,0,1,0,0.0
韋紀力,1400,0,4,2,0.0
韋紀力,1600,0,3,2,0.0
韋紀力,1800,0,1,0,0.0
韋紀力,2000,0,1,0,0.0
韋紀力,2400,0,1,0,0.0
馬昆,1200,0,1,0,0.0
馬昆,1600,0,1,0,0.0
高力德,2000,0,1,0,0.0
麥文堅,1000,1,6,2,16.7
麥文堅,1200,3,56,11,5.4
麥文堅,1400,2,25,6,8.0
