WtBucket,Wins,Starts,Places,WinRate
Heavy (131+),23,210,66,11.0
Light (<=115),1,49,9,2.0
Med-Heavy (127-130),40,440,96,9.1
Med-Light (116-120),8,227,41,3.5
Medium (121-126),33,520,98,6.3
