Distance,Wins,Starts,Places,WinRate
1000,15,212,40,7.1
1200,49,697,153,7.0
1400,21,270,56,7.8
1600,4,83,17,4.8
1650,12,130,31,9.2
1800,2,29,6,6.9
2000,1,15,4,6.7
2200,0,1,0,0.0
2400,1,9,3,11.1
