Trainer,Draw,Wins,Starts,Places,WinRate
巫偉傑,14,0,11,2,0.0
巫偉傑,2,5,46,15,10.9
巫偉傑,3,4,41,12,9.8
巫偉傑,4,4,35,12,11.4
巫偉傑,5,4,39,10,10.3
巫偉傑,6,1,40,11,2.5
巫偉傑,7,1,26,4,3.8
巫偉傑,8,2,39,5,5.1
巫偉傑,9,2,38,9,5.3
布銘球,5,1,1,1,100.0
廖康銘,1,4,39,15,10.3
廖康銘,10,0,33,5,0.0
廖康銘,11,1,31,3,3.2
廖康銘,12,2,39,3,5.1
廖康銘,13,1,8,3,12.5
廖康銘,14,2,17,7,11.8
廖康銘,2,9,44,16,20.5
廖康銘,3,3,40,16,7.5
廖康銘,4,5,35,14,14.3
廖康銘,5,3,39,12,7.7
廖康銘,6,6,50,17,12.0
廖康銘,7,4,40,10,10.0
廖康銘,8,2,29,12,6.9
廖康銘,9,2,36,6,5.6
徐雨石,1,0,25,7,0.0
徐雨石,10,1,28,1,3.6
徐雨石,11,1,24,4,4.2
徐雨石,12,1,17,2,5.9
徐雨石,13,0,7,0,0.0
徐雨石,14,0,5,1,0.0
徐雨石,2,1,24,8,4.2
徐雨石,3,3,27,7,11.1
徐雨石,4,2,22,6,9.1
徐雨石,5,1,27,4,3.7
徐雨石,6,2,19,3,10.5
徐雨石,7,1,26,5,3.8
徐雨石,8,5,28,8,17.9
徐雨石,9,0,13,2,0.0
文家良,1,5,27,6,18.5
文家良,10,3,45,10,6.7
文家良,11,3,30,5,10.0
文家良,12,2,25,7,8.0
文家良,13,0,13,3,0.0
文家良,14,1,8,3,12.5
文家良,2,4,34,10,11.8
文家良,3,1,31,3,3.2
文家良,4,8,32,11,25.0
文家良,5,5,34,10,14.7
文家良,6,5,30,9,16.7
文家良,7,1,35,7,2.9
文家良,8,4,33,10,12.1
文家良,9,3,33,8,9.1
方嘉柏,1,4,41,13,9.8
方嘉柏,10,2,35,7,5.7
方嘉柏,11,2,45,8,4.4
方嘉柏,12,3,32,10,9.4
方嘉柏,13,2,16,4,12.5
方嘉柏,14,1,7,1,14.3
方嘉柏,2,5,40,13,12.5
方嘉柏,3,4,36,13,11.1
方嘉柏,4,10,57,21,17.5
方嘉柏,5,3,40,10,7.5
方嘉柏,6,4,55,15,7.3
方嘉柏,7,5,45,16,11.1
方嘉柏,8,4,28,9,14.3
方嘉柏,9,3,45,7,6.7
杉山晴紀,13,0,1,0,0.0
杉山晴紀,8,0,1,0,0.0
杉山晴紀,9,0,1,0,0.0
比安威詹 希斯,2,0,1,0,0.0
池江泰壽,10,0,1,1,0.0
池添學,2,0,1,0,0.0
沈集成,1,8,45,21,17.8
沈集成,10,3,37,10,8.1
沈集成,11,2,44,6,4.5
沈集成,12,1,27,7,3.7
沈集成,13,1,9,1,11.1
沈集成,14,0,9,0,0.0
沈集成,2,2,41,8,4.9
沈集成,3,2,42,13,4.8
沈集成,4,0,41,4,0.0
沈集成,5,7,41,13,17.1
沈集成,6,0,40,4,0.0
沈集成,7,5,43,11,11.6
沈集成,8,5,53,13,9.4
沈集成,9,4,40,5,10.0
活侯夫人及布特,3,0,1,0,0.0
游孝廉,2,0,1,0,0.0
游達榮,1,4,32,14,12.5
游達榮,10,2,25,6,8.0
游達榮,11,1,28,6,3.6
游達榮,12,1,19,4,5.3
游達榮,13,2,9,3,22.2
游達榮,14,0,7,0,0.0
游達榮,2,3,30,7,10.0
游達榮,3,4,35,6,11.4
游達榮,4,5,30,9,16.7
游達榮,5,3,30,6,10.0
游達榮,6,0,21,5,0.0
游達榮,7,4,36,13,11.1
游達榮,8,4,32,9,12.5
游達榮,9,3,29,10,10.3
白祈達,10,0,1,0,0.0
納斯,2,0,1,1,0.0
羅富全,1,8,47,20,17.0
羅富全,10,6,50,14,12.0
羅富全,11,2,33,7,6.1
羅富全,12,1,30,4,3.3
羅富全,13,0,18,0,0.0
羅富全,14,0,17,0,0.0
羅富全,2,4,46,18,8.7
羅富全,3,3,35,9,8.6
羅富全,4,5,46,15,10.9
羅富全,5,2,34,10,5.9
羅富全,6,5,51,14,9.8
羅富全,7,4,53,8,7.5
羅富全,8,3,49,12,6.1
羅富全,9,3,51,9,5.9
范景新,3,0,1,0,0.0
范鴻禧,10,0,1,0,0.0
菲德文及菲敦盟,1,0,1,0,0.0
葉楚航,1,2,32,10,6.2
葉楚航,10,1,20,2,5.0
葉楚航,11,1,28,5,3.6
葉楚航,12,0,20,2,0.0
葉楚航,13,1,12,2,8.3
葉楚航,14,0,17,2,0.0
葉楚航,2,3,32,6,9.4
葉楚航,3,2,33,8,6.1
葉楚航,4,3,23,6,13.0
葉楚航,5,4,37,5,10.8
葉楚航,6,3,31,5,9.7
葉楚航,7,5,23,8,21.7
葉楚航,8,0,35,5,0.0
葉楚航,9,5,27,8,18.5
葛威法,9,0,1,0,0.0
蔡約翰,1,12,47,22,25.5
蔡約翰,10,3,41,12,7.3
蔡約翰,11,5,49,15,10.2
蔡約翰,12,2,33,8,6.1
蔡約翰,13,2,23,11,8.7
蔡約翰,14,0,15,4,0.0
蔡約翰,2,10,56,28,17.9
蔡約翰,3,1,48,13,2.1
蔡約翰,4,2,44,10,4.5
蔡約翰,5,7,44,19,15.9
蔡約翰,6,8,57,21,14.0
蔡約翰,7,5,60,15,8.3
蔡約翰,8,4,49,10,8.2
蔡約翰,9,8,57,16,14.0
藤原英昭,2,0,1,0,0.0
蘇偉賢,1,5,35,15,14.3
蘇偉賢,10,2,34,6,5.9
蘇偉賢,11,4,38,7,10.5
蘇偉賢,12,3,31,7,9.7
蘇偉賢,13,1,10,2,10.0
蘇偉賢,14,0,16,2,0.0
蘇偉賢,2,1,36,12,2.8
蘇偉賢,3,8,35,14,22.9
蘇偉賢,4,5,44,13,11.4
蘇偉賢,5,3,34,8,8.8
蘇偉賢,6,2,32,7,6.2
蘇偉賢,7,2,28,3,7.1
蘇偉賢,8,1,32,5,3.1
蘇偉賢,9,1,43,4,2.3
費伯華,12,0,1,0,0.0
賀賢,1,2,44,10,4.5
賀賢,10,4,32,11,12.5
賀賢,11,3,25,6,12.0
賀賢,12,1,36,2,2.8
賀賢,13,0,12,1,0.0
賀賢,14,1,9,1,11.1
賀賢,2,3,39,6,7.7
賀賢,3,2,35,14,5.7
賀賢,4,3,38,10,7.9
賀賢,5,1,37,8,2.7
賀賢,6,1,37,12,2.7
賀賢,7,2,30,6,6.7
賀賢,8,2,37,8,5.4
賀賢,9,1,35,5,2.9
郗國思,1,0,1,0,0.0
郗國思,6,0,1,1,0.0
鄭俊偉,1,1,33,4,3.0
鄭俊偉,10,1,23,4,4.3
鄭俊偉,11,0,19,2,0.0
鄭俊偉,12,1,22,2,4.5
鄭俊偉,13,1,11,2,9.1
鄭俊偉,14,1,10,1,10.0
鄭俊偉,2,2,20,6,10.0
鄭俊偉,3,1,29,7,3.4
鄭俊偉,4,3,31,8,9.7
鄭俊偉,5,0,40,5,0.0
鄭俊偉,6,3,31,8,9.7
鄭俊偉,7,2,26,5,7.7
鄭俊偉,8,2,28,9,7.1
鄭俊偉,9,1,25,4,4.0
雷拿及雷恩,8,0,1,0,0.0
雷里雅,7,0,1,0,0.0
韋達,1,2,32,5,6.2
韋達,10,2,36,6,5.6
韋達,11,1,32,5,3.1
韋達,12,2,37,8,5.4
韋達,13,1,13,1,7.7
韋達,14,0,13,1,0.0
韋達,2,4,41,10,9.8
韋達,3,5,42,14,11.9
韋達,4,3,45,15,6.7
韋達,5,2,36,7,5.6
韋達,6,3,39,10,7.7
韋達,7,2,48,7,4.2
韋達,8,1,25,2,4.0
韋達,9,2,41,5,4.9
顧永賢,4,0,1,0,0.0
馬晏殊,1,0,1,0,0.0
馬漢雅,8,0,1,0,0.0
高亮能,4,0,1,0,0.0
高柳瑞樹,5,0,1,0,0.0
高野友和,8,0,1,0,0.0
黎昭昇,1,2,36,5,5.6
黎昭昇,10,0,33,3,0.0
黎昭昇,11,1,23,4,4.3
黎昭昇,12,0,25,1,0.0
黎昭昇,13,0,14,4,0.0
黎昭昇,14,1,13,2,7.7
黎昭昇,2,3,23,7,13.0
黎昭昇,3,0,23,7,0.0
黎昭昇,4,5,37,11,13.5
黎昭昇,5,2,33,8,6.1
黎昭昇,6,2,28,3,7.1
黎昭昇,7,3,25,6,12.0
黎昭昇,8,1,31,9,3.2
黎昭昇,9,2,26,7,7.7
