Draw,Wins,Starts,Places,WinRate,PlaceRate
1,11,122,33,9.0,27.0
2,12,111,22,10.8,19.8
3,7,125,31,5.6,24.8
4,8,110,28,7.3,25.5
5,8,115,27,7.0,23.5
6,11,116,24,9.5,20.7
7,9,133,28,6.8,21.1
8,10,143,29,7.0,20.3
9,6,126,19,4.8,15.1
10,4,93,21,4.3,22.6
11,7,87,16,8.0,18.4
12,10,87,19,11.5,21.8
13,2,53,8,3.8,15.1
14,0,25,5,0.0,20.0
