WtBucket,Wins,Starts,Places,WinRate
Heavy (131+),223,2184,627,10.2
Light (<=115),31,484,93,6.4
Med-Heavy (127-130),205,2240,565,9.2
Med-Light (116-120),112,1949,430,5.7
Medium (121-126),276,3484,830,7.9
