Jockey,Trainer,Wins,Starts,Places,AvgOdds,WinRate
布文,方嘉柏,5,18,8,22.7,27.8
潘頓,蘇偉賢,4,11,7,4.7,36.4
霍宏聲,廖康銘,4,29,8,21.9,13.8
潘頓,黎昭昇,3,8,5,4.4,37.5
潘頓,沈集成,3,4,3,5.2,75.0
梁家俊,羅富全,3,19,7,26.2,15.8
潘頓,賀賢,3,7,4,4.2,42.9
蔡明紹,巫偉傑,3,22,5,55.0,13.6
何澤堯,呂健威,3,20,5,22.3,15.0
潘頓,伍鵬志,2,12,5,5.3,16.7
希威森,大衛希斯,2,8,3,63.1,25.0
布文,蔡約翰,2,12,6,15.0,16.7
梁家俊,巫偉傑,2,14,4,36.4,14.3
潘頓,羅富全,2,10,5,4.3,20.0
潘頓,葉楚航,2,6,2,5.0,33.3
田泰安,徐雨石,2,11,3,27.2,18.2
董明朗,蘇偉賢,2,15,2,57.8,13.3
霍宏聲,丁冠豪,2,7,2,32.8,28.6
周俊樂,姚本輝,2,9,4,28.8,22.2
巴度,方嘉柏,1,7,2,28.0,14.3
潘頓,大衛希斯,1,12,7,6.6,8.3
希威森,文家良,1,1,1,2.8,100.0
潘頓,廖康銘,1,4,2,6.8,25.0
班德禮,丁冠豪,1,10,2,65.2,10.0
潘明輝,伍鵬志,1,7,2,24.9,14.3
潘明輝,告東尼,1,1,1,9.9,100.0
麥道朗,沈集成,1,2,1,3.6,50.0
班德禮,賀賢,1,4,1,68.0,25.0
楊明綸,蘇偉賢,1,11,4,45.8,9.1
楊明綸,鄭俊偉,1,7,2,75.3,14.3
潘明輝,姚本輝,1,9,3,26.8,11.1
奧爾民,丁冠豪,1,1,1,61.0,100.0
潘明輝,廖康銘,1,3,1,18.3,33.3
布文,沈集成,1,11,3,9.7,9.1
潘明輝,文家良,1,8,1,56.1,12.5
潘頓,游達榮,1,2,1,4.6,50.0
布文,姚本輝,1,2,2,6.0,50.0
潘明輝,沈集成,1,3,2,44.7,33.3
潘頓,蔡約翰,1,8,3,4.8,12.5
何澤堯,文家良,1,1,1,5.4,100.0
希威森,呂健威,1,19,3,43.2,5.3
田泰安,大衛希斯,1,10,4,20.2,10.0
何澤堯,蘇偉賢,1,6,1,57.8,16.7
田泰安,游達榮,1,8,2,67.5,12.5
田泰安,賀賢,1,5,2,25.2,20.0
田泰安,鄭俊偉,1,4,2,6.6,25.0
艾兆禮,伍鵬志,1,8,2,32.5,12.5
艾兆禮,呂健威,1,6,2,24.0,16.7
