Trainer,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
蘇偉賢,9,66,15,51.3,39.6,13.6,22.7,77.7
廖康銘,8,72,18,14.399999999999999,25.1,11.1,25.0,20.0
方嘉柏,7,72,17,-38.3,32.0,9.7,23.6,-53.2
伍鵬志,7,75,17,26.700000000000003,25.0,9.3,22.7,35.6
巫偉傑,6,71,15,60.9,48.0,8.5,21.1,85.8
姚本輝,6,75,26,-37.6,28.2,8.0,34.7,-50.1
沈集成,6,78,13,-6.2,41.3,7.7,16.7,-7.9
呂健威,6,71,19,-38.1,37.9,8.5,26.8,-53.7
羅富全,5,74,17,-27.8,23.8,6.8,23.0,-37.6
蔡約翰,5,74,18,-55.5,30.9,6.8,24.3,-75.0
大衛希斯,5,81,21,-45.1,40.4,6.2,25.9,-55.7
文家良,5,58,10,-33.6,43.0,8.6,17.2,-57.9
賀賢,5,73,16,-42.5,48.6,6.8,21.9,-58.2
丁冠豪,4,39,9,79.3,46.3,10.3,23.1,203.3
鄭俊偉,3,45,13,-13.700000000000001,51.2,6.7,28.9,-30.4
葉楚航,3,56,8,-42.3,42.6,5.4,14.3,-75.5
游達榮,3,50,8,65.1,45.7,6.0,16.0,130.2
告東尼,3,72,10,-50.5,32.4,4.2,13.9,-70.1
徐雨石,3,29,5,-0.8999999999999986,59.8,10.3,17.2,-3.1
黎昭昇,3,63,13,-52.1,47.2,4.8,20.6,-82.7
容天鵬,1,47,3,-42.7,50.0,2.1,6.4,-90.9
韋達,1,69,11,-63.8,46.4,1.4,15.9,-92.5
布銘球,1,1,1,11.0,12.0,100.0,100.0,1100.0
堀宣行,0,2,2,-2.0,14.5,0.0,100.0,-100.0
包義定,0,1,0,-1.0,114.0,0.0,0.0,-100.0
伊比軒,0,1,0,-1.0,175.0,0.0,0.0,-100.0
中內田充正,0,2,2,-2.0,6.4,0.0,100.0,-100.0
國枝榮,0,1,1,-1.0,3.2,0.0,100.0,-100.0
岳伯仁,0,4,0,-4.0,41.3,0.0,0.0,-100.0
吉村圭司,0,1,0,-1.0,73.0,0.0,0.0,-100.0
池江泰壽,0,1,1,-1.0,4.6,0.0,100.0,-100.0
活侯夫人及布特,0,1,0,-1.0,34.0,0.0,0.0,-100.0
游孝廉,0,1,0,-1.0,61.0,0.0,0.0,-100.0
池添學,0,1,0,-1.0,20.0,0.0,0.0,-100.0
杉山晴紀,0,2,0,-2.0,39.5,0.0,0.0,-100.0
比安威詹 希斯,0,1,0,-1.0,5.6,0.0,0.0,-100.0
葛威法,0,1,0,-1.0,6.1,0.0,0.0,-100.0
菲德文及菲敦盟,0,1,0,-1.0,5.9,0.0,0.0,-100.0
范景新,0,1,0,-1.0,79.0,0.0,0.0,-100.0
范鴻禧,0,1,0,-1.0,51.0,0.0,0.0,-100.0
白祈達,0,1,0,-1.0,106.0,0.0,0.0,-100.0
郗國思,0,1,1,-1.0,13.0,0.0,100.0,-100.0
費伯華,0,1,0,-1.0,6.1,0.0,0.0,-100.0
藤原英昭,0,1,0,-1.0,94.0,0.0,0.0,-100.0
雷里雅,0,1,0,-1.0,11.0,0.0,0.0,-100.0
雷拿及雷恩,0,1,0,-1.0,82.0,0.0,0.0,-100.0
馬晏殊,0,1,0,-1.0,13.0,0.0,0.0,-100.0
顧永賢,0,1,0,-1.0,16.0,0.0,0.0,-100.0
馬漢雅,0,1,0,-1.0,148.0,0.0,0.0,-100.0
高亮能,0,1,0,-1.0,16.0,0.0,0.0,-100.0
高柳瑞樹,0,1,0,-1.0,76.0,0.0,0.0,-100.0
高野友和,0,1,0,-1.0,10.0,0.0,0.0,-100.0
