Trainer,RaceClass,Wins,Starts,Places,WinRate
丁冠豪,Class 2,1,5,1,20.0
丁冠豪,Class 3,3,58,18,5.2
丁冠豪,Class 4,14,153,30,9.2
丁冠豪,Class 5,2,41,7,4.9
中內田充正,Group 1,0,3,2,0.0
伊比軒,Group 1,0,1,0,0.0
伍鵬志,Class 1,0,10,3,0.0
伍鵬志,Class 2,2,37,11,5.4
伍鵬志,Class 3,14,207,43,6.8
伍鵬志,Class 4,15,274,55,5.5
伍鵬志,Class 5,5,65,18,7.7
伍鵬志,Group 1,2,15,4,13.3
伍鵬志,Group 2,1,9,4,11.1
伍鵬志,Group 3,1,12,4,8.3
包義定,Group 1,0,1,0,0.0
吉村圭司,Group 1,0,1,0,0.0
呂健威,Class 1,1,10,5,10.0
呂健威,Class 2,6,57,21,10.5
呂健威,Class 3,23,179,43,12.8
呂健威,Class 4,16,183,48,8.7
呂健威,Class 5,0,17,1,0.0
呂健威,Griffin,0,3,0,0.0
呂健威,Group 1,0,10,3,0.0
呂健威,Group 2,0,6,2,0.0
呂健威,Group 3,3,16,8,18.8
告東尼,Class 1,2,10,4,20.0
告東尼,Class 2,5,83,15,6.0
告東尼,Class 3,18,202,54,8.9
告東尼,Class 4,13,240,55,5.4
告東尼,Class 5,9,58,18,15.5
告東尼,Group 1,0,17,2,0.0
告東尼,Group 2,0,12,1,0.0
告東尼,Group 3,2,22,7,9.1
國枝榮,Group 1,0,1,1,0.0
堀宣行,Group 1,1,4,4,25.0
大衛希斯,Class 1,1,5,1,20.0
大衛希斯,Class 2,2,40,14,5.0
大衛希斯,Class 3,13,215,52,6.0
大衛希斯,Class 4,26,308,79,8.4
大衛希斯,Class 5,10,59,21,16.9
大衛希斯,Griffin,0,4,1,0.0
大衛希斯,Group 1,5,12,6,41.7
大衛希斯,Group 2,3,4,3,75.0
大衛希斯,Group 3,0,6,0,0.0
姚本輝,Class 1,0,4,1,0.0
姚本輝,Class 2,5,34,12,14.7
姚本輝,Class 3,6,146,33,4.1
姚本輝,Class 4,29,234,85,12.4
姚本輝,Class 5,3,71,12,4.2
姚本輝,Group 1,4,14,7,28.6
姚本輝,Group 2,2,9,4,22.2
姚本輝,Group 3,0,7,1,0.0
容天鵬,Class 2,0,13,2,0.0
容天鵬,Class 3,7,92,20,7.6
容天鵬,Class 4,7,217,36,3.2
容天鵬,Class 5,7,73,17,9.6
容天鵬,Griffin,0,2,0,0.0
容天鵬,Group 1,0,1,1,0.0
岳伯仁,Group 1,0,4,0,0.0
巫偉傑,Class 1,0,3,2,0.0
巫偉傑,Class 2,2,9,6,22.2
巫偉傑,Class 3,13,128,34,10.2
巫偉傑,Class 4,16,240,49,6.7
巫偉傑,Class 5,7,69,13,10.1
巫偉傑,Griffin,1,7,4,14.3
巫偉傑,Group 1,0,5,1,0.0
巫偉傑,Group 2,0,1,0,0.0
巫偉傑,Group 3,1,6,3,16.7
布銘球,Group 1,1,1,1,100.0
廖康銘,Class 1,0,1,0,0.0
廖康銘,Class 2,3,35,10,8.6
廖康銘,Class 3,14,190,65,7.4
廖康銘,Class 4,20,216,51,9.3
廖康銘,Class 5,6,26,9,23.1
廖康銘,Griffin,0,1,0,0.0
廖康銘,Group 1,0,6,1,0.0
廖康銘,Group 3,0,1,0,0.0
徐雨石,Class 2,0,11,3,0.0
徐雨石,Class 3,3,57,6,5.3
徐雨石,Class 4,10,145,31,6.9
徐雨石,Class 5,4,76,17,5.3
徐雨石,Group 1,1,2,1,50.0
文家良,Class 2,1,14,2,7.1
文家良,Class 3,10,89,24,11.2
文家良,Class 4,21,224,50,9.4
文家良,Class 5,13,79,26,16.5
文家良,Group 1,0,1,0,0.0
文家良,Group 3,0,3,0,0.0
方嘉柏,Class 2,5,37,12,13.5
方嘉柏,Class 3,18,168,41,10.7
方嘉柏,Class 4,24,222,68,10.8
方嘉柏,Class 5,5,80,26,6.2
方嘉柏,Griffin,0,2,0,0.0
方嘉柏,Group 1,0,9,0,0.0
方嘉柏,Group 3,0,2,0,0.0
杉山晴紀,Group 1,0,3,0,0.0
比安威詹 希斯,Group 1,0,1,0,0.0
池江泰壽,Group 1,0,1,1,0.0
池添學,Group 1,0,1,0,0.0
沈集成,Class 1,1,3,3,33.3
沈集成,Class 2,3,41,12,7.3
沈集成,Class 3,8,153,28,5.2
沈集成,Class 4,22,261,60,8.4
沈集成,Class 5,3,32,7,9.4
沈集成,Griffin,0,6,1,0.0
沈集成,Group 1,1,8,2,12.5
沈集成,Group 2,1,4,2,25.0
沈集成,Group 3,1,4,1,25.0
活侯夫人及布特,Group 1,0,1,0,0.0
游孝廉,Group 1,0,1,0,0.0
游達榮,Class 1,0,1,0,0.0
游達榮,Class 2,2,12,4,16.7
游達榮,Class 3,10,114,27,8.8
游達榮,Class 4,20,183,54,10.9
游達榮,Class 5,4,46,13,8.7
游達榮,Griffin,0,2,0,0.0
游達榮,Group 1,0,3,0,0.0
游達榮,Group 3,0,2,0,0.0
白祈達,Group 1,0,1,0,0.0
納斯,Group 1,0,1,1,0.0
羅富全,Class 1,2,6,3,33.3
羅富全,Class 2,6,48,15,12.5
羅富全,Class 3,16,167,39,9.6
羅富全,Class 4,19,266,66,7.1
羅富全,Class 5,3,42,13,7.1
羅富全,Griffin,0,1,0,0.0
羅富全,Group 1,0,9,0,0.0
羅富全,Group 2,0,7,1,0.0
羅富全,Group 3,0,13,3,0.0
范景新,Group 1,0,1,0,0.0
范鴻禧,Group 1,0,1,0,0.0
菲德文及菲敦盟,Group 1,0,1,0,0.0
葉楚航,Class 1,0,1,0,0.0
葉楚航,Class 2,2,9,2,22.2
葉楚航,Class 3,5,54,7,9.3
葉楚航,Class 4,17,186,36,9.1
葉楚航,Class 5,5,105,24,4.8
葉楚航,Griffin,1,9,3,11.1
葉楚航,Group 1,0,1,1,0.0
葉楚航,Group 3,0,2,1,0.0
葛威法,Group 1,0,1,0,0.0
蔡約翰,Class 1,1,7,2,14.3
蔡約翰,Class 2,7,58,20,12.1
蔡約翰,Class 3,24,185,71,13.0
蔡約翰,Class 4,27,275,75,9.8
蔡約翰,Class 5,4,44,15,9.1
蔡約翰,Griffin,1,4,1,25.0
蔡約翰,Group 1,1,21,9,4.8
蔡約翰,Group 2,0,13,4,0.0
蔡約翰,Group 3,4,11,7,36.4
藤原英昭,Group 1,0,1,0,0.0
蘇偉賢,Class 2,2,3,2,66.7
蘇偉賢,Class 3,10,118,25,8.5
蘇偉賢,Class 4,20,223,52,9.0
蘇偉賢,Class 5,6,104,26,5.8
費伯華,Group 1,0,1,0,0.0
賀賢,Class 1,0,4,0,0.0
賀賢,Class 2,0,12,0,0.0
賀賢,Class 3,6,111,22,5.4
賀賢,Class 4,15,214,53,7.0
賀賢,Class 5,5,79,23,6.3
賀賢,Group 1,0,11,1,0.0
賀賢,Group 2,0,6,0,0.0
賀賢,Group 3,0,9,1,0.0
郗國思,Group 1,0,2,1,0.0
鄭俊偉,Class 1,0,1,0,0.0
鄭俊偉,Class 2,2,14,5,14.3
鄭俊偉,Class 3,6,79,16,7.6
鄭俊偉,Class 4,5,157,29,3.2
鄭俊偉,Class 5,6,88,14,6.8
鄭俊偉,Griffin,0,6,3,0.0
鄭俊偉,Group 1,0,1,0,0.0
鄭俊偉,Group 3,0,2,0,0.0
雷拿及雷恩,Group 1,0,1,0,0.0
雷里雅,Group 1,0,1,0,0.0
