Jockey,Trainer,Wins,Starts,Places,Profit,WinRate,PlaceRate,ROI
巫顯東,呂健威,1,14,5,-8.9,7.1,35.7,-63.6
麥道朗,大衛希斯,1,5,1,2.0999999999999996,20.0,20.0,42.0
麥道朗,文家良,1,4,2,0.20000000000000018,25.0,50.0,5.0
田泰安,姚本輝,1,23,4,-16.1,4.3,17.4,-70.0
麥道朗,伍鵬志,1,9,2,-6.2,11.1,22.2,-68.9
班德禮,賀賢,1,9,3,6.0,11.1,33.3,66.7
田泰安,黎昭昇,1,28,6,-2.0,3.6,21.4,-7.1
湯普新,方嘉柏,1,15,3,-10.0,6.7,20.0,-66.7
湯普新,游達榮,1,15,2,-2.0,6.7,13.3,-13.3
班德禮,徐雨石,1,12,3,-7.7,8.3,25.0,-64.2
班德禮,廖康銘,1,24,9,-16.7,4.2,37.5,-69.6
潘明輝,容天鵬,1,12,3,1.0,8.3,25.0,8.3
潘明輝,巫偉傑,1,25,3,-15.0,4.0,12.0,-60.0
奧爾民,方嘉柏,1,3,1,0.6000000000000001,33.3,33.3,20.0
奧爾民,呂健威,1,18,3,-8.0,5.6,16.7,-44.4
奧爾民,丁冠豪,1,2,1,59.0,50.0,50.0,2950.0
周俊樂,鄭俊偉,1,9,1,6.0,11.1,11.1,66.7
班德禮,葉楚航,1,19,2,-14.1,5.3,10.5,-74.2
班德禮,大衛希斯,1,14,6,-7.6,7.1,42.9,-54.3
奧爾民,韋達,1,26,4,-16.4,3.8,15.4,-63.1
奧爾民,鄭俊偉,1,2,1,29.0,50.0,50.0,1450.0
麥道朗,黎昭昇,1,4,2,-1.9,25.0,50.0,-47.5
麥道朗,韋達,1,1,1,9.0,100.0,100.0,900.0
麥道朗,鄭俊偉,1,3,2,4.4,33.3,66.7,146.7
周俊樂,文家良,1,10,1,-1.5999999999999996,10.0,10.0,-16.0
潘頓,韋達,1,9,5,-6.0,11.1,55.6,-66.7
黃寶妮,伍鵬志,1,22,2,-14.6,4.5,9.1,-66.4
何澤堯,沈集成,1,17,8,-9.4,5.9,47.1,-55.3
何澤堯,徐雨石,1,5,3,1.2000000000000002,20.0,60.0,24.0
