Jockey,Trainer,Wins,Starts,Places,Profit,WinRate,PlaceRate,ROI
蘇銘倫,告東尼,0,1,0,-1.0,0.0,0.0,-100.0
蘇銘倫,姚本輝,0,1,1,-1.0,0.0,100.0,-100.0
蘇銘倫,巫偉傑,0,1,0,-1.0,0.0,0.0,-100.0
蘇銘倫,沈集成,0,4,0,-4.0,0.0,0.0,-100.0
蘇銘倫,葉楚航,0,7,1,-7.0,0.0,14.3,-100.0
蘇銘倫,葛威法,0,1,0,-1.0,0.0,0.0,-100.0
蘇銘倫,黎昭昇,0,1,0,-1.0,0.0,0.0,-100.0
西村淳也,杉山晴紀,0,1,0,-1.0,0.0,0.0,-100.0
貝知仁,伍鵬志,0,10,1,-10.0,0.0,10.0,-100.0
貝知仁,告東尼,0,4,0,-4.0,0.0,0.0,-100.0
貝知仁,大衛希斯,0,6,0,-6.0,0.0,0.0,-100.0
賀銘年,葉楚航,0,10,2,-10.0,0.0,20.0,-100.0
賀銘年,蘇偉賢,0,1,1,-1.0,0.0,100.0,-100.0
賀銘年,賀賢,0,4,1,-4.0,0.0,25.0,-100.0
賀銘年,韋達,0,7,0,-7.0,0.0,0.0,-100.0
賀銘年,黎昭昇,0,29,1,-29.0,0.0,3.4,-100.0
貝知仁,徐雨石,0,4,1,-4.0,0.0,25.0,-100.0
貝知仁,文家良,0,3,0,-3.0,0.0,0.0,-100.0
貝知仁,方嘉柏,0,1,0,-1.0,0.0,0.0,-100.0
貝知仁,沈集成,0,10,3,-10.0,0.0,30.0,-100.0
貝知仁,游達榮,0,3,0,-3.0,0.0,0.0,-100.0
貝知仁,羅富全,0,2,0,-2.0,0.0,0.0,-100.0
貝知仁,葉楚航,0,9,2,-9.0,0.0,22.2,-100.0
貝知仁,蔡約翰,0,2,0,-2.0,0.0,0.0,-100.0
貝知仁,蘇偉賢,0,1,0,-1.0,0.0,0.0,-100.0
貝知仁,賀賢,0,1,0,-1.0,0.0,0.0,-100.0
貝知仁,鄭俊偉,0,1,0,-1.0,0.0,0.0,-100.0
金誠剛,韋達,0,1,0,-1.0,0.0,0.0,-100.0
賀銘年,容天鵬,0,20,2,-20.0,0.0,10.0,-100.0
巴米高,費伯華,0,1,0,-1.0,0.0,0.0,-100.0
巴米高,鄭俊偉,0,1,0,-1.0,0.0,0.0,-100.0
巴米高,韋達,0,2,0,-2.0,0.0,0.0,-100.0
布宜學,巫偉傑,0,2,0,-2.0,0.0,0.0,-100.0
布宜學,方嘉柏,0,1,0,-1.0,0.0,0.0,-100.0
布宜學,沈集成,0,1,0,-1.0,0.0,0.0,-100.0
布宜學,羅富全,0,1,0,-1.0,0.0,0.0,-100.0
布宜學,葉楚航,0,1,1,-1.0,0.0,100.0,-100.0
布文,丁冠豪,0,4,2,-4.0,0.0,50.0,-100.0
布文,伍鵬志,0,10,2,-10.0,0.0,20.0,-100.0
巴度,沈集成,0,13,2,-13.0,0.0,15.4,-100.0
賀銘年,文家良,0,4,0,-4.0,0.0,0.0,-100.0
賀銘年,游達榮,0,16,4,-16.0,0.0,25.0,-100.0
賀銘年,羅富全,0,12,2,-12.0,0.0,16.7,-100.0
鍾易禮,方嘉柏,0,1,0,-1.0,0.0,0.0,-100.0
鍾易禮,沈集成,0,6,0,-6.0,0.0,0.0,-100.0
鍾易禮,游達榮,0,5,0,-5.0,0.0,0.0,-100.0
鍾易禮,羅富全,0,16,1,-16.0,0.0,6.2,-100.0
連達文,藤原英昭,0,1,0,-1.0,0.0,0.0,-100.0
郭立基,活侯夫人及布特,0,1,0,-1.0,0.0,0.0,-100.0
金美琪,大衛希斯,0,1,0,-1.0,0.0,0.0,-100.0
金美琪,廖康銘,0,1,0,-1.0,0.0,0.0,-100.0
金美琪,方嘉柏,0,1,0,-1.0,0.0,0.0,-100.0
金美琪,黎昭昇,0,1,0,-1.0,0.0,0.0,-100.0
金誠剛,丁冠豪,0,8,2,-8.0,0.0,25.0,-100.0
金誠剛,伍鵬志,0,5,0,-5.0,0.0,0.0,-100.0
金誠剛,呂健威,0,8,0,-8.0,0.0,0.0,-100.0
金誠剛,方嘉柏,0,2,0,-2.0,0.0,0.0,-100.0
金誠剛,葉楚航,0,1,0,-1.0,0.0,0.0,-100.0
金誠剛,蔡約翰,0,1,0,-1.0,0.0,0.0,-100.0
霍宏聲,告東尼,0,1,0,-1.0,0.0,0.0,-100.0
巴度,葉楚航,0,3,0,-3.0,0.0,0.0,-100.0
巴度,韋達,0,11,0,-11.0,0.0,0.0,-100.0
巴米高,呂健威,0,1,1,-1.0,0.0,100.0,-100.0
巴米高,告東尼,0,1,0,-1.0,0.0,0.0,-100.0
巴米高,姚本輝,0,3,0,-3.0,0.0,0.0,-100.0
巴米高,巫偉傑,0,1,1,-1.0,0.0,100.0,-100.0
巫顯東,蔡約翰,0,1,0,-1.0,0.0,0.0,-100.0
巫顯東,蘇偉賢,0,2,0,-2.0,0.0,0.0,-100.0
巫顯東,賀賢,0,1,0,-1.0,0.0,0.0,-100.0
鍾易禮,大衛希斯,0,1,0,-1.0,0.0,0.0,-100.0
鍾易禮,姚本輝,0,4,0,-4.0,0.0,0.0,-100.0
鍾易禮,容天鵬,0,5,1,-5.0,0.0,20.0,-100.0
鍾易禮,巫偉傑,0,17,2,-17.0,0.0,11.8,-100.0
鍾易禮,廖康銘,0,1,0,-1.0,0.0,0.0,-100.0
鍾易禮,文家良,0,10,0,-10.0,0.0,0.0,-100.0
巫顯東,鄭俊偉,0,19,2,-19.0,0.0,10.5,-100.0
巫顯東,黎昭昇,0,1,0,-1.0,0.0,0.0,-100.0
巴度,丁冠豪,0,3,0,-3.0,0.0,0.0,-100.0
巴度,呂健威,0,2,0,-2.0,0.0,0.0,-100.0
巴度,姚本輝,0,21,8,-21.0,0.0,38.1,-100.0
巴度,巫偉傑,0,9,2,-9.0,0.0,22.2,-100.0
巴度,徐雨石,0,15,0,-15.0,0.0,0.0,-100.0
川田將雅,中內田充正,0,2,1,-2.0,0.0,50.0,-100.0
川田將雅,伍鵬志,0,1,0,-1.0,0.0,0.0,-100.0
川田將雅,廖康銘,0,1,0,-1.0,0.0,0.0,-100.0
川田將雅,杉山晴紀,0,2,0,-2.0,0.0,0.0,-100.0
陳嘉熙,呂健威,0,1,0,-1.0,0.0,0.0,-100.0
陳嘉熙,巫偉傑,0,1,0,-1.0,0.0,0.0,-100.0
陳嘉熙,徐雨石,0,2,0,-2.0,0.0,0.0,-100.0
陳嘉熙,方嘉柏,0,3,0,-3.0,0.0,0.0,-100.0
陳嘉熙,鄭俊偉,0,2,0,-2.0,0.0,0.0,-100.0
馬昆,大衛希斯,0,3,0,-3.0,0.0,0.0,-100.0
馬昆,容天鵬,0,1,0,-1.0,0.0,0.0,-100.0
馬昆,方嘉柏,0,2,0,-2.0,0.0,0.0,-100.0
馬昆,沈集成,0,1,0,-1.0,0.0,0.0,-100.0
馬昆,游達榮,0,1,0,-1.0,0.0,0.0,-100.0
馬昆,蘇偉賢,0,1,0,-1.0,0.0,0.0,-100.0
霍宏聲,沈集成,0,9,1,-9.0,0.0,11.1,-100.0
霍宏聲,蘇偉賢,0,2,0,-2.0,0.0,0.0,-100.0
霍宏聲,賀賢,0,11,1,-11.0,0.0,9.1,-100.0
霍宏聲,黎昭昇,0,6,2,-6.0,0.0,33.3,-100.0
韋紀力,吉村圭司,0,1,0,-1.0,0.0,0.0,-100.0
韋紀力,大衛希斯,0,4,0,-4.0,0.0,0.0,-100.0
鍾易禮,蘇偉賢,0,1,0,-1.0,0.0,0.0,-100.0
鍾易禮,鄭俊偉,0,14,2,-14.0,0.0,14.3,-100.0
鍾易禮,韋達,0,3,0,-3.0,0.0,0.0,-100.0
鍾易禮,黎昭昇,0,15,1,-15.0,0.0,6.7,-100.0
麥當能,告東尼,0,2,0,-2.0,0.0,0.0,-100.0
麥當能,大衛希斯,0,3,0,-3.0,0.0,0.0,-100.0
麥當能,姚本輝,0,2,0,-2.0,0.0,0.0,-100.0
麥當能,容天鵬,0,4,0,-4.0,0.0,0.0,-100.0
麥當能,廖康銘,0,1,0,-1.0,0.0,0.0,-100.0
麥當能,文家良,0,1,0,-1.0,0.0,0.0,-100.0
麥當能,游達榮,0,1,0,-1.0,0.0,0.0,-100.0
麥當能,羅富全,0,1,0,-1.0,0.0,0.0,-100.0
麥當能,葉楚航,0,1,0,-1.0,0.0,0.0,-100.0
韋紀力,廖康銘,0,1,0,-1.0,0.0,0.0,-100.0
韋紀力,方嘉柏,0,1,0,-1.0,0.0,0.0,-100.0
韋紀力,比安威詹 希斯,0,1,0,-1.0,0.0,0.0,-100.0
韋紀力,鄭俊偉,0,1,0,-1.0,0.0,0.0,-100.0
韋紀力,韋達,0,1,0,-1.0,0.0,0.0,-100.0
馬昆,丁冠豪,0,1,0,-1.0,0.0,0.0,-100.0
馬昆,伍鵬志,0,4,0,-4.0,0.0,0.0,-100.0
馬昆,黎昭昇,0,1,0,-1.0,0.0,0.0,-100.0
川田將雅,賀賢,0,2,0,-2.0,0.0,0.0,-100.0
川田將雅,高野友和,0,1,0,-1.0,0.0,0.0,-100.0
巫顯東,丁冠豪,0,1,0,-1.0,0.0,0.0,-100.0
巫顯東,告東尼,0,2,0,-2.0,0.0,0.0,-100.0
巫顯東,姚本輝,0,8,0,-8.0,0.0,0.0,-100.0
巫顯東,容天鵬,0,6,0,-6.0,0.0,0.0,-100.0
巫顯東,巫偉傑,0,3,0,-3.0,0.0,0.0,-100.0
巫顯東,徐雨石,0,17,0,-17.0,0.0,0.0,-100.0
巫顯東,文家良,0,2,0,-2.0,0.0,0.0,-100.0
巫顯東,游達榮,0,2,0,-2.0,0.0,0.0,-100.0
奧爾民,容天鵬,0,6,1,-6.0,0.0,16.7,-100.0
奧爾民,巫偉傑,0,1,0,-1.0,0.0,0.0,-100.0
奧爾民,廖康銘,0,9,0,-9.0,0.0,0.0,-100.0
麥當能,伍鵬志,0,1,0,-1.0,0.0,0.0,-100.0
麥當能,呂健威,0,2,0,-2.0,0.0,0.0,-100.0
黃寶妮,姚本輝,0,3,0,-3.0,0.0,0.0,-100.0
黃寶妮,巫偉傑,0,2,0,-2.0,0.0,0.0,-100.0
黃寶妮,廖康銘,0,4,0,-4.0,0.0,0.0,-100.0
麥當能,蘇偉賢,0,5,1,-5.0,0.0,20.0,-100.0
麥當能,賀賢,0,1,0,-1.0,0.0,0.0,-100.0
麥當能,鄭俊偉,0,2,0,-2.0,0.0,0.0,-100.0
麥當能,韋達,0,2,0,-2.0,0.0,0.0,-100.0
麥當能,黎昭昇,0,1,0,-1.0,0.0,0.0,-100.0
麥道朗,中內田充正,0,1,1,-1.0,0.0,100.0,-100.0
麥道朗,告東尼,0,2,0,-2.0,0.0,0.0,-100.0
麥道朗,容天鵬,0,3,2,-3.0,0.0,66.7,-100.0
麥道朗,廖康銘,0,1,0,-1.0,0.0,0.0,-100.0
麥道朗,方嘉柏,0,6,2,-6.0,0.0,33.3,-100.0
馬昆,賀賢,0,2,0,-2.0,0.0,0.0,-100.0
馬昆,郗國思,0,2,1,-2.0,0.0,50.0,-100.0
馬昆,韋達,0,2,0,-2.0,0.0,0.0,-100.0
黃智弘,丁冠豪,0,2,0,-2.0,0.0,0.0,-100.0
何澤堯,丁冠豪,0,3,1,-3.0,0.0,33.3,-100.0
何澤堯,告東尼,0,3,1,-3.0,0.0,33.3,-100.0
何澤堯,姚本輝,0,3,0,-3.0,0.0,0.0,-100.0
黃智弘,游達榮,0,4,1,-4.0,0.0,25.0,-100.0
黃智弘,羅富全,0,10,2,-10.0,0.0,20.0,-100.0
黃智弘,蘇偉賢,0,4,2,-4.0,0.0,50.0,-100.0
黃智弘,鄭俊偉,0,5,0,-5.0,0.0,0.0,-100.0
黃智弘,黎昭昇,0,3,0,-3.0,0.0,0.0,-100.0
麥道朗,羅富全,0,4,1,-4.0,0.0,25.0,-100.0
周俊樂,蘇偉賢,0,7,0,-7.0,0.0,0.0,-100.0
周俊樂,韋達,0,7,0,-7.0,0.0,0.0,-100.0
周俊樂,黎昭昇,0,1,0,-1.0,0.0,0.0,-100.0
奧爾民,伍鵬志,0,22,4,-22.0,0.0,18.2,-100.0
奧爾民,告東尼,0,9,1,-9.0,0.0,11.1,-100.0
奧爾民,大衛希斯,0,7,1,-7.0,0.0,14.3,-100.0
溫蘿,顧永賢,0,1,0,-1.0,0.0,0.0,-100.0
潘頓,方嘉柏,0,1,0,-1.0,0.0,0.0,-100.0
潘頓,鄭俊偉,0,5,1,-5.0,0.0,20.0,-100.0
潘頓,馬晏殊,0,1,0,-1.0,0.0,0.0,-100.0
何澤堯,黎昭昇,0,20,1,-20.0,0.0,5.0,-100.0
司徒岳,伊比軒,0,1,0,-1.0,0.0,0.0,-100.0
周俊樂,告東尼,0,6,1,-6.0,0.0,16.7,-100.0
周俊樂,大衛希斯,0,9,1,-9.0,0.0,11.1,-100.0
黃智弘,容天鵬,0,1,0,-1.0,0.0,0.0,-100.0
黃智弘,巫偉傑,0,6,1,-6.0,0.0,16.7,-100.0
黃智弘,廖康銘,0,1,0,-1.0,0.0,0.0,-100.0
黃寶妮,羅富全,0,3,0,-3.0,0.0,0.0,-100.0
黃寶妮,葉楚航,0,14,2,-14.0,0.0,14.3,-100.0
黃寶妮,蘇偉賢,0,3,0,-3.0,0.0,0.0,-100.0
黃寶妮,鄭俊偉,0,7,0,-7.0,0.0,0.0,-100.0
黃寶妮,黎昭昇,0,1,0,-1.0,0.0,0.0,-100.0
