Jockey,Month,Wins,Starts,Places,WinRate
艾兆禮,2024-09,2,33,11,6.1
艾兆禮,2024-10,4,58,15,6.9
艾兆禮,2024-11,5,53,15,9.4
艾兆禮,2024-12,4,59,15,6.8
艾兆禮,2025-01,5,63,13,7.9
艾兆禮,2025-02,6,53,18,11.3
艾兆禮,2025-03,10,51,18,19.6
艾兆禮,2025-04,10,65,20,15.4
艾兆禮,2025-05,4,75,19,5.3
艾兆禮,2025-06,5,65,20,7.7
艾兆禮,2025-07,3,44,13,6.8
艾道拿,2024-09,3,38,9,7.9
艾道拿,2024-10,3,57,12,5.3
艾道拿,2024-11,2,48,8,4.2
艾道拿,2024-12,4,57,13,7.0
艾道拿,2025-01,5,59,15,8.5
艾道拿,2025-02,9,54,23,16.7
艾道拿,2025-03,8,47,17,17.0
艾道拿,2025-04,3,55,13,5.5
艾道拿,2025-05,3,40,12,7.5
艾道拿,2025-06,5,39,18,12.8
艾道拿,2025-07,2,17,6,11.8
苗傑美,2025-01,0,4,1,0.0
范以誠,2024-12,0,1,0,0.0
范以誠,2025-04,0,1,1,0.0
莫艾誠,2024-12,1,2,1,50.0
莫雅,2024-12,0,8,1,0.0
莫雅,2025-02,2,8,3,25.0
莫雅,2025-03,4,25,11,16.0
莫雷拉,2024-12,1,6,4,16.7
莫雷拉,2025-03,2,16,8,12.5
莫雷拉,2025-04,2,9,4,22.2
菅原明良,2024-12,0,1,0,0.0
董明朗,2024-09,1,11,1,9.1
董明朗,2024-10,2,22,2,9.1
董明朗,2024-11,1,21,5,4.8
董明朗,2024-12,0,21,2,0.0
董明朗,2025-01,1,26,2,3.8
董明朗,2025-02,2,30,4,6.7
董明朗,2025-03,0,21,1,0.0
董明朗,2025-04,2,24,5,8.3
董明朗,2025-05,0,23,6,0.0
董明朗,2025-06,3,24,4,12.5
董明朗,2025-07,0,21,3,0.0
蔡明紹,2024-09,5,48,13,10.4
蔡明紹,2024-10,5,63,14,7.9
蔡明紹,2024-11,3,52,11,5.8
蔡明紹,2024-12,2,60,14,3.3
蔡明紹,2025-01,3,66,13,4.5
蔡明紹,2025-02,2,51,11,3.9
蔡明紹,2025-03,3,53,11,5.7
蔡明紹,2025-04,2,49,7,4.1
蔡明紹,2025-05,6,50,14,12.0
蔡明紹,2025-06,3,41,10,7.3
蔡明紹,2025-07,1,43,9,2.3
薛凱華,2024-12,0,3,0,0.0
薛恩,2024-12,0,5,0,0.0
薛恩,2025-01,0,13,4,0.0
薛恩,2025-02,1,5,2,20.0
薛恩,2025-03,1,4,1,25.0
蘇銘倫,2025-01,0,6,1,0.0
蘇銘倫,2025-03,0,7,0,0.0
蘇銘倫,2025-04,0,4,1,0.0
西村淳也,2024-12,0,1,0,0.0
貝知仁,2024-12,1,55,11,1.8
貝知仁,2025-01,1,50,4,2.0
賀銘年,2024-09,0,18,1,0.0
賀銘年,2024-10,0,20,3,0.0
賀銘年,2024-11,0,20,4,0.0
賀銘年,2024-12,2,29,3,6.9
賀銘年,2025-01,0,28,3,0.0
賀銘年,2025-02,0,25,2,0.0
賀銘年,2025-03,3,18,9,16.7
賀銘年,2025-04,2,30,8,6.7
賀銘年,2025-05,0,31,6,0.0
賀銘年,2025-06,3,32,4,9.4
賀銘年,2025-07,2,22,6,9.1
連達文,2024-12,0,1,1,0.0
連達文,2025-04,1,2,1,50.0
郭立基,2025-04,0,1,0,0.0
金美琪,2024-12,0,4,0,0.0
金誠剛,2025-02,0,4,0,0.0
金誠剛,2025-03,3,33,8,9.1
金誠剛,2025-04,1,5,2,20.0
鍾易禮,2024-09,1,36,8,2.8
鍾易禮,2024-10,1,48,7,2.1
鍾易禮,2024-11,3,38,5,7.9
鍾易禮,2024-12,2,35,10,5.7
鍾易禮,2025-01,1,45,8,2.2
鍾易禮,2025-02,0,10,0,0.0
鍾易禮,2025-03,4,46,9,8.7
鍾易禮,2025-04,3,46,8,6.5
鍾易禮,2025-05,2,63,6,3.2
鍾易禮,2025-06,2,41,5,4.9
鍾易禮,2025-07,1,38,5,2.6
陳嘉熙,2024-09,1,8,4,12.5
陳嘉熙,2024-10,0,2,0,0.0
陳嘉熙,2024-12,0,1,0,0.0
陳嘉熙,2025-01,0,3,0,0.0
陳嘉熙,2025-02,0,2,0,0.0
陳嘉熙,2025-07,0,2,0,0.0
霍宏聲,2024-09,3,27,6,11.1
霍宏聲,2024-10,5,32,8,15.6
霍宏聲,2024-11,5,44,12,11.4
霍宏聲,2024-12,5,46,10,10.9
霍宏聲,2025-01,6,47,11,12.8
霍宏聲,2025-02,4,51,11,7.8
霍宏聲,2025-03,5,54,16,9.3
霍宏聲,2025-04,3,48,14,6.2
霍宏聲,2025-05,7,49,18,14.3
霍宏聲,2025-06,1,47,10,2.1
霍宏聲,2025-07,3,36,6,8.3
韋紀力,2025-01,1,8,1,12.5
韋紀力,2025-03,2,9,3,22.2
韋紀力,2025-04,1,7,2,14.3
韋紀力,2025-05,0,3,2,0.0
馬昆,2024-12,0,2,1,0.0
馬昆,2025-02,2,14,2,14.3
馬昆,2025-03,0,5,0,0.0
馬昆,2025-05,0,3,0,0.0
麥當能,2025-02,0,6,0,0.0
麥當能,2025-03,1,28,2,3.6
麥當能,2025-04,0,1,0,0.0
麥道朗,2024-11,7,31,15,22.6
麥道朗,2024-12,12,58,25,20.7
麥道朗,2025-01,3,10,5,30.0
麥道朗,2025-02,1,2,1,50.0
麥道朗,2025-03,2,7,3,28.6
麥道朗,2025-04,0,8,4,0.0
麥道朗,2025-05,1,5,1,20.0
黃寶妮,2024-09,2,18,3,11.1
黃寶妮,2024-10,1,22,2,4.5
黃寶妮,2024-11,2,14,2,14.3
黃寶妮,2024-12,1,25,3,4.0
黃寶妮,2025-01,2,18,4,11.1
黃寶妮,2025-02,1,18,1,5.6
黃寶妮,2025-03,3,30,7,10.0
黃寶妮,2025-04,0,19,3,0.0
黃寶妮,2025-05,4,17,5,23.5
黃寶妮,2025-06,2,20,4,10.0
黃寶妮,2025-07,0,9,1,0.0
黃智弘,2024-09,1,24,2,4.2
黃智弘,2024-10,2,23,8,8.7
黃智弘,2024-11,0,23,5,0.0
黃智弘,2024-12,0,15,5,0.0
黃智弘,2025-01,2,24,6,8.3
黃智弘,2025-02,0,29,6,0.0
黃智弘,2025-03,1,26,5,3.8
黃智弘,2025-04,4,25,5,16.0
黃智弘,2025-05,5,39,10,12.8
黃智弘,2025-06,8,35,17,22.9
黃智弘,2025-07,2,37,7,5.4
黎應揚,2024-12,0,1,0,0.0
