Jockey,Going,Wins,Starts,Places,WinRate
班德禮,一級賽 - 1600米,0,1,0,0.0
班德禮,一級賽 - 2000米,0,1,0,0.0
班德禮,一級賽 - 2400米,0,1,0,0.0
班德禮,三級賽 - 1000米,0,3,1,0.0
班德禮,三級賽 - 1400米,0,3,0,0.0
班德禮,三級賽 - 1600米,0,1,0,0.0
班德禮,三級賽 - 1800米,1,4,2,25.0
班德禮,三級賽 - 2400米,0,1,0,0.0
班德禮,二級賽 - 1200米,1,5,1,20.0
班德禮,二級賽 - 1600米,0,3,1,0.0
班德禮,四歲 - 1600米,0,2,0,0.0
班德禮,四歲 - 1800米,1,1,1,100.0
班德禮,四歲 - 2000米,0,1,1,0.0
班德禮,新馬賽 - 1000米,0,4,1,0.0
班德禮,新馬賽 - 1200米,0,1,0,0.0
班德禮,第一班 - 1200米 - (110-85),0,1,1,0.0
班德禮,第一班 - 1200米 - (80+),0,1,0,0.0
班德禮,第一班 - 1200米 - (85+),0,2,0,0.0
班德禮,第一班 - 1400米 - (110-85),0,1,0,0.0
班德禮,第一班 - 1400米 - (85+),0,1,0,0.0
班德禮,第一班 - 1650米 - (110-85),0,1,1,0.0
班德禮,第三班 - 1000米 - (80-55),0,2,0,0.0
班德禮,第三班 - 1000米 - (80-60),2,21,4,9.5
班德禮,第三班 - 1000米 - (85-60),0,3,0,0.0
班德禮,第三班 - 1200米 - (80-55),1,6,1,16.7
班德禮,第三班 - 1200米 - (80-60),3,90,24,3.3
班德禮,第三班 - 1200米 - (85-60),0,6,2,0.0
班德禮,第三班 - 1400米 - (80-60),3,44,10,6.8
班德禮,第三班 - 1400米 - (85-60),0,1,1,0.0
班德禮,第三班 - 1600米 - (80-60),2,18,6,11.1
班德禮,第三班 - 1600米 - (85-60),1,2,1,50.0
班德禮,第三班 - 1650米 - (80-55),2,3,2,66.7
班德禮,第三班 - 1650米 - (80-60),2,30,8,6.7
班德禮,第三班 - 1650米 - (85-60),0,6,0,0.0
班德禮,第三班 - 1800米 - (80-60),1,8,3,12.5
班德禮,第三班 - 1800米 - (85-60),0,4,0,0.0
班德禮,第三班 - 2000米 - (80-60),0,3,0,0.0
班德禮,第三班 - 2000米 - (85-60),0,4,1,0.0
班德禮,第三班 - 2200米 - (80-55),0,1,0,0.0
班德禮,第三班 - 2200米 - (85-60),1,1,1,100.0
班德禮,第三班（條件限制） - 1600米 - (85-60),1,2,1,50.0
班德禮,第二班 - 1000米 - (100-75),0,2,0,0.0
班德禮,第二班 - 1000米 - (100-80),0,1,1,0.0
班德禮,第二班 - 1000米 - (105-75),0,1,0,0.0
班德禮,第二班 - 1000米 - (105-80),0,1,0,0.0
班德禮,第二班 - 1200米 - (100-75),0,2,1,0.0
班德禮,第二班 - 1200米 - (100-80),2,9,3,22.2
班德禮,第二班 - 1200米 - (105-80),0,3,1,0.0
班德禮,第二班 - 1400米 - (100-80),0,2,1,0.0
班德禮,第二班 - 1400米 - (105-80),1,8,3,12.5
班德禮,第二班 - 1600米 - (100-75),1,2,1,50.0
班德禮,第二班 - 1600米 - (100-80),0,3,1,0.0
班德禮,第二班 - 1600米 - (105-75),0,1,0,0.0
班德禮,第二班 - 1600米 - (105-80),1,3,1,33.3
班德禮,第二班 - 1650米 - (100-75),0,2,1,0.0
班德禮,第二班 - 1650米 - (100-80),2,5,4,40.0
班德禮,第二班 - 1650米 - (105-80),0,1,0,0.0
班德禮,第二班 - 1800米 - (100-70),0,1,0,0.0
班德禮,第二班 - 1800米 - (100-75),0,3,1,0.0
班德禮,第二班 - 1800米 - (100-80),0,1,0,0.0
班德禮,第二班 - 2000米 - (100-75),0,1,0,0.0
班德禮,第五班 - 1000米 - (40-0),1,13,2,7.7
班德禮,第五班 - 1200米 - (40-0),0,37,10,0.0
班德禮,第五班 - 1400米 - (40-0),1,24,2,4.2
班德禮,第五班 - 1600米 - (40-0),0,10,1,0.0
班德禮,第五班 - 1650米 - (40-0),2,20,3,10.0
班德禮,第五班 - 1800米 - (40-0),1,9,2,11.1
班德禮,第五班 - 2000米 - (40-0),0,1,0,0.0
班德禮,第五班 - 2200米 - (40-0),0,1,0,0.0
班德禮,第四班 - 1000米 - (60-40),2,27,3,7.4
班德禮,第四班 - 1200米 - (60-40),17,160,34,10.6
班德禮,第四班 - 1400米 - (60-40),5,71,15,7.0
班德禮,第四班 - 1600米 - (60-40),0,22,5,0.0
班德禮,第四班 - 1650米 - (60-40),3,57,11,5.3
班德禮,第四班 - 1800米 - (60-35),0,2,1,0.0
班德禮,第四班 - 1800米 - (60-40),0,21,3,0.0
班德禮,第四班 - 2000米 - (60-40),0,6,1,0.0
班德禮,第四班 - 2200米 - (60-35),0,3,1,0.0
班德禮,第四班 - 2200米 - (60-40),1,5,2,20.0
班德禮,第四班（條件限制） - 1200米 - (60-40),0,3,0,0.0
班德禮,第四班（條件限制） - 1400米 - (60-40),0,1,0,0.0
田泰安,一級賽 - 1200米,0,1,0,0.0
田泰安,一級賽 - 1400米,1,2,1,50.0
田泰安,一級賽 - 1600米,0,3,0,0.0
田泰安,一級賽 - 2000米,0,1,1,0.0
田泰安,三級賽 - 1000米,0,2,0,0.0
田泰安,三級賽 - 1200米,0,1,0,0.0
田泰安,三級賽 - 1400米,2,3,2,66.7
田泰安,三級賽 - 1600米,0,1,0,0.0
田泰安,三級賽 - 1800米,2,7,3,28.6
田泰安,三級賽 - 2400米,0,1,0,0.0
田泰安,二級賽 - 1200米,0,4,0,0.0
田泰安,二級賽 - 1600米,0,6,1,0.0
田泰安,二級賽 - 2000米,0,1,0,0.0
田泰安,四歲 - 1600米,0,1,0,0.0
田泰安,四歲 - 1800米,0,1,1,0.0
田泰安,四歲 - 2000米,0,2,0,0.0
田泰安,新馬賽 - 1000米,0,5,2,0.0
田泰安,第一班 - 1200米 - (110-85),0,1,0,0.0
田泰安,第一班 - 1200米 - (80+),0,2,0,0.0
田泰安,第一班 - 1200米 - (85+),0,2,1,0.0
田泰安,第一班 - 1400米 - (85+),0,1,0,0.0
田泰安,第一班 - 1600米 - (85+),0,1,0,0.0
田泰安,第一班 - 1650米 - (110-85),0,1,0,0.0
田泰安,第三班 - 1000米 - (80-55),0,1,0,0.0
田泰安,第三班 - 1000米 - (80-60),0,32,3,0.0
田泰安,第三班 - 1000米 - (85-60),0,5,0,0.0
田泰安,第三班 - 1200米 - (80-55),0,5,2,0.0
田泰安,第三班 - 1200米 - (80-60),5,103,25,4.9
田泰安,第三班 - 1200米 - (85-60),1,8,3,12.5
田泰安,第三班 - 1400米 - (80-60),4,54,9,7.4
田泰安,第三班 - 1600米 - (80-60),1,21,7,4.8
田泰安,第三班 - 1600米 - (85-60),0,3,1,0.0
田泰安,第三班 - 1650米 - (80-55),0,1,0,0.0
田泰安,第三班 - 1650米 - (80-60),3,40,15,7.5
田泰安,第三班 - 1650米 - (85-60),0,7,1,0.0
田泰安,第三班 - 1800米 - (80-60),2,17,4,11.8
田泰安,第三班 - 1800米 - (85-60),0,6,0,0.0
田泰安,第三班 - 2000米 - (80-60),0,5,2,0.0
田泰安,第三班 - 2000米 - (85-60),0,4,0,0.0
田泰安,第三班 - 2200米 - (80-55),0,1,0,0.0
田泰安,第三班 - 2200米 - (85-60),0,1,0,0.0
田泰安,第三班（條件限制） - 1600米 - (85-60),0,3,0,0.0
田泰安,第二班 - 1000米 - (100-75),0,3,0,0.0
田泰安,第二班 - 1000米 - (100-80),0,1,0,0.0
田泰安,第二班 - 1000米 - (105-75),0,1,0,0.0
田泰安,第二班 - 1000米 - (105-80),0,1,0,0.0
田泰安,第二班 - 1200米 - (100-75),0,2,1,0.0
田泰安,第二班 - 1200米 - (100-80),1,14,6,7.1
田泰安,第二班 - 1200米 - (105-80),0,7,3,0.0
田泰安,第二班 - 1400米 - (100-75),0,1,0,0.0
田泰安,第二班 - 1400米 - (100-80),0,2,1,0.0
田泰安,第二班 - 1400米 - (105-80),0,10,2,0.0
田泰安,第二班 - 1400米 - (90-70),0,1,0,0.0
田泰安,第二班 - 1600米 - (100-75),0,2,0,0.0
田泰安,第二班 - 1600米 - (100-80),0,3,0,0.0
田泰安,第二班 - 1600米 - (105-75),0,1,0,0.0
田泰安,第二班 - 1600米 - (105-80),0,4,0,0.0
田泰安,第二班 - 1650米 - (100-75),1,4,2,25.0
田泰安,第二班 - 1650米 - (100-80),0,3,2,0.0
田泰安,第二班 - 1650米 - (105-80),0,2,0,0.0
田泰安,第二班 - 1800米 - (100-70),0,1,0,0.0
田泰安,第二班 - 1800米 - (100-75),1,4,1,25.0
田泰安,第二班 - 1800米 - (100-80),0,2,1,0.0
田泰安,第二班 - 1800米 - (90-60),0,1,0,0.0
田泰安,第二班 - 2000米 - (100-75),0,2,0,0.0
田泰安,第二班 - 2000米 - (95-70),0,2,0,0.0
田泰安,第五班 - 1000米 - (40-0),2,12,3,16.7
田泰安,第五班 - 1200米 - (40-0),6,50,17,12.0
田泰安,第五班 - 1400米 - (40-0),3,30,9,10.0
田泰安,第五班 - 1600米 - (40-0),0,9,2,0.0
田泰安,第五班 - 1650米 - (40-0),2,26,6,7.7
田泰安,第五班 - 1800米 - (40-0),2,17,3,11.8
田泰安,第五班 - 2000米 - (40-0),1,3,2,33.3
田泰安,第五班 - 2200米 - (40-0),1,5,1,20.0
田泰安,第四班 - 1000米 - (60-40),1,40,5,2.5
田泰安,第四班 - 1200米 - (60-40),19,230,58,8.3
田泰安,第四班 - 1400米 - (60-40),3,100,19,3.0
田泰安,第四班 - 1600米 - (60-40),1,31,7,3.2
田泰安,第四班 - 1650米 - (60-40),8,89,26,9.0
田泰安,第四班 - 1800米 - (60-35),1,2,2,50.0
田泰安,第四班 - 1800米 - (60-40),3,30,9,10.0
田泰安,第四班 - 2000米 - (60-40),0,5,2,0.0
田泰安,第四班 - 2200米 - (60-35),1,3,2,33.3
田泰安,第四班 - 2200米 - (60-40),0,3,0,0.0
田泰安,第四班（條件限制） - 1200米 - (60-40),0,5,0,0.0
田泰安,第四班（條件限制） - 1400米 - (60-40),0,1,0,0.0
簡國能,第三班 - 1200米 - (80-60),0,1,1,0.0
簡國能,第三班 - 1650米 - (80-60),0,1,0,0.0
簡國能,第四班 - 1000米 - (60-40),0,1,0,0.0
簡國能,第四班 - 1650米 - (60-40),0,2,1,0.0
紀仁安,一級賽 - 1400米,0,1,0,0.0
紀仁安,一級賽 - 1600米,0,2,0,0.0
紀仁安,一級賽 - 2000米,0,2,1,0.0
紀仁安,一級賽 - 2400米,1,1,1,100.0
紀仁安,三級賽 - 1400米,0,1,0,0.0
紀仁安,三級賽 - 1800米,0,1,0,0.0
紀仁安,四歲 - 1600米,0,1,0,0.0
紀仁安,第三班 - 1000米 - (80-60),2,4,3,50.0
紀仁安,第三班 - 1000米 - (85-60),0,2,2,0.0
紀仁安,第三班 - 1200米 - (80-60),1,14,4,7.1
紀仁安,第三班 - 1200米 - (85-60),0,2,1,0.0
紀仁安,第三班 - 1400米 - (80-60),0,9,3,0.0
紀仁安,第三班 - 1400米 - (85-60),1,1,1,100.0
紀仁安,第三班 - 1600米 - (80-60),0,6,1,0.0
紀仁安,第三班 - 1600米 - (85-60),0,1,0,0.0
紀仁安,第三班 - 1650米 - (80-60),0,7,1,0.0
紀仁安,第三班 - 1800米 - (85-60),0,3,1,0.0
紀仁安,第三班 - 2000米 - (85-60),0,2,0,0.0
紀仁安,第三班 - 2200米 - (80-55),1,1,1,100.0
