Trainer,Distance,Wins,Starts,Places,WinRate
韋達,1650,5,111,27,4.5
韋達,1800,3,49,9,6.1
韋達,2000,0,8,0,0.0
韋達,2200,0,5,1,0.0
顧永賢,2400,0,1,0,0.0
馬晏殊,2000,0,1,0,0.0
馬漢雅,1200,0,1,0,0.0
高亮能,1600,0,1,0,0.0
高柳瑞樹,1200,0,1,0,0.0
高野友和,1600,0,2,0,0.0
鹿戶雄一,1200,0,1,0,0.0
黎昭昇,1000,6,72,23,8.3
黎昭昇,1200,27,331,76,8.2
黎昭昇,1400,0,98,10,0.0
黎昭昇,1600,3,34,9,8.8
黎昭昇,1650,7,102,22,6.9
黎昭昇,1800,0,18,3,0.0
黎昭昇,2000,0,5,2,0.0
黎昭昇,2200,0,10,2,0.0
