Jockey,Month,Wins,Starts,Places,WinRate
梁家俊,2025-02,1,12,3,8.3
梁家俊,2025-03,4,34,8,11.8
梁家俊,2025-04,2,56,11,3.6
梁家俊,2025-05,6,53,14,11.3
梁家俊,2025-06,4,47,12,8.5
梁家俊,2025-07,5,44,7,11.4
梁家俊,2025-09,3,27,8,11.1
梁家俊,2025-10,1,46,10,2.2
梁家俊,2025-11,2,42,3,4.8
梁家俊,2025-12,3,35,8,8.6
梁家俊,2026-01,4,54,9,7.4
梁家俊,2026-02,3,37,6,8.1
梁家俊,2026-03,2,40,11,5.0
梁家俊,2026-04,3,41,5,7.3
梁家俊,2026-05,2,14,3,14.3
楊明綸,2024-09,1,28,6,3.6
楊明綸,2024-10,2,40,8,5.0
楊明綸,2024-11,4,46,11,8.7
楊明綸,2024-12,2,56,5,3.6
楊明綸,2025-01,1,44,5,2.3
楊明綸,2025-02,0,25,2,0.0
楊明綸,2025-03,2,45,6,4.4
楊明綸,2025-04,2,50,9,4.0
楊明綸,2025-05,4,47,9,8.5
楊明綸,2025-06,1,37,6,2.7
楊明綸,2025-07,1,16,5,6.2
楊明綸,2025-09,1,26,4,3.8
楊明綸,2025-10,1,42,6,2.4
楊明綸,2025-11,2,39,4,5.1
楊明綸,2025-12,3,42,6,7.1
楊明綸,2026-01,3,52,7,5.8
楊明綸,2026-02,2,44,5,4.5
楊明綸,2026-03,4,57,11,7.0
楊明綸,2026-04,0,51,7,0.0
楊明綸,2026-05,1,19,2,5.3
橫山和生,2025-12,0,1,1,0.0
湯普新,2024-09,1,25,4,4.0
湯普新,2024-10,1,29,3,3.4
湯普新,2024-11,0,35,4,0.0
湯普新,2024-12,1,37,6,2.7
湯普新,2025-01,1,35,3,2.9
湯普新,2025-02,1,43,6,2.3
湯普新,2025-03,1,49,8,2.0
湯普新,2025-04,2,20,6,10.0
湯普新,2025-05,0,42,7,0.0
湯普新,2025-06,0,37,1,0.0
湯普新,2025-07,1,28,4,3.6
溫蘿,2024-12,0,1,0,0.0
潘大衛,2025-09,0,23,1,0.0
潘大衛,2025-10,0,41,2,0.0
潘大衛,2025-11,0,25,4,0.0
潘大衛,2025-12,0,20,1,0.0
潘大衛,2026-01,0,17,0,0.0
潘大衛,2026-02,0,6,0,0.0
潘明輝,2024-09,6,40,14,15.0
潘明輝,2024-10,3,56,17,5.4
潘明輝,2024-11,5,56,9,8.9
潘明輝,2024-12,4,51,12,7.8
潘明輝,2025-01,3,59,14,5.1
潘明輝,2025-02,5,39,12,12.8
潘明輝,2025-03,3,53,9,5.7
潘明輝,2025-04,0,65,11,0.0
潘明輝,2025-05,6,63,16,9.5
潘明輝,2025-06,1,39,8,2.6
潘明輝,2025-07,0,39,8,0.0
潘明輝,2025-09,0,35,10,0.0
潘明輝,2025-10,3,56,15,5.4
潘明輝,2025-11,4,34,6,11.8
潘明輝,2025-12,2,35,6,5.7
潘明輝,2026-01,3,58,10,5.2
潘明輝,2026-02,7,49,12,14.3
潘明輝,2026-03,3,62,12,4.8
潘明輝,2026-04,1,36,4,2.8
潘明輝,2026-05,2,17,3,11.8
潘頓,2024-09,13,53,31,24.5
潘頓,2024-10,19,69,36,27.5
潘頓,2024-11,11,65,30,16.9
潘頓,2024-12,17,69,30,24.6
潘頓,2025-01,20,78,48,25.6
潘頓,2025-02,4,15,9,26.7
潘頓,2025-03,3,9,6,33.3
潘頓,2025-04,15,70,24,21.4
潘頓,2025-05,13,61,30,21.3
潘頓,2025-06,11,60,24,18.3
潘頓,2025-07,12,44,24,27.3
潘頓,2025-09,10,48,22,20.8
潘頓,2025-10,16,69,32,23.2
潘頓,2025-11,15,67,31,22.4
潘頓,2025-12,9,57,22,15.8
潘頓,2026-01,20,77,44,26.0
潘頓,2026-02,8,65,28,12.3
潘頓,2026-03,12,73,41,16.4
潘頓,2026-04,17,72,36,23.6
潘頓,2026-05,4,22,8,18.2
班德禮,2024-09,2,30,7,6.7
班德禮,2024-10,1,40,10,2.5
班德禮,2024-11,2,38,6,5.3
班德禮,2024-12,2,34,5,5.9
班德禮,2025-01,5,46,12,10.9
班德禮,2025-02,4,55,15,7.3
班德禮,2025-03,3,59,13,5.1
班德禮,2025-04,3,46,15,6.5
班德禮,2025-05,3,44,5,6.8
班德禮,2025-06,5,42,10,11.9
班德禮,2025-07,1,28,5,3.6
班德禮,2025-09,4,27,4,14.8
班德禮,2025-10,2,46,8,4.3
班德禮,2025-11,4,44,14,9.1
班德禮,2025-12,0,40,7,0.0
班德禮,2026-01,3,59,9,5.1
班德禮,2026-02,4,42,11,9.5
班德禮,2026-03,7,49,14,14.3
班德禮,2026-04,7,56,15,12.5
班德禮,2026-05,0,19,5,0.0
田泰安,2024-09,4,46,13,8.7
田泰安,2024-10,5,66,19,7.6
田泰安,2024-11,6,49,18,12.2
田泰安,2024-12,1,42,3,2.4
田泰安,2025-01,4,73,17,5.5
田泰安,2025-02,6,64,17,9.4
田泰安,2025-03,1,65,24,1.5
田泰安,2025-04,6,77,17,7.8
田泰安,2025-05,1,52,9,1.9
田泰安,2025-06,4,56,14,7.1
田泰安,2025-07,6,44,13,13.6
田泰安,2025-09,3,46,11,6.5
田泰安,2025-10,5,67,12,7.5
田泰安,2025-11,4,52,8,7.7
田泰安,2025-12,4,50,11,8.0
田泰安,2026-01,4,68,15,5.9
田泰安,2026-02,3,66,14,4.5
田泰安,2026-03,2,51,12,3.9
田泰安,2026-04,5,72,20,6.9
田泰安,2026-05,4,26,9,15.4
簡國能,2024-12,0,5,2,0.0
紀仁安,2025-11,0,5,1,0.0
紀仁安,2025-12,6,48,14,12.5
紀仁安,2026-01,5,66,20,7.6
紀仁安,2026-02,4,45,15,8.9
紀仁安,2026-03,0,5,0,0.0
紀仁安,2026-04,0,2,1,0.0
羅敦,2024-12,0,2,0,0.0
艾兆禮,2024-09,2,33,11,6.1
艾兆禮,2024-10,4,58,15,6.9
艾兆禮,2024-11,5,53,15,9.4
艾兆禮,2024-12,4,59,15,6.8
艾兆禮,2025-01,5,63,13,7.9
艾兆禮,2025-02,6,53,18,11.3
艾兆禮,2025-03,10,51,18,19.6
艾兆禮,2025-04,10,65,20,15.4
艾兆禮,2025-05,4,75,19,5.3
艾兆禮,2025-06,5,65,20,7.7
艾兆禮,2025-07,3,44,13,6.8
艾兆禮,2025-09,3,37,9,8.1
艾兆禮,2025-10,4,56,12,7.1
艾兆禮,2025-11,3,56,11,5.4
艾兆禮,2025-12,3,41,10,7.3
艾兆禮,2026-01,7,67,19,10.4
艾兆禮,2026-02,9,56,17,16.1
艾兆禮,2026-03,14,73,27,19.2
艾兆禮,2026-04,6,66,17,9.1
艾兆禮,2026-05,4,24,8,16.7
艾道拿,2024-09,3,38,9,7.9
艾道拿,2024-10,3,57,12,5.3
艾道拿,2024-11,2,48,8,4.2
艾道拿,2024-12,4,57,13,7.0
艾道拿,2025-01,5,59,15,8.5
艾道拿,2025-02,9,54,23,16.7
艾道拿,2025-03,8,47,17,17.0
艾道拿,2025-04,3,55,13,5.5
艾道拿,2025-05,3,40,12,7.5
艾道拿,2025-06,5,39,18,12.8
艾道拿,2025-07,2,17,6,11.8
艾道拿,2025-09,3,39,9,7.7
艾道拿,2025-10,1,54,9,1.9
艾道拿,2025-11,2,37,8,5.4
艾道拿,2025-12,1,34,7,2.9
艾道拿,2026-01,3,46,10,6.5
艾道拿,2026-02,1,40,7,2.5
艾道拿,2026-03,1,42,6,2.4
艾道拿,2026-04,3,40,14,7.5
艾道拿,2026-05,0,12,4,0.0
苗傑美,2025-01,0,4,1,0.0
范以誠,2024-12,0,1,0,0.0
范以誠,2025-04,0,1,1,0.0
莫艾誠,2024-12,1,2,1,50.0
莫艾誠,2025-12,0,2,0,0.0
莫艾誠,2026-04,0,3,0,0.0
莫雅,2024-12,0,8,1,0.0
莫雅,2025-02,2,8,3,25.0
莫雅,2025-03,4,25,11,16.0
莫雅,2025-12,2,10,2,20.0
莫雷拉,2024-12,1,6,4,16.7
莫雷拉,2025-03,2,16,8,12.5
莫雷拉,2025-04,2,9,4,22.2
莫雷拉,2025-12,2,8,2,25.0
莫雷拉,2026-04,7,49,18,14.3
莫雷拉,2026-05,1,16,2,6.2
菅原明良,2024-12,0,1,0,0.0
董明朗,2024-09,1,11,1,9.1
董明朗,2024-10,2,22,2,9.1
董明朗,2024-11,1,21,5,4.8
董明朗,2024-12,0,21,2,0.0
董明朗,2025-01,1,26,2,3.8
董明朗,2025-02,2,30,4,6.7
董明朗,2025-03,0,21,1,0.0
董明朗,2025-04,2,24,5,8.3
董明朗,2025-05,0,23,6,0.0
董明朗,2025-06,3,24,4,12.5
董明朗,2025-07,0,21,3,0.0
董明朗,2025-09,0,19,5,0.0
董明朗,2025-10,0,25,4,0.0
董明朗,2025-11,0,19,3,0.0
蔡明紹,2024-09,5,48,13,10.4
蔡明紹,2024-10,5,63,14,7.9
蔡明紹,2024-11,3,52,11,5.8
蔡明紹,2024-12,2,60,14,3.3
蔡明紹,2025-01,3,66,13,4.5
蔡明紹,2025-02,2,51,11,3.9
蔡明紹,2025-03,3,53,11,5.7
蔡明紹,2025-04,2,49,7,4.1
蔡明紹,2025-05,6,50,14,12.0
蔡明紹,2025-06,3,41,10,7.3
蔡明紹,2025-07,1,43,9,2.3
蔡明紹,2025-09,2,39,9,5.1
蔡明紹,2025-10,3,49,8,6.1
蔡明紹,2025-11,3,52,10,5.8
蔡明紹,2025-12,3,40,8,7.5
蔡明紹,2026-01,0,47,9,0.0
蔡明紹,2026-02,0,35,9,0.0
蔡明紹,2026-03,0,36,3,0.0
蔡明紹,2026-04,1,34,6,2.9
蔡明紹,2026-05,0,10,1,0.0
薛凱華,2024-12,0,3,0,0.0
薛凱華,2026-04,0,3,1,0.0
薛恩,2024-12,0,5,0,0.0
薛恩,2025-01,0,13,4,0.0
薛恩,2025-02,1,5,2,20.0
薛恩,2025-03,1,4,1,25.0
蘇銘倫,2025-01,0,6,1,0.0
蘇銘倫,2025-03,0,7,0,0.0
蘇銘倫,2025-04,0,4,1,0.0
蘇銘倫,2025-12,0,5,3,0.0
袁幸堯,2026-04,4,27,11,14.8
袁幸堯,2026-05,3,26,9,11.5
西村淳也,2024-12,0,1,0,0.0
貝知仁,2024-12,1,55,11,1.8
貝知仁,2025-01,1,50,4,2.0
貝知仁,2025-12,0,1,0,0.0
賀銘年,2024-09,0,18,1,0.0
賀銘年,2024-10,0,20,3,0.0
賀銘年,2024-11,0,20,4,0.0
賀銘年,2024-12,2,29,3,6.9
賀銘年,2025-01,0,28,3,0.0
賀銘年,2025-02,0,25,2,0.0
賀銘年,2025-03,3,18,9,16.7
賀銘年,2025-04,2,30,8,6.7
賀銘年,2025-05,0,31,6,0.0
賀銘年,2025-06,3,32,4,9.4
賀銘年,2025-07,2,22,6,9.1
連達文,2024-12,0,1,1,0.0
連達文,2025-04,1,2,1,50.0
郭立基,2025-04,0,1,0,0.0
金美琪,2024-12,0,4,0,0.0
