Trainer,RaceClass,Wins,Starts,Places,WinRate
蘇偉賢,Class 5,10,179,41,5.6
蘇偉賢,Group 1,0,2,0,0.0
蘇偉賢,Group 3,0,1,0,0.0
費伯華,Group 1,1,3,2,33.3
賀賢,Class 1,0,5,0,0.0
賀賢,Class 2,0,17,1,0.0
賀賢,Class 3,14,199,49,7.0
賀賢,Class 4,26,400,103,6.5
賀賢,Class 5,10,131,32,7.6
賀賢,Griffin,1,1,1,100.0
賀賢,Group 1,0,13,1,0.0
賀賢,Group 2,0,7,0,0.0
賀賢,Group 3,0,11,2,0.0
郗國思,Group 1,0,2,1,0.0
鄭俊偉,Class 1,0,1,0,0.0
鄭俊偉,Class 2,2,28,7,7.1
鄭俊偉,Class 3,10,156,31,6.4
鄭俊偉,Class 4,14,300,53,4.7
鄭俊偉,Class 5,8,158,24,5.1
鄭俊偉,Griffin,0,6,3,0.0
鄭俊偉,Group 1,0,3,0,0.0
鄭俊偉,Group 3,0,3,0,0.0
雷拿及雷恩,Group 1,0,1,0,0.0
雷里雅,Group 1,0,1,0,0.0
韋達,Class 1,0,2,0,0.0
韋達,Class 2,0,27,3,0.0
韋達,Class 3,10,231,43,4.3
韋達,Class 4,29,419,94,6.9
韋達,Class 5,11,141,34,7.8
韋達,Griffin,0,3,0,0.0
韋達,Group 1,1,5,2,20.0
韋達,Group 2,0,2,0,0.0
韋達,Group 3,0,2,0,0.0
顧永賢,Group 1,0,1,0,0.0
馬晏殊,Group 1,0,1,0,0.0
馬漢雅,Group 1,0,1,0,0.0
高亮能,Group 1,0,1,0,0.0
高柳瑞樹,Group 1,0,1,0,0.0
高野友和,Group 1,0,2,0,0.0
鹿戶雄一,Group 1,0,1,0,0.0
黎昭昇,Class 2,0,5,1,0.0
黎昭昇,Class 3,11,148,31,7.4
黎昭昇,Class 4,29,416,101,7.0
黎昭昇,Class 5,1,94,12,1.1
黎昭昇,Griffin,2,2,2,100.0
黎昭昇,Group 1,0,5,0,0.0
