Trainer,Draw,Wins,Starts,Places,WinRate
廖康銘,9,5,69,18,7.2
徐雨石,1,2,55,12,3.6
徐雨石,10,3,53,8,5.7
徐雨石,11,1,46,10,2.2
徐雨石,12,1,47,5,2.1
徐雨石,13,0,15,0,0.0
徐雨石,14,1,13,2,7.7
徐雨石,2,3,46,14,6.5
徐雨石,3,5,55,12,9.1
徐雨石,4,4,41,11,9.8
徐雨石,5,2,40,6,5.0
徐雨石,6,2,40,4,5.0
徐雨石,7,3,42,9,7.1
徐雨石,8,6,51,10,11.8
徐雨石,9,3,43,7,7.0
手塚貴久,6,0,1,1,0.0
文家良,1,9,62,16,14.5
文家良,10,5,77,19,6.5
文家良,11,5,56,10,8.9
文家良,12,4,62,13,6.5
文家良,13,1,25,7,4.0
文家良,14,1,24,3,4.2
文家良,2,7,63,18,11.1
文家良,3,7,51,11,13.7
文家良,4,10,59,17,16.9
文家良,5,10,69,21,14.5
文家良,6,6,57,13,10.5
文家良,7,4,64,16,6.2
文家良,8,5,59,13,8.5
文家良,9,6,67,16,9.0
方嘉柏,1,11,75,26,14.7
方嘉柏,10,4,68,15,5.9
方嘉柏,11,3,78,15,3.8
方嘉柏,12,4,52,15,7.7
方嘉柏,13,3,37,8,8.1
方嘉柏,14,1,13,1,7.7
方嘉柏,2,11,73,24,15.1
方嘉柏,3,9,73,22,12.3
方嘉柏,4,14,94,35,14.9
方嘉柏,5,6,81,20,7.4
方嘉柏,6,8,90,27,8.9
方嘉柏,7,11,83,26,13.3
方嘉柏,8,8,63,17,12.7
方嘉柏,9,10,85,19,11.8
杉山晴紀,13,0,1,0,0.0
杉山晴紀,8,0,2,0,0.0
杉山晴紀,9,0,1,0,0.0
桂福特,1,1,18,2,5.6
桂福特,10,3,23,6,13.0
桂福特,11,0,21,3,0.0
桂福特,12,0,14,4,0.0
桂福特,13,0,7,0,0.0
桂福特,14,1,8,1,12.5
桂福特,2,1,29,10,3.4
桂福特,3,3,25,6,12.0
桂福特,4,0,21,4,0.0
桂福特,5,1,20,7,5.0
桂福特,6,3,17,5,17.6
桂福特,7,4,24,9,16.7
桂福特,8,0,17,6,0.0
桂福特,9,3,17,7,17.6
森一誠,10,0,1,0,0.0
武井亮,3,0,1,0,0.0
武井亮,7,0,1,0,0.0
武英智,7,0,1,0,0.0
比安威詹 希斯,2,0,1,0,0.0
池江泰壽,10,0,1,1,0.0
池江泰壽,11,0,1,1,0.0
池添學,2,0,1,0,0.0
沈集成,1,15,80,33,18.8
沈集成,10,8,65,17,12.3
沈集成,11,3,72,8,4.2
沈集成,12,3,53,12,5.7
沈集成,13,1,20,2,5.0
沈集成,14,0,19,1,0.0
沈集成,2,7,73,19,9.6
沈集成,3,9,78,24,11.5
沈集成,4,3,67,10,4.5
沈集成,5,11,82,23,13.4
沈集成,6,5,78,17,6.4
沈集成,7,11,77,25,14.3
沈集成,8,10,87,28,11.5
沈集成,9,5,70,9,7.1
活侯夫人及布特,3,0,1,0,0.0
游孝廉,1,0,1,1,0.0
游孝廉,2,0,1,0,0.0
游孝廉,8,0,1,0,0.0
游達榮,1,8,55,22,14.5
游達榮,10,2,49,9,4.1
游達榮,11,2,51,9,3.9
游達榮,12,2,45,8,4.4
游達榮,13,4,22,6,18.2
游達榮,14,1,27,3,3.7
游達榮,2,7,65,17,10.8
游達榮,3,7,61,12,11.5
游達榮,4,5,50,14,10.0
游達榮,5,4,71,15,5.6
游達榮,6,2,45,11,4.4
游達榮,7,7,76,21,9.2
游達榮,8,5,60,13,8.3
游達榮,9,5,62,16,8.1
田中博康,3,0,1,0,0.0
白祈達,10,0,1,0,0.0
納斯,2,0,1,1,0.0
羅富全,1,11,83,32,13.3
羅富全,10,9,90,22,10.0
羅富全,11,5,68,13,7.4
羅富全,12,3,57,10,5.3
羅富全,13,1,33,3,3.0
羅富全,14,1,28,2,3.6
羅富全,2,6,84,27,7.1
羅富全,3,5,65,16,7.7
羅富全,4,11,91,24,12.1
羅富全,5,3,66,20,4.5
羅富全,6,8,84,21,9.5
羅富全,7,7,93,21,7.5
羅富全,8,5,83,23,6.0
羅富全,9,5,85,15,5.9
范景新,3,0,1,0,0.0
范鴻禧,10,0,1,0,0.0
菲德文及菲敦盟,1,0,1,0,0.0
葉楚航,1,6,57,17,10.5
葉楚航,10,2,50,5,4.0
葉楚航,11,2,56,10,3.6
葉楚航,12,1,40,4,2.5
葉楚航,13,1,29,2,3.4
葉楚航,14,0,24,3,0.0
葉楚航,2,4,61,17,6.6
葉楚航,3,3,67,13,4.5
葉楚航,4,7,51,13,13.7
葉楚航,5,4,60,6,6.7
葉楚航,6,5,58,8,8.6
葉楚航,7,6,50,12,12.0
葉楚航,8,0,59,6,0.0
葉楚航,9,6,55,10,10.9
葛威法,4,0,2,2,0.0
葛威法,9,0,1,0,0.0
蔡約翰,1,17,90,35,18.9
蔡約翰,10,5,68,19,7.4
蔡約翰,11,6,84,22,7.1
蔡約翰,12,3,67,16,4.5
蔡約翰,13,3,34,15,8.8
蔡約翰,14,1,29,5,3.4
蔡約翰,2,16,94,40,17.0
蔡約翰,3,6,80,26,7.5
蔡約翰,4,6,82,24,7.3
蔡約翰,5,11,97,36,11.3
蔡約翰,6,10,92,32,10.9
蔡約翰,7,9,103,31,8.7
蔡約翰,8,5,90,17,5.6
蔡約翰,9,15,100,31,15.0
藤原英昭,2,0,1,0,0.0
蘇偉賢,1,9,70,26,12.9
蘇偉賢,10,3,59,11,5.1
蘇偉賢,11,5,65,10,7.7
蘇偉賢,12,5,56,11,8.9
蘇偉賢,13,1,20,2,5.0
蘇偉賢,14,0,28,5,0.0
蘇偉賢,2,2,66,18,3.0
蘇偉賢,3,10,66,21,15.2
蘇偉賢,4,8,68,20,11.8
蘇偉賢,5,6,70,18,8.6
蘇偉賢,6,3,52,13,5.8
蘇偉賢,7,5,59,9,8.5
蘇偉賢,8,2,59,12,3.4
蘇偉賢,9,3,73,10,4.1
費伯華,12,0,1,0,0.0
費伯華,2,0,1,1,0.0
費伯華,8,1,1,1,100.0
賀賢,1,4,64,18,6.2
賀賢,10,7,53,18,13.2
賀賢,11,3,52,11,5.8
賀賢,12,3,55,5,5.5
賀賢,13,1,24,4,4.2
賀賢,14,2,21,2,9.5
賀賢,2,7,73,16,9.6
賀賢,3,5,69,29,7.2
賀賢,4,5,66,21,7.6
賀賢,5,3,67,15,4.5
賀賢,6,3,69,18,4.3
賀賢,7,3,57,11,5.3
賀賢,8,2,61,11,3.3
賀賢,9,3,53,10,5.7
郗國思,1,0,1,0,0.0
郗國思,6,0,1,1,0.0
鄭俊偉,1,2,54,9,3.7
鄭俊偉,10,2,47,7,4.3
鄭俊偉,11,1,50,8,2.0
鄭俊偉,12,2,40,5,5.0
鄭俊偉,13,1,19,4,5.3
鄭俊偉,14,2,18,2,11.1
鄭俊偉,2,3,42,12,7.1
鄭俊偉,3,2,62,10,3.2
鄭俊偉,4,4,55,15,7.3
鄭俊偉,5,1,63,8,1.6
鄭俊偉,6,6,56,14,10.7
鄭俊偉,7,3,49,6,6.1
鄭俊偉,8,4,55,14,7.3
鄭俊偉,9,1,45,4,2.2
雷拿及雷恩,8,0,1,0,0.0
雷里雅,7,0,1,0,0.0
韋達,1,5,58,16,8.6
韋達,10,4,59,10,6.8
韋達,11,2,58,8,3.4
韋達,12,3,65,12,4.6
韋達,13,1,20,4,5.0
韋達,14,0,17,3,0.0
韋達,2,8,71,20,11.3
韋達,3,6,68,22,8.8
韋達,4,3,75,21,4.0
韋達,5,4,66,11,6.1
韋達,6,4,69,14,5.8
韋達,7,3,79,14,3.8
韋達,8,4,60,11,6.7
韋達,9,4,68,10,5.9
顧永賢,4,0,1,0,0.0
馬晏殊,1,0,1,0,0.0
馬漢雅,8,0,1,0,0.0
高亮能,4,0,1,0,0.0
高柳瑞樹,5,0,1,0,0.0
高野友和,6,0,1,0,0.0
高野友和,8,0,1,0,0.0
鹿戶雄一,11,0,1,0,0.0
黎昭昇,1,4,54,8,7.4
黎昭昇,10,0,61,8,0.0
黎昭昇,11,3,44,10,6.8
黎昭昇,12,3,54,5,5.6
黎昭昇,13,0,25,4,0.0
黎昭昇,14,2,22,3,9.1
黎昭昇,2,5,44,14,11.4
黎昭昇,3,1,40,11,2.5
黎昭昇,4,5,68,15,7.4
黎昭昇,5,5,54,16,9.3
黎昭昇,6,5,54,12,9.3
黎昭昇,7,5,46,15,10.9
黎昭昇,8,3,60,16,5.0
黎昭昇,9,2,44,10,4.5
