Horse,Wins,Starts,Places,AvgOdds,WinRate
紫荊盛勢(K478),2,9,4,15.1,22.2
紫荊歡呼(J139),2,20,5,13.5,10.0
紫荊拼搏(K031),2,13,5,6.9,15.4
綫路萬里(H475),2,17,10,9.8,11.8
綫路英雄(J428),2,3,3,12.7,66.7
荃程路通(E403),2,12,3,14.1,16.7
英雄豪傑(G207),2,11,4,31.2,18.2
蓮冠皇(K186),2,12,5,16.9,16.7
劍無情(J535),2,23,4,52.7,8.7
胡椒軍曹(E432),2,22,2,51.1,9.1
肥仔精神(K110),2,23,2,25.4,8.7
耀昌勝世(J529),2,25,3,61.1,8.0
耀寶(J437),2,12,3,22.8,16.7
臻至辰(K238),2,8,3,14.0,25.0
無極勇將(J169),2,21,5,28.4,9.5
榮駿大道(K474),2,10,5,15.8,20.0
榮利雙收(K382),2,17,5,33.8,11.8
櫻花酒杯(L230),2,4,4,3.0,50.0
機械騎士(H464),2,20,6,11.9,10.0
步風雷(J452),2,20,10,30.1,10.0
泰泰精神(K007),2,22,8,10.0,9.1
決一劍(J484),2,16,3,11.8,12.5
江南勇士(H472),2,19,4,20.5,10.5
智智多寶(J024),2,4,2,3.7,50.0
合夥飛馳(K342),2,12,3,27.7,16.7
合夥奔馳(H408),2,20,8,59.2,10.0
可靠大師(K283),2,13,5,6.5,15.4
木火龍駒(H292),2,14,3,27.8,14.3
朗日雪峰(J187),2,24,6,14.7,8.3
有盈勇士(K271),2,16,2,42.1,12.5
東方飛影(E467),2,17,6,28.2,11.8
東來欣賞(J290),2,21,8,9.3,9.5
起舞奜奜(K405),2,12,4,25.3,16.7
超超比(H109),2,6,2,11.0,33.3
做好自己(J444),2,19,12,19.5,10.5
光輝所願(H373),2,13,6,11.2,15.4
冠寶駒(D359),2,17,6,20.1,11.8
英勇快車(J244),2,17,7,13.2,11.8
花好月盈(H317),2,14,6,8.0,14.3
舞林寶典(J060),2,6,2,5.8,33.3
舞林密碼(G365),2,20,8,14.0,10.0
桃花開(J301),2,15,5,10.7,13.3
時尚風趣(J164),2,20,5,26.8,10.0
時時精準(K037),2,17,6,30.7,11.8
運高八斗(G204),2,19,8,12.4,10.5
運來伍寶(J153),2,23,8,21.1,8.7
連連有盈(G065),2,14,6,12.7,14.3
逐步贏(G420),2,10,3,13.1,20.0
八駿笑昇(H296),2,21,5,18.4,9.5
八駿福昇(K086),2,17,4,47.7,11.8
八駿巨昇(H092),2,24,5,24.2,8.3
八仟財陞(J442),2,19,5,29.4,10.5
豐功偉績(K480),2,15,3,26.3,13.3
贏得自然(J365),2,15,3,31.9,13.3
超勁火力(J184),2,19,2,26.8,10.5
超加加(J486),2,18,7,19.2,11.1
超力量(J285),2,6,3,6.2,33.3
會長之寶(J295),2,21,8,29.1,9.5
喜報圍家(G437),2,6,3,6.9,33.3
哈羅威(J280),2,24,12,9.5,8.3
和平波(J245),2,19,8,19.1,10.5
文明福星(J315),2,21,6,22.5,9.5
數字天文(L080),2,6,4,9.0,33.3
旋風傳奇(J152),2,22,5,17.9,9.1
昇瀧駒(J141),2,16,5,25.3,12.5
金滙千帥(J498),2,17,4,17.4,11.8
仁心星(J092),2,15,6,9.1,13.3
先到先得(J098),2,21,8,13.7,9.5
元朗精英(J272),2,14,6,5.5,14.3
優才(J536),2,20,3,22.3,10.0
超強六十(J071),2,17,6,12.0,11.8
輕功猛男(J513),2,22,4,38.2,9.1
逆市奇爸(E321),2,18,4,40.4,11.1
辣得金(J087),2,25,7,17.4,8.0
輝煌精英(H311),2,12,6,17.5,16.7
星價(K093),2,21,5,47.5,9.5
喜馬(K347),2,8,2,67.0,25.0
喜至寶(H262),2,17,4,22.2,11.8
怡昌光輝(K074),2,11,3,10.4,18.2
手錶之星(H483),2,17,6,12.9,11.8
錶之多多(H476),2,16,5,8.8,12.5
錶之銀河(H399),2,14,5,20.3,14.3
鄉村樂韻(H436),2,19,6,14.4,10.5
遨遊武士(J026),2,16,5,26.6,12.5
遙遙領先(J263),2,19,10,15.1,10.5
金發盛世(E490),2,23,3,30.8,8.7
金玉良言(J499),2,10,4,35.5,20.0
手到齊來(J531),2,34,7,33.6,5.9
戀愛狂(K118),2,16,4,33.3,12.5
平海之星(H344),2,13,2,25.0,15.4
常常感恩(J065),2,17,3,18.9,11.8
幸運有您(E356),2,18,3,74.9,11.1
弦力寶(K317),2,8,3,14.4,25.0
廚神(K264),2,23,3,57.4,8.7
心雄雄(J467),2,21,5,39.6,9.5
得意佳作(G125),2,21,5,25.3,9.5
快樂奇兵(H297),2,18,8,13.0,11.1
志滿同行(K056),2,18,7,18.0,11.1
喵喵怪(J487),2,18,8,11.0,11.1
堅先生(L232),2,3,2,4.4,66.7
型到爆(H011),2,17,5,16.1,11.8
小飛俠(J224),2,15,4,11.4,13.3
將義(J446),2,23,6,19.5,8.7
川河首駒(G333),2,18,5,26.0,11.1
川河型駒(J080),2,25,5,13.3,8.0
帥帥友福(J418),2,18,7,13.7,11.1
電玩精英(H356),2,18,5,19.7,11.1
電源之駒(E301),2,26,8,31.5,7.7
雙贏(H382),2,19,6,11.2,10.5
非凡豪傑(J445),2,17,6,15.7,11.8
佳運發(E435),2,27,4,32.0,7.4
銀亮濠俠(J532),2,20,6,68.5,10.0
鈁糖武士(G016),2,25,5,32.2,8.0
金駿星(H470),2,14,2,20.2,14.3
金鑽精靈(J397),2,16,5,21.4,12.5
金金小子(K180),2,6,5,3.4,33.3
銀刺勇士(J043),2,18,7,15.8,11.1
巴基之勝(J363),2,13,6,14.8,15.4
幸運多彩(K146),2,9,3,40.4,22.2
幸運傳承(J338),2,22,2,19.4,9.1
好實力(K381),2,9,2,62.5,22.2
安康萬里(J158),2,21,7,12.9,9.5
威武年代(J451),2,19,9,15.5,10.5
富國兄弟(J396),2,20,8,13.9,10.0
家樂龍駒(H396),2,12,4,9.3,16.7
飛騰騅(E494),2,14,4,18.0,14.3
飛躍凱旋(G250),2,14,5,16.8,14.3
中華威威(D075),2,21,3,32.3,9.5
開心宇宙(J533),2,21,8,28.5,9.5
開心勇駒(H451),2,18,7,25.7,11.1
開心五月(K016),2,24,5,28.5,8.3
閃耀天河(K514),2,7,3,8.2,28.6
閃光燈(J500),2,14,4,21.2,14.3
開心老闆(K453),2,5,3,13.9,40.0
妙玲瓏(H068),2,17,4,33.8,11.8
好精神(J155),2,18,7,11.7,11.1
仁仁有餘(J421),2,16,5,13.7,12.5
人和家盛(C531),2,10,3,36.0,20.0
亨驥(K294),2,12,5,11.1,16.7
非惟僥倖(J050),2,14,6,20.2,14.3
風繼續吹(E471),2,25,4,22.0,8.0
寶成智星(J135),2,22,5,29.6,9.1
實力哥(H228),2,6,3,10.0,33.3
富裕君子(H447),2,18,6,17.8,11.1
上校(D090),2,21,2,35.3,9.5
鼓浪好友(J217),2,14,4,10.0,14.3
黃金騎士(K341),2,11,6,18.7,18.2
大愛無疆(K235),2,6,4,3.4,33.3
龍城強將(H095),2,14,6,9.0,14.3
魅力星(K052),2,23,7,20.2,8.7
齊歡最樂(J182),2,20,3,32.2,10.0
不可擋(E336),2,9,3,6.6,22.2
上浦福旺(L102),1,5,1,37.6,20.0
鵲橋飛昇(L244),1,1,1,49.0,100.0
一先生(G227),1,17,2,53.3,5.9
㩒住贏(L310),1,1,1,12.0,100.0
三代同心(H065),1,17,6,14.6,5.9
鴻圖新星(J323),1,18,4,13.7,5.6
魯班精神(J233),1,21,5,23.4,4.8
驕陽明駒(H302),1,15,12,33.4,6.7
大眾福星(K172),1,12,6,8.3,8.3
龍之悅(K571),1,3,1,12.1,33.3
龍之輝(H410),1,16,3,25.1,6.2
高感(J515),1,14,3,35.4,7.1
鬥志波(K096),1,12,1,33.2,8.3
駿跑得(K208),1,13,4,21.6,7.7
駿馬之曲(K436),1,4,1,5.2,25.0
馬特峰(H253),1,11,2,14.5,9.1
馬鳳凰(J516),1,14,3,19.6,7.1
駿先生(H180),1,16,2,44.2,6.2
首飾悟空(K314),1,11,2,21.4,9.1
首駿(K189),1,18,5,19.2,5.6
馬寶寶(K586),1,3,1,14.8,33.3
中環精英(J042),1,20,6,11.0,5.0
中華盛景(E379),1,14,1,31.0,7.1
久久為尊(J053),1,22,5,10.9,4.5
久久為攻(E472),1,19,5,25.3,5.3
久久為軍(K231),1,17,2,44.2,5.9
大千雄心(K398),1,11,5,8.0,9.1
大學生(H116),1,17,5,24.6,5.9
天下寵兒(J359),1,23,9,15.1,4.3
天天更好(K277),1,13,3,6.2,7.7
大將(J074),1,9,2,6.3,11.1
大將鵰神(J378),1,9,1,63.1,11.1
乘數表(K352),1,12,2,28.0,8.3
飛輪霸(K320),1,13,7,5.5,7.7
飛雲(H320),1,20,4,15.2,5.0
飛馬將軍(G189),1,8,1,18.8,12.5
飛馬座(L075),1,8,1,22.6,12.5
飛鷹翱翔(H117),1,16,6,18.2,6.2
大老撾(J435),1,4,1,23.5,25.0
大千氣象(H324),1,20,2,22.9,5.0
大千眼界(G424),1,2,1,6.4,50.0
風火輪(L188),1,3,1,22.3,33.3
風起雲湧(J183),1,26,10,13.9,3.8
風采人生(J366),1,19,2,29.4,5.3
風雲(J371),1,19,3,40.4,5.3
飈誌(J504),1,18,2,32.7,5.6
飛來霸(K284),1,8,1,39.4,12.5
領航財子(J305),1,12,3,42.8,8.3
風火恆雲(H388),1,18,5,9.6,5.6
韋金主(K061),1,12,5,14.9,8.3
領航傳祺(G126),1,16,3,25.2,6.2
領航君子(K310),1,10,3,28.0,10.0
領航天子(J494),1,10,2,22.9,10.0
電訊巴打(D482),1,25,5,39.0,4.0
五福星(J099),1,19,5,14.4,5.3
亞機拉(H113),1,23,1,25.5,4.3
奇異歡星(K255),1,14,3,48.0,7.1
奔放(K156),1,20,10,9.6,5.0
奮鬥心(J267),1,24,7,24.9,4.2
天火同人(E175),1,19,4,32.6,5.3
亞福得寶(J242),1,8,1,44.0,12.5
亮寶(K067),1,14,3,12.3,7.1
電訊驕陽(J332),1,26,8,21.2,3.8
非凡時刻(K275),1,14,3,7.1,7.1
雪勇神駒(G467),1,13,3,14.1,7.7
雷神太保(K017),1,23,6,19.0,4.3
陽光寶貝(J171),1,18,2,35.7,5.6
隼閣(J056),1,15,1,18.5,6.7
雙星報喜(K126),1,12,1,36.5,8.3
開心指數(L152),1,5,4,7.2,20.0
好好戀愛(L052),1,8,3,7.4,12.5
好評如潮(L223),1,5,4,20.6,20.0
好運寶馬(E157),1,12,2,27.7,8.3
開心樂園(J311),1,17,4,10.0,5.9
閃亮老撾(J322),1,12,1,48.3,8.3
閃耀威龍(G427),1,16,4,18.6,6.2
閃電小子(L126),1,3,2,2.8,33.3
閃電星福(K431),1,12,1,62.1,8.3
開心三寶(K511),1,9,3,15.8,11.1
錶之量子(H166),1,13,5,6.6,7.7
佰勝金龍(K458),1,6,1,108.2,16.7
佳景臨門(H154),1,4,1,26.8,25.0
鍵琴高奏(K913),1,2,2,8.8,50.0
鐵甲驌龍(J459),1,13,1,45.0,7.7
鐵金剛(H433),1,16,7,7.5,6.2
鑽石星空(J275),1,15,3,15.0,6.7
長勝金剛(K266),1,9,2,50.6,11.1
安帝(L107),1,4,2,20.0,25.0
安遇(G236),1,18,4,35.5,5.6
始終如一(J392),1,17,1,64.1,5.9
威力飛彈(G210),1,6,1,34.7,16.7
威威父子(H419),1,19,6,24.3,5.3
長峰小子(K117),1,9,1,85.0,11.1
錶之浩瀚(L106),1,6,3,7.4,16.7
銀河勇士(J238),1,8,2,39.0,12.5
銳目(L068),1,6,4,5.2,16.7
銳高(J375),1,18,3,40.6,5.6
鋁神(K105),1,9,1,22.4,11.1
金鑽貴人(G180),1,9,4,30.1,11.1
金陽飛駒(J168),1,6,2,13.5,16.7
保羅傳奇(J507),1,6,4,6.4,16.7
多多好馬(K403),1,5,2,78.2,20.0
嫡愛心(H093),1,6,4,27.6,16.7
宇宙動力(H156),1,16,4,52.4,6.2
安可(K252),1,19,4,11.9,5.3
假面騎士(K169),1,11,2,14.3,9.1
金德義(H106),1,18,3,14.0,5.6
金快飛飛(K121),1,13,3,21.4,7.7
金運來(H159),1,19,5,21.1,5.3
醒目先駒(K006),1,15,7,18.7,6.7
醒目勇駒(B456),1,8,1,31.4,12.5
重情重義(L311),1,2,1,14.5,50.0
金匯昇昇(H242),1,12,5,17.4,8.3
金多囍(K272),1,16,4,17.0,6.2
健康之星(G374),1,7,1,48.6,14.3
健康心靈(G249),1,6,3,15.7,16.7
健康快車(H439),1,21,10,9.1,4.8
健康愉快(D435),1,17,3,38.0,5.9
官金騏(K485),1,5,4,4.1,20.0
定數(H438),1,11,3,23.8,9.1
堅闖(J015),1,25,7,24.6,4.0
偵探傳奇(L117),1,8,1,10.5,12.5
傑出漢子(G455),1,21,2,49.3,4.8
佳登(K162),1,15,3,59.7,6.7
遠飛標槍(K923),1,2,2,8.1,50.0
遨遊波士(K321),1,11,2,11.1,9.1
還看今朝(H009),1,7,2,14.7,14.3
部族高手(K307),1,10,1,36.5,10.0
都靈冠星(L024),1,8,4,12.4,12.5
都靈星球(J209),1,6,1,21.2,16.7
都靈福星(H165),1,17,2,25.3,5.9
通情達理(L183),1,1,1,2.2,100.0
連連幸運(K010),1,20,9,16.7,5.0
進傲星(J340),1,13,4,27.8,7.7
運來勇士(H229),1,22,3,28.3,4.5
輝灑自如(L281),1,2,1,5.7,50.0
團結戰靈(K132),1,17,3,49.6,5.9
城中勇士(H430),1,18,7,9.6,5.6
嘉冠王(K116),1,11,2,19.7,9.1
實現夢想(H308),1,8,1,35.6,12.5
安騁(H452),1,17,4,27.6,5.9
辣得準(J520),1,7,3,22.5,14.3
辣得駕勢(G203),1,8,2,15.4,12.5
辰速密碼(J430),1,12,1,30.0,8.3
逍遙人生(J427),1,11,4,22.8,9.1
逍遙騎士(K370),1,11,1,48.0,9.1
越野大師(J283),1,6,2,19.5,16.7
跨境駿馬(L022),1,8,7,15.3,12.5
光年程祥(K204),1,11,5,22.2,9.1
光明傳承(J215),1,17,2,34.1,5.9
小霸王(G265),1,19,1,40.1,5.3
囍眼光(J261),1,17,5,8.4,5.9
四季醒(H223),1,13,2,40.9,7.7
國千金(L155),1,4,1,20.9,25.0
國大合(G322),1,8,1,23.9,12.5
光輝歲月(J508),1,15,2,24.8,6.7
超拍檔(K484),1,6,2,15.3,16.7
超旺財(J194),1,17,5,19.2,5.9
超眼光(J258),1,10,3,18.0,10.0
超開心(K260),1,18,3,46.1,5.6
超霸勝(H069),1,18,5,14.3,5.6
超風速(J205),1,16,5,14.0,6.2
赤馬雄風(E028),1,17,4,23.8,5.9
超勁赤兔(K312),1,13,6,12.5,7.7
超和平(L226),1,2,1,13.7,50.0
超寫意(K469),1,10,3,8.6,10.0
賢心星(J159),1,14,3,19.5,7.1
賢知友您(K545),1,6,2,8.5,16.7
嵐臣(K438),1,10,4,24.1,10.0
川河動駒(H456),1,17,5,6.9,5.9
川河帥駒(K127),1,12,2,14.1,8.3
將睿(K356),1,6,1,22.5,16.7
贏玥(L039),1,3,1,16.1,33.3
贏科超影(A164),1,5,3,9.8,20.0
譽友駿駒(K022),1,7,1,20.6,14.3
讓愛高飛(E413),1,15,1,24.5,6.7
豐盛多彩(G301),1,12,3,22.1,8.3
財將(L234),1,1,1,5.2,100.0
八仟好運(K582),1,6,2,15.5,16.7
觀眾之力(K107),1,6,1,33.9,16.7
觀萬物(K101),1,12,1,27.0,8.3
巴薩諾瓦(G221),1,4,2,7.6,25.0
巴閉仔(H298),1,17,1,60.9,5.9
常嚐發財(K293),1,11,5,8.7,9.1
話你知(G392),1,16,4,12.8,6.2
論文(H111),1,14,4,18.7,7.1
葳莉非凡(K297),1,7,4,5.0,14.3
藍地球(K468),1,8,1,44.1,12.5
蜜蜜送(J502),1,16,4,25.3,6.2
英雄戰歌(J089),1,5,4,7.4,20.0
荷花之星(J016),1,10,1,31.1,10.0
花開(L037),1,6,1,45.5,16.7
