Venue,Track,Distance,Draw,Wins,Starts,Places,WinRate
跑馬地,Turf,1650,1,22,174,57,12.6
跑馬地,Turf,1650,10,10,165,29,6.1
跑馬地,Turf,1650,11,6,160,23,3.8
跑馬地,Turf,1650,12,7,146,27,4.8
跑馬地,Turf,1650,2,22,174,53,12.6
跑馬地,Turf,1650,3,18,174,59,10.3
跑馬地,Turf,1650,4,10,174,47,5.7
跑馬地,Turf,1650,5,12,175,46,6.9
跑馬地,Turf,1650,6,17,174,42,9.8
跑馬地,Turf,1650,7,25,174,62,14.4
跑馬地,Turf,1650,8,13,174,39,7.5
跑馬地,Turf,1650,9,15,171,42,8.8
跑馬地,Turf,1800,1,4,49,13,8.2
跑馬地,Turf,1800,10,7,47,18,14.9
跑馬地,Turf,1800,11,3,46,13,6.5
跑馬地,Turf,1800,12,1,42,7,2.4
跑馬地,Turf,1800,2,2,50,13,4.0
跑馬地,Turf,1800,3,5,50,17,10.0
跑馬地,Turf,1800,4,4,50,18,8.0
跑馬地,Turf,1800,5,3,50,9,6.0
跑馬地,Turf,1800,6,4,50,11,8.0
跑馬地,Turf,1800,7,7,50,12,14.0
跑馬地,Turf,1800,8,2,49,8,4.1
跑馬地,Turf,1800,9,8,49,12,16.3
跑馬地,Turf,2200,1,5,18,9,27.8
跑馬地,Turf,2200,10,1,14,1,7.1
跑馬地,Turf,2200,11,0,12,3,0.0
跑馬地,Turf,2200,12,1,10,3,10.0
跑馬地,Turf,2200,2,0,18,2,0.0
跑馬地,Turf,2200,3,2,18,6,11.1
跑馬地,Turf,2200,4,1,18,6,5.6
跑馬地,Turf,2200,5,1,18,3,5.6
跑馬地,Turf,2200,6,2,18,6,11.1
跑馬地,Turf,2200,7,3,18,7,16.7
跑馬地,Turf,2200,8,1,17,5,5.9
跑馬地,Turf,2200,9,1,16,4,6.2
