Jockey,RunStyle,Wins,Starts,Places,WinRate
韋紀力,Midpack,3,13,5,23.1
馬昆,Closer,1,15,1,6.7
馬昆,Frontrunner,0,2,0,0.0
馬昆,Midpack,1,9,2,11.1
高力德,Frontrunner,0,1,0,0.0
麥文堅,Closer,2,79,10,2.5
麥文堅,Frontrunner,3,18,9,16.7
麥文堅,Midpack,5,45,12,11.1
麥當能,Closer,0,21,1,0.0
麥當能,Frontrunner,1,5,1,20.0
麥當能,Midpack,0,9,0,0.0
麥道朗,Closer,10,102,33,9.8
麥道朗,Frontrunner,11,36,20,30.6
麥道朗,Midpack,22,89,44,24.7
黃寶妮,Closer,3,73,9,4.1
黃寶妮,Frontrunner,23,178,42,12.9
黃寶妮,Midpack,2,90,13,2.2
黃智弘,Closer,9,171,27,5.3
黃智弘,Frontrunner,20,241,67,8.3
黃智弘,Midpack,16,141,37,11.3
黎應揚,Midpack,0,1,0,0.0
