Jockey,Distance,Wins,Starts,Places,WinRate
潘明輝,2400,1,2,1,50.0
潘頓,1000,25,110,59,22.7
潘頓,1200,109,442,226,24.7
潘頓,1400,52,204,105,25.5
潘頓,1600,14,90,38,15.6
潘頓,1650,29,177,79,16.4
潘頓,1800,14,78,32,17.9
潘頓,2000,3,26,9,11.5
潘頓,2200,2,14,7,14.3
潘頓,2400,1,2,1,50.0
班德禮,1000,5,78,12,6.4
班德禮,1200,24,329,78,7.3
班德禮,1400,10,158,32,6.3
班德禮,1600,6,70,18,8.6
班德禮,1650,11,125,30,8.8
班德禮,1800,4,54,13,7.4
班德禮,2000,0,17,3,0.0
班德禮,2200,2,11,4,18.2
班德禮,2400,0,2,0,0.0
田泰安,1000,3,103,13,2.9
田泰安,1200,32,435,116,7.4
田泰安,1400,13,205,43,6.3
田泰安,1600,2,89,18,2.2
田泰安,1650,14,173,52,8.1
田泰安,1800,11,88,24,12.5
田泰安,2000,1,25,7,4.0
田泰安,2200,2,13,3,15.4
田泰安,2400,0,1,0,0.0
簡國能,1000,0,1,0,0.0
簡國能,1200,0,1,1,0.0
簡國能,1650,0,3,1,0.0
紀仁安,1000,2,12,5,16.7
紀仁安,1200,5,58,16,8.6
紀仁安,1400,4,36,12,11.1
紀仁安,1600,1,17,4,5.9
紀仁安,1650,1,25,9,4.0
紀仁安,1800,0,13,2,0.0
紀仁安,2000,0,7,1,0.0
紀仁安,2200,1,2,1,50.0
紀仁安,2400,1,1,1,100.0
羅敦,2000,0,1,0,0.0
羅敦,2400,0,1,0,0.0
艾兆禮,1000,11,94,26,11.7
艾兆禮,1200,50,426,121,11.7
艾兆禮,1400,16,201,59,8.0
艾兆禮,1600,6,88,20,6.8
艾兆禮,1650,15,168,45,8.9
艾兆禮,1800,9,77,22,11.7
艾兆禮,2000,3,26,9,11.5
艾兆禮,2200,1,12,4,8.3
艾兆禮,2400,0,3,1,0.0
艾道拿,1000,6,69,24,8.7
艾道拿,1200,17,335,77,5.1
艾道拿,1400,12,170,46,7.1
艾道拿,1600,10,79,22,12.7
艾道拿,1650,7,106,23,6.6
艾道拿,1800,7,64,20,10.9
艾道拿,2000,3,23,6,13.0
艾道拿,2200,0,6,2,0.0
艾道拿,2400,0,3,0,0.0
苗傑美,1200,0,2,1,0.0
苗傑美,1400,0,1,0,0.0
苗傑美,1600,0,1,0,0.0
范以誠,2000,0,2,1,0.0
莫艾誠,1200,0,2,0,0.0
莫艾誠,1400,0,1,0,0.0
莫艾誠,2000,0,2,0,0.0
莫艾誠,2400,1,2,1,50.0
莫雅,1000,0,3,0,0.0
莫雅,1200,3,18,7,16.7
莫雅,1400,1,8,5,12.5
莫雅,1600,0,2,0,0.0
莫雅,1650,3,11,4,27.3
莫雅,1800,1,2,1,50.0
莫雅,2000,0,3,0,0.0
莫雅,2200,0,2,0,0.0
莫雅,2400,0,2,0,0.0
莫雷拉,1000,0,9,2,0.0
莫雷拉,1200,5,34,15,14.7
莫雷拉,1400,4,22,9,18.2
莫雷拉,1600,2,10,3,20.0
莫雷拉,1650,4,17,6,23.5
莫雷拉,1800,0,7,1,0.0
莫雷拉,2000,0,4,1,0.0
莫雷拉,2400,0,1,1,0.0
菅原明良,1200,0,1,0,0.0
董明朗,1000,0,25,1,0.0
董明朗,1200,6,133,19,4.5
董明朗,1400,3,59,13,5.1
董明朗,1600,0,26,2,0.0
董明朗,1650,2,45,8,4.4
董明朗,1800,1,15,4,6.7
董明朗,2000,0,3,0,0.0
董明朗,2200,0,1,0,0.0
蔡明紹,1000,9,87,25,10.3
