WtBucket,Wins,Starts,Places,WinRate
Heavy (131+),23,221,69,10.4
Light (<=115),4,60,13,6.7
Med-Heavy (127-130),57,632,133,9.0
Med-Light (116-120),12,277,49,4.3
Medium (121-126),42,684,125,6.1
