RaceClass,Wins,Starts,Places,WinRate
Class 1,1,10,3,10.0
Class 2,6,69,16,8.7
Class 3,36,558,93,6.5
Class 4,75,990,214,7.6
Class 5,11,124,31,8.9
Griffin,4,34,10,11.8
Group 1,2,60,12,3.3
Group 2,2,16,6,12.5
Group 3,1,12,4,8.3
Unknown,0,1,0,0.0
