Jockey,Trainer,Wins,Starts,Places,AvgOdds,WinRate
布文,文家良,0,3,1,11.8,0.0
布文,游達榮,0,5,0,32.2,0.0
布文,羅富全,0,3,2,6.0,0.0
布文,葉楚航,0,1,0,71.0,0.0
布文,蘇偉賢,0,2,1,13.5,0.0
布文,賀賢,0,11,5,26.4,0.0
布文,韋達,0,5,0,24.0,0.0
布文,黎昭昇,0,4,1,29.2,0.0
布浩榮,沈集成,0,1,0,37.0,0.0
布浩榮,賀賢,0,1,0,41.0,0.0
希威森,丁冠豪,0,1,0,67.0,0.0
希威森,伍鵬志,0,3,0,36.0,0.0
希威森,容天鵬,0,6,1,39.1,0.0
希威森,徐雨石,0,2,0,65.0,0.0
希威森,方嘉柏,0,1,0,13.0,0.0
希威森,桂福特,0,2,0,18.0,0.0
希威森,沈集成,0,3,0,71.0,0.0
希威森,游達榮,0,1,0,136.0,0.0
希威森,羅富全,0,1,0,5.0,0.0
希威森,葉楚航,0,1,0,36.0,0.0
希威森,蘇偉賢,0,5,0,15.2,0.0
希威森,賀賢,0,1,0,113.0,0.0
希威森,鄭俊偉,0,5,2,28.6,0.0
希威森,韋達,0,19,2,65.3,0.0
希威森,黎昭昇,0,3,1,46.3,0.0
李慕華,手塚貴久,0,1,1,5.6,0.0
李慕華,森一誠,0,1,0,7.2,0.0
李慕華,武井亮,0,1,0,5.7,0.0
李慕華,田中博康,0,1,0,43.0,0.0
杜滿樂,池添學,0,1,0,20.0,0.0
杜滿樂,雷里雅,0,1,0,11.0,0.0
杜苑欣,伍鵬志,0,1,0,16.0,0.0
杜苑欣,姚本輝,0,1,0,24.0,0.0
杜苑欣,徐雨石,0,1,0,37.0,0.0
杜苑欣,韋達,0,1,0,52.0,0.0
柯浩新,范鴻禧,0,1,0,51.0,0.0
梁家俊,丁冠豪,0,5,1,55.3,0.0
梁家俊,伍鵬志,0,5,0,45.6,0.0
梁家俊,呂健威,0,3,1,63.4,0.0
梁家俊,大衛希斯,0,6,0,70.8,0.0
梁家俊,姚本輝,0,5,2,18.8,0.0
梁家俊,容天鵬,0,3,0,63.3,0.0
梁家俊,廖康銘,0,2,0,89.5,0.0
梁家俊,徐雨石,0,1,0,55.0,0.0
梁家俊,文家良,0,14,2,41.9,0.0
梁家俊,沈集成,0,7,1,44.8,0.0
梁家俊,葉楚航,0,1,1,7.8,0.0
梁家俊,鄭俊偉,0,2,1,20.5,0.0
梁家俊,韋達,0,1,0,118.0,0.0
梁家俊,黎昭昇,0,1,0,8.1,0.0
楊明綸,丁冠豪,0,1,1,2.7,0.0
楊明綸,伍鵬志,0,1,0,62.0,0.0
楊明綸,大衛希斯,0,13,1,45.6,0.0
楊明綸,巫偉傑,0,3,0,21.3,0.0
楊明綸,文家良,0,4,0,41.7,0.0
楊明綸,方嘉柏,0,8,1,33.6,0.0
楊明綸,沈集成,0,5,1,58.3,0.0
楊明綸,羅富全,0,1,0,8.0,0.0
楊明綸,葉楚航,0,2,0,125.0,0.0
楊明綸,韋達,0,4,0,76.8,0.0
楊明綸,黎昭昇,0,1,0,86.0,0.0
橫山和生,上村洋行,0,1,1,9.4,0.0
湯普新,呂健威,0,1,0,147.0,0.0
湯普新,告東尼,0,1,0,58.0,0.0
湯普新,大衛希斯,0,11,1,68.3,0.0
湯普新,姚本輝,0,1,0,77.0,0.0
湯普新,容天鵬,0,5,1,88.0,0.0
湯普新,廖康銘,0,7,0,62.1,0.0
湯普新,徐雨石,0,2,0,77.0,0.0
湯普新,方嘉柏,0,2,0,75.5,0.0
湯普新,游達榮,0,1,0,54.0,0.0
湯普新,葉楚航,0,6,0,92.4,0.0
湯普新,蔡約翰,0,5,0,54.6,0.0
湯普新,賀賢,0,4,0,131.5,0.0
湯普新,鄭俊偉,0,7,2,57.5,0.0
湯普新,黎昭昇,0,7,2,96.6,0.0
溫蘿,顧永賢,0,1,0,16.0,0.0
潘大衛,呂健威,0,1,0,75.0,0.0
潘大衛,方嘉柏,0,2,1,50.0,0.0
潘大衛,游達榮,0,2,0,38.5,0.0
潘大衛,羅富全,0,1,0,52.0,0.0
潘大衛,蘇偉賢,0,1,0,50.0,0.0
潘明輝,丁冠豪,0,2,1,29.2,0.0
潘明輝,大衛希斯,0,1,1,10.0,0.0
潘明輝,巫偉傑,0,5,1,29.6,0.0
潘明輝,徐雨石,0,1,0,54.0,0.0
潘明輝,方嘉柏,0,1,0,52.0,0.0
潘明輝,游達榮,0,4,0,46.8,0.0
潘明輝,蔡約翰,0,1,0,23.0,0.0
潘明輝,蘇偉賢,0,1,0,88.0,0.0
潘明輝,賀賢,0,11,1,58.7,0.0
潘明輝,黎昭昇,0,1,0,58.0,0.0
潘頓,告東尼,0,4,0,10.1,0.0
潘頓,容天鵬,0,1,0,8.0,0.0
潘頓,方嘉柏,0,1,0,13.0,0.0
潘頓,韋達,0,1,1,4.6,0.0
潘頓,馬晏殊,0,1,0,13.0,0.0
班德禮,伍鵬志,0,1,0,69.0,0.0
班德禮,告東尼,0,3,1,20.7,0.0
班德禮,大衛希斯,0,7,1,37.8,0.0
班德禮,姚本輝,0,5,0,46.4,0.0
班德禮,容天鵬,0,1,0,21.0,0.0
班德禮,巫偉傑,0,1,1,6.1,0.0
班德禮,廖康銘,0,5,2,32.4,0.0
班德禮,方嘉柏,0,4,0,94.6,0.0
湯普新,蘇偉賢,0,1,0,55.0,0.0
班德禮,羅富全,0,5,0,30.6,0.0
班德禮,葉楚航,0,1,0,20.0,0.0
何澤堯,姚本輝,0,2,0,34.0,0.0
何澤堯,巫偉傑,0,2,0,21.0,0.0
班德禮,韋達,0,9,2,79.0,0.0
班德禮,黎昭昇,0,2,0,13.0,0.0
田泰安,丁冠豪,0,3,1,43.6,0.0
田泰安,伍鵬志,0,13,1,28.4,0.0
田泰安,呂健威,0,1,0,47.0,0.0
何澤堯,沈集成,0,1,0,16.0,0.0
田泰安,姚本輝,0,6,1,45.3,0.0
田泰安,巫偉傑,0,6,3,31.6,0.0
何澤堯,游達榮,0,5,2,40.0,0.0
田泰安,文家良,0,2,0,22.9,0.0
何澤堯,羅富全,0,2,0,54.8,0.0
田泰安,沈集成,0,1,0,8.0,0.0
何澤堯,葉楚航,0,2,0,50.0,0.0
田泰安,羅富全,0,7,1,11.5,0.0
田泰安,葉楚航,0,3,0,45.3,0.0
麥當能,告東尼,0,1,0,100.0,0.0
田泰安,蘇偉賢,0,4,0,39.2,0.0
周俊樂,葉楚航,0,12,1,46.7,0.0
三浦皇成,鹿戶雄一,0,1,0,69.0,0.0
田泰安,韋達,0,8,1,20.0,0.0
田泰安,黎昭昇,0,6,1,25.1,0.0
紀仁安,伍鵬志,0,1,0,21.0,0.0
紀仁安,方嘉柏,0,1,0,9.2,0.0
麥當能,游達榮,0,1,0,155.0,0.0
羅敦,岳伯仁,0,2,0,46.0,0.0
麥當能,葉楚航,0,1,0,70.0,0.0
麥當能,鄭俊偉,0,1,0,91.0,0.0
艾兆禮,大衛希斯,0,7,2,32.6,0.0
麥道朗,中內田充正,0,1,1,3.5,0.0
艾兆禮,容天鵬,0,1,0,21.0,0.0
