WtBucket,Wins,Starts,Places,WinRate
Heavy (131+),378,4018,1123,9.4
Light (<=115),56,800,154,7.0
Med-Heavy (127-130),369,4015,1027,9.2
Med-Light (116-120),238,3614,797,6.6
Medium (121-126),490,6386,1489,7.7
