RaceClass,Venue,Track,Distance,RestBucket,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate,Scope
Class 2,沙田,Turf,1400,29-56d,6,41,13,29.32,14.63,31.71,ClassVenueDistance
Class 4,沙田,AWT,1650,<=14d,4,41,11,28.14,9.76,26.83,ClassVenueDistance
Class 5,沙田,AWT,1200,29-56d,3,41,13,18.53,7.32,31.71,ClassVenueDistance
Class 3,跑馬地,Turf,1000,<=14d,2,41,11,28.82,4.88,26.83,ClassVenueDistance
Class 3,跑馬地,Turf,1000,15-28d,5,40,12,24.8,12.5,30.0,ClassVenueDistance
Class 4,沙田,Turf,1000,29-56d,1,40,11,45.02,2.5,27.5,ClassVenueDistance
Class 5,沙田,Turf,1200,29-56d,3,39,9,25.43,7.69,23.08,ClassVenueDistance
Class 3,沙田,Turf,1600,<=14d,4,38,7,32.89,10.53,18.42,ClassVenueDistance
Class 3,沙田,Turf,2000,15-28d,5,36,14,24.57,13.89,38.89,ClassVenueDistance
Class 4,沙田,Turf,1000,<=14d,4,35,10,31.03,11.43,28.57,ClassVenueDistance
Class 5,跑馬地,Turf,1650,<=14d,1,35,11,14.39,2.86,31.43,ClassVenueDistance
Class 4,沙田,Turf,2000,15-28d,1,33,5,31.95,3.03,15.15,ClassVenueDistance
Class 5,跑馬地,Turf,1650,29-56d,4,32,10,26.37,12.5,31.25,ClassVenueDistance
Class 3,沙田,Turf,1000,<=14d,2,32,6,47.37,6.25,18.75,ClassVenueDistance
Class 3,跑馬地,Turf,1800,<=14d,3,31,7,22.54,9.68,22.58,ClassVenueDistance
Class 3,沙田,AWT,1650,<=14d,1,31,6,34.78,3.23,19.35,ClassVenueDistance
Class 4,沙田,AWT,1200,<=14d,1,30,3,19.34,3.33,10.0,ClassVenueDistance
Class 4,沙田,AWT,1650,29-56d,3,29,6,27.99,10.34,20.69,ClassVenueDistance
Class 4,跑馬地,Turf,2200,15-28d,3,29,10,14.02,10.34,34.48,ClassVenueDistance
Class 5,跑馬地,Turf,1800,15-28d,3,28,5,19.82,10.71,17.86,ClassVenueDistance
Class 4,跑馬地,Turf,1000,29-56d,2,28,8,19.8,7.14,28.57,ClassVenueDistance
Class 4,跑馬地,Turf,1800,<=14d,2,28,7,23.64,7.14,25.0,ClassVenueDistance
Class 2,沙田,Turf,1200,<=14d,2,27,7,25.46,7.41,25.93,ClassVenueDistance
Class 4,沙田,AWT,1800,15-28d,1,27,4,23.16,3.7,14.81,ClassVenueDistance
Class 5,沙田,Turf,1600,29-56d,0,27,2,21.25,0.0,7.41,ClassVenueDistance
Class 2,跑馬地,Turf,1200,15-28d,4,26,9,16.33,15.38,34.62,ClassVenueDistance
Class 3,沙田,AWT,1650,29-56d,2,26,5,15.7,7.69,19.23,ClassVenueDistance
Class 5,沙田,Turf,1800,<=14d,2,26,4,16.88,7.69,15.38,ClassVenueDistance
Class 4,沙田,Turf,1200,57-90d,1,26,2,37.48,3.85,7.69,ClassVenueDistance
Class 4,跑馬地,Turf,1800,29-56d,0,26,5,21.78,0.0,19.23,ClassVenueDistance
Class 3,沙田,Turf,1000,29-56d,3,24,7,25.84,12.5,29.17,ClassVenueDistance
Class 3,跑馬地,Turf,1000,29-56d,3,24,7,20.15,12.5,29.17,ClassVenueDistance
Class 2,沙田,Turf,1200,29-56d,1,24,7,25.58,4.17,29.17,ClassVenueDistance
Class 4,跑馬地,Turf,1200,57-90d,0,24,1,43.12,0.0,4.17,ClassVenueDistance
Group 3,沙田,Turf,1800,15-28d,2,23,6,30.02,8.7,26.09,ClassVenueDistance
Class 3,沙田,AWT,1200,29-56d,1,23,6,12.96,4.35,26.09,ClassVenueDistance
Class 5,跑馬地,Turf,1000,<=14d,1,23,6,16.31,4.35,26.09,ClassVenueDistance
Class 4,沙田,Turf,1400,57-90d,0,23,3,70.22,0.0,13.04,ClassVenueDistance
Class 5,沙田,AWT,1650,15-28d,2,22,4,27.77,9.09,18.18,ClassVenueDistance
Class 5,跑馬地,Turf,2200,15-28d,2,22,7,18.94,9.09,31.82,ClassVenueDistance
Class 3,跑馬地,Turf,1800,29-56d,0,22,6,15.21,0.0,27.27,ClassVenueDistance
Class 4,跑馬地,Turf,1000,<=14d,4,21,8,16.01,19.05,38.1,ClassVenueDistance
Class 4,沙田,Turf,1200,91d+,1,21,3,45.96,4.76,14.29,ClassVenueDistance
Class 5,沙田,Turf,1600,<=14d,3,20,7,20.97,15.0,35.0,ClassVenueDistance
Class 5,沙田,AWT,1800,15-28d,2,20,6,14.96,10.0,30.0,ClassVenueDistance
Class 5,沙田,Turf,1800,15-28d,2,20,7,22.92,10.0,35.0,ClassVenueDistance
Class 3,沙田,Turf,1800,<=14d,1,20,6,38.78,5.0,30.0,ClassVenueDistance
Class 5,跑馬地,Turf,1000,29-56d,1,20,4,32.08,5.0,20.0,ClassVenueDistance
Group 2,沙田,Turf,1200,15-28d,1,20,4,79.8,5.0,20.0,ClassVenueDistance
Class 2,沙田,Turf,1400,<=14d,0,20,2,37.56,0.0,10.0,ClassVenueDistance
Class 5,跑馬地,Turf,1800,<=14d,0,20,6,20.35,0.0,30.0,ClassVenueDistance
Class 5,沙田,AWT,1200,<=14d,1,19,3,21.26,5.26,15.79,ClassVenueDistance
Class 2,跑馬地,Turf,1650,29-56d,2,18,6,17.37,11.11,33.33,ClassVenueDistance
Class 4,沙田,Turf,1800,<=14d,2,18,2,48.98,11.11,11.11,ClassVenueDistance
Group 1,沙田,Turf,1600,15-28d,2,18,5,59.47,11.11,27.78,ClassVenueDistance
Class 5,沙田,AWT,1650,<=14d,1,18,4,14.12,5.56,22.22,ClassVenueDistance
Class 3,沙田,AWT,1200,<=14d,0,18,3,29.0,0.0,16.67,ClassVenueDistance
Class 4,沙田,Turf,2000,29-56d,3,17,5,22.01,17.65,29.41,ClassVenueDistance
Class 3,沙田,Turf,1800,29-56d,2,16,4,35.56,12.5,25.0,ClassVenueDistance
Class 4,跑馬地,Turf,1200,91d+,2,16,4,45.66,12.5,25.0,ClassVenueDistance
Group 1,沙田,Turf,1200,15-28d,2,16,5,67.94,12.5,31.25,ClassVenueDistance
Class 2,沙田,AWT,1200,15-28d,1,16,3,20.78,6.25,18.75,ClassVenueDistance
Class 3,沙田,Turf,2000,<=14d,1,16,1,31.16,6.25,6.25,ClassVenueDistance
Class 4,沙田,Turf,2000,<=14d,1,16,5,26.14,6.25,31.25,ClassVenueDistance
Class 3,沙田,Turf,1400,57-90d,0,16,3,62.6,0.0,18.75,ClassVenueDistance
Class 4,沙田,Turf,1800,29-56d,0,16,3,40.24,0.0,18.75,ClassVenueDistance
Class 4,跑馬地,Turf,2200,29-56d,2,15,4,24.7,13.33,26.67,ClassVenueDistance
Class 2,沙田,AWT,1650,15-28d,1,15,4,14.39,6.67,26.67,ClassVenueDistance
Group 1,沙田,Turf,2000,15-28d,1,15,3,53.94,6.67,20.0,ClassVenueDistance
Group 3,沙田,Turf,1400,15-28d,1,15,4,19.56,6.67,26.67,ClassVenueDistance
Class 2,跑馬地,Turf,1200,<=14d,0,15,4,24.4,0.0,26.67,ClassVenueDistance
Class 3,沙田,Turf,2000,29-56d,0,15,3,28.49,0.0,20.0,ClassVenueDistance
Class 5,沙田,AWT,1650,29-56d,2,14,5,21.44,14.29,35.71,ClassVenueDistance
Group 2,沙田,Turf,1600,29-56d,2,14,5,23.65,14.29,35.71,ClassVenueDistance
Class 2,跑馬地,Turf,1200,29-56d,1,14,2,24.16,7.14,14.29,ClassVenueDistance
Class 2,沙田,Turf,1600,29-56d,2,13,4,30.07,15.38,30.77,ClassVenueDistance
Group 1,沙田,Turf,2400,15-28d,1,13,3,36.98,7.69,23.08,ClassVenueDistance
Class 4,跑馬地,Turf,2200,<=14d,0,13,2,20.62,0.0,15.38,ClassVenueDistance
Class 2,沙田,Turf,2000,15-28d,2,12,3,33.99,16.67,25.0,ClassVenueDistance
Class 5,沙田,Turf,1200,<=14d,2,12,5,12.22,16.67,41.67,ClassVenueDistance
Class 2,跑馬地,Turf,1650,15-28d,1,12,4,11.03,8.33,33.33,ClassVenueDistance
Class 4,沙田,Turf,1400,91d+,1,12,1,49.74,8.33,8.33,ClassVenueDistance
Class 4,跑馬地,Turf,1650,57-90d,1,12,4,32.99,8.33,33.33,ClassVenueDistance
Griffin,沙田,Turf,1200,15-28d,1,12,4,43.85,8.33,33.33,ClassVenueDistance
Class 2,跑馬地,Turf,1800,15-28d,2,11,3,20.9,18.18,27.27,ClassVenueDistance
Class 5,沙田,Turf,1400,57-90d,1,11,2,30.15,9.09,18.18,ClassVenueDistance
Griffin,沙田,Turf,1000,15-28d,1,11,5,35.34,9.09,45.45,ClassVenueDistance
Group 1,跑馬地,Turf,1650,<=14d,1,11,2,15.32,9.09,18.18,ClassVenueDistance
Class 2,沙田,Turf,1000,<=14d,2,10,3,23.77,20.0,30.0,ClassVenueDistance
Class 2,沙田,Turf,1800,15-28d,2,10,5,14.8,20.0,50.0,ClassVenueDistance
Class 5,沙田,Turf,2000,15-28d,2,10,4,12.49,20.0,40.0,ClassVenueDistance
Group 3,沙田,Turf,1200,29-56d,1,10,3,19.67,10.0,30.0,ClassVenueDistance
Unknown,沙田,Turf,2000,15-28d,1,10,3,22.26,10.0,30.0,ClassVenueDistance
Class 2,沙田,Turf,1000,15-28d,0,10,4,39.57,0.0,40.0,ClassVenueDistance
Class 2,沙田,Turf,1800,<=14d,0,10,1,35.7,0.0,10.0,ClassVenueDistance
Class 4,沙田,Turf,1600,57-90d,0,10,0,50.36,0.0,0.0,ClassVenueDistance
Class 5,沙田,Turf,2000,<=14d,0,10,1,52.97,0.0,10.0,ClassVenueDistance
Unknown,沙田,Turf,1600,15-28d,0,10,2,51.06,0.0,20.0,ClassVenueDistance
