RaceClass,Venue,Track,Distance,RestBucket,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate,Scope
Class 1,沙田,Turf,1600,91d+,0,1,0,4.8,0.0,0.0,ClassVenueDistance
Class 1,跑馬地,Turf,1200,29-56d,0,1,1,7.7,0.0,100.0,ClassVenueDistance
Class 2,沙田,AWT,1200,57-90d,0,1,0,7.6,0.0,0.0,ClassVenueDistance
Class 2,沙田,AWT,1200,91d+,0,1,1,8.0,0.0,100.0,ClassVenueDistance
Class 2,沙田,AWT,1650,57-90d,0,1,0,22.0,0.0,0.0,ClassVenueDistance
Class 2,沙田,AWT,1650,<=14d,0,1,0,5.6,0.0,0.0,ClassVenueDistance
Class 2,沙田,Turf,1200,57-90d,0,1,1,112.0,0.0,100.0,ClassVenueDistance
Class 2,沙田,Turf,1400,91d+,0,1,0,16.0,0.0,0.0,ClassVenueDistance
Class 2,沙田,Turf,1600,91d+,0,1,0,38.0,0.0,0.0,ClassVenueDistance
Class 2,沙田,Turf,1800,29-56d,0,1,0,55.0,0.0,0.0,ClassVenueDistance
Class 2,沙田,Turf,1800,91d+,0,1,0,12.0,0.0,0.0,ClassVenueDistance
Class 2,跑馬地,Turf,1200,91d+,0,1,0,35.0,0.0,0.0,ClassVenueDistance
Class 3,沙田,AWT,1650,57-90d,0,1,1,3.4,0.0,100.0,ClassVenueDistance
Class 3,沙田,Turf,1800,57-90d,0,1,0,3.5,0.0,0.0,ClassVenueDistance
Class 3,沙田,Turf,1800,91d+,0,1,0,30.0,0.0,0.0,ClassVenueDistance
Class 3,沙田,Turf,2000,57-90d,0,1,0,32.0,0.0,0.0,ClassVenueDistance
Class 3,跑馬地,Turf,1000,57-90d,0,1,1,11.0,0.0,100.0,ClassVenueDistance
Class 4,沙田,AWT,1800,57-90d,0,1,0,159.0,0.0,0.0,ClassVenueDistance
Class 4,沙田,Turf,1800,57-90d,0,1,0,31.0,0.0,0.0,ClassVenueDistance
Class 4,跑馬地,Turf,2200,91d+,0,1,0,18.0,0.0,0.0,ClassVenueDistance
Class 5,沙田,AWT,1200,91d+,0,1,0,42.0,0.0,0.0,ClassVenueDistance
Class 5,沙田,AWT,1650,57-90d,0,1,0,14.0,0.0,0.0,ClassVenueDistance
Class 5,沙田,AWT,1650,91d+,0,1,1,37.0,0.0,100.0,ClassVenueDistance
Class 5,沙田,AWT,1800,91d+,0,1,0,137.0,0.0,0.0,ClassVenueDistance
Class 5,沙田,Turf,1800,57-90d,0,1,0,25.0,0.0,0.0,ClassVenueDistance
Class 5,沙田,Turf,2000,57-90d,0,1,0,70.0,0.0,0.0,ClassVenueDistance
Class 5,跑馬地,Turf,1800,91d+,0,1,0,11.0,0.0,0.0,ClassVenueDistance
Class 5,跑馬地,Turf,2200,91d+,0,1,0,7.3,0.0,0.0,ClassVenueDistance
Group 1,沙田,AWT,1200,29-56d,0,1,0,5.8,0.0,0.0,ClassVenueDistance
Group 1,沙田,Turf,1400,91d+,0,1,0,72.0,0.0,0.0,ClassVenueDistance
Group 1,沙田,Turf,1600,57-90d,0,1,1,1.6,0.0,100.0,ClassVenueDistance
Group 1,沙田,Turf,1600,<=14d,0,1,0,70.0,0.0,0.0,ClassVenueDistance
Group 1,沙田,Turf,2000,<=14d,0,1,0,16.0,0.0,0.0,ClassVenueDistance
Group 1,沙田,Turf,2400,91d+,0,1,0,3.0,0.0,0.0,ClassVenueDistance
Group 1,跑馬地,Turf,1000,29-56d,0,1,1,3.7,0.0,100.0,ClassVenueDistance
Group 2,沙田,Turf,1600,57-90d,0,1,0,14.0,0.0,0.0,ClassVenueDistance
Group 2,沙田,Turf,2000,15-28d,0,1,0,137.0,0.0,0.0,ClassVenueDistance
Group 3,沙田,Turf,1000,<=14d,0,1,0,24.0,0.0,0.0,ClassVenueDistance
Group 3,沙田,Turf,1200,15-28d,0,1,0,19.0,0.0,0.0,ClassVenueDistance
Group 3,沙田,Turf,1600,91d+,0,1,0,63.0,0.0,0.0,ClassVenueDistance
Group 3,沙田,Turf,1800,91d+,0,1,0,54.0,0.0,0.0,ClassVenueDistance
Group 3,沙田,Turf,2400,29-56d,0,1,1,6.1,0.0,100.0,ClassVenueDistance
Group 3,跑馬地,Turf,1800,57-90d,0,1,0,20.0,0.0,0.0,ClassVenueDistance
