Jockey,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
田泰安,沙田,Turf,1400,7,115,23,-9.300000000000004,31.2,6.09,20.0,-8.09
艾兆禮,沙田,Turf,1400,7,115,32,-52.7,25.57,6.09,27.83,-45.83
布文,跑馬地,Turf,1200,16,114,40,-46.5,8.92,14.04,35.09,-40.79
田泰安,跑馬地,Turf,1200,6,112,26,-56.8,22.78,5.36,23.21,-50.71
潘頓,沙田,Turf,1400,34,111,62,29.800000000000004,5.62,30.63,55.86,26.85
潘頓,沙田,Turf,1200,30,109,59,-37.6,4.92,27.52,54.13,-34.5
田泰安,沙田,Turf,1200,8,108,28,-41.5,32.45,7.41,25.93,-38.43
布文,沙田,Turf,1400,13,105,36,-55.3,14.38,12.38,34.29,-52.67
希威森,沙田,Turf,1400,6,104,25,-35.5,36.22,5.77,24.04,-34.13
蔡明紹,跑馬地,Turf,1200,5,104,20,-65.5,25.3,4.81,19.23,-62.98
艾兆禮,跑馬地,Turf,1200,16,103,37,25.3,17.56,15.53,35.92,24.56
艾兆禮,沙田,Turf,1200,6,103,25,-74.3,32.35,5.83,24.27,-72.14
潘明輝,跑馬地,Turf,1200,7,102,22,-41.2,24.61,6.86,21.57,-40.39
潘頓,跑馬地,Turf,1200,21,100,51,-24.6,5.32,21.0,51.0,-24.6
艾道拿,沙田,Turf,1400,10,97,31,-29.799999999999997,29.14,10.31,31.96,-30.72
巴度,沙田,Turf,1400,8,96,22,-58.7,29.76,8.33,22.92,-61.15
潘明輝,沙田,Turf,1200,6,95,17,-35.3,43.54,6.32,17.89,-37.16
蔡明紹,沙田,Turf,1200,3,95,17,-14.299999999999997,42.28,3.16,17.89,-15.05
蔡明紹,沙田,Turf,1400,3,94,13,-49.0,46.6,3.19,13.83,-52.13
布文,沙田,Turf,1200,9,92,31,-58.6,19.62,9.78,33.7,-63.7
潘明輝,沙田,Turf,1400,7,92,19,24.6,40.37,7.61,20.65,26.74
霍宏聲,跑馬地,Turf,1200,12,90,21,86.0,21.84,13.33,23.33,95.56
梁家俊,沙田,Turf,1400,3,90,21,-81.2,37.15,3.33,23.33,-90.22
梁家俊,沙田,Turf,1200,12,89,25,64.8,36.13,13.48,28.09,72.81
巴度,跑馬地,Turf,1200,8,89,27,-37.9,23.51,8.99,30.34,-42.58
希威森,跑馬地,Turf,1200,7,88,18,-17.3,38.0,7.95,20.45,-19.66
艾道拿,跑馬地,Turf,1200,7,88,23,-18.0,16.54,7.95,26.14,-20.45
希威森,沙田,Turf,1200,3,88,17,-62.4,45.57,3.41,19.32,-70.91
艾道拿,沙田,Turf,1200,6,87,25,-27.299999999999997,22.14,6.9,28.74,-31.38
霍宏聲,沙田,Turf,1200,11,86,21,40.0,34.88,12.79,24.42,46.51
班德禮,跑馬地,Turf,1200,3,85,18,-34.3,27.08,3.53,21.18,-40.35
班德禮,沙田,Turf,1400,5,83,14,4.800000000000001,39.18,6.02,16.87,5.78
鍾易禮,沙田,Turf,1400,4,81,10,-5.0,61.91,4.94,12.35,-6.17
班德禮,沙田,Turf,1200,3,81,19,-17.5,48.1,3.7,23.46,-21.6
楊明綸,沙田,Turf,1400,2,80,13,58.2,67.54,2.5,16.25,72.75
霍宏聲,沙田,Turf,1400,8,78,18,-1.8000000000000007,28.76,10.26,23.08,-2.31
楊明綸,沙田,Turf,1200,4,78,12,-42.7,71.32,5.13,15.38,-54.74
巴度,沙田,Turf,1200,2,78,14,-49.0,45.47,2.56,17.95,-62.82
鍾易禮,沙田,Turf,1200,2,78,12,-51.7,42.59,2.56,15.38,-66.28
田泰安,跑馬地,Turf,1650,9,76,29,25.9,16.23,11.84,38.16,34.08
潘頓,跑馬地,Turf,1650,13,72,28,-13.700000000000001,5.77,18.06,38.89,-19.03
湯普新,沙田,Turf,1400,1,72,10,-66.4,85.56,1.39,13.89,-92.22
布文,跑馬地,Turf,1650,12,71,23,19.8,9.27,16.9,32.39,27.89
艾兆禮,跑馬地,Turf,1650,5,70,21,-14.0,20.07,7.14,30.0,-20.0
周俊樂,沙田,Turf,1400,4,70,11,-24.3,56.38,5.71,15.71,-34.71
鍾易禮,跑馬地,Turf,1200,2,70,10,-52.6,40.93,2.86,14.29,-75.14
楊明綸,跑馬地,Turf,1200,1,68,11,-63.4,47.59,1.47,16.18,-93.24
周俊樂,跑馬地,Turf,1200,5,65,15,-26.099999999999998,25.57,7.69,23.08,-40.15
梁家俊,跑馬地,Turf,1200,5,65,15,-2.8999999999999986,32.3,7.69,23.08,-4.46
周俊樂,沙田,Turf,1200,4,64,12,-34.0,46.56,6.25,18.75,-53.12
黃智弘,跑馬地,Turf,1200,5,62,15,7.699999999999998,23.47,8.06,24.19,12.42
賀銘年,跑馬地,Turf,1200,4,62,16,-22.8,31.32,6.45,25.81,-36.77
鍾易禮,跑馬地,Turf,1650,4,61,15,79.6,31.87,6.56,24.59,130.49
蔡明紹,跑馬地,Turf,1650,7,60,18,27.9,23.36,11.67,30.0,46.5
湯普新,沙田,Turf,1200,2,60,11,-32.0,85.88,3.33,18.33,-53.33
湯普新,跑馬地,Turf,1200,0,60,4,-60.0,62.51,0.0,6.67,-100.0
希威森,跑馬地,Turf,1650,4,59,18,-5.699999999999999,23.16,6.78,30.51,-9.66
黃寶妮,沙田,Turf,1200,5,57,9,-22.9,31.73,8.77,15.79,-40.18
潘明輝,跑馬地,Turf,1650,4,56,18,-8.6,23.0,7.14,32.14,-15.36
霍宏聲,跑馬地,Turf,1650,3,56,14,-35.0,17.74,5.36,25.0,-62.5
班德禮,跑馬地,Turf,1650,8,55,17,-2.0,15.5,14.55,30.91,-3.64
巴度,跑馬地,Turf,1650,3,52,5,-21.7,20.08,5.77,9.62,-41.73
艾兆禮,沙田,Turf,1600,3,52,11,-16.2,29.88,5.77,21.15,-31.15
何澤堯,沙田,Turf,1400,3,51,13,-16.4,21.34,5.88,25.49,-32.16
梁家俊,跑馬地,Turf,1650,2,50,15,-32.4,29.78,4.0,30.0,-64.8
黃寶妮,沙田,Turf,1400,1,50,4,-42.9,43.04,2.0,8.0,-85.8
艾道拿,沙田,Turf,1600,7,49,15,-17.200000000000003,25.76,14.29,30.61,-35.1
董明朗,沙田,Turf,1400,3,49,8,65.9,79.12,6.12,16.33,134.49
田泰安,沙田,Turf,1600,1,49,13,-43.9,24.04,2.04,26.53,-89.59
布文,沙田,Turf,1600,8,48,23,69.7,15.92,16.67,47.92,145.21
董明朗,跑馬地,Turf,1200,2,48,8,-36.5,56.75,4.17,16.67,-76.04
巴度,沙田,Turf,1600,0,48,6,-48.0,33.16,0.0,12.5,-100.0
黃智弘,沙田,Turf,1400,0,48,8,-48.0,34.12,0.0,16.67,-100.0
楊明綸,跑馬地,Turf,1650,2,47,8,-32.6,40.32,4.26,17.02,-69.36
潘明輝,沙田,Turf,1600,4,46,9,16.6,26.33,8.7,19.57,36.09
董明朗,沙田,Turf,1200,2,45,4,-11.0,83.67,4.44,8.89,-24.44
潘頓,沙田,Turf,1600,7,44,18,-22.3,6.3,15.91,40.91,-50.68
何澤堯,跑馬地,Turf,1200,5,44,13,-2.4000000000000004,27.1,11.36,29.55,-5.45
賀銘年,沙田,Turf,1400,4,44,11,76.3,47.5,9.09,25.0,173.41
黃智弘,跑馬地,Turf,1650,4,44,11,-15.9,21.14,9.09,25.0,-36.14
梁家俊,沙田,Turf,1600,7,43,12,-1.4000000000000004,37.99,16.28,27.91,-3.26
蔡明紹,沙田,Turf,1600,3,43,5,3.9000000000000004,45.95,6.98,11.63,9.07
周俊樂,跑馬地,Turf,1650,3,42,7,-16.3,40.75,7.14,16.67,-38.81
