Jockey,Trainer,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
蔡明紹,游達榮,0,7,0,-7.0,70.57,0.0,0.0,-100.0
薛恩,伍鵬志,0,7,1,-7.0,28.76,0.0,14.29,-100.0
蘇銘倫,葉楚航,0,7,1,-7.0,16.26,0.0,14.29,-100.0
賀銘年,韋達,0,7,0,-7.0,73.99,0.0,0.0,-100.0
黃寶妮,鄭俊偉,0,7,0,-7.0,40.53,0.0,0.0,-100.0
麥道朗,游達榮,2,6,3,3.2,5.08,33.33,50.0,53.33
何澤堯,葉楚航,1,6,2,-1.9000000000000004,19.15,16.67,33.33,-31.67
布文,葉楚航,1,6,2,-4.6,5.9,16.67,33.33,-76.67
霍宏聲,葉楚航,1,6,1,4.0,20.3,16.67,16.67,66.67
周俊樂,告東尼,0,6,1,-6.0,34.65,0.0,16.67,-100.0
奧爾民,容天鵬,0,6,1,-6.0,40.68,0.0,16.67,-100.0
巫顯東,容天鵬,0,6,0,-6.0,67.83,0.0,0.0,-100.0
班德禮,游達榮,0,6,0,-6.0,19.17,0.0,0.0,-100.0
田泰安,丁冠豪,0,6,2,-6.0,36.95,0.0,33.33,-100.0
田泰安,告東尼,0,6,0,-6.0,52.33,0.0,0.0,-100.0
艾道拿,羅富全,0,6,2,-6.0,9.23,0.0,33.33,-100.0
貝知仁,大衛希斯,0,6,0,-6.0,31.0,0.0,0.0,-100.0
鍾易禮,沈集成,0,6,0,-6.0,59.67,0.0,0.0,-100.0
霍宏聲,黎昭昇,0,6,2,-6.0,41.32,0.0,33.33,-100.0
麥道朗,方嘉柏,0,6,2,-6.0,13.37,0.0,33.33,-100.0
黃寶妮,徐雨石,0,6,0,-6.0,28.55,0.0,0.0,-100.0
黃智弘,巫偉傑,0,6,1,-6.0,22.35,0.0,16.67,-100.0
韋紀力,呂健威,2,5,3,23.7,16.54,40.0,60.0,474.0
何澤堯,徐雨石,1,5,3,1.2000000000000002,12.88,20.0,60.0,24.0
董明朗,大衛希斯,1,5,1,17.0,40.2,20.0,20.0,340.0
金誠剛,游達榮,1,5,1,4.9,49.04,20.0,20.0,98.0
霍宏聲,巫偉傑,1,5,1,35.0,21.14,20.0,20.0,700.0
韋紀力,巫偉傑,1,5,1,4.300000000000001,23.26,20.0,20.0,86.0
麥當能,沈集成,1,5,1,9.0,59.4,20.0,20.0,180.0
麥道朗,大衛希斯,1,5,1,2.0999999999999996,8.96,20.0,20.0,42.0
黃智弘,韋達,1,5,2,-2.5,10.06,20.0,40.0,-50.0
奧爾民,羅富全,0,5,0,-5.0,94.0,0.0,0.0,-100.0
奧爾民,黎昭昇,0,5,0,-5.0,44.6,0.0,0.0,-100.0
希威森,葉楚航,0,5,1,-5.0,15.26,0.0,20.0,-100.0
梁家俊,游達榮,0,5,0,-5.0,60.8,0.0,0.0,-100.0
梁家俊,葉楚航,0,5,1,-5.0,18.34,0.0,20.0,-100.0
梁家俊,黎昭昇,0,5,0,-5.0,64.62,0.0,0.0,-100.0
湯普新,伍鵬志,0,5,0,-5.0,62.2,0.0,0.0,-100.0
湯普新,呂健威,0,5,0,-5.0,92.2,0.0,0.0,-100.0
湯普新,徐雨石,0,5,0,-5.0,139.8,0.0,0.0,-100.0
潘明輝,呂健威,0,5,3,-5.0,17.82,0.0,60.0,-100.0
潘頓,鄭俊偉,0,5,1,-5.0,8.3,0.0,20.0,-100.0
班德禮,黎昭昇,0,5,0,-5.0,33.08,0.0,0.0,-100.0
田泰安,沈集成,0,5,1,-5.0,20.38,0.0,20.0,-100.0
艾兆禮,告東尼,0,5,3,-5.0,18.02,0.0,60.0,-100.0
艾道拿,鄭俊偉,0,5,0,-5.0,30.0,0.0,0.0,-100.0
董明朗,容天鵬,0,5,0,-5.0,69.2,0.0,0.0,-100.0
董明朗,游達榮,0,5,0,-5.0,88.2,0.0,0.0,-100.0
董明朗,鄭俊偉,0,5,0,-5.0,39.2,0.0,0.0,-100.0
金誠剛,伍鵬志,0,5,0,-5.0,74.2,0.0,0.0,-100.0
鍾易禮,容天鵬,0,5,1,-5.0,67.4,0.0,20.0,-100.0
鍾易禮,游達榮,0,5,0,-5.0,46.4,0.0,0.0,-100.0
麥當能,蘇偉賢,0,5,1,-5.0,97.4,0.0,20.0,-100.0
黃智弘,鄭俊偉,0,5,0,-5.0,32.44,0.0,0.0,-100.0
莫雷拉,羅富全,2,4,2,9.2,7.02,50.0,50.0,230.0
麥道朗,呂健威,2,4,2,4.300000000000001,4.32,50.0,50.0,107.5
何澤堯,鄭俊偉,1,4,2,4.300000000000001,9.57,25.0,50.0,107.5
巫顯東,羅富全,1,4,1,2.4000000000000004,30.1,25.0,25.0,60.0
巴米高,伍鵬志,1,4,1,2.8,11.2,25.0,25.0,70.0
杜苑欣,大衛希斯,1,4,2,2.3,18.12,25.0,50.0,57.5
梁家俊,徐雨石,1,4,1,1.0999999999999996,31.78,25.0,25.0,27.5
麥道朗,文家良,1,4,2,0.20000000000000018,10.28,25.0,50.0,5.0
麥道朗,黎昭昇,1,4,2,-1.9,8.8,25.0,50.0,-47.5
布文,丁冠豪,0,4,2,-4.0,13.25,0.0,50.0,-100.0
布文,巫偉傑,0,4,1,-4.0,6.07,0.0,25.0,-100.0
布文,徐雨石,0,4,0,-4.0,16.15,0.0,0.0,-100.0
希威森,巫偉傑,0,4,2,-4.0,12.68,0.0,50.0,-100.0
杜苑欣,徐雨石,0,4,0,-4.0,47.0,0.0,0.0,-100.0
楊明綸,葉楚航,0,4,0,-4.0,59.25,0.0,0.0,-100.0
湯普新,文家良,0,4,2,-4.0,45.52,0.0,50.0,-100.0
湯普新,羅富全,0,4,0,-4.0,106.25,0.0,0.0,-100.0
潘明輝,黎昭昇,0,4,0,-4.0,26.0,0.0,0.0,-100.0
莫雷拉,伍鵬志,0,4,2,-4.0,15.73,0.0,50.0,-100.0
董明朗,伍鵬志,0,4,1,-4.0,47.82,0.0,25.0,-100.0
薛恩,大衛希斯,0,4,2,-4.0,27.35,0.0,50.0,-100.0
薛恩,方嘉柏,0,4,1,-4.0,15.08,0.0,25.0,-100.0
蘇銘倫,沈集成,0,4,0,-4.0,22.0,0.0,0.0,-100.0
貝知仁,告東尼,0,4,0,-4.0,40.75,0.0,0.0,-100.0
貝知仁,容天鵬,0,4,0,-4.0,87.5,0.0,0.0,-100.0
貝知仁,徐雨石,0,4,1,-4.0,16.27,0.0,25.0,-100.0
賀銘年,告東尼,0,4,0,-4.0,19.23,0.0,0.0,-100.0
賀銘年,文家良,0,4,0,-4.0,110.25,0.0,0.0,-100.0
賀銘年,賀賢,0,4,1,-4.0,37.98,0.0,25.0,-100.0
鍾易禮,姚本輝,0,4,0,-4.0,50.78,0.0,0.0,-100.0
韋紀力,大衛希斯,0,4,0,-4.0,10.3,0.0,0.0,-100.0
馬昆,伍鵬志,0,4,0,-4.0,14.62,0.0,0.0,-100.0
麥當能,容天鵬,0,4,0,-4.0,38.25,0.0,0.0,-100.0
麥道朗,羅富全,0,4,1,-4.0,5.78,0.0,25.0,-100.0
黃寶妮,廖康銘,0,4,0,-4.0,21.05,0.0,0.0,-100.0
黃智弘,游達榮,0,4,1,-4.0,5.48,0.0,25.0,-100.0
黃智弘,蘇偉賢,0,4,2,-4.0,10.45,0.0,50.0,-100.0
馬昆,呂健威,2,3,2,22.3,15.43,66.67,66.67,743.33
奧爾民,方嘉柏,1,3,1,0.6000000000000001,8.87,33.33,33.33,20.0
莫雅,呂健威,1,3,3,2.0999999999999996,4.13,33.33,100.0,70.0
莫雅,沈集成,1,3,1,0.6000000000000001,4.33,33.33,33.33,20.0
麥道朗,葉楚航,1,3,2,0.10000000000000009,3.5,33.33,66.67,3.33
麥道朗,鄭俊偉,1,3,2,4.4,11.97,33.33,66.67,146.67
何澤堯,丁冠豪,0,3,1,-3.0,20.67,0.0,33.33,-100.0
何澤堯,告東尼,0,3,1,-3.0,5.6,0.0,33.33,-100.0
何澤堯,姚本輝,0,3,0,-3.0,37.33,0.0,0.0,-100.0
何澤堯,巫偉傑,0,3,0,-3.0,17.23,0.0,0.0,-100.0
周俊樂,徐雨石,0,3,0,-3.0,24.0,0.0,0.0,-100.0
奧爾民,游達榮,0,3,0,-3.0,60.3,0.0,0.0,-100.0
奧爾民,葉楚航,0,3,0,-3.0,44.0,0.0,0.0,-100.0
巫顯東,巫偉傑,0,3,0,-3.0,43.0,0.0,0.0,-100.0
巴度,丁冠豪,0,3,0,-3.0,15.33,0.0,0.0,-100.0
巴度,葉楚航,0,3,0,-3.0,34.33,0.0,0.0,-100.0
巴米高,姚本輝,0,3,0,-3.0,6.1,0.0,0.0,-100.0
希威森,姚本輝,0,3,0,-3.0,58.87,0.0,0.0,-100.0
希威森,徐雨石,0,3,0,-3.0,82.0,0.0,0.0,-100.0
杜苑欣,沈集成,0,3,1,-3.0,34.0,0.0,33.33,-100.0
梁家俊,告東尼,0,3,1,-3.0,41.0,0.0,33.33,-100.0
潘明輝,大衛希斯,0,3,2,-3.0,7.1,0.0,66.67,-100.0
潘明輝,蔡約翰,0,3,0,-3.0,22.67,0.0,0.0,-100.0
潘頓,徐雨石,0,3,1,-3.0,9.27,0.0,33.33,-100.0
班德禮,文家良,0,3,0,-3.0,58.0,0.0,0.0,-100.0
田泰安,廖康銘,0,3,1,-3.0,18.0,0.0,33.33,-100.0
艾道拿,容天鵬,0,3,1,-3.0,6.63,0.0,33.33,-100.0
莫雅,方嘉柏,0,3,2,-3.0,6.23,0.0,66.67,-100.0
莫雷拉,蘇偉賢,0,3,2,-3.0,9.8,0.0,66.67,-100.0
董明朗,文家良,0,3,0,-3.0,103.67,0.0,0.0,-100.0
董明朗,黎昭昇,0,3,0,-3.0,86.33,0.0,0.0,-100.0
薛恩,黎昭昇,0,3,0,-3.0,25.67,0.0,0.0,-100.0
貝知仁,文家良,0,3,0,-3.0,107.67,0.0,0.0,-100.0
貝知仁,游達榮,0,3,0,-3.0,76.87,0.0,0.0,-100.0
鍾易禮,韋達,0,3,0,-3.0,153.33,0.0,0.0,-100.0
陳嘉熙,方嘉柏,0,3,0,-3.0,16.3,0.0,0.0,-100.0
馬昆,大衛希斯,0,3,0,-3.0,20.03,0.0,0.0,-100.0
麥當能,大衛希斯,0,3,0,-3.0,53.0,0.0,0.0,-100.0
麥道朗,容天鵬,0,3,2,-3.0,5.83,0.0,66.67,-100.0
麥道朗,蘇偉賢,0,3,0,-3.0,11.93,0.0,0.0,-100.0
黃寶妮,姚本輝,0,3,0,-3.0,41.4,0.0,0.0,-100.0
黃寶妮,羅富全,0,3,0,-3.0,16.0,0.0,0.0,-100.0
黃寶妮,蘇偉賢,0,3,0,-3.0,9.23,0.0,0.0,-100.0
黃智弘,黎昭昇,0,3,0,-3.0,56.2,0.0,0.0,-100.0
奧爾民,丁冠豪,1,2,1,59.0,43.0,50.0,50.0,2950.0
奧爾民,鄭俊偉,1,2,1,29.0,75.5,50.0,50.0,1450.0
莫雅,大衛希斯,1,2,1,-0.6000000000000001,5.0,50.0,50.0,-30.0
薛恩,巫偉傑,1,2,1,1.9,14.45,50.0,50.0,95.0
連達文,堀宣行,1,2,2,1.7000000000000002,8.85,50.0,100.0,85.0
川田將雅,中內田充正,0,2,1,-2.0,7.65,0.0,50.0,-100.0
川田將雅,杉山晴紀,0,2,0,-2.0,81.5,0.0,0.0,-100.0
川田將雅,賀賢,0,2,0,-2.0,24.4,0.0,0.0,-100.0
巫顯東,告東尼,0,2,0,-2.0,48.0,0.0,0.0,-100.0
巫顯東,文家良,0,2,0,-2.0,156.0,0.0,0.0,-100.0
巫顯東,游達榮,0,2,0,-2.0,116.5,0.0,0.0,-100.0
巫顯東,蘇偉賢,0,2,0,-2.0,97.5,0.0,0.0,-100.0
巴度,呂健威,0,2,0,-2.0,41.0,0.0,0.0,-100.0
巴米高,韋達,0,2,0,-2.0,33.1,0.0,0.0,-100.0
布宜學,巫偉傑,0,2,0,-2.0,18.5,0.0,0.0,-100.0
希威森,賀賢,0,2,0,-2.0,100.5,0.0,0.0,-100.0
杜苑欣,姚本輝,0,2,1,-2.0,8.3,0.0,50.0,-100.0
杜苑欣,韋達,0,2,0,-2.0,20.5,0.0,0.0,-100.0
杜苑欣,黎昭昇,0,2,0,-2.0,21.0,0.0,0.0,-100.0
梁家俊,廖康銘,0,2,1,-2.0,20.05,0.0,50.0,-100.0
楊明綸,游達榮,0,2,0,-2.0,54.0,0.0,0.0,-100.0
湯普新,丁冠豪,0,2,0,-2.0,130.5,0.0,0.0,-100.0
湯普新,巫偉傑,0,2,0,-2.0,123.5,0.0,0.0,-100.0
班德禮,蔡約翰,0,2,0,-2.0,74.5,0.0,0.0,-100.0
田泰安,容天鵬,0,2,0,-2.0,13.0,0.0,0.0,-100.0
簡國能,巫偉傑,0,2,0,-2.0,19.6,0.0,0.0,-100.0
羅敦,岳伯仁,0,2,0,-2.0,46.0,0.0,0.0,-100.0
艾道拿,文家良,0,2,0,-2.0,10.5,0.0,0.0,-100.0
艾道拿,蘇偉賢,0,2,0,-2.0,20.5,0.0,0.0,-100.0
苗傑美,羅富全,0,2,1,-2.0,59.6,0.0,50.0,-100.0
莫雅,姚本輝,0,2,1,-2.0,8.75,0.0,50.0,-100.0
莫雅,岳伯仁,0,2,0,-2.0,36.6,0.0,0.0,-100.0
莫雅,游達榮,0,2,0,-2.0,8.2,0.0,0.0,-100.0
莫雷拉,堀宣行,0,2,2,-2.0,15.0,0.0,100.0,-100.0
董明朗,丁冠豪,0,2,0,-2.0,65.0,0.0,0.0,-100.0
董明朗,羅富全,0,2,0,-2.0,29.7,0.0,0.0,-100.0
薛恩,呂健威,0,2,1,-2.0,27.75,0.0,50.0,-100.0
貝知仁,羅富全,0,2,0,-2.0,14.05,0.0,0.0,-100.0
貝知仁,蔡約翰,0,2,0,-2.0,11.0,0.0,0.0,-100.0
金誠剛,方嘉柏,0,2,0,-2.0,50.5,0.0,0.0,-100.0
陳嘉熙,徐雨石,0,2,0,-2.0,32.0,0.0,0.0,-100.0
陳嘉熙,鄭俊偉,0,2,0,-2.0,17.0,0.0,0.0,-100.0
霍宏聲,蘇偉賢,0,2,0,-2.0,15.0,0.0,0.0,-100.0
馬昆,方嘉柏,0,2,0,-2.0,13.3,0.0,0.0,-100.0
馬昆,賀賢,0,2,0,-2.0,43.0,0.0,0.0,-100.0
馬昆,郗國思,0,2,1,-2.0,8.0,0.0,50.0,-100.0
馬昆,韋達,0,2,0,-2.0,88.5,0.0,0.0,-100.0
麥當能,呂健威,0,2,0,-2.0,31.0,0.0,0.0,-100.0
麥當能,告東尼,0,2,0,-2.0,124.0,0.0,0.0,-100.0
麥當能,姚本輝,0,2,0,-2.0,52.5,0.0,0.0,-100.0
麥當能,鄭俊偉,0,2,0,-2.0,64.5,0.0,0.0,-100.0
麥當能,韋達,0,2,0,-2.0,85.5,0.0,0.0,-100.0
麥道朗,告東尼,0,2,0,-2.0,13.8,0.0,0.0,-100.0
黃寶妮,巫偉傑,0,2,0,-2.0,29.5,0.0,0.0,-100.0
黃寶妮,游達榮,0,2,0,-2.0,10.3,0.0,0.0,-100.0
黃智弘,丁冠豪,0,2,0,-2.0,103.0,0.0,0.0,-100.0
巴米高,徐雨石,1,1,1,37.0,38.0,100.0,100.0,3700.0
巴米高,葉楚航,1,1,1,13.0,14.0,100.0,100.0,1300.0
杜苑欣,丁冠豪,1,1,1,12.0,13.0,100.0,100.0,1200.0
莫艾誠,布銘球,1,1,1,11.0,12.0,100.0,100.0,1100.0
薛恩,容天鵬,1,1,1,2.8,3.8,100.0,100.0,280.0
麥道朗,韋達,1,1,1,9.0,10.0,100.0,100.0,900.0
何澤堯,容天鵬,0,1,1,-1.0,15.0,0.0,100.0,-100.0
司徒岳,伊比軒,0,1,0,-1.0,175.0,0.0,0.0,-100.0
周俊樂,游達榮,0,1,0,-1.0,39.0,0.0,0.0,-100.0
周俊樂,黎昭昇,0,1,0,-1.0,4.0,0.0,0.0,-100.0
奧爾民,巫偉傑,0,1,0,-1.0,50.0,0.0,0.0,-100.0
川田將雅,伍鵬志,0,1,0,-1.0,20.0,0.0,0.0,-100.0
川田將雅,廖康銘,0,1,0,-1.0,7.1,0.0,0.0,-100.0
川田將雅,高野友和,0,1,0,-1.0,10.0,0.0,0.0,-100.0
巫顯東,丁冠豪,0,1,0,-1.0,74.0,0.0,0.0,-100.0
巫顯東,蔡約翰,0,1,0,-1.0,36.0,0.0,0.0,-100.0
巫顯東,賀賢,0,1,0,-1.0,72.0,0.0,0.0,-100.0
巫顯東,黎昭昇,0,1,0,-1.0,198.0,0.0,0.0,-100.0
巴米高,呂健威,0,1,1,-1.0,21.0,0.0,100.0,-100.0
巴米高,告東尼,0,1,0,-1.0,12.0,0.0,0.0,-100.0
巴米高,巫偉傑,0,1,1,-1.0,10.0,0.0,100.0,-100.0
巴米高,羅富全,0,1,0,-1.0,2.8,0.0,0.0,-100.0
巴米高,蔡約翰,0,1,0,-1.0,32.0,0.0,0.0,-100.0
巴米高,費伯華,0,1,0,-1.0,6.1,0.0,0.0,-100.0
巴米高,鄭俊偉,0,1,0,-1.0,24.0,0.0,0.0,-100.0
布宜學,方嘉柏,0,1,0,-1.0,21.0,0.0,0.0,-100.0
布宜學,沈集成,0,1,0,-1.0,31.0,0.0,0.0,-100.0
布宜學,羅富全,0,1,0,-1.0,8.3,0.0,0.0,-100.0
布宜學,葉楚航,0,1,1,-1.0,8.3,0.0,100.0,-100.0
布文,鄭俊偉,0,1,0,-1.0,21.0,0.0,0.0,-100.0
杜滿樂,池添學,0,1,0,-1.0,20.0,0.0,0.0,-100.0
杜滿樂,雷里雅,0,1,0,-1.0,11.0,0.0,0.0,-100.0
杜苑欣,伍鵬志,0,1,0,-1.0,19.0,0.0,0.0,-100.0
杜苑欣,呂健威,0,1,0,-1.0,18.0,0.0,0.0,-100.0
杜苑欣,巫偉傑,0,1,1,-1.0,18.0,0.0,100.0,-100.0
杜苑欣,文家良,0,1,1,-1.0,5.5,0.0,100.0,-100.0
杜苑欣,葉楚航,0,1,0,-1.0,19.0,0.0,0.0,-100.0
杜苑欣,賀賢,0,1,0,-1.0,37.0,0.0,0.0,-100.0
柯浩新,范鴻禧,0,1,0,-1.0,51.0,0.0,0.0,-100.0
梁家俊,方嘉柏,0,1,0,-1.0,63.0,0.0,0.0,-100.0
梁家俊,蘇偉賢,0,1,0,-1.0,10.0,0.0,0.0,-100.0
梁家俊,韋達,0,1,0,-1.0,8.2,0.0,0.0,-100.0
楊明綸,賀賢,0,1,0,-1.0,83.0,0.0,0.0,-100.0
湯普新,韋達,0,1,0,-1.0,48.0,0.0,0.0,-100.0
溫蘿,顧永賢,0,1,0,-1.0,16.0,0.0,0.0,-100.0
潘明輝,方嘉柏,0,1,0,-1.0,52.0,0.0,0.0,-100.0
潘明輝,蘇偉賢,0,1,0,-1.0,8.4,0.0,0.0,-100.0
潘頓,方嘉柏,0,1,0,-1.0,13.0,0.0,0.0,-100.0
潘頓,馬晏殊,0,1,0,-1.0,13.0,0.0,0.0,-100.0
班德禮,呂健威,0,1,0,-1.0,18.0,0.0,0.0,-100.0
簡國能,丁冠豪,0,1,0,-1.0,44.0,0.0,0.0,-100.0
簡國能,姚本輝,0,1,1,-1.0,15.0,0.0,100.0,-100.0
簡國能,賀賢,0,1,1,-1.0,13.0,0.0,100.0,-100.0
艾兆禮,丁冠豪,0,1,0,-1.0,16.0,0.0,0.0,-100.0
艾道拿,呂健威,0,1,0,-1.0,9.6,0.0,0.0,-100.0
艾道拿,徐雨石,0,1,0,-1.0,25.0,0.0,0.0,-100.0
