Trainer,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
姚本輝,跑馬地,Turf,1650,5,63,17,-23.3,19.81,7.94,26.98,-36.98
丁冠豪,沙田,Turf,1400,3,63,9,-6.6,45.17,4.76,14.29,-10.48
葉楚航,沙田,Turf,1400,1,60,6,-50.9,52.73,1.67,10.0,-84.83
蔡約翰,沙田,Turf,1600,6,58,13,51.8,28.83,10.34,22.41,89.31
丁冠豪,沙田,Turf,1200,5,58,18,-31.0,40.43,8.62,31.03,-53.45
徐雨石,跑馬地,Turf,1200,3,58,13,-44.4,45.73,5.17,22.41,-76.55
容天鵬,跑馬地,Turf,1200,2,58,13,-46.0,24.78,3.45,22.41,-79.31
鄭俊偉,跑馬地,Turf,1200,7,57,21,23.2,28.58,12.28,36.84,40.7
鄭俊偉,沙田,Turf,1200,5,57,15,12.0,62.22,8.77,26.32,21.05
羅富全,跑馬地,Turf,1650,6,56,18,-17.4,23.64,10.71,32.14,-31.07
蘇偉賢,跑馬地,Turf,1650,5,52,9,-15.600000000000001,29.63,9.62,17.31,-30.0
黎昭昇,沙田,Turf,1400,0,52,4,-52.0,53.98,0.0,7.69,-100.0
黎昭昇,跑馬地,Turf,1650,6,51,12,22.1,33.38,11.76,23.53,43.33
伍鵬志,沙田,Turf,1600,4,51,10,-33.5,26.69,7.84,19.61,-65.69
羅富全,沙田,Turf,1600,4,51,10,-36.6,34.9,7.84,19.61,-71.76
呂健威,沙田,Turf,1600,2,51,16,-1.2000000000000002,29.93,3.92,31.37,-2.35
巫偉傑,跑馬地,Turf,1650,6,50,15,2.2,24.74,12.0,30.0,4.4
伍鵬志,沙田,AWT,1650,2,50,14,-37.1,17.49,4.0,28.0,-74.2
韋達,跑馬地,Turf,1650,5,49,14,1.9000000000000004,27.1,10.2,28.57,3.88
徐雨石,沙田,Turf,1200,2,49,7,-34.4,73.03,4.08,14.29,-70.2
葉楚航,跑馬地,Turf,1200,7,48,13,-8.1,32.08,14.58,27.08,-16.88
游達榮,跑馬地,Turf,1200,5,48,12,16.3,23.35,10.42,25.0,33.96
蔡約翰,跑馬地,Turf,1650,4,47,6,-3.0,25.34,8.51,12.77,-6.38
廖康銘,跑馬地,Turf,1650,3,45,12,-21.5,11.09,6.67,26.67,-47.78
方嘉柏,沙田,Turf,1200,2,45,7,-34.8,44.61,4.44,15.56,-77.33
方嘉柏,沙田,Turf,1600,7,44,14,-15.799999999999999,14.85,15.91,31.82,-35.91
游達榮,沙田,Turf,1200,4,44,8,-19.5,28.97,9.09,18.18,-44.32
徐雨石,沙田,Turf,1400,3,44,6,106.8,73.93,6.82,13.64,242.73
大衛希斯,沙田,Turf,1600,3,41,13,-17.1,22.29,7.32,31.71,-41.71
呂健威,跑馬地,Turf,1650,5,40,14,0.4999999999999991,15.66,12.5,35.0,1.25
容天鵬,跑馬地,Turf,1650,0,38,1,-38.0,52.44,0.0,2.63,-100.0
告東尼,沙田,Turf,1800,6,37,13,18.1,19.26,16.22,35.14,48.92
蔡約翰,沙田,Turf,1000,5,37,13,-0.5,20.13,13.51,35.14,-1.35
文家良,跑馬地,Turf,1650,4,37,10,12.399999999999999,26.37,10.81,27.03,33.51
韋達,跑馬地,Turf,1000,5,36,7,3.3999999999999995,23.55,13.89,19.44,9.44
游達榮,沙田,Turf,1600,4,36,13,-22.2,27.71,11.11,36.11,-61.67
大衛希斯,沙田,Turf,1000,1,36,7,-32.4,47.82,2.78,19.44,-90.0
徐雨石,跑馬地,Turf,1650,2,35,10,-17.3,24.14,5.71,28.57,-49.43
丁冠豪,跑馬地,Turf,1200,1,35,5,-22.0,32.85,2.86,14.29,-62.86
文家良,沙田,AWT,1200,6,34,12,13.299999999999999,15.93,17.65,35.29,39.12
伍鵬志,跑馬地,Turf,1000,4,34,5,-12.9,19.1,11.76,14.71,-37.94
方嘉柏,沙田,AWT,1200,4,34,7,-3.6000000000000014,18.39,11.76,20.59,-10.59
韋達,沙田,Turf,1000,3,34,7,-11.600000000000001,40.13,8.82,20.59,-34.12
伍鵬志,沙田,Turf,1000,2,34,9,-27.3,35.03,5.88,26.47,-80.29
容天鵬,沙田,Turf,1600,2,34,7,-18.9,36.66,5.88,20.59,-55.59
鄭俊偉,跑馬地,Turf,1650,1,34,2,-24.3,57.27,2.94,5.88,-71.47
賀賢,沙田,AWT,1200,4,33,8,4.6000000000000005,19.9,12.12,24.24,13.94
蘇偉賢,沙田,Turf,1600,3,33,8,-15.9,24.32,9.09,24.24,-48.18
方嘉柏,沙田,AWT,1650,2,32,11,-9.0,14.32,6.25,34.38,-28.12
韋達,沙田,Turf,1600,1,32,5,-29.5,52.2,3.12,15.62,-92.19
大衛希斯,沙田,AWT,1650,5,31,11,15.5,25.49,16.13,35.48,50.0
葉楚航,沙田,Turf,1000,3,31,6,-26.1,42.15,9.68,19.35,-84.19
鄭俊偉,沙田,Turf,1600,2,31,4,-7.199999999999999,28.29,6.45,12.9,-23.23
大衛希斯,沙田,AWT,1200,3,30,6,-13.9,35.49,10.0,20.0,-46.33
巫偉傑,沙田,Turf,1600,3,30,8,-2.3,40.47,10.0,26.67,-7.67
賀賢,跑馬地,Turf,1650,1,30,7,-19.0,27.31,3.33,23.33,-63.33
羅富全,沙田,AWT,1200,4,29,11,-10.0,14.14,13.79,37.93,-34.48
蘇偉賢,沙田,AWT,1200,4,29,9,57.5,15.23,13.79,31.03,198.28
丁冠豪,沙田,Turf,1600,3,29,7,7.2,28.4,10.34,24.14,24.83
羅富全,沙田,AWT,1650,6,28,8,24.700000000000003,18.15,21.43,28.57,88.21
巫偉傑,沙田,Turf,1000,5,28,12,14.8,28.83,17.86,42.86,52.86
徐雨石,跑馬地,Turf,1000,5,28,8,48.6,26.38,17.86,28.57,173.57
告東尼,沙田,Turf,1000,3,28,7,-4.499999999999999,29.03,10.71,25.0,-16.07
姚本輝,沙田,AWT,1200,3,28,11,-18.4,9.97,10.71,39.29,-65.71
羅富全,沙田,Turf,1000,3,28,9,56.8,21.48,10.71,32.14,202.86
蔡約翰,沙田,AWT,1200,3,28,11,-15.3,18.45,10.71,39.29,-54.64
容天鵬,沙田,AWT,1200,2,28,9,-6.6,23.64,7.14,32.14,-23.57
廖康銘,跑馬地,Turf,1000,1,28,10,-22.8,28.85,3.57,35.71,-81.43
告東尼,跑馬地,Turf,1000,4,27,11,-5.8999999999999995,21.55,14.81,40.74,-21.85
廖康銘,沙田,AWT,1200,4,27,12,-6.800000000000002,16.01,14.81,44.44,-25.19
告東尼,沙田,Turf,2000,3,27,8,-0.6000000000000008,31.07,11.11,29.63,-2.22
沈集成,沙田,AWT,1650,3,27,5,8.899999999999999,27.7,11.11,18.52,32.96
伍鵬志,跑馬地,Turf,1800,2,27,12,8.0,13.96,7.41,44.44,29.63
廖康銘,沙田,Turf,1600,2,27,4,-7.0,25.46,7.41,14.81,-25.93
