Trainer,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
姚本輝,沙田,AWT,1800,0,2,0,-2.0,38.0,0.0,0.0,-100.0
姚本輝,跑馬地,Turf,2200,0,2,0,-2.0,13.0,0.0,0.0,-100.0
岳伯仁,沙田,Turf,2000,0,2,0,-2.0,63.5,0.0,0.0,-100.0
岳伯仁,沙田,Turf,2400,0,2,0,-2.0,19.1,0.0,0.0,-100.0
巫偉傑,跑馬地,Turf,2200,0,2,0,-2.0,43.5,0.0,0.0,-100.0
徐雨石,沙田,Turf,1800,0,2,1,-2.0,23.5,0.0,50.0,-100.0
徐雨石,跑馬地,Turf,2200,0,2,0,-2.0,12.7,0.0,0.0,-100.0
杉山晴紀,沙田,Turf,1200,0,2,0,-2.0,74.0,0.0,0.0,-100.0
羅富全,跑馬地,Turf,2200,0,2,0,-2.0,15.5,0.0,0.0,-100.0
郗國思,沙田,Turf,2400,0,2,1,-2.0,8.0,0.0,50.0,-100.0
姚本輝,沙田,Turf,2400,1,1,1,0.8,1.8,100.0,100.0,80.0
布銘球,沙田,Turf,2400,1,1,1,11.0,12.0,100.0,100.0,1100.0
文家良,跑馬地,Turf,2200,1,1,1,4.4,5.4,100.0,100.0,440.0
伊比軒,沙田,Turf,1600,0,1,0,-1.0,175.0,0.0,0.0,-100.0
伍鵬志,沙田,Turf,2400,0,1,0,-1.0,45.0,0.0,0.0,-100.0
包義定,沙田,Turf,2000,0,1,0,-1.0,114.0,0.0,0.0,-100.0
吉村圭司,沙田,Turf,1200,0,1,0,-1.0,73.0,0.0,0.0,-100.0
呂健威,沙田,Turf,2400,0,1,1,-1.0,15.0,0.0,100.0,-100.0
國枝榮,沙田,Turf,2400,0,1,1,-1.0,3.2,0.0,100.0,-100.0
大衛希斯,沙田,Turf,2400,0,1,1,-1.0,19.0,0.0,100.0,-100.0
廖康銘,沙田,Turf,2400,0,1,0,-1.0,4.7,0.0,0.0,-100.0
文家良,沙田,AWT,1800,0,1,0,-1.0,159.0,0.0,0.0,-100.0
杉山晴紀,沙田,Turf,1600,0,1,0,-1.0,47.0,0.0,0.0,-100.0
比安威詹 希斯,沙田,Turf,1600,0,1,0,-1.0,5.6,0.0,0.0,-100.0
池江泰壽,沙田,Turf,1600,0,1,1,-1.0,4.6,0.0,100.0,-100.0
池添學,沙田,Turf,2400,0,1,0,-1.0,20.0,0.0,0.0,-100.0
沈集成,沙田,Turf,2400,0,1,0,-1.0,61.0,0.0,0.0,-100.0
活侯夫人及布特,沙田,Turf,1600,0,1,0,-1.0,34.0,0.0,0.0,-100.0
游孝廉,沙田,Turf,1600,0,1,0,-1.0,61.0,0.0,0.0,-100.0
游達榮,沙田,AWT,1800,0,1,0,-1.0,65.0,0.0,0.0,-100.0
白祈達,沙田,Turf,1200,0,1,0,-1.0,106.0,0.0,0.0,-100.0
納斯,沙田,Turf,2000,0,1,1,-1.0,49.0,0.0,100.0,-100.0
范景新,沙田,Turf,1600,0,1,0,-1.0,79.0,0.0,0.0,-100.0
范鴻禧,沙田,Turf,2000,0,1,0,-1.0,51.0,0.0,0.0,-100.0
菲德文及菲敦盟,沙田,Turf,2400,0,1,0,-1.0,5.9,0.0,0.0,-100.0
葉楚航,沙田,Turf,2400,0,1,1,-1.0,6.1,0.0,100.0,-100.0
葛威法,沙田,Turf,2000,0,1,0,-1.0,6.1,0.0,0.0,-100.0
藤原英昭,沙田,Turf,1200,0,1,0,-1.0,94.0,0.0,0.0,-100.0
費伯華,沙田,Turf,2400,0,1,0,-1.0,6.1,0.0,0.0,-100.0
雷拿及雷恩,沙田,Turf,2000,0,1,0,-1.0,82.0,0.0,0.0,-100.0
雷里雅,沙田,Turf,1600,0,1,0,-1.0,11.0,0.0,0.0,-100.0
顧永賢,沙田,Turf,2400,0,1,0,-1.0,16.0,0.0,0.0,-100.0
馬晏殊,沙田,Turf,2000,0,1,0,-1.0,13.0,0.0,0.0,-100.0
馬漢雅,沙田,Turf,1200,0,1,0,-1.0,148.0,0.0,0.0,-100.0
高亮能,沙田,Turf,1600,0,1,0,-1.0,16.0,0.0,0.0,-100.0
高柳瑞樹,沙田,Turf,1200,0,1,0,-1.0,76.0,0.0,0.0,-100.0
高野友和,沙田,Turf,1600,0,1,0,-1.0,10.0,0.0,0.0,-100.0
黎昭昇,沙田,AWT,1800,0,1,0,-1.0,58.0,0.0,0.0,-100.0
黎昭昇,沙田,Turf,1800,0,1,0,-1.0,25.0,0.0,0.0,-100.0
